Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;
РЕАЛЬНЫЕ ДЕНЕЖНЫЕ ДОХОДЫ;;;;;;;;;;;;
"3.1.1. Реальные  доходы населения1);2) ";;;;;;;;;;;;
(в процентах к предыдущему году);;;;;;;;;;;;
Ханты-Мансийский автономный округ - Югра;110,3;94,0;99,3;104,5;102,8;100,5;94,5;92,3;97,3;;;
Ямало-Ненецкий автономный округ;101,0;100,4;103,8;110,6;105,1;98,4;98,4;96,3;101,4;;;
Тюменская область без автономных округов;;;;;103,9;102,0;96,5;91,6;98,6;;;
Челябинская область;119,9;103,1;99,1;101,8;104,6;99,0;93,1;89,5;96,7;;;
Сибирский            федеральный округ;112,3;102,9;102,1;105,2;103,8;98,2;96,2;94,4;97,8;;;
Республика Алтай;112,1;115,2;95,1;98,7;97,6;109,0;93,7;93,1;101,5;;;
Республика Бурятия;111,6;102,5;100,9;103,3;109,5;99,8;100,2;93,4;96,9;;;
Республика Тыва;109,9;95,3;99,1;103,5;105,0;99,5;95,7;88,0;97,5;;; 
Республика Хакасия;102,2;111,4;101,8;106,8;105,5;96,3;100,6;95,9;98,1;;;
Алтайский край;111,3;104,6;104,5;103,6;109,0;106,4;98,9;95,2;98,9;;;
Забайкальский край;109,2;103,2;102,1;103,1;104,8;95,3;95,3;92,6;97,7;;;
Красноярский край;107,5;100,8;102,7;104,6;104,6;94,1;97,1;98,0;97,3;;;
Иркутская область;117,9;100,8;96,8;104,8;102,2;97,5;97,2;91,1;96,9;;;
Кемеровская область;112,5;104,8;100,1;103,9;98,6;94,7;94,1;90,9;99,8;;;
Новосибирская область ;117,8;103,3;104,8;108,9;103,9;96,4;92,2;99,5;97,3;;;
Омская область;112,4;102,2;105,3;107,7;102,2;104,8;94,3;92,0;96,9;;;
Томская область;110,8;102,5;102,2;103,1;106,0;98,5;101,0;91,7;97,0;;;
Дальневосточный федеральный округ;110,5;103,5;101,5;104,9;106,2;102,8;98,9;93,5;98,3;;;
Республика Саха (Якутия);105,8;102,9;103,4;105,9;103,5;101,2;99,1;95,9;97,4;;;
Камчатский край;106,8;103,2;99,2;103,6;104,7;97,7;98,1;92,4;99,3;;;
Приморский край;115,4;105,5;102,9;105,1;105,3;108,1;100,5;92,2;98,8;;;
Хабаровский край ;108,5;104,7;97,2;102,7;107,5;100,5;99,0;94,8;97,0;;;
Амурская область;109,6;100,4;112,9;113,3;104,4;100,3;97,4;91,2;100,1;;;
Магаданская область;103,1;103,8;98,0;110,5;104,5;100,8;94,4;93,8;101,3;;;
Сахалинская область;114,4;97,8;96,9;98,7;114,0;104,1;98,7;94,4;95,2;;;
Еврейская автономная область;108,3;103,5;96,8;102,2;101,5;98,2;95,9;89,2;93,4;;;
Чукотский автономный округ;117,3;106,0;109,5;105,9;102,5;103,5;98,9;97,1;103,7;;;
??????;;;;;;;;;;;;
1) 2015 г. – в целях обеспечения статистической сопоставимости относительные показатели по Российской Федерации и Южному федеральному округу рассчитаны без учета данных по Республике Крым и г. Севастополю.;;;;;;;;;;;;
2)  С 2011 г. – включая данные по Чеченской Республике.;;;;;;;;;;;;
