Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
21. ЦЕНЫ И ТАРИФЫ;;;;;;;
ДИНАМИКА ЦЕН В ПРОИЗВОДСТВЕННОМ СЕКТОРЕ;;;;;;;
ИНДЕКСЫ ЦЕН ПРОИЗВОДИТЕЛЕЙ ПРОМЫШЛЕННЫХ ТОВАРОВ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ 1);;;;;;;
21.10.2. Индексы цен производителей промышленных товаров в соответствии с ОКВЭД2- всего ;;;;;;;
"(декабрь к декабрю предыдущего года; в процентах)";;;;;;;
;2013;2014;2015;2016;2017;;
Мурманская область;112,1;112,0;123,5;102,6;98,2;;
Новгородская область;102,6;111,6;114,8;105,5;99,4;;
Псковская область;101,2;118,3;105,5;106,7;100,6;;
г. Санкт-Петербург;101,0;108,1;116,8;106,4;100,7;;
Южный             федеральный округ2);104,3;107,5;112,7;106,0;104,0;;
Республика Адыгея;97,9;110,0;119,9;107,0;98,4;;
Республика Калмыкия;115,2;100,8;101,4;95,8;115,1;;
Республика Крым;;;122,3;108,4;110,2;;
Краснодарский край;101,2;108,8;118,5;104,4;99,2;;
Астраханская область;104,4;123,7;98,4;105,0;104,4;;
Волгоградская область;103,9;102,3;110,3;107,9;113,5;;
Ростовская область;103,5;106,8;111,5;106,0;100,1;;
г. Севастополь;;;117,3;111,1;100,6;;
Северо-Кавказский       федеральный округ;102,3;109,4;112,3;104,3;96,5;;
Республика Дагестан;104,5;101,9;108,5;104,5;105,2;;
Республика Ингушетия ;109,4;100,6;100,3;107,0;114,4;;
Кабардино-Балкарская Республика;102,1;102,8;114,6;114,2;92,9;;
Карачаево-Черкесская Республика;102,6;109,6;104,2;109,4;101,7;;
Республика Северная Осетия – Алания;103,0;112,5;111,0;102,7;115,1;;
Чеченская Республика ;98,1;105,7;103,1;103,0;116,0;;
Ставропольский край;102,2;111,3;109,6;102,4;93,0;;
Приволжский    федеральный округ;103,2;105,0;112,1;105,0;108,9;;
Республика Башкортостан;105,7;104,3;112,5;103,7;108,4;;
Республика Марий Эл;102,0;106,3;107,2;107,3;100,3;;
Республика Мордовия;104,7;110,6;108,6;105,8;96,8;;
Республика Татарстан;102,6;104,7;112,4;104,9;111,3;;
Удмуртская Республика;107,4;102,1;107,6;109,5;105,7;;
Чувашская Республика;104,2;106,5;113,5;107,6;103,6;;
Пермский край;99,9;100,5;114,8;102,6;118,2;;
Кировская область;105,3;110,7;108,6;106,9;104,9;;
Нижегородская область;107,0;104,2;111,3;105,6;108,6;;
Оренбургская область;102,2;108,4;120,0;100,0;106,3;;
Пензенская область;102,3;113,7;106,8;104,9;99,7;;
Самарская область;103,6;105,8;110,8;107,2;110,3;;
Саратовская область;101,2;112,5;111,7;103,6;103,6;;
Ульяновская область;103,7;106,9;114,7;107,9;104,4;;
Уральский     федеральный округ;103,2;104,1;111,1;107,5;116,3;;
Курганская область;105,7;106,1;106,0;112,9;105,0;;
Свердловская область;100,7;108,5;120,1;107,9;101,2;;
Тюменская область;102,8;101,4;107,2;104,4;126,8;;
в том числе:;;;;;;;
Ханты-Мансийский    автономный округ – Югра;106,7;93,4;112,7;106,9;138,6;;
Ямало-Ненецкий      автономный округ;103,4;116,5;103,0;89,8;117,5;;
Тюменская область     без автономных округов;93,8;106,9;94,8;104,2;104,0;;
Челябинская область;96,9;115,7;112,4;114,9;107,1;;
Сибирский    федеральный округ;101,1;113,3;108,8;113,2;110,8;;
Республика Алтай;104,8;109,0;113,1;103,8;99,6;;
Республика Бурятия;107,1;113,8;109,0;118,7;92,9;;
Республика Тыва;94,6;110,0;116,2;118,8;103,4;;
Республика Хакасия;94,3;136,9;106,9;104,4;109,7;;
Алтайский край;97,0;116,2;110,1;113,3;101,0;;
Забайкальский край;94,1;116,6;104,9;106,7;103,0;;
Красноярский край;99,5;122,1;104,9;110,0;117,6;;
Иркутская область;100,2;106,8;113,1;104,7;118,0;;
Кемеровская область;97,4;107,1;109,1;137,4;104,4;;
Новосибирская область;101,9;107,0;112,4;105,5;104,3;;
Омская область;101,9;101,9;109,0;108,9;110,3;;
Томская область;112,5;102,3;109,9;111,1;119,3;;
Дальневосточный     федеральный округ;107,4;109,8;110,1;117,2;103,1;;
Республика Саха (Якутия);99,5;109,4;114,7;108,5;94,4;;
Камчатский край;91,7;110,7;134,9;105,3;99,6;;
Приморский край;105,9;110,0;113,4;108,0;102,0;;
Хабаровский край;106,3;109,8;109,6;108,3;101,3;;
Амурская область;91,2;120,2;117,3;107,8;98,9;;
Магаданская область;106,8;109,6;105,7;107,1;103,4;;
Сахалинская область;120,5;107,4;102,9;138,1;104,5;;
Еврейская автономная область;108,4;104,3;104,4;100,8;101,8;;
Чукотский автономный округ;109,9;103,7;90,3;119,9;128,1;;
?????;;;;;;;
1) Данные за 2013-2017 гг. рассчитаны в соответствии с ОКВЭД2.  На товары, предназначенные для реализации на внутреннем рынке. ;;;;;;;
2) Данные за 2014-2016 гг. приведены без учета сведений по Республике Крым и г. Севастополю.;;;;;;;
