Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;
Растениеводство;;;;;;;;;;;
14.4. ПОСЕВНЫЕ ПЛОЩАДИ СЕЛЬСКОХОЗЯЙСТВЕННЫХ КУЛЬТУР;;;;;;;;;;;
"(в хозяйствах всех категорий; тысяча гектаров)";;;;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;2017;;
Алтайский край;5191,3;5135,7;5487,0;5427,0;5482,9;5444,3;5365,6;5378,3;5397,9;;
Забайкальский край;278,8;217,4;223,8;217,6;211,2;212,5;208,6;200,3;202,8;;
Красноярский край;1608,0;1446,4;1451,1;1466,9;1493,1;1495,9;1508,0;1527,7;1508,8;;
Иркутская область;715,4;633,5;637,2;639,0;652,1;651,7;660,8;660,5;680,8;;
Кемеровская область;1065,3;1019,5;995,5;997,3;989,9;931,3;941,3;929,6;924,7;;
Новосибирская область ;2536,6;2320,1;2400,2;2405,5;2409,2;2376,4;2326,3;2340,5;2380,0;;
Омская область;2911,8;2787,6;2844,6;2881,2;2975,7;3008,1;3008,5;3007,5;3004,6;;
Томская область;388,4;378,0;385,2;382,4;375,4;360,7;333,1;348,3;354,1;;
Дальневосточный федеральный округ;1179,6;1370,4;1466,7;1653,2;1573,2;1762,8;1857,1;1920,4;2040,6;;
Республика Саха (Якутия);49,0;43,6;43,4;45,5;44,4;43,9;45,1;44,4;46,8;;
Камчатский край;18,8;21,4;22,2;21,1;19,5;20,2;20,0;19,7;20,7;;
Приморский край;340,1;308,8;334,4;371,7;370,1;413,8;402,6;422,6;462,3;;
Хабаровский край ;77,3;68,3;71,7;72,5;68,1;75,3;69,6;68,6;75,5;;
Амурская область;576,4;790,8;856,6;1001,9;928,8;1059,2;1165,4;1213,8;1252,7;;
Магаданская область;6,8;5,8;5,8;5,9;5,5;5,2;5,9;6,6;7,0;;
Сахалинская область;23,9;24,3;22,8;22,2;22,7;24,4;24,2;26,0;28,3;;
Еврейская автономная область;87,2;107,5;109,8;112,5;114,0;120,8;124,3;118,6;147,3;;
Чукотский автономный округ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
