Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;
ВКЛАДЫ (ДЕПОЗИТЫ) ЮРИДИЧЕСКИХ И ФИЗИЧЕСКИХ ЛИЦ В РУБЛЯХ, ПРИВЛЕЧЕННЫЕ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ;;;;;;;;;
20.9.1. Всего;;;;;;;;;
"(исходя из места привлечения средств; на начало года; миллионов рублей)";;;;;;;;;
;2006;2011;2015;2016;2017;2018;;;
Краснодарский край;59137;240841;465540;537463;602155;674931;;;
Астраханская область;9821;34701;57319;66485;70633;75615;;;
Волгоградская область;24696;91880;162564;201189;213193;229262;;;
Ростовская область;38291;170365;319208;386524;430494;478443;;;
г. Севастополь;;;6897;12677;19744;25704;;;
Северо-Кавказский федеральный округ;37433;152411;275542;334978;377030;412350;;;
Республика Дагестан;2516;19257;38967;48200;53023;58641;;;
Республика Ингушетия;592;2224;3690;4591;4517;4681;;;
Кабардино-Балкарская   Республика;3153;13818;23731;27484;31331;34835;;;
Карачаево-Черкесская Республика;1415;6459;10261;12694;14712;16327;;;
Республика Северная Осетия – Алания;4980;15740;25933;30852;34065;38360;;;
Чеченская Республика;513;3779;8990;21164;17437;17166;;;
Ставропольский край;24264;91134;163970;189993;221945;242338;;;
Приволжский федеральный округ;397989;1526707;2649187;3029852;3336370;3622196;;;
Республика Башкортостан;45225;238563;353580;365325;375081;423438;;;
Республика Марий Эл;4075;18475;38015;44536;52487;54771;;;
Республика Мордовия;6599;28067;46759;54483;61134;66188;;;
Республика Татарстан;81737;262918;523793;587669;667842;702175;;;
Удмуртская Республика;15014;55657;107898;120223;149340;161898;;;
Чувашская Республика;9436;42705;77768;94189;110157;122940;;;
Пермский край;38026;141887;233707;268775;290446;308524;;;
Кировская область;12542;53879;81784;98164;112691;128459;;;
Нижегородская область;49822;199417;315764;394520;435418;491309;;;
Оренбургская область;20398;72327;125268;144812;155678;171539;;;
Пензенская область;11817;45514;80813;97643;110581;125467;;;
Самарская область;64408;219754;400949;451885;491924;511474;;;
Саратовская область;28256;97314;180130;209802;216764;228139;;;
Ульяновская область;10632;50230;82959;97827;106828;125873;;;
Уральский     федеральный округ;222534;821120;1408005;1568816;1786467;2050232;;;
Курганская область;5341;20114;36863;44906;48411;55261;;;
Свердловская область;74014;287522;489017;559969;631255;705589;;;
Тюменская область;101374;359058;616990;640785;747480;882770;;;
в том числе:;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;53874;166766;343404;325230;401409;494765;;;
Ямало-Ненецкий автономный округ;23144;49285;80933;89548;115614;118540;;;
Тюменская область без автономных округов;24356;143007;192653;226007;230457;269465;;;
Челябинская область;41805;154426;265135;323156;359319;406612;;;
Сибирский          федеральный округ;213485;769897;1336029;1575132;1810121;2066703;;;
Республика Алтай;832;4123;7072;7676;7880;9147;;;
Республика Бурятия;5988;27620;38509;43621;46249;53834;;;
Республика Тыва;796;3463;5875;6677;7891;8827;;;
Республика Хакасия;3454;13386;21843;26413;30934;34107;;;
Алтайский край;18144;77717;117944;145175;170158;194128;;;
Забайкальский край;8020;26847;46994;57574;61084;71200;;;
Красноярский край ;36287;129791;208090;250867;273705;310940;;;
Иркутская область;31267;97570;183329;216631;265780;305828;;;
Кемеровская область;33817;127251;181614;208517;233618;282508;;;
Новосибирская область;33980;141623;301973;350283;419585;478945;;;
Омская область;21718;73196;133121;155688;172464;188711;;;
Томская область;19183;47310;89665;106011;120773;128526;;;
Дальневосточный    федеральный округ;96610;398345;708409;899799;959548;1040743;;;
Республика Саха (Якутия);14223;44038;88538;102157;109189;121173;;;
Камчатский край;6984;26678;45699;56049;65103;74280;;;
Приморский край;22748;111048;201058;237721;257633;302807;;;
Хабаровский край;25731;110974;171883;194356;220265;233277;;;
Амурская область;8071;36724;65623;74950;75699;88481;;;
Магаданская область;4525;16535;32013;33674;38390;49499;;;
Сахалинская область;11142;43190;86574;180899;170995;147776;;;
Еврейская автономная область;1309;4389;8958;10203;11223;11744;;;
Чукотский автономный округ;1876;4769;8063;9788;11051;11707;;;
