Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;
ПРЕПОДАВАТЕЛИ И МАСТЕРА ПРОИЗВОДСТВЕННОГО ОБУЧЕНИЯ, РЕАЛИЗУЮЩИЕ ПРОГРАММЫ ПОДГОТОВКИ СПЕЦИАЛИСТОВ СРЕДНЕГО ЗВЕНА;;;;;;;;
4.13.2. Численность мастеров производственного обучения1);;;;;;;;
"(на начало учебного года; человек)";;;;;;;;
;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018
Республика Саха (Якутия);103;100;106;51;63;167;30;42
Камчатский край;13;9;10;7;18;44;4;3
Приморский край;87;87;99;90;230;235;60;60
Хабаровский край ;117;140;167;205;181;189;55;56
Амурская область;33;28;27;24;21;60;38;37
Магаданская область;3;3;1;2;15;22;5;7
Сахалинская область;29;27;52;54;108;113;37;46
Еврейская автономная область;2;2;1;14;29;36;4;4
Чукотский автономный округ;9;12;11;10;17;24;1;-
?????;;;;;;;;
1)  До 2016/2017 учебного года данные приведены по профессиональным образовательным организациям. С 2013 г. - по данным Минпросвещения России.;;;;;;;;
