Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
5. ЗДРАВООХРАНЕНИЕ;;;;;;;;;;;;;;;;
ЧИСЛО БОЛЬНИЧНЫХ КОЕК1);;;;;;;;;;;;;;;;
5.1.1. Всего1);;;;;;;;;;;;;;;;
"(на конец года; тысяч коек )";;;;;;;;;;;;;;;;
Республика Мордовия;10,9;8,8;8,5;8,2;7,5;6,6;6,5;6,3;;;;;;;;
Республика Татарстан;40,3;29,4;28,6;27,5;25,4;25,4;25,3;24,7;;;;;;;;
Удмуртская Республика;19,3;15,5;15,1;15,0;15,2;14,1;12,8;12,3;;;;;;;;
Чувашская Республика;14,3;11,2;10,9;10,9;10,6;10,4;10,3;10,2;;;;;;;;
Пермский край;32,2;23,0;22,8;22,7;23,7;22,7;22,2;21,7;;;;;;;;
Кировская область;21,3;14,9;14,4;13,4;12,4;11,7;11,4;11,2;;;;;;;;
Нижегородская область ;43,9;34,0;34,2;33,7;32,1;29,1;28,3;28,4;;;;;;;;
Оренбургская область;26,6;20,9;20,8;18,6;17,9;17,2;17,0;16,5;;;;;;;;
Пензенская область;14,9;12,7;12,8;11,7;11,4;11,0;10,8;10,6;;;;;;;;
Самарская область;28,0;26,4;28,0;28,2;26,6;25,1;24,4;23,6;;;;;;;;
Саратовская область;27,3;23,0;24,8;24,4;23,8;24,5;24,5;24,9;;;;;;;;
Ульяновская область;12,9;11,8;11,7;11,7;11,4;10,7;10,3;10,2;;;;;;;;
Уральский     федеральный округ;133,5;113,7;112,3;109,6;104,1;101,6;99,6;97,3;;;;;;;;
Курганская область;11,1;8,9;8,9;8,7;8,4;8,1;7,7;7,4;;;;;;;;
Свердловская область ;47,5;43,7;43,0;42,3;40,5;39,3;38,0;36,8;;;;;;;;
Тюменская область;32,7;28,4;28,0;27,9;27,4;27,4;27,3;27,0;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;
Ханты-Мансийский  автономный округ – Югра;14,7;12,9;12,7;12,6;12,5;12,8;12,7;12,6;;;;;;;;
Ямало-Ненецкий автономный округ;6,0;5,2;5,1;4,9;4,6;4,6;4,4;4,2;;;;;;;;
Тюменская область без автономных округов;12,0;10,3;10,2;10,4;10,3;10,1;10,2;10,2;;;;;;;;
Челябинская область;42,2;32,7;32,4;30,7;27,8;26,7;26,7;26,2;;;;;;;;
Сибирский          федеральный округ;233,8;202,0;195,9;193,9;187,7;181,8;179,0;176,5;;;;;;;;
Республика Алтай;2,4;1,9;1,8;1,7;1,7;1,7;1,7;1,6;;;;;;;;
Республика Бурятия;10,2;9,4;9,2;9,7;9,2;8,7;8,6;8,5;;;;;;;;
Республика Тыва;5,2;4,4;4,2;4,2;4,1;4,0;3,8;3,7;;;;;;;;
Республика Хакасия;5,8;4,8;4,5;4,4;4,2;4,0;3,9;3,9;;;;;;;;
Алтайский край;29,5;27,1;25,2;24,8;24,0;23,2;22,9;22,2;;;;;;;;
Забайкальский край;15,6;12,9;12,2;12,1;11,9;11,0;10,3;10,6;;;;;;;;
Красноярский край;32,6;28,9;26,7;26,5;25,6;24,6;24,2;23,6;;;;;;;;
Иркутская область;31,0;26,4;26,5;27,0;26,8;25,6;25,4;25,0;;;;;;;;
Кемеровская область;29,3;25,6;26,9;25,7;24,0;24,4;24,4;24,4;;;;;;;;
Новосибирская область ;35,0;29,1;27,8;27,5;27,2;27,2;26,9;26,5;;;;;;;;
Омская область;24,5;19,6;18,8;18,4;17,6;16,2;15,8;15,5;;;;;;;;
Томская область;12,8;11,9;12,0;12,0;11,3;11,3;11,2;11,1;;;;;;;;
Дальневосточный   федеральный округ;81,8;68,3;70,3;69,5;66,0;63,8;61,3;61,4;;;;;;;;
Республика Саха (Якутия);14,6;11,0;10,8;10,8;10,7;10,1;9,5;9,5;;;;;;;;
Камчатский край;5,7;4,1;4,1;4,1;3,9;3,8;3,8;3,7;;;;;;;;
Приморский край;19,3;17,9;20,9;20,5;19,8;19,7;19,3;19,0;;;;;;;;
Хабаровский край ;15,2;13,1;13,7;13,3;12,0;11,6;11,3;11,4;;;;;;;;
Амурская область;12,4;9,5;9,1;9,5;8,8;8,3;7,3;7,6;;;;;;;;
Магаданская область;3,0;2,3;2,0;2,0;1,8;1,7;1,7;1,8;;;;;;;;
Сахалинская область;7,7;7,1;6,7;6,3;6,0;5,8;5,7;5,8;;;;;;;;
Еврейская автономная область;2,8;2,5;2,2;2,1;2,1;2,1;2,1;2,0;;;;;;;;
Чукотский автономный округ;1,3;0,9;0,7;0,8;0,8;0,7;0,7;0,7;;;;;;;;
?????;;;;;;;;;;;;;;;;
1)  2005 г. – включая койки дневных стационаров.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
