Тюменская область без автономных округов;14172;36479;41613;44910;50065;43512;45194;48262;;;;
Челябинская область ;34165;73209;80554;83047;87505;102899;112836;129694;;;;
Сибирский федеральный округ;240201;440529;481990;503123;538020;574554;634610;672343;;;;
Республика Алтай ;609;1637;1654;1817;1838;2050;2390;2758;;;;
Республика Бурятия;12478;15558;19826;17855;20895;23093;26886;27180;;;;
Республика Тыва;795;2860;2868;2920;3220;3572;3742;4096;;;;
Республика Хакасия;7883;13689;21462;26770;29211;31298;38605;46346;;;;
Алтайский край ;21777;31794;31991;34398;37721;40843;44355;45047;;;;
Забайкальский край;10891;14713;18311;17819;26109;27625;28173;33034;;;;
Красноярский край;42463;86045;95432;105701;119348;134338;160264;164149;;;;
Иркутская область;29019;77346;81275;81865;82614;82363;91593;100317;;;;
Кемеровская область ;44851;80869;85949;89059;89683;93122;94377;95620;;;;
Новосибирская область ;36436;59332;61592;60444;60370;62922;63112;64195;;;;
Омская область ;19231;33713;36013;36516;40478;43188;48608;53764;;;;
Томская область ;13769;22972;25617;27958;26534;30139;32505;35837;;;;
Дальневосточный   федеральный округ;104935;198707;213850;227002;244195;263789;278750;293532;;;;
Республика Саха (Якутия);18410;37946;42849;45863;50131;56674;65548;72318;;;;
Камчатский край;9663;14948;15370;15517;16094;16324;17597;19488;;;;
Приморский край;25973;47025;51397;53814;55777;62365;62095;61252;;;;
Хабаровский край;21087;39891;44320;44974;50372;53264;55067;56763;;;;
Амурская область;15233;26935;25889;26915;27547;29652;32521;33659;;;;
Магаданская область;3979;8183;9705;10399;11975;12248;12713;15411;;;;
Сахалинская область;6840;13965;16183;18533;18429;20157;18505;20328;;;;
Еврейская автономная область;817;2866;2500;3014;3235;4136;4427;4315;;;;
Чукотский автономный округ;2931;6950;5637;7971;10635;8969;10276;9998;;;;
?????;;;;;;;;;;;;
1) Данные сформированы по кругу крупных, средних и малых организаций по фактическим видам экономической деятельности  в соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (КДЕС Ред.1.1) (ОКВЭД).;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
