Социально-экономические показатели по субъектам Российской Федерации;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;
ИСПОЛЬЗОВАНИЕ СЕТИ ИНТЕРНЕТ НАСЕЛЕНИЕМ;;;;;;
18.7.1.  Население, использовавшее сеть Интернет1);;;;;;
"(по данным выборочного обследования населения по вопросам использования ИКТ; в процентах от общей численности населения соответствующего субъекта Российской Федерации)";;;;;;
;2014;2015;2016;2017;;
г. Севастополь;…;83,3;81,6;84,4;;
Северо-Кавказский        федеральный округ;64,8;71,8;74,4;77,4;;
Республика Дагестан;55,1;66,8;71,4;78,4;;
Республика Ингушетия;67,7;58,7;72,4;73,7;;
Кабардино-Балкарская   Республика;70,3;71,4;74,0;82,0;;
Карачаево-Черкесская     Республика;57,5;65,9;69,9;76,9;;
Республика Северная    Осетия – Алания;68,0;69,3;72,6;82,0;;
Чеченская Республика;76,3;89,1;76,0;63,0;;
Ставропольский край;68,1;73,1;78,4;80,8;;
Приволжский      федеральный округ;68,0;69,9;74,0;78,7;;
Республика Башкортостан;65,5;69,8;75,1;82,0;;
Республика Марий Эл;61,1;67,7;64,5;79,6;;
Республика Мордовия;64,6;68,9;70,1;70,3;;
Республика Татарстан;73,4;77,3;84,0;91,2;;
Удмуртская Республика;69,2;68,3;73,8;76,1;;
Чувашская Республика;70,6;68,4;70,2;69,0;;
Пермский край;66,9;69,4;72,1;74,0;;
Кировская область;63,5;70,0;72,0;73,3;;
Нижегородская область;67,4;65,8;69,0;75,9;;
Оренбургская область;67,1;67,3;74,0;77,5;;
Пензенская область;69,3;67,6;72,1;75,7;;
Самарская область;71,7;73,2;76,1;81,8;;
Саратовская область;66,1;69,6;72,6;78,9;;
Ульяновская область;64,7;63,7;69,5;67,2;;
Уральский          федеральный округ;75,6;75,5;79,5;79,9;;
Курганская область;67,9;69,4;70,8;73,2;;
Свердловская область;77,8;73,9;79,5;77,9;;
Тюменская область;81,3;80,8;83,1;86,3;;
в том числе:;;;;;;
Ханты-Мансийский      автономный округ – Югра;87,7;87,8;87,3;88,5;;
Ямало-Ненецкий    автономный округ;90,0;93,3;91,6;95,5;;
Тюменская область без автономных округов;70,3;67,7;75,0;80,3;;
Челябинская область;69,0;73,7;77,7;77,5;;
Сибирский    федеральный округ;69,9;72,0;73,7;77,0;;
Республика Алтай;59,2;72,6;64,2;77,2;;
Республика Бурятия;67,4;64,0;69,2;79,6;;
Республика Тыва;57,8;62,4;67,3;82,5;;
Республика Хакасия;65,4;74,7;71,1;77,6;;
Алтайский край;69,4;72,4;71,6;76,4;;
Забайкальский край;62,0;66,0;70,6;71,9;;
Красноярский край;70,7;71,0;75,6;79,4;;
Иркутская область;69,0;72,7;73,4;75,2;;
Кемеровская область;72,3;72,3;76,3;76,2;;
Новосибирская область;73,6;76,1;75,6;78,0;;
Омская область;72,1;73,8;72,8;77,1;;
Томская область;69,2;71,7;75,3;77,1;;
Дальневосточный   федеральный округ;70,0;74,0;77,6;79,4;;
Республика Саха (Якутия);71,2;74,9;80,0;83,6;;
Камчатский край;66,8;75,8;80,8;78,9;;
Приморский край;72,0;72,3;78,4;79,5;;
Хабаровский край;72,3;77,1;81,5;78,3;;
Амурская область;58,3;69,4;71,4;79,8;;
Магаданская область;75,9;86,2;82,1;84,3;;
Сахалинская область;73,9;73,0;69,2;73,9;;
Еврейская автономная    область;64,1;71,5;64,9;74,7;;
Чукотский автономный  округ ;77,1;78,3;84,7;84,2;;
?????;;;;;;
"1) В возрасте 15-74 лет; до 2017 г. - в возрасте 15-72 лет. За последние 12 месяцев.";;;;;;
