Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;
ИСПОЛЬЗОВАНИЕ ПЕРСОНАЛЬНЫХ КОМПЬЮТЕРОВ И СЕТИ ИНТЕРНЕТ В ДОМАШНИХ ХОЗЯЙСТВАХ ;;;;;;;
18.6.3. Удельный вес домашних хозяйств, имевших широкополосный доступ к сети Интернет;;;;;;;
"(по данным выборочного обследования населения по вопросам использования ИКТ; в процентах от общего числа домохозяйств соответствующего субъекта Российской Федерации)";;;;;;;
;2014;2015;2016;2017;;;
Пермский край;64,0;67,0;68,4;67,9;;;
Кировская область;60,0;64,9;67,2;61,9;;;
Нижегородская область;53,0;51,4;66,3;69,7;;;
Оренбургская область;62,3;69,9;73,8;80,7;;;
Пензенская область;58,6;57,2;67,3;70,6;;;
Самарская область;53,3;65,8;64,7;73,7;;;
Саратовская область;53,9;63,9;62,6;70,3;;;
Ульяновская область;61,2;62,9;67,2;63,6;;;
Уральский          федеральный округ;68,3;66,0;72,5;73,6;;;
Курганская область;54,4;53,4;54,4;62,3;;;
Свердловская область;67,8;63,8;73,1;70,5;;;
Тюменская область;78,0;76,1;78,1;82,9;;;
в том числе:;;;;;;;
Ханты-Мансийский      автономный округ – Югра;84,2;83,1;80,5;87,0;;;
Ямало-Ненецкий    автономный округ;87,0;82,9;86,1;93,3;;;
Тюменская область без автономных округов;68,0;66,0;72,6;74,7;;;
Челябинская область;64,0;63,0;71,5;72,1;;;
Сибирский    федеральный округ;61,7;62,7;64,3;67,3;;;
Республика Алтай;55,0;63,4;62,6;75,7;;;
Республика Бурятия;51,0;54,4;59,2;76,6;;;
Республика Тыва;44,8;52,3;57,9;81,7;;;
Республика Хакасия;61,2;74,9;63,1;58,3;;;
Алтайский край;59,0;57,6;60,0;65,8;;;
Забайкальский край;49,2;57,7;62,0;61,5;;;
Красноярский край;63,1;62,2;62,6;63,9;;;
Иркутская область;63,6;65,3;67,6;63,9;;;
Кемеровская область;63,9;61,4;63,2;66,9;;;
Новосибирская область;68,1;65,2;69,8;68,0;;;
Омская область;63,8;68,4;68,4;75,8;;;
Томская область;59,1;64,3;62,3;69,0;;;
Дальневосточный   федеральный округ;58,6;59,9;70,1;73,5;;;
Республика Саха (Якутия);53,2;55,0;73,1;76,6;;;
Камчатский край;40,7;64,8;65,1;70,0;;;
Приморский край;71,0;67,6;76,8;76,2;;;
Хабаровский край;60,5;52,2;71,7;73,2;;;
Амурская область;39,7;62,0;66,0;70,8;;;
Магаданская область;46,9;31,0;48,9;59,6;;;
Сахалинская область;65,8;63,9;59,1;74,7;;;
Еврейская автономная    область;58,4;58,5;59,0;72,2;;;
Чукотский автономный  округ ;26,0;50,5;36,2;33,8;;;
;;;;;;;
