Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.15. СТРУКТУРА ПОТРЕБИТЕЛЬСКИХ РАСХОДОВ ДОМАШНИХ ХОЗЯЙСТВ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"(по итогам выборочного обследования бюджетов домашних хозяйств; в процентах)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2005;;;;2010;;;;2012;;;;2013;;;;2014;;;;2015;;;;2016;;;;2017;;;
;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг
Псковская область;43,7;35,2;2,2;18,9;37,6;39,0;1,7;21,7;33,8;41,8;1,8;22,6;34,3;40,7;1,7;23,3;35,4;39,1;2,4;23,0;40,6;33,4;1,5;24,5;39,9;35,4;2,1;22,6;36,0;39,2;1,9;22,9
г. Санкт-Петербург;33,0;38,2;2,4;26,4;33,4;34,7;2,2;29,7;31,7;36,1;1,8;30,4;32,5;33,3;1,9;32,3;29,0;41,0;1,6;28,3;35,3;31,6;1,8;31,3;33,9;33,6;1,9;30,6;32,9;36,0;2,0;29,1
Южный              федеральный округ;…;…;…;…;37,4;37,0;1,8;23,8;34,5;40,2;1,8;23,5;34,0;39,5;1,8;24,7;32,7;41,9;1,9;23,5;37,1;38,4;1,7;22,8;37,4;34,9;1,7;26,0;37,9;34,8;1,9;25,4
Республика Адыгея;42,2;37,5;1,7;18,6;35,4;41,3;1,4;21,9;31,5;47,7;0,9;19,9;35,2;40,1;0,9;23,8;36,0;40,8;1,0;22,3;40,3;34,8;1,3;23,6;38,8;38,3;0,8;22,1;37,3;37,5;0,8;24,4
Республика Калмыкия;45,5;35,5;2,1;16,9;40,7;38,3;1,7;19,4;38,3;40,9;1,8;19,0;37,9;38,6;1,9;21,6;35,5;39,9;1,5;23,2;39,5;36,0;1,4;23,1;39,1;38,2;1,4;21,3;34,9;43,7;1,0;20,4
Республика Крым;;;;;;;;;;;;;;;;;…;…;…;…;50,4;32,6;1,6;15,4;51,6;30,1;1,3;17,0;46,2;31,6;1,4;20,8
Краснодарский край;39,7;37,6;2,2;20,5;38,5;36,9;1,8;22,8;35,8;38,6;1,6;24,0;33,8;40,4;1,8;24,0;33,5;43,1;2,0;21,5;34,4;42,1;1,6;21,9;35,1;33,5;1,4;30,0;35,9;36,3;1,7;26,1
Астраханская область;38,2;38,4;2,5;20,9;36,1;42,9;1,8;19,2;34,7;44,3;2,2;18,8;36,6;41,3;2,1;20,0;35,6;40,7;2,1;21,6;38,9;38,6;1,8;20,7;40,6;34,0;2,1;23,3;38,1;35,3;1,9;24,7
Волгоградская область;35,6;42,0;1,9;20,5;33,5;38,7;1,6;26,2;27,4;49,8;1,5;21,3;33,7;40,8;1,6;23,9;31,5;43,3;1,9;23,3;31,9;43,7;1,3;23,1;31,4;45,2;1,4;22,0;35,6;37,6;1,4;25,4
Ростовская область;36,8;39,9;2,0;21,3;38,5;34,2;2,1;25,3;38,1;33,3;2,1;26,5;33,4;36,9;1,9;27,8;31,3;40,1;1,8;26,9;38,7;32,0;2,2;27,1;36,9;32,3;2,6;28,2;37,3;32,5;2,7;27,5
г. Севастополь;;;;;;;;;;;;;;;;;…;…;…;…;43,4;36,2;2,1;18,3;52,3;28,6;2,2;16,9;52,7;26,9;1,9;18,5
Северо-Кавказский     федеральный округ;…;…;…;…;39,6;40,2;1,4;18,9;40,7;37,5;1,0;20,8;39,3;40,5;0,9;19,3;41,2;37,4;1,0;20,4;43,5;35,8;0,8;19,9;44,8;33,3;0,8;21,1;42,6;34,4;0,9;22,1
