Республика Ингушетия;14;62;31;31;;;;;;;
Кабардино-Балкарская Республика;42;47;62;58;;;;;;;
Карачаево-Черкесская Республика;58;63;74;53;;;;;;;
Республика Северная Осетия – Алания;56;68;75;57;;;;;;;
Чеченская Республика;39;30;34;20;;;;;;;
Ставропольский край;80;93;92;93;;;;;;;
Приволжский федеральный округ;101;143;163;160;;;;;;;
Республика Башкортостан;80;114;122;127;;;;;;;
Республика Марий Эл;92;141;160;142;;;;;;;
Республика Мордовия;68;79;95;88;;;;;;;
Республика Татарстан;110;183;192;193;;;;;;;
Удмуртская Республика;116;155;182;169;;;;;;;
Чувашская Республика;95;123;141;133;;;;;;;
Пермский край;104;220;231;184;;;;;;;
Кировская область;118;177;197;179;;;;;;;
Нижегородская область;104;127;158;190;;;;;;;
Оренбургская область;91;97;105;108;;;;;;;
Пензенская область;94;111;126;119;;;;;;;
Самарская область;130;169;219;216;;;;;;;
Саратовская область;87;104;126;116;;;;;;;
Ульяновская область;101;129;156;151;;;;;;;
Уральский     федеральный округ;123;170;206;196;;;;;;;
Курганская область;74;86;99;97;;;;;;;
Свердловская область;147;202;250;241;;;;;;;
Тюменская область;116;157;183;162;;;;;;;
в том числе:;;;;;;;;;;;
Ханты-Мансийский    автономный округ – Югра;84;131;155;135;;;;;;;
Ямало-Ненецкий автономный округ;78;78;116;100;;;;;;;
Тюменская область    без автономных округов;168;215;238;215;;;;;;;
Челябинская область;113;163;203;200;;;;;;;
Сибирский федеральный округ;120;154;167;165;;;;;;;
Республика Алтай;108;134;153;137;;;;;;;
Республика Бурятия;88;110;124;113;;;;;;;
Республика Тыва;40;40;49;34;;;;;;;
Республика Хакасия;92;117;104;104;;;;;;;
Алтайский край;110;137;162;147;;;;;;;
Забайкальский край;50;69;75;70;;;;;;;
Красноярский край;115;163;186;177;;;;;;;
Иркутская область;96;142;159;160;;;;;;;
Кемеровская область;97;113;126;116;;;;;;;
Новосибирская область;240;285;293;296;;;;;;;
Омская область;108;138;149;156;;;;;;;
Томская область;141;168;156;205;;;;;;;
Дальневосточный федеральный округ;128;169;192;179;;;;;;;
Республика Саха (Якутия);105;122;115;117;;;;;;;
Камчатский край;154;193;212;182;;;;;;;
Приморский край;152;201;238;222;;;;;;;
Хабаровский край;139;197;224;208;;;;;;;
Амурская область;70;109;131;128;;;;;;;
Магаданская область;147;173;198;168;;;;;;;
Сахалинская область;151;180;206;182;;;;;;;
Еврейская автономная область;72;92;94;80;;;;;;;
Чукотский автономный округ;65;69;73;74;;;;;;;
?????;;;;;;;;;;;
"1) За 2010, 2015 гг. -по данным сплошных федеральных статистических наблюдений за деятельностью субъектов  малого и среднего предпринимательства, за 2016-2017 гг. - по данным выборочных обследований малых предприятий и микропредприятий. 
Данные за 2016 г. сформированы без учета изменений критериев отнесения организаций к субъектам малого и среднего предпринимательства, установленных Федеральными законами от 29.12.2015 № 408-ФЗ, от 23.06.2016 № 222-ФЗ, от 03.07.2016 № 265-ФЗ и постановления Правительства РФ от 4 апреля 2016 г.  №265; за 2017 г. - без учета изменений критериев отнесения организаций к субъектам малого и среднего предпринимательства, установленных Федеральными законами от 23 июня 2016 г. №222-ФЗ,  от 3 июля 2016 г. №265-ФЗ, от 26 июля 2017 г. №207-ФЗ.";;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
