Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;
ИСПОЛЬЗОВАНИЕ СЕТИ ИНТЕРНЕТ В ОРГАНИЗАЦИЯХ;;;;;;;;;;;;;
18.2.2. Организации, использовавшие широкополосный доступ к сети Интернет1);;;;;;;;;;;;;
(в процентах от общего числа обследованных организаций)  ;;;;;;;;;;;;;
;2010;2011;2012;2013;2014;2015;2016;2017;;;;;
Ярославская область;61,8;69,3;82,9;84,9;86,4;86,4;90,0;89,1;;;;;
г. Москва;91,7;92,6;96,9;97,4;96,8;95,0;95,5;94,9;;;;;
Северо-Западный    федеральный округ;61,7;69,0;81,6;84,9;86,1;85,1;87,9;88,6;;;;;
Республика Карелия;66,7;83,3;90,7;92,3;91,9;91,4;88,0;88,5;;;;;
Республика Коми;43,8;52,9;73,2;82,6;81,8;84,2;90,9;88,1;;;;;
Архангельская область;48,2;58,1;73,8;78,3;82,1;77,5;81,5;83,2;;;;;
в том числе: ;;;;;;;;;;;;;
Ненецкий автономный округ;31,7;47,2;67,3;76,9;80,2;83,1;86,9;88,7;;;;;
Архангельская область без автономного округа;50,4;59,5;74,4;78,5;82,3;76,8;80,9;82,7;;;;;
Вологодская область;46,8;56,6;70,4;76,4;78,7;81,9;83,8;85,6;;;;;
Калининградская область;59,1;67,2;77,2;81,6;81,8;84,9;89,6;88,1;;;;;
Ленинградская область;67,7;73,2;86,7;88,5;89,0;88,0;90,7;92,5;;;;;
Мурманская область;64,8;74,5;82,9;89,0;89,2;88,6;86,9;86,7;;;;;
Новгородская область;58,8;71,7;86,8;82,3;82,4;75,6;85,2;85,0;;;;;
Псковская область;58,3;66,8;79,9;80,1;87,0;85,0;86,6;85,4;;;;;
г. Санкт-Петербург;84,9;84,3;92,5;93,3;93,1;90,5;91,2;93,5;;;;;
Южный          федеральный округ;54,8;63,1;74,8;77,5;78,1;75,5;78,4;80,8;;;;;
Республика Адыгея;63,8;73,8;85,7;90,6;92,5;87,8;88,7;89,0;;;;;
Республика Калмыкия;64,1;62,1;75,7;83,3;81,9;77,7;74,0;76,1;;;;;
Республика Крым;;;;;93,5;96,0;92,1;93,6;;;;;
Краснодарский край;58,8;67,3;80,0;81,3;80,7;77,0;79,8;85,1;;;;;
Астраханская область;57,9;68,7;78,2;78,5;78,9;79,3;85,2;85,2;;;;;
Волгоградская область;49,8;58,1;66,8;72,0;68,4;63,9;71,5;71,3;;;;;
Ростовская область;53,3;61,7;74,5;76,1;80,1;79,5;77,9;78,2;;;;;
г. Севастополь;;;;;83,6;78,1;56,2;64,3;;;;;
Северо-Кавказский     федеральный округ;55,5;68,2;79,8;82,4;83,7;80,9;81,6;80,3;;;;;
Республика Дагестан;41,5;61,4;89,3;89,7;88,8;70,3;69,1;63,5;;;;;
Республика Ингушетия;46,2;45,2;85,5;84,9;90,8;76,9;94,9;92,7;;;;;
Кабардино-Балкарская  Республика;64,4;74,9;88,4;90,1;86,7;79,2;84,9;81,1;;;;;
Карачаево-Черкесская    Республика;42,2;59,5;74,7;74,1;75,1;76,7;79,7;85,5;;;;;
Республика Северная        Осетия – Алания;58,4;60,3;77,4;79,3;83,1;79,4;85,0;75,0;;;;;
Чеченская Республика;43,6;48,8;51,5;65,6;69,3;79,7;73,3;85,5;;;;;
Ставропольский край;62,4;77,0;89,6;89,4;89,0;89,8;90,6;91,2;;;;;
Приволжский      федеральный округ;56,3;62,9;78,2;79,9;80,4;78,6;81,3;83,5;;;;;
Республика Башкортостан;65,7;68,3;86,1;85,7;83,1;86,8;83,8;88,5;;;;;
Республика Марий Эл;46,4;57,8;74,2;80,1;85,3;82,2;77,5;79,3;;;;;
Республика Мордовия;52,9;58,4;72,1;76,0;81,8;63,4;73,5;79,6;;;;;
Республика Татарстан;63,8;69,5;85,4;85,6;82,7;83,2;86,0;89,4;;;;;
Удмуртская Республика;63,0;69,7;78,7;82,8;87,6;84,4;78,2;80,1;;;;;
Чувашская Республика;51,3;55,4;78,5;81,6;80,5;81,1;87,5;87,7;;;;;
Пермский край;58,3;67,5;80,2;82,2;84,3;82,5;85,6;84,5;;;;;
Кировская область;37,5;47,9;64,0;71,6;68,6;66,2;82,9;85,5;;;;;
Нижегородская область;57,4;62,4;80,2;83,9;87,3;86,2;88,1;93,3;;;;;
Оренбургская область;56,7;66,6;82,6;84,5;82,2;85,9;92,4;92,9;;;;;
Пензенская область;47,8;54,7;74,9;79,3;82,6;79,4;81,1;84,1;;;;;
Самарская область;60,3;64,5;73,0;67,6;70,8;64,9;71,5;71,1;;;;;
Саратовская область;51,5;60,0;75,4;80,2;79,4;77,3;70,3;72,3;;;;;
Ульяновская область;54,4;63,1;78,0;80,0;78,2;81,1;83,5;83,5;;;;;
Уральский          федеральный округ;65,6;70,6;82,0;83,6;86,1;82,5;83,0;82,9;;;;;
Курганская область;62,4;71,4;78,8;77,2;70,8;59,3;69,0;69,6;;;;;
Свердловская область;67,3;73,8;85,9;88,8;91,4;87,6;87,5;86,9;;;;;
Тюменская область;64,5;69,9;81,4;83,1;86,6;84,8;84,2;82,4;;;;;
в том числе:;;;;;;;;;;;;;
Ханты-Мансийский      автономный округ – Югра;67,9;73,1;84,7;85,6;87,6;86,4;88,3;85,5;;;;;
Ямало-Ненецкий     автономный округ;57,9;61,1;74,5;80,2;90,7;86,7;86,0;82,9;;;;;
Тюменская область без   автономных округов;63,9;71,2;81,2;81,5;83,6;81,8;79,0;78,6;;;;;
Челябинская область;66,8;67,8;79,4;80,8;86,0;84,5;82,6;85,4;;;;;
Сибирский     федеральный округ;51,0;58,6;71,7;75,0;77,5;75,3;77,1;77,2;;;;;
Республика Алтай;54,1;61,0;78,2;85,4;90,9;81,3;83,5;86,2;;;;;
Республика Бурятия;45,3;56,4;73,2;75,8;77,2;74,2;72,2;62,6;;;;;
Республика Тыва;26,3;34,3;46,7;60,9;67,9;68,7;73,0;73,0;;;;;
Республика Хакасия;69,4;73,5;83,7;87,4;89,2;85,4;81,1;78,9;;;;;
Алтайский край;40,5;49,3;64,2;69,3;75,7;75,1;76,6;78,7;;;;;
Забайкальский край;42,7;54,7;74,5;76,7;82,4;79,0;81,0;82,6;;;;;
Красноярский край;48,7;57,8;71,7;76,5;77,8;80,6;81,6;82,3;;;;;
Иркутская область;54,4;61,5;76,5;77,1;77,8;77,4;76,0;79,2;;;;;
Кемеровская область;68,9;75,4;84,0;84,4;81,4;79,8;81,5;81,2;;;;;
Новосибирская область;50,6;57,2;69,3;72,6;75,5;74,8;66,7;70,3;;;;;
Омская область;47,0;53,2;65,6;68,5;74,1;61,6;82,5;79,4;;;;;
Томская область;67,2;73,9;74,4;75,6;72,5;74,4;79,6;71,5;;;;;
Дальневосточный    федеральный округ;46,8;50,2;67,7;71,2;75,3;74,0;77,4;80,4;;;;;
Республика Саха (Якутия);37,3;39,2;50,9;57,7;62,3;61,4;64,4;68,5;;;;;
Камчатский край;38,8;44,3;59,6;65,0;66,4;72,1;78,7;83,9;;;;;
Приморский край;52,1;56,6;75,2;77,0;82,5;77,3;79,9;85,1;;;;;
Хабаровский край;62,7;69,2;85,0;87,0;88,9;87,1;89,2;87,6;;;;;
Амурская область;42,1;48,5;64,6;66,5;70,9;71,8;77,7;76,1;;;;;
Магаданская область;46,9;43,5;61,9;65,4;66,2;72,1;77,2;80,3;;;;;
Сахалинская область;50,4;51,3;80,8;81,7;84,1;83,6;82,1;87,9;;;;;
Еврейская автономная    область;45,9;49,1;67,8;71,5;75,5;66,8;78,6;78,3;;;;;
Чукотский автономный округ;27,6;32,4;56,5;54,7;71,0;69,8;70,4;76,4;;;;;
_____________;;;;;;;;;;;;;
1) Федеральное статистическое наблюдение осуществляется с 2006 г.;;;;;;;;;;;;;
