СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2018 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;;;;;;;;;;;
Уголь каменный ;;34,3;…;…;…;16,5;26,3;29,2;26,7;28,5;38,4;47,2;47,5;54,7;79,6;70,1;79,4;103;100;85,1;76,0;62,1;53,6;74,8;85,4;;;;;;;;;;;;;;;
Нефть сырая, включая газовый конденсат природный;;107;…;…;…;105;175;151;154;174;226;330;412;470;663;407;546;744;754;734;689;366;289;369;496;;;;;;;;;;;;;;;
Нефтепродукты;;105;…;…;…;95,8;174;148;149;181;234;348;429;465;676;387;529;727;750;721;701;393;295;392;520;;;;;;;;;;;;;;;
Газ природный, за 1000 м3;;63,1;…;…;…;55,3;85,9;101;85,7;106;109;151;216;234;354;249;273;343;346;336;314;225;157;179;223;;;;;;;;;;;;;;;
Аммиак безводный;;130;…;…;…;50,8;97,6;87,5;72,7;123;161;190;196;224;453;203;284;420;490;466;431;378;226;227;269;;;;;;;;;;;;;;;
Удобрения минеральные азотные:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в физическом весе;;119;…;…;…;37,9;58,0;62,6;59,0;77,1;106;139;145;196;353;177;199;308;317;284;267;230;170;182;200;;;;;;;;;;;;;;;
в пересчете на 100% питательных веществ;;;;;;;153;…;…;…;262;367;316;516;934;454;518;819;838;747;702;604;438;464;506;;;;;;;;;;;;;;;
Удобрение минеральные калийные:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в физическом весе;;72,0;…;…;…;86,4;86,7;76,9;75,0;76,4;95,8;136;150;175;447;453;283;366;406;346;258;264;196;193;230;;;;;;;;;;;;;;;
в пересчете на 100% питательных веществ;;;;;;;143;…;…;…;159;225;249;277;730;743;470;566;671;563;425;436;322;318;371;;;;;;;;;;;;;;;
Лесоматериалы необработанные, за м3;;57,7;…;…;…;43,4;43,4;43,9;44,8;48,1;56,3;59,6;63,8;83,9;95,1;84,6;87,1;94,3;86,7;86,1;84,9;69,1;67,4;75,5;77,1;;;;;;;;;;;;;;;
Фанера клееная, за м3;;288;…;…;…;256;227;237;244;250;295;346;355;509;578;388;458;303;363;566;596;449;384;447;506;;;;;;;;;;;;;;;
Целлюлоза древесная;;709;…;…;…;282;355;300;299;324;377;391;439;548;573;413;606;659;515;540;555;506;464;521;704;;;;;;;;;;;;;;;
Бумага газетная;;595;…;…;…;358;398;427;339;348;395;459;507;544;618;481;482;590;532;532;528;401;403;416;562;;;;;;;;;;;;;;;
Чугун передельный;;132;…;…;…;69,8;83,7;91,8;92,5;132;254;264;246;317;489;277;369;475;418;391;388;259;228;338;373;;;;;;;;;;;;;;;
Ферросплавы;;1085;…;…;…;558;628;602;616;627;1145;1579;1492;1696;2499;1613;1646;2033;2101;2081;2150;1708;1594;1761;1680;;;;;;;;;;;;;;;
Медь;;2539;…;…;…;1429;1677;1473;1371;1611;2632;3447;6200;6638;6047;4894;7216;8737;7580;7324;6639;5457;4703;6180;6328;;;;;;;;;;;;;;;
Никель необработанный;;8059;…;…;…;5291;8641;5750;6117;9062;12609;13563;22730;33855;19546;14548;21790;22963;16982;15236;16326;11382;9167;10145;12831;;;;;;;;;;;;;;;
Алюминий необработанный;;1520;…;…;…;1154;1298;1179;1039;1058;1172;1316;1619;2153;2164;1444;1817;2036;1819;1817;1824;1740;1385;1620;1728;;;;;;;;;;;;;;;
Автомобили легковые, за шт.;;3684;…;…;…;3264;3167;3093;3077;3517;4494;4819;5629;6407;7134;5881;6482;7815;8831;10814;11555;11395;16112;15690;13839;;;;;;;;;;;;;;;
Автомобили грузовые, за шт.;;10504;…;…;…;10387;11715;10107;10836;7804;9684;10225;12223;15653;18207;25092;22430;23133;27470;22542;22641;22602;24674;22984;24683;;;;;;;;;;;;;;;
Средние фактические импортные цены на основные товары, долларов США за тонну ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мясо свежее и мороженое (без мяса птицы);;1525;…;…;…;993;1145;1051;1159;1232;1402;1460;2335;2441;3073;3263;2928;3696;3897;3931;4223;3323;2824;3213;3554;;;;;;;;;;;;;;;
Мясо птицы свежее и мороженое;;844;…;…;…;668;542;550;597;596;614;651;729;824;1105;1148;1367;1521;1597;1609;1764;1430;1411;1581;1635;;;;;;;;;;;;;;;
Рыба свежая и мороженая;;635;…;…;…;367;382;442;595;625;834;1039;1450;1623;1884;1820;2136;2664;2650;2998;2997;2562;2738;2656;3119;;;;;;;;;;;;;;;
Ракообразные и моллюски;;3738;…;…;…;633;567;936;1273;1269;1317;1709;2464;2513;3006;3073;3303;4186;4221;4590;5254;4322;4904;5393;5877;;;;;;;;;;;;;;;
Молоко и сливки, несгущенные;;…;…;…;…;311;388;213;289;276;287;292;337;492;793;528;759;848;826;1040;1006;691;638;674;705;;;;;;;;;;;;;;;
