СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2018 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;;;;;;;;;;;
Поступило персональных компьютеров в отчетном году, тыс. шт.;;;;;;;;;;;;;656,2;743,8;984,2;1170,9;1257,9;1159,2;890,6;999,9;1251,6;1454,1;1351,5;1177,7;952,2;986,7;1148,8;1301,6;;;;;;;;;;;;;;;
Число персональных компьютеров на  100 работников, шт.;;;;;;;;;;;;;18;20;23;26;29;32;35;36;39;43;44;47;49;49;50;51;;;;;;;;;;;;;;;
Число персональных компьютеров с доступом к сети Интернет на  100 работников,  шт. ;;;;;;;;;;;;;4;5;7;9;11;13;15;18;21;24;26;29;31;32;33;35;;;;;;;;;;;;;;;
Удельный вес организаций, использовавших специальные программные средства - всего , в процентах;;;;;;;;;;;;;68,7;74,8;79,1;84,9;86,6;88,5;88,7;89,1;89,8;86,0;85,3;86,3;84,8;84,7;83,9;85,9;;;;;;;;;;;;;;;
из них: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 для решения организационных, управленческих и экономических задач;;;;;;;;;;;;;53,4;59,1;58,0;60,7;59,0;60,8;60,6;59,7;60,3;59,8;59,6;56,2;52,3;52,9;52,4;54,9;;;;;;;;;;;;;;;
антивирусные программы3);;;;;;;;;;;;;;;;54,6;63,0;71,6;75,8;76,5;79,8;73,6;76,7;76,1;74,1;76,3;77,2;79,2;;;;;;;;;;;;;;;
для осуществления финансовых расчетов в электронном виде;;;;;;;;;;;;;30,0;32,7;45,7;48,3;53,4;57,3;60,3;59,7;60,9;61,2;61,3;57,0;55,1;55,3;54,8;56,4;;;;;;;;;;;;;;;
электронные справочно-правовые системы;;;;;;;;;;;;;;33,9;39,6;47,3;50,4;54,4;56,2;53,7;55,1;56,5;55,4;53,7;52,3;51,8;51,1;53,2;;;;;;;;;;;;;;;
"для управления продажами и закупками - всего3),
в процентах";;;;;;;;;;;;;;;;21,9;25,7;26,3;28,1;34,4; -;39,2;41,6;39,6;42,4;41,8;40,5;44,0;;;;;;;;;;;;;;;
    для управления закупками товаров (работ, услуг)4);;;;;;;;;;;;;;;;;;;;;36,1;36,2;38,6;36,3;38,4;37,8;36,2;38,3;;;;;;;;;;;;;;;
    для управления продажами товаров работ, услуг)4);;;;;;;;;;;;;;;;;;;;;24,3;22,8;22,9;20,3;21,9;21,8;22,0;25,9;;;;;;;;;;;;;;;
для предоставления доступа к базам данных через глобальные информационные сети;;;;;;;;;;;;;14,5;15,3;16,8;15,9;19,3;21,3;23,7;27,8;28,1;29,3;30,8;30,9;31,5;31,0;29,8;31,9;;;;;;;;;;;;;;;
обучающие программы;;;;;;;;;;;;;9,9;12,1;11,9;14,0;16,2;16,7;17,3;19,1;19,0;21,8;18,2;14,8;14,3;14,2;14,2;16,9;;;;;;;;;;;;;;;
для управления автоматизированным производством и/или отдельными техническими средствами и технологическими процессами;;;;;;;;;;;;;13,3;13,7;14,0;13,1;13,7;14,4;15,2;18,1;18,1;16,7;16,8;15,5;15,1;14,9;14,7;16,7;;;;;;;;;;;;;;;
для проектирования;;;;;;;;;;;;;9,3;10,0;9,7;9,6;9,9;10,7;11,0;11,8;12,1;11,7;11,9;11,9;11,0;10,8;11,2;13,0;;;;;;;;;;;;;;;
редакционно-издательские системы;;;;;;;;;;;;;4,4;5,2;5,6;4,7;4,9;5,3;5,4;9,2;7,0;6,2;5,7;7,1;5,3;5,1;4,9;6,5;;;;;;;;;;;;;;;
CRM, ERP, SCM – системы3);;;;;;;;;;;;;;;;3,6;5,5;5,6;6,4;7,6;10,2;9,5;10,4;13,5;15,4;15,9;17,4;19,6;;;;;;;;;;;;;;;
для научных исследований;;;;;;;;;;;;;3,4;3,5;3,1;3,1;3,1;3,1;3,0;3,3;3,4;3,1;3,1;4,2;3,9;3,4;3,1;4,5;;;;;;;;;;;;;;;
"Удельный вес организаций, использовавших сеть Интернет для связи с поставщиками и потребителями товаров (работ, услуг), в процентах:
 в процентах";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    для размещения заказов на товары (работы, услуги);;;;;;;;;;;;;12,1;14,1;16,3;20,5;24,1;25,3;28,8;35,0;39,2;41,1;43,4;41,7;41,3;41,6;41,2;42,2;;;;;;;;;;;;;;;
"    для получения заказов на выпускаемые товары 
    (работы,услуги)";;;;;;;;;;;;;10,5;11,8;12,6;12,6;13,6;13,0;14,4;16,9;17,1;18,0;18,9;17,6;18,2;19,3;20,1;22,5;;;;;;;;;;;;;;;
Удельный вес организаций, использовавших электронный документооборот в общем числе обследованных организаций4), в процентах ;;;;;;;;;;;;;;;;;;;;;61,9;60,4;61,7;58,9;62,7;66,1;66,1;68,6;;;;;;;;;;;;;;;
Затраты организаций на информационные и коммуникационные технологии, млрд  руб. ;;;;;;;;;;;;;164,6;168,4;215,3;252,0;299,4;372,7;421,4;515,6;603,0;842,7;1245,7;1174,9;1153,1;1249,2;1487,6;1676,2;;;;;;;;;;;;;;;
      в том числе затраты:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
на приобретение вычислительной техники и оргтехники5);;;;;;;;;;;;;71,5;76,5;78,5;84,9;93,4;102,5;85,7;112,7;139,5;200,6;322,4;259,6;234,4;249,4;297,2;334,6;;;;;;;;;;;;;;;
на приобретение программного обеспечения;;;;;;;;;;;;;15,6;16,6;21,9;28,5;44,2;59,3;69,1;81,2;104,2;169,0;170,1;162,4;202,6;279,9;281,8;303,9;;;;;;;;;;;;;;;
на оплату услуг связи;;;;;;;;;;;;;43,6;40,2;56,7;79,3;87,9;117,0;142,6;167,9;184,8;250,5;405,1;279,3;256,1;240,6;262,1;299,1;;;;;;;;;;;;;;;
на оплату доступа к сети Интернет3);;;;;;;;;;;;;;;;14,5;18,0;24,4;33,2;39,2;53,3;64,2;170,8;73,0;68,1;69,3;69,8;74,3;;;;;;;;;;;;;;;
на обучение сотрудников, связанное с развитием и использованием информационных и коммуникационных технологий;;;;;;;;;;;;;1,5;1,4;2,2;2,0;2,2;2,9;5,2;3,7;4,7;5,6;4,6;12,2;6,8;6,5;6,6;4,3;;;;;;;;;;;;;;;
"на оплату услуг сторонних организаций и специалистов по информационным и коммуникационным технологиям (кроме услуг связи и обучения)
";;;;;;;;;;;;;22,8;19,5;34,9;38,2;49,3;65,1;80,0;98,9;120,0;147,4;267,7;200,0;232,2;253,6;375,9;446,0;;;;;;;;;;;;;;;
прочие затраты;;;;;;;;;;;;;10,0;14,3;21,1;19,1;22,4;25,8;38,9;51,1;49,8;69,5;75,7;107,0;65,1;74,2;101,6;114,5;;;;;;;;;;;;;;;
1) До 2015 г. - ЭВМ других типов.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) Статистическое наблюдение ведется с 2007 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) Статистическое наблюдение ведется с 2006 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4) Статистическое наблюдение ведется с 2011 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5) До 2015 г. - на приобретение вычислительной техники.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Доступность телекоммуникационных услуг1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Общая монтированная емкость телефонных станций - всего, тыс номеров;22034,1;22677,4;23603,0;24579,7;25668,1;26977,2;28268,2;32077,2;35467,2;36150,5;37880,0;39969,2;42280,4;45192,7;47620,4;49247,4;51335,5;53175,2;54678,5;56222,2;58478,4;59587,0;63328,4;63818,4;62911,6;65632,8;71472,2;71886,9;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в городской местности;18351,6;18855,8;19675,5;20599,2;21579,4;22809,0;24027,4;27740,5;31012,6;31635,1;33303,0;35288,6;37419,7;40024,0;42194,5;43730,1;45726,2;47470,1;48959,3;50495,8;52723,6;53891,8;57110,0;57621,5;56734,2;59449,5;65290,8;65864,4;;;;;;;;;;;;;;;
в сельской местности;3682,5;3821,6;3927,5;3980,5;4088,7;4168,2;4240,8;4336,7;4454,6;4515,4;4577,0;4680,7;4860,7;5168,6;5425,9;5517,3;5609,3;5705,2;5719,2;5726,4;5754,8;5695,2;6218,4;6196,8;6177,3;6183,3;6181,4;6022,5;;;;;;;;;;;;;;;
Число телефонных аппаратов (включая таксофоны) телефонной сети общего пользования - всего, тыс. шт.;24352,6;24795,9;25451,1;25967,9;26827,9;27559,9;28644,5;30183,5;31870,9;33032,8;34745,1;36496,5;38404,6;40771,6;42882,1;44154,1;45218,2;45539,3;45379,6;44915,8;44151,5;43154,6;41482,5;39129,5;36382,7;34255,2;32656,2;30464,9;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в городской местности;20859,1;21303,9;21910,6;22460,5;23319,6;24044,5;25071,8;26526,9;28087,4;29069,9;30623,6;32219,5;33910,8;35913,0;37753,6;38866,9;39824,0;40100,7;39998,8;39602,1;38935,8;38055,2;36580,7;34494,6;32029,7;30110,1;28669,5;26768,5;;;;;;;;;;;;;;;
в сельской местности;3493,5;3492,0;3540,5;3507,4;3508,3;3515,3;3572,7;3656,6;3783,5;3963,0;4121,5;4277,0;4493,7;4858,7;5128,5;5287,3;5394,3;5438,5;5380,8;5313,7;5215,6;5099,5;4901,8;4634,9;4352,9;4145,2;3986,6;3696,4;;;;;;;;;;;;;;;
Удельный вес телефонных аппаратов, имеющих выход на автоматическую междугородную телефонную станцию,  в общем числе телефонных аппаратов, процентов:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в городской местности;82,2;83,9;85,1;86,5;88,6;90,5;91,7;88,2;88,8;91,7;92,7;93,7;94,1;94,5;95,2;96,1;96,2;96,7;97,5;97,5;97,4;97,7;97,8;97,5;97,2;97,0;96,5;96,8;;;;;;;;;;;;;;;
в сельской местности;23,2;26,8;29,2;33,2;38,4;44,8;53,5;61,7;70,3;79,0;85,2;89,3;92,2;95,5;96,7;97,8;98,2;98,6;98,8;99,1;99,3;99,2;99,2;99,3;99,2;99,1;98,9;98,7;;;;;;;;;;;;;;;
Из общего числа телефонных аппаратов телефонной сети общего пользования – число таксофонов всех типов - всего, тыс.;258,0;229,6;215,1;209,4;212,8;215,7;214,7;214,3;207,4;209,0;202,3;194,7;184,6;166,6;150,8;112,6;151,3;209,0;194,5;190,0;182,8;175,3;170,7;169,6;164,2;164,9;158,8;155,1;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в городской местности;248,0;221,0;207,9;202,8;206,2;209,0;207,8;206,8;199,4;200,7;193,8;185,7;174,7;156,5;139,9;95,3;77,8;69,1;55,3;51,2;44,4;38,9;32,6;28,2;25,0;26,2;21,4;17,4;;;;;;;;;;;;;;;
в сельской местности;10,0;8,6;7,2;6,7;6,6;6,7;6,9;7,5;8,0;8,3;8,4;9,0;9,9;10,2;10,9;17,3;73,5;139,9;139,2;138,7;138,4;136,3;138,1;141,3;139,2;138,7;137,4;137,7;;;;;;;;;;;;;;;
Из общего числа телефонных аппаратов телефонной сети общего пользования – число квартирных телефонных аппаратов - всего,  тыс. шт.;15448,8;16222,8;16955,6;17691,7;18707,4;19707,0;21022,0;22357,4;23814,9;25022,8;26144,9;27560,9;29122,5;30915,7;32454,3;33163,8;33833,8;33935,6;33713,5;33209,2;32359,9;31236,8;29342,6;27134,8;24962,1;23122,7;21437,5;19534,6;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в городской местности;13490,5;14104,8;14693,7;15332,4;16232,2;17134,6;18318,0;19506,8;20814,0;21828,4;22793,5;24054,1;25392,8;26828,5;28103,7;28668,0;29303,9;29418,3;29240,3;28797,0;28040,0;27028,1;25321,6;23361,0;21435,8;19775,9;18286,0;16591,6;;;;;;;;;;;;;;;
в сельской местности;1958,3;2118,0;2261,9;2359,2;2475,2;2572,3;2703,9;2850,5;3000,9;3194,4;3351,4;3506,8;3729,7;4087,3;4350,6;4495,9;4529,8;4517,3;4473,2;4412,2;4320,0;4208,8;4021,0;3773,8;3526,3;3346,9;3151,5;2943,0;;;;;;;;;;;;;;;
Число квартирных телефонных аппаратов на 1000 человек населения, шт.:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в городской местности;123,4;129,8;135,7;141,5;149,9;158,4;169,4;180,5;193,8;203,9;213,6;226,2;239,5;255,1;268,1;273,7;279,4;280,4;278,3;273,2;265,2;254,7;237,7;215,7;197,3;181,4;167,3;151,6;;;;;;;;;;;;;;;
в сельской местности;50,0;53,1;56,5;58,8;61,9;64,6;68,1;72,2;76,0;81,4;86,1;90,7;97,4;105,8;113,2;117,9;119,6;119,4;118,4;117,8;115,8;113,1;108,3;99,4;93,1;88,6;83,9;78,8;;;;;;;;;;;;;;;
Число абонентских устройств мобильной связи2), тыс. шт.;;6,0;10,0;27,7;88,5;223,0;484,8;747,2;1370,6;3263,2;7750,5;17608,8;35603,6;71319,0;123549,3;154453,3;171198,8;199522,3;230499,5;237689,2;256116,6;261887,8;277744,8;274755,0;283977,6;290367,1;294142,4;289074,6;;;;;;;;;;;;;;;
Число абонентских устройств мобильной связи на 1000 человек населения2), шт.;;0,0;0,1;0,2;0,6;1,5;3,3;5,1;9,3;22,3;53,2;121,5;246,7;496,0;862,6;1081,1;1199,3;1397,8;1613,8;1663,7;1790,3;1827,0;1933,3;1908,4;1937,8;1977,9;2002,6;1969,4;;;;;;;;;;;;;;;
1) По данным Минкомсвязи России.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) Данные за 2014 г. без учета сведений по Республике Крым и г.Севастополю.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
