СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2018 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Налоги на продукты ;141,1;3592,0;26028,6;71923,4;184071,2;269095,0;320255,8;338824,5;613854,6;980880,4;1268911,4;1415153,0;1775123,2;2352124,6;3248224,8;4090102,5;4977558,7;6323848,4;5202132,9;6462567,9;8413321,9;9411798,2;9510857,9;10550847,8;8738499,6;8817205,9;9264512,5;11404173,9
Субсидии на продукты (-)1);90,0;3257,3;10471,2;24025,1;75174,4;89479,0;105661,1;92461,2;118494,4;147432,9;171422,1;165911,6;186639,7;183700,7;156125,1;150244,8;214516,7;229697,6;226238,1;194104,2;214912,3;244148,3;246412,7;258701,8;271647,2;278288,2;318752,7;327900,9
Использование;2844,8;48591,6;373338,4;1233905,3;3246420,0;4417435,9;5069837,4;5465974,2;10060912,0;15141463,9;19186204,8;22885944,1;28015493,2;35432909,9;44760977,1;55817144,1;69677385,3;86806795,3;81046669,9;98112692,6;121169557,2;136046694,1;147349551,1;159488588,5;171576438,1;180084497,3;194348050,7;218184828,2
Промежуточное потребление;1264,7;20412,9;149528,9;481494,6;1447995,2;1970916,8;2199612,0;2190717,4;3975329,3;6080012,9;8076694,7;9409204,9;11653339,2;14631855,5;18502936,2;23246522,8;29267661,3;36418959,6;34285124,2;42014537,4;48876259,9;54095939,3;59296035,2;64078569,0;71328710,2;76381248,1;83173749,9;92734724,0
Расходы на конечное потребление;855,4;9183,6;106755,4;422052,7;1016594,3;1435869,8;1776137,6;2003790,1;3285678,1;4476850,9;5886860,6;7484115,5;9058687,6;11477849,6;14438149,2;17809740,7;21968579,5;27543511,4;29269625,1;32514673,2;40692217,7;46895780,1;52274283,6;56418220,9;58240533,5;61389774,1;65165442,1;69332988,5
Валовое накопление;507,2;6582,1;46316,9;155971,4;363362,0;475256,4;514801,3;393482,2;715319,5;1365733,8;1963110,4;2169313,7;2755048,5;3558951,4;4338730,5;5698727,3;8034098,2;10526116,1;7344756,5;10472630,0;14735887,4;16730202,4;16915862,1;17883660,1;18603397,9;20242855,7;22189209,6;23611223,6
Экспорт товаров и услуг;185,6;11847,5;65524,7;169534,3;418468,5;523463,1;579286,5;821043,4;2084585,1;3218866,3;3299561,7;3813694,6;4655880,3;5860396,9;7607256,5;9079332,7;10028762,1;12923553,7;10842026,2;13529310,9;16865192,2;18324772,3;18863370,2;21425934,6;23854056,5;22137648,3;23994306,3;31932556,0
Статистическое расхождение;31,9;565,5;5212,5;4852,3;0,0;11929,8;0,0;56941,1;0,0;0,0;-40022,6;9615,4;-107462,4;-96143,5;-126095,3;-17179,4;378284,2;-605345,5;-694862,1;-418458,9;0,0;0,0;0,0;-317796,1;-450260,0;-67028,9;-174657,2;573336,1
"Счет производства (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ресурсы;2663,2;39418,4;321038,4;1092239,8;2876517,3;3978741,9;4542126,0;4820340,4;8798562,8;13385659,2;17020277,1;20239740,0;24861573,0;31659046,4;40112701,7;50163724,2;62515174,5;77695808,7;73092342,8;88323078,6;109158800,3;122259822,4;132429930,3;143137053,0;154423014,8;162395452,4;175275097,7;196610524,4
Выпуск в основных ценах;2612,1;39083,7;305481,0;1044341,5;2767620,5;3799125,9;4327531,3;4573977,1;8303202,6;12552211,7;15922787,8;18990498,6;23273089,5;29490622,6;37020602,0;46223866,5;57752132,5;71601657,9;68116448,0;82054614,9;100960390,7;113092172,5;123165485,1;132844907,0;145956162,4;153856534,7;166329337,9;185534251,4
Налоги на продукты;141,1;3592,0;26028,6;71923,4;184071,2;269095,0;320255,8;338824,5;613854,6;980880,4;1268911,4;1415153,0;1775123,2;2352124,6;3248224,8;4090102,5;4977558,7;6323848,4;5202132,9;6462567,9;8413321,9;9411798,2;9510857,9;10550847,8;8738499,6;8817205,9;9264512,5;11404173,9
Субсидии на продукты (-);90,0;3257,3;10471,2;24025,1;75174,4;89479,0;105661,1;92461,2;118494,4;147432,9;171422,1;165911,6;186639,7;183700,7;156125,1;150244,8;214516,7;229697,6;226238,1;194104,2;214912,3;244148,3;246412,7;258701,8;271647,2;278288,2;318752,7;327900,9
Использование;2663,2;39418,4;321038,4;1092239,8;2876517,3;3978741,9;4542126,0;4820340,4;8798562,8;13385659,2;17020277,1;20239740,0;24861573,0;31659046,4;40112701,7;50163724,2;62515174,5;77695808,7;73092342,8;88323078,6;109158800,3;122259822,4;132429930,3;143137053,0;154423014,8;162395452,4;175275097,7;196610524,4
Промежуточное потребление;1264,7;20412,9;149528,9;481494,6;1447995,2;1970916,8;2199612,0;2190717,4;3975329,3;6080012,9;8076694,7;9409204,9;11653339,2;14631855,5;18502936,2;23246522,8;29267661,3;36418959,6;34285124,2;42014537,4;48876259,9;54095939,3;59296035,2;64078569,0;71328710,2;76381248,1;83173749,9;92734724,0
Валовой внутренний продукт в рыночных ценах;1398,5;19005,5;171509,5;610745,2;1428522,1;2007825,1;2342514,0;2629623,0;4823233,5;7305646,3;8943582,4;10830535,1;13208233,8;17027190,9;21609765,5;26917201,4;33247513,2;41276849,2;38807218,6;46308541,2;60282540,4;68163883,1;73133895,1;79058484,0;83094304,6;86014204,3;92101347,8;103875800,4
"Счет образования доходов  (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ресурсы;1398,5;19005,5;171509,5;610745,2;1428522,1;2007825,1;2342514,0;2629623,0;4823233,5;7305646,3;8943582,4;10830535,1;13208233,8;17027190,9;21609765,5;26917201,4;33247513,2;41276849,2;38807218,6;46308541,2;60282540,4;68163883,1;73133895,1;79058484,0;83094304,6;86014204,3;92101347,8;103875800,4
Валовой внутренний продукт в рыночных ценах;1398,5;19005,5;171509,5;610745,2;1428522,1;2007825,1;2342514,0;2629623,0;4823233,5;7305646,3;8943582,4;10830535,1;13208233,8;17027190,9;21609765,5;26917201,4;33247513,2;41276849,2;38807218,6;46308541,2;60282540,4;68163883,1;73133895,1;79058484,0;83094304,6;86014204,3;92101347,8;103875800,4
Использование;1398,5;19005,5;171509,5;610745,2;1428522,1;2007825,1;2342514,0;2629623,0;4823233,5;7305646,3;8943582,4;10830535,1;13208233,8;17027190,9;21609765,5;26917201,4;33247513,2;41276849,2;38807218,6;46308541,2;60282540,5;68163883,1;73133895,1;79058484,0;83094304,6;86014204,3;92101347,8;103875800,4
Оплата труда наемных работников;610,9;6979,4;76346,2;300997,6;647875,8;1022643,3;1202900,5;1263046,9;1933606,1;2937229,9;3848398,5;5065100,6;6231387,9;7845036,7;9474266,7;11985905,6;15526114,7;19559761,0;20411614,4;22995636,0;26386675,4;30201161,5;33792282,2;37430458,0;39745493,0;41245363,8;43884319,8;48244368,2
в том числе оплата труда и смешанные доходы, не наблюдаемые прямыми статистическими методами -  всего ;;;9100,0;52000,0;110000,0;220000,0;270000,0;270000,0;525000,0;810000,0;993500,0;1249000,0;1496400,0;1995100,0;2551000,0;3450000,0;4450000,0;5200000,0;5790000,0;6632000,0;6466513,0;7706849,0;8839093,0;10555077,0;11199588,4;11192278,7;11923443,1;13062566,5
Налоги на производство и импорт;152,0;3892,9;28672,8;85044,1;252401,3;378712,0;469958,6;517923,0;883308,1;1404111,5;1585833,1;2028443,0;2318223,0;3079045,6;4410767,1;5542275,3;6564455,7;8498539,1;6808387,9;8494621,8;9106986,3;10204505,8;10411927,8;11497946,7;9787221,1;9942260,5;10508160,8;12769698,8
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
налоги на продукты ;141,1;3592,0;26028,6;71923,4;184071,2;269095,0;320255,8;338824,5;613854,6;980880,4;1268911,4;1415153,0;1775123,2;2352124,6;3248224,8;4090102,5;4977558,7;6323848,4;5202132,9;6462567,9;8413321,9;9411798,2;9510857,9;10550847,8;8738499,6;8817205,9;9264512,5;11404173,9
другие налоги на производство;10,9;300,9;2644,2;13120,7;68330,1;109617,0;149702,8;179098,5;269453,5;423231,1;316921,7;613290,0;543099,8;726921,0;1162542,3;1452172,8;1586897,0;2174690,7;1606255,0;2032053,9;693664,4;792707,6;901069,9;947098,9;1048721,5;1125054,6;1243648,3;1365524,9
Субсидии на производство и импорт           (-);90,0;3257,3;10471,2;26640,9;82547,0;92897,2;113688,8;98035,3;125192,6;155627,5;183250,6;181199,2;205705,4;203595,1;162407,7;155563,8;230138,8;280117,0;333869,4;275454,3;359982,9;373817,0;349608,3;493706,9;516204,9;523413,9;522587,5;544797,6
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
субсидии на продукты ;90,0;3257,3;10471,2;24025,1;75174,4;89479,0;105661,1;92461,2;118494,4;147432,9;171422,1;165911,6;186639,7;183700,7;156125,1;150244,8;214516,7;229697,6;226238,1;194104,2;214912,3;244148,3;246412,7;258701,8;271647,2;278288,2;318752,7;327900,9
другие субсидии на производство;;;;2615,8;7372,6;3418,2;8027,7;5574,1;6698,2;8194,6;11828,5;15287,6;19065,7;19894,4;6282,6;5319,0;15622,1;50419,4;107631,3;81350,1;145070,6;129668,7;103195,6;235005,1;244557,7;245125,7;203834,8;216896,7
Валовая прибыль экономики и валовые смешанные доходы;725,6;11390,5;76961,7;251344,4;610792,0;699367,0;783343,7;946688,4;2131511,9;3119932,4;3692601,4;3918190,6;4864328,3;6306703,7;7887139,4;9544584,3;11387081,6;13498666,1;11921085,8;15093737,7;25148861,7;28132032,8;29279293,4;30623786,2;34077795,4;35349993,9;38231454,7;43406531,0
"Счет распределения первичных доходов (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ресурсы;1398,5;19679,1;173772,0;616708,4;1445305,2;2026641,0;2364236,9;2658220,2;4910508,4;7433342,2;9126673,1;10991181,3;13520752,2;17329843,6;22017851,4;27560158,8;34204936,6;42354172,6;39475844,3;47073765,9;61142048,6;69158828,5;73919260,5;80300305,9;84857843,7;88354652,0;94449730,0;106756084,1
Валовая прибыль экономики и валовые смешанные доходы;725,6;11390,5;76961,7;251344,4;610792,0;699367,0;783343,7;946688,4;2131511,9;3119932,4;3692601,4;3918190,6;4864328,3;6306703,7;7887139,4;9544584,3;11387081,6;13498666,1;11921085,8;15093737,8;25148861,7;28132032,8;29279293,4;30623786,2;34077795,4;35349993,9;38231454,7;43406531,0
Оплата труда наемных работников;610,9;6979,4;76346,2;300749,1;646489,7;1020585,2;1200924,4;1262279,3;1939045,4;2944729,8;3852184,6;5071283,1;6227103,0;7837582,4;9439827,8;11873211,0;15340209,0;19204696,2;20131506,2;22736866,9;26107115,2;29832569,5;33371754,6;37049324,8;39438178,4;41125144,9;43751475,2;48053052,0
в том числе сальдо заработной платы, полученной за границей и выплаченной в России нерезидентам;;;;-248,5;-1386,1;-2058,1;-1976,1;-767,6;5439,3;7499,9;3786,1;6182,5;-4284,9;-7454,3;-34438,9;-112694,6;-185905,7;-355064,8;-280108,2;-258769,0;-279560,2;-368592,0;-420527,6;-381133,2;-307314,6;-120218,9;-132844,6;-191316,2
Налоги на производство и импорт ;152,0;3892,9;28672,8;85044,1;252401,3;378712,0;469958,6;517923,0;883308,1;1404111,5;1585833,1;2028443,0;2318223,0;3079045,6;4410767,1;5542275,3;6564455,7;8498539,1;6808387,9;8494621,8;9106986,2;10204505,8;10411927,8;11497946,8;9787221,1;9942260,5;10508160,8;12769698,8
Субсидии на производство и импорт                 (-);90,0;3257,3;10471,2;26640,9;82547,0;92897,2;113688,8;98035,3;125192,6;155627,5;183250,6;181199,2;205705,4;203595,1;162407,7;155563,8;230138,8;280117,0;333869,4;275454,3;359982,9;373817,0;349608,3;493706,9;516204,9;523413,9;522587,5;544797,6
"Доходы от собственности, полученные от ""остального мира""";;673,6;2262,5;6211,7;18169,2;20874,0;23699,0;29364,8;81835,6;120196,0;179304,6;154463,8;316803,3;310107,0;442524,8;755652,0;1143329,1;1432388,3;948733,9;1023993,7;1139068,4;1363537,4;1205893,0;1622955,0;2070853,7;2460666,6;2481226,8;3071599,9
Использование;1398,5;19679,1;173772,0;616708,4;1445305,2;2026641,0;2364236,9;2658220,2;4910508,4;7433342,2;9126673,1;10991181,3;13520752,2;17329843,6;22017851,4;27560158,8;34204936,6;42354172,6;39475844,3;47073765,9;61142048,6;69158828,5;73919260,5;80300305,9;84857843,7;88354652,0;94449730,0;106756084,1
"Доходы от собственности, переданные ""остальному миру""";;1057,6;4905,0;11322,5;32587,7;47717,0;72191,3;143790,8;278550,3;316788,8;306734,2;367331,9;713955,5;670883,3;947091,0;1439441,8;1740978,8;2287726,4;1929722,1;2243073,0;2628320,2;3100457,7;3331895,6;3815331,9;3933121,8;4676138,0;4797296,7;5488729,5
Валовой национальный доход;1398,5;18621,5;168867,0;605385,9;1412717,5;1978924,0;2292045,6;2514429,4;4631958,1;7116553,4;8819938,9;10623849,4;12806796,7;16658960,3;21070760,4;26120717,0;32463957,8;40066446,2;37546122,2;44830692,9;58513728,4;66058370,8;70587364,9;76484974,0;80924721,9;83678514,0;89652433,3;101267354,6
"Счет вторичного распределения доходов (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ресурсы ;1398,5;19209,0;170588,9;606339,1;1416789,1;1982951,5;2294417,6;2517593,5;4661755,3;7139265,6;8841679,2;10676628,4;12884087,8;16763703,5;21197883,2;26294288,7;32678914,2;40336972,5;37828074,0;45133138,0;58918106,5;66569848,9;71139577,9;77156550,6;81528270,0;84251926,4;90268064,4;102001389,6
Валовой национальный  доход;1398,5;18621,5;168867,0;605385,9;1412717,5;1978924,0;2292045,6;2514429,4;4631958,1;7116553,4;8819938,9;10623849,4;12806796,7;16658960,3;21070760,4;26120717,0;32463957,8;40066446,2;37546122,2;44830692,9;58513728,4;66058370,8;70587364,9;76484974,0;80924721,9;83678514,0;89652433,3;101267354,6
"Текущие трансферты, полученные от ""остального мира""";;587,5;1721,9;953,2;4071,6;4027,5;2372,0;3164,1;29797,2;22712,2;21740,3;52779,0;77291,1;104743,2;127122,8;173571,7;214956,4;270526,3;281951,8;302445,1;404378,1;511478,1;552213,0;671576,6;603548,1;573412,4;615631,1;734035,0
Использование;1398,5;19209,0;170588,9;606339,1;1416789,1;1982951,5;2294417,6;2517593,5;4661755,3;7139265,6;8841679,2;10676628,4;12884087,8;16763703,5;21197883,2;26294288,7;32678914,2;40336972,5;37828074,0;45133138,0;58918106,5;66569848,9;71139577,9;77156550,6;81528270,0;84251926,4;90268064,4;102001389,6
"Текущие трансферты, переданные ""остальному миру""";;1,4;436,7;1143,9;3386,0;3594,7;4445,4;5710,5;14361,0;20786,9;45666,4;63957,4;89285,6;124408,8;156730,1;214561,1;303347,8;341275,0;370912,9;412357,0;566635,3;703803,0;850381,3;986460,0;954780,1;990384,5;1140312,5;1317584,0
Валовой располагаемый доход;1398,5;19207,6;170152,2;605195,2;1413403,1;1979356,8;2289972,2;2511883,0;4647394,3;7118478,7;8796012,8;10612671,0;12794802,2;16639294,7;21041153,1;26079727,6;32375566,4;39995697,5;37457161,1;44720781,0;58351471,2;65866045,9;70289196,6;76170090,6;80573489,9;83261541,9;89127751,9;100683805,6
"Счет использования располагаемого дохода (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ресурсы ;1398,5;19207,6;170152,2;605195,2;1413403,1;1979356,8;2289972,2;2511883,0;4647394,3;7118478,7;8796012,8;10612671,0;12794802,2;16639294,7;21041153,1;26079727,6;32375566,4;39995697,5;37457161,1;44720781,0;58351471,2;65866045,9;70289196,6;76170090,6;80573489,9;83261541,9;89127751,9;100683805,6
Валовой располагаемый доход;1398,5;19207,6;170152,2;605195,2;1413403,1;1979356,8;2289972,2;2511883,0;4647394,3;7118478,7;8796012,8;10612671,0;12794802,2;16639294,7;21041153,1;26079727,6;32375566,4;39995697,5;37457161,1;44720781,0;58351471,2;65866045,9;70289196,6;76170090,6;80573489,9;83261541,9;89127751,9;100683805,6
Использование;1398,5;19207,6;170152,2;605195,2;1413403,1;1979356,8;2289972,2;2511883,0;4647394,3;7118478,7;8796012,8;10612671,0;12794802,2;16639294,7;21041153,1;26079727,6;32375566,4;39995697,5;37457161,1;44720781,0;58351471,2;65866045,9;70289196,6;76170090,6;80573489,9;83261541,9;89127751,9;100683805,6
Расходы на конечное потребление;855,4;9183,6;106755,4;422052,7;1016594,3;1435869,8;1776137,6;2003790,1;3285678,1;4476850,9;5886860,6;7484115,5;9058687,6;11477849,6;14438149,2;17809740,7;21968579,5;27543511,4;29269625,1;32514673,2;40692217,7;46895780,1;52274283,6;56418220,9;58240533,5;61389774,1;65165442,1;69332988,5
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
домашних хозяйств;565,6;6208,2;68019,6;267112,6;719793,5;1007827,0;1235213,7;1462284,0;2526167,9;3295237,3;4318121,1;5409157,7;6537401,5;8438484,1;10652857,8;12974743,4;16031739,8;19966954,7;20985936,1;23617623,3;29939463,5;34492361,7;38465140,8;41954831,1;43242320,3;45317053,8;48135665,4;50851055,8
государственного управления;230,9;2633,7;29758,2;136682,2;272501,5;391381,3;493573,5;492620,6;703209,1;1102497,1;1469957,6;1942441,8;2366368,7;2889814,5;3645918,5;4680409,7;5750964,1;7359844,2;8066692,6;8671323,7;10527421,8;12155971,7;13551946,1;14173198,5;14684126,2;15728490,9;16649198,2;18049306,7
некоммерческих организаций, обслуживающих домашние хозяйства;58,9;341,7;8977,6;18257,9;24299,3;36661,5;47350,4;48885,5;56301,1;79116,5;98781,9;132516,0;154917,4;149551,0;139372,9;154587,6;185875,6;216712,5;216996,4;225726,2;225332,4;247446,7;257196,7;290191,3;314087,0;344229,4;380578,5;432626,0
Валовое сбережение;543,1;10024,0;63396,8;183142,5;396808,8;543487,0;513834,6;508092,9;1361716,2;2641627,8;2909152,2;3128555,5;3736114,6;5161445,1;6603003,9;8269986,9;10406986,9;12452186,1;8187536,0;12206107,8;17659253,5;18970265,8;18014913,0;19751869,7;22332956,4;21871767,8;23962309,8;31350817,1
"Счет операций с капиталом (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Изменение в обязательствах и чистой стоимости капитала;543,1;10024,0;64212,9;185233,1;393045,8;540887,0;509254,5;502764,1;1350845,6;2941724,2;2635402,9;2736667,9;3706130,4;5115775,5;6238002,2;8272404,2;10145310,0;12459546,5;7810735,4;12201635,6;17655062,8;18824487,2;18006712,6;17900125,7;22317565,2;21820663,4;23953563,5;31284328,0
Валовое сбережение;543,1;10024,0;63396,8;183142,5;396808,8;543487,0;513834,6;508092,9;1361716,2;2641627,8;2909152,2;3128555,5;3736114,6;5161445,1;6603003,9;8269986,9;10406986,9;12452186,1;8187536,0;12206107,8;17659253,5;18970265,8;18014913,0;19751869,7;22332956,4;21871767,8;23962309,8;31350817,1
"Капитальные трансферты, полученные от ""остального мира""";;;816,1;9717,9;6368,9;9429,9;6919,4;8844,8;11911,3;318705,9;58174,3;230447,0;14827,7;20448,6;12256,3;19982,9;22262,3;25424,5;35000,4;19977,5;4878,8;11237,0;12378,9;16942,4;18501,4;65467,8;28698,6;13617,9
"Капитальные трансферты, переданные ""остальному миру"" (-)";;;;7627,3;10131,9;12029,9;11499,5;14173,6;22781,9;18609,5;331923,6;622334,6;44811,9;66118,2;377258,0;17565,6;283939,2;18064,1;411801,0;24449,7;9069,5;157015,6;20579,3;1868686,4;33892,6;116572,2;37444,9;80107,0
Изменение в активах;543,1;10024,0;64212,9;185233,1;393045,8;540887,0;509254,5;502764,1;1350845,6;2941724,2;2635402,9;2736667,9;3706130,4;5115775,5;6238002,2;8272404,2;10145310,0;12459546,5;7810735,4;12201635,6;17655062,8;18824487,2;18006712,6;17900125,7;22317565,2;21820663,4;23953563,5;31284328,0
Валовое накопление основного капитала2);325,4;4550,7;34964,9;133208,7;301117,4;401613,9;428522,1;424656,5;693958,5;1232043,1;1689315,0;1939314,4;2432252,0;3130523,6;3836895,9;4980573,3;6980359,1;9200768,9;8535671,5;10014340,1;12952976,5;14689247,0;15925615,2;17115121,0;17325846,7;18910543,3;20571118,7;22237431,5
Изменение запасов материальных оборотных средств;181,8;2031,4;11352,0;22762,7;62244,6;73642,5;86279,2;-31174,3;21361,0;133690,7;273795,4;229999,3;322796,5;428427,8;501834,6;718154,0;1053739,1;1325347,2;-1190915,0;458289,9;1782910,9;2040955,4;990246,9;768539,1;1277551,2;1332312,4;1618090,9;1373792,1
Приобретение за вычетом выбытия непроизведенных нефинансовых активов;;;;;;;;;;;;;;;;;;5773,8;7232,4;-;-1195,2;12549,9;4606,3;10304,9;2841,4;934,4;2270,5;4316,8
Чистое кредитование (+), чистое заимствование (-) и статистическое расхождение;35,9;3441,9;17896,0;29261,7;29683,8;65630,6;-5546,8;109281,9;635526,1;1575990,4;672292,5;567354,2;951081,9;1556824,1;1899271,7;2573676,9;2111211,8;1927656,6;458746,5;1729005,6;2920370,6;2081734,9;1086244,2;6160,7;3711325,9;1576873,3;1762083,4;7668787,6
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Выпуск товаров и услуг по видам экономической деятельности (в текущих ценах; миллионов рублей)";;;;;;;;;;;;18990498,6;23273089,5;29490622,6;37020602,0;46223866,5;57752132,5;71601657,9;68116448,0;82054614,9;100960390,7;113092172,5;123165485,1;132844907,0;145956162,4;153856534,7;;
Сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;;;1128100,8;1283388,3;1485181,3;1611613,2;1856108,4;2253721,9;2819575,5;2892506,0;3023199,4;3769460,4;3941217,5;4261559,7;4709852,5;5620121,9;6013977,1;;
Рыболовство, рыбоводство;;;;;;;;;;;;65554,9;107512,3;110807,7;122084,8;133058,5;141114,3;151476,9;179548,5;188455,1;204357,6;227380,4;242914,3;273931,7;364588,0;397879,1;;
Добыча полезных ископаемых;;;;;;;;;;;;1347497,7;1609675,5;2304007,7;3200085,4;3641572,7;4239161,9;4972892,2;4748097,1;5982248,1;7361122,5;8352856,1;8967958,6;9559568,5;10978716,2;11433581,6;;
Обрабатывающие производства;;;;;;;;;;;;4974605,6;6300015,7;8225397,5;10610913,8;13122939,6;16531565,9;20190378,6;16869216,9;21067729,9;25097057,5;27866721,4;29881736,9;32703709,0;36772740,8;38613269,7;;
Производство и распределение электроэнергии, газа и воды;;;;;;;;;;;;939362,2;1186506,5;1464504,1;1735050,5;2185171,9;2621553,3;3109919,8;3727420,9;4536888,3;5876157,6;5980597,3;6633036,2;6991782,4;7268270,4;7907782,1;;
Строительство;;;;;;;;;;;;1058965,4;1461122,7;1786292,1;2178962,2;2850835,6;3937478,9;5317770,5;4906338,7;5791323,3;7820197,6;8844773,5;8992161,1;9353861,8;9965568,9;10662666,4;;
"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования";;;;;;;;;;;;3122894,4;3602366,0;4673283,9;5655446,8;7389723,5;9140468,7;11196780,8;9822719,8;12983306,5;14200405,3;15689041,2;16854139,3;18521207,6;20197632,5;19731445,0;;
Гостиницы и рестораны;;;;;;;;;;;;150474,2;174308,3;247748,3;316023,9;412841,1;548352,2;708383,1;697027,8;847367,2;940517,6;1107945,4;1181290,1;1294510,1;1438316,1;1496202,7;;
Транспорт и связь;;;;;;;;;;;;1857036,8;2221812,8;2789997,6;3447664,8;4312877,0;5098160,3;6425452,4;6410431,8;7286092,4;8399684,8;9606226,5;10657878,9;11357366,4;12903807,8;13939918,1;;
Финансовая деятельность;;;;;;;;;;;;410896,4;548838,1;692201,8;976222,0;1334423,2;1736934,4;2203766,2;2373143,3;2489258,3;2845300,2;3514991,1;4086568,8;4355908,5;3945333,3;4782680,7;;
