Астраханская область;1305;2114;2174;2135;2320;2700;2828;2965;3159;3125;2982;2574;2241
Волгоградская область;1191;1929;1987;1750;1738;1701;2046;2418;2111;1971;1908;1731;1538
Ростовская область;1325;1859;1752;1379;1559;1555;1844;1993;2148;2027;1631;1386;1319
Северо-Кавказский федеральный округ;838;1055;1080;909;910;910;1028;1030;1022;901;895;798;764
Республика Дагестан;689;637;608;553;469;426;511;608;533;436;437;403;429
Республика Ингушетия;…;445;386;354;335;336;391;464;517;558;560;466;458
Кабардино-Балкарская;1032;871;1004;835;812;875;1065;1139;1258;1025;1029;1084;964
Карачаево-Черкесская;…;1350;1364;1188;1236;1236;1394;1227;1207;1145;1006;916;832
Республика Северная Осетия - Алания;1166;1072;1116;1005;962;812;968;1117;1192;1147;1190;987;931
Чеченская Республика;…;457;666;577;647;498;595;540;481;378;380;363;330
Ставропольский край;1398;1756;1754;1423;1498;1620;1752;1652;1670;1510;1508;1299;1246
Приволжский;1113;1847;1920;1565;1773;1953;2654;2974;2627;2306;2126;1850;1643
Республика Башкортостан;702;1169;1441;1335;1446;1513;2182;2309;2198;1921;1857;1776;1683
Республика Марий Эл;1191;2497;2382;1748;1965;2379;3077;3148;3248;3120;2539;1782;1562
Республика Мордовия;1124;1687;1592;1317;1512;1499;1965;1843;1661;1252;1124;1019;937
Республика Татарстан;1235;1854;1883;1525;1559;1685;2450;2794;2158;2153;1869;1552;1458
Удмуртская Республика;1134;1893;1927;1555;2109;2374;3494;4232;3453;2936;2543;2149;1841
Чувашская Республика;934;1730;1755;1305;1616;1808;2643;2728;2188;1882;1723;1454;1441
Пермский край;1407;2971;3087;2595;3118;3511;4531;5004;4369;3661;3324;2780;2218
Кировская область;1011;1923;2065;1455;1876;2205;2741;2569;2108;1902;1735;1599;1521
Нижегородская область;1472;2075;2066;1521;1785;2116;2838;3198;3142;2613;2690;2431;1987
Оренбургская область;947;1874;2043;1681;1730;1749;2425;2697;2417;2083;1951;1692;1530
Пензенская область;749;1062;1176;805;1156;1445;1887;2460;2014;1590;1456;1223;1084
Самарская область;1111;1856;1915;1775;1878;1890;2549;3241;3030;2790;2473;2106;1942
Саратовская область;1249;1714;1688;1357;1443;1640;2072;2180;1915;1766;1657;1516;1302
Ульяновская область;970;1696;1684;1333;1398;1491;2099;2537;2099;1709;1613;1368;1288
Уральский;1434;2574;2593;2074;2403;2689;3405;3611;3218;2765;2582;2368;2077
Курганская область;1626;4015;3316;2526;2877;3144;3936;3887;3597;3040;2703;2561;2392
Свердловская область;1490;2558;2673;2015;2401;2718;3536;3688;3289;2823;2637;2241;1798
Тюменская область;1675;2476;2619;2363;2747;2950;3725;3960;3419;2798;2608;2423;2205
Ханты-Мансийский;…;2379;2604;2390;2741;2936;3611;3777;3195;2584;2470;2243;2011
Ямало-Ненецкий автономный;…;1723;1707;1517;1661;1906;2615;2571;2261;2030;1920;1836;1770
Челябинская область;1099;2264;2262;1757;1957;2285;2797;3113;2837;2589;2457;2422;2216
Сибирский;1462;2423;2468;2090;2292;2372;2914;3163;3072;2867;2677;2376;2176
Республика Алтай;…;2591;2325;1842;2347;2320;2690;3168;3125;3007;2956;2483;2372
Республика Бурятия;1673;3118;3213;2478;2317;2606;3131;3633;3713;3474;3127;2731;2485
Республика Тыва;3178;2498;2905;2452;2958;2991;3394;3334;2567;2406;2155;1948;1799
Республика Хакасия;…;2431;2233;1996;2858;2903;3596;3857;3302;2792;2724;2204;2029
Алтайский край;1216;2143;2093;2057;2434;2315;2995;3224;2877;2508;2225;1981;1863
Забайкальский край;1476;2711;2911;2382;2498;2387;2932;3096;2963;2807;2751;2618;2764
Красноярский край;1738;2397;2415;1883;2103;2260;2860;3428;3221;2975;2791;2508;2226
Иркутская область;1724;2856;2885;2693;2664;2766;3413;3689;3869;3574;3301;2707;2411
Кемеровская область;1316;1908;2005;1611;1589;1629;1853;2018;2180;2472;2543;2375;2444
Новосибирская область;1582;2506;2597;2135;2480;2645;3349;3603;3586;3165;2880;2490;2112
Омская область;1155;2365;2395;1959;2217;2274;2720;2613;2434;2165;1946;1685;1511
Томская область;1624;2402;2449;2038;2423;2713;3133;3281;3089;3042;2768;2786;2166
Дальневосточный;1685;2570;2602;2255;2379;2378;2947;3714;3445;3041;2648;2279;2061
Республика Саха (Якутия);1438;1577;1660;1482;1527;1632;1991;2528;2410;2164;1956;1793;1578
Камчатский край;1600;2302;2339;1972;2338;2390;2912;3584;2521;1928;1882;1689;1662
Приморский край;1979;2689;2571;2146;2361;2336;3066;4128;3865;3322;2856;2599;2338
Хабаровский край;2064;3111;3269;2975;3114;3092;3763;4701;4464;4085;3261;2401;2048
Амурская область;1295;2338;2372;1864;1978;1978;2639;3104;2888;2561;2377;2223;2193
Магаданская область;2040;3206;3368;2620;2230;2303;2706;3522;2922;2655;2580;2254;2071
Сахалинская область;1602;2600;2718;2621;2530;2487;2777;3115;2975;2709;2588;2176;2021
Еврейская автономная область;…;3198;3318;3044;3244;3149;3036;3444;3226;2682;2589;2272;2121
Чукотский автономный округ;…;1872;1762;1544;1431;1403;1633;2068;1954;1785;1729;1613;1437
