Population (Millions of people);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Afghanistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;21,229;22,203;23,116;24,019;24,861;25,631;26,617;27,294;28,004;28,803;29,709;30,697;31,732;32,758;33,736;34,656;35,53;36,02
Azerbaijan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;7,459;7,487;7,597;7,644;7,726;7,8;7,877;7,953;8,033;8,114;8,191;8,269;8,349;8,447;8,553;8,666;8,78;8,922;8,998;9,111;9,235;9,357;9,477;9,593;9,706;9,822;9,94
Bahamas, The;0,211;0,215;0,22;0,226;0,231;0,234;0,238;0,242;0,247;0,251;0,255;0,259;0,264;0,269;0,273;0,279;0,284;0,288;0,293;0,298;0,303;0,307;0,312;0,316;0,321;0,325;0,329;0,333;0,337;0,341;0,345;0,348;0,352;0,356;0,36;0,364;0,368;0,372;0,377
Bahrain;0,353;0,367;0,38;0,393;0,406;0,42;0,435;0,45;0,467;0,484;0,488;0,508;0,516;0,53;0,544;0,559;0,574;0,589;0,605;0,621;0,638;0,661;0,711;0,765;0,824;0,889;0,96;1,039;1,107;1,178;1,235;1,195;1,209;1,253;1,315;1,37;1,424;1,452;1,481
Bangladesh;82,498;84,764;87,061;89,4;91,804;94,288;96,852;99,477;102,133;104,779;107,386;109,935;112,431;114,898;117,369;119,87;122,401;124,945;127,479;129,967;132,383;134,73;137,006;139,186;141,235;143,135;144,869;146,457;147,97;149,503;151,125;152,862;154,695;156,595;158,217;159,857;161,513;163,187;164,877
Barbados;0,252;0,253;0,254;0,255;0,255;0,256;0,257;0,258;0,259;0,259;0,26;0,261;0,262;0,263;0,264;0,265;0,266;0,267;0,268;0,269;0,27;0,271;0,271;0,272;0,273;0,274;0,275;0,276;0,277;0,278;0,28;0,281;0,282;0,283;0,283;0,284;0,285;0,286;0,286
Belarus;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;10,19;10,195;10,217;10,24;10,228;10,177;10,142;10,093;10,045;10,019;9,99;9,957;9,9;9,831;9,763;9,697;9,63;9,579;9,542;9,514;9,5;9,481;9,465;9,464;9,468;9,481;9,498;9,505;9,492
Belgium;9,855;9,863;9,855;9,858;9,853;9,858;9,859;9,865;9,876;9,928;9,948;9,987;10,022;10,068;10,101;10,131;10,143;10,17;10,192;10,214;10,239;10,263;10,31;10,356;10,396;10,446;10,511;10,585;10,667;10,753;10,84;11,001;11,076;11,138;11,181;11,237;11,311;11,352;11,399
Belize;0,15;0,15;0,153;0,157;0,162;0,166;0,171;0,176;0,179;0,184;0,189;0,194;0,199;0,205;0,211;0,217;0,222;0,23;0,239;0,243;0,25;0,257;0,265;0,274;0,283;0,292;0,301;0,312;0,322;0,323;0,324;0,332;0,341;0,35;0,357;0,366;0,376;0,386;0,396
Benin;3,636;3,763;3,878;4,004;4,13;4,267;4,404;4,54;4,687;4,826;4,978;5,149;5,332;5,522;5,714;5,906;6,094;6,282;6,47;6,664;6,866;7,077;7,295;7,521;7,75;7,982;8,217;8,455;8,697;8,945;9,199;9,461;9,729;10,004;10,287;10,576;10,872;11,176;11,491
Bhutan;0,413;0,424;0,435;0,445;0,456;0,469;0,484;0,501;0,517;0,53;0,536;0,535;0,528;0,519;0,512;0,509;0,513;0,521;0,534;0,549;0,564;0,581;0,598;0,616;0,634;0,65;0,666;0,679;0,692;0,705;0,717;0,729;0,742;0,754;0,766;0,779;0,791;0,804;0,817
Bolivia;5,161;5,587;5,703;5,822;5,944;6,068;6,195;6,324;6,456;6,591;6,728;6,869;7,012;7,213;7,419;7,567;7,717;7,871;8,026;8,183;8,34;8,496;8,653;8,81;8,968;9,125;9,283;9,441;9,6;9,759;9,918;10,078;10,239;10,574;10,732;10,896;11,046;11,215;11,382
Bosnia and Herzegovina;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;3,78;3,752;3,75;3,759;3,767;3,771;3,776;3,779;3,781;3,782;3,779;3,774;3,764;3,747;3,722;3,689;3,648;3,605;3,566;3,536;3,517;3,507;3,504
Botswana;0,98;0,998;1,035;1,073;1,113;1,154;1,197;1,241;1,286;1,333;1,382;1,424;1,465;1,506;1,546;1,586;1,624;1,661;1,696;1,728;1,758;1,784;1,808;1,83;1,852;1,876;1,901;1,928;1,955;1,982;2,007;2,051;2,089;2,129;2,169;2,209;2,25;2,292;2,335
Brazil;118,563;121,213;123,885;126,573;129,273;131,978;134,653;137,268;139,819;142,307;146,593;149,094;151,547;153,986;156,431;158,875;163,538;166,104;168,693;171,256;173,766;176,209;178,499;180,708;182,865;184,991;187,062;189,038;191,01;192,981;194,891;196,604;198,315;200,004;201,718;203,476;205,157;206,805;208,495
Brunei Darussalam;no data;no data;no data;no data;no data;0,222;0,226;0,234;0,241;0,246;0,253;0,26;0,267;0,274;0,281;0,287;0,295;0,302;0,31;0,317;0,325;0,333;0,344;0,35;0,36;0,359;0,365;0,37;0,375;0,38;0,387;0,393;0,399;0,403;0,408;0,412;0,417;0,43;0,442
Bulgaria;8,808;8,834;8,859;8,881;8,897;8,903;8,901;8,889;8,865;8,826;8,771;8,697;8,607;8,507;8,407;8,312;8,225;8,162;8,105;8,067;8,15;7,891;7,846;7,801;7,761;7,719;7,679;7,64;7,607;7,564;7,505;7,327;7,285;7,246;7,202;7,154;7,102;7,05;7
Burkina Faso;6,823;6,985;7,158;7,341;7,531;7,728;7,931;8,14;8,356;8,58;8,811;9,05;9,297;9,552;9,817;10,09;10,373;10,666;10,969;11,283;11,608;11,945;12,293;12,655;13,031;13,422;13,829;14,252;14,69;15,141;15,605;16,082;16,571;17,073;17,586;18,111;18,646;19,193;19,752
Burundi;4,09;4,21;4,334;4,461;4,591;4,726;4,864;5,007;5,154;5,305;5,46;5,62;5,78;5,77;5,87;5,98;6,09;6,19;6,3;6,489;6,684;6,884;7,091;7,26;7,478;7,512;7,737;7,969;8,232;8,504;8,776;9,048;9,329;9,618;9,907;10,204;10,53;10,867;11,193
Cabo Verde;0,289;0,294;0,299;0,305;0,312;0,318;0,325;0,332;0,339;0,346;0,354;0,363;0,371;0,38;0,379;0,389;0,399;0,408;0,417;0,426;0,435;0,444;0,452;0,46;0,468;0,475;0,481;0,486;0,492;0,497;0,502;0,508;0,514;0,52;0,526;0,533;0,54;0,546;0,553
Cambodia;6,718;6,775;6,945;7,196;7,475;7,743;7,99;8,228;8,467;8,724;9,009;9,324;9,659;10,007;10,43;10,769;11,091;11,396;11,685;11,96;12,223;12,473;12,709;12,934;13,149;13,356;13,555;13,747;13,941;14,144;14,365;14,605;14,78;15,026;15,27;15,521;15,77;16,01;16,25
Cameroon;8,823;9,079;9,335;9,59;9,848;10,111;10,389;10,686;10,999;11,332;11,685;12,045;12,412;12,787;13,168;13,537;13,916;14,305;14,706;15,117;15,541;15,976;16,423;16,883;17,356;17,842;18,341;18,855;19,383;19,926;20,424;20,934;21,458;21,994;22,544;23,108;23,685;24,277;24,884
Canada;24,471;24,785;25,083;25,336;25,577;25,813;26,067;26,398;26,751;27,215;27,632;27,987;28,324;28,651;28,96;29,263;29,57;29,868;30,124;30,367;30,647;30,971;31,309;31,603;31,901;32,204;32,529;32,849;33,199;33,581;33,958;34,298;34,665;35,034;35,392;35,678;36,052;36,489;36,994
Central African Republic;2,279;2,348;2,407;2,467;2,526;2,595;2,684;2,741;2,795;2,852;2,913;2,98;3,051;3,125;3,201;3,276;3,35;3,425;3,498;3,57;3,638;3,704;3,767;3,83;3,894;3,961;4,032;4,107;4,185;4,266;4,35;4,435;4,522;4,611;4,701;4,794;4,888;4,983;5,081
Chad;4,412;4,522;4,636;4,751;4,87;4,992;5,117;5,245;5,376;5,51;5,648;5,784;5,922;6,064;6,21;6,596;6,761;6,932;7,108;7,29;7,478;7,665;7,857;8,6;8,815;9,035;9,261;9,493;9,73;9,973;10,223;10,478;10,74;11,009;11,284;11,566;11,855;12,185;12,49
Chile;11,174;11,36;11,545;11,731;11,917;12,102;12,317;12,533;12,748;12,963;13,179;13,422;13,737;13,957;14,172;14,381;14,585;14,783;14,975;15,162;15,343;15,52;15,692;15,857;16,022;16,183;16,348;16,518;16,698;16,881;17,064;17,254;17,443;17,612;17,788;17,971;18,167;18,419;18,751
China, People's Republic of;987,05;1000,72;1016,54;1030,08;1043,57;1058,51;1075,07;1093;1110,26;1127,04;1143,33;1158,23;1171,71;1185,17;1198,5;1211,21;1223,89;1236,26;1247,61;1257,86;1267,43;1276,27;1284,53;1292,27;1299,88;1307,56;1314,48;1321,29;1328,02;1334,5;1340,91;1347,35;1354,04;1360,72;1367,82;1374,62;1382,71;1390,08;1395,38
Colombia;28,447;29,08;29,718;30,36;31,004;30,794;31,433;32,092;32,764;33,443;34,125;34,834;35,53;36,208;36,863;37,49;38,1;38,6;39,2;39,7;40,296;40,814;41,329;41,849;42,368;42,889;43,406;43,927;44,451;44,979;45,51;46,045;46,582;47,121;47,662;48,203;48,748;49,292;49,834
Comoros;0,353;0,362;0,371;0,379;0,383;0,395;0,408;0,421;0,435;0,449;0,462;0,447;0,457;0,466;0,476;0,486;0,497;0,507;0,518;0,529;0,54;0,552;0,564;0,576;0,59;0,604;0,62;0,636;0,652;0,669;0,687;0,705;0,724;0,744;0,764;0,785;0,806;0,828;0,851
Congo, Dem. Rep. of the;26,314;27,182;28,079;29,006;29,963;30,952;31,973;33,028;34,118;35,244;36,407;37,608;38,85;40,132;41,456;42,824;43,91;44,838;45,734;46,649;48,049;49,449;52,602;56,09;59,835;63,845;65,939;68,087;70,291;72,553;74,877;77,267;79,585;81,972;84,432;86,964;89,573;92,261;95,028
Congo, Republic of ;1,589;1,638;1,689;1,741;1,794;1,85;1,907;1,966;2,026;2,154;2,22;2,288;2,345;2,404;2,464;2,525;2,588;2,653;2,719;2,787;2,857;2,929;3,002;3,077;3,154;3,233;3,313;3,396;3,481;3,568;3,657;3,749;3,843;3,939;4,037;4,138;4,241;4,347;4,456
Costa Rica;2,302;2,372;2,443;2,514;2,588;2,666;2,746;2,824;2,901;2,977;3,051;3,122;3,191;3,275;3,373;3,47;3,565;3,657;3,747;3,838;3,81;3,953;4,022;4,086;4,152;4,215;4,279;4,34;4,404;4,469;4,554;4,613;4,673;4,733;4,793;4,851;4,909;4,966;5,022
Croatia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;4,517;4,81;4,73;4,624;4,524;4,453;4,494;4,572;4,501;4,554;4,381;4,305;4,305;4,306;4,439;4,442;4,44;4,436;4,434;4,429;4,418;4,281;4,268;4,256;4,238;4,204;4,174;4,125;4,089
Cyprus;0,509;0,515;0,521;0,528;0,535;0,541;0,548;0,554;0,559;0,568;0,579;0,595;0,611;0,626;0,639;0,645;0,656;0,666;0,675;0,683;0,69;0,698;0,706;0,714;0,723;0,733;0,744;0,758;0,776;0,797;0,819;0,84;0,862;0,866;0,858;0,847;0,848;0,855;0,864
Czech Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;10,333;10,321;10,309;10,299;10,29;10,278;10,232;10,201;10,193;10,195;10,199;10,224;10,254;10,343;10,426;10,462;10,487;10,505;10,516;10,512;10,538;10,554;10,579;10,61
C?te d'Ivoire;7,993;8,175;8,492;8,924;9,173;9,528;9,902;10,286;10,382;10,804;11,246;11,697;12,157;13,358;13,758;14,158;14,56;14,938;15,326;15,725;16,134;16,553;16,984;17,425;17,878;18,343;18,82;19,309;19,811;20,327;20,855;21,397;21,954;22,524;23,11;23,711;24,327;24,96;25,609
Denmark;5,122;5,124;5,119;5,116;5,112;5,111;5,116;5,125;5,129;5,13;5,135;5,146;5,162;5,181;5,197;5,216;5,251;5,275;5,295;5,314;5,33;5,349;5,368;5,384;5,398;5,411;5,427;5,447;5,476;5,511;5,535;5,561;5,581;5,603;5,627;5,66;5,707;5,749;5,781
Djibouti;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,484;0,498;0,512;0,526;0,541;0,556;0,571;0,587;0,604;0,621;0,638;0,656;0,674;0,693;0,713;0,733;0,753;0,774;0,796;0,818;0,841;0,865;0,889;0,914;0,939;0,966;0,993;1,02;1,049
Dominica;no data;0,074;0,074;0,073;0,073;0,073;0,072;0,072;0,072;0,072;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071
Dominican Republic;5,652;5,781;5,916;6,056;6,202;6,353;6,509;6,669;6,828;6,979;7,118;7,242;7,375;7,511;7,642;7,771;7,897;8,023;8,152;8,276;8,398;8,513;8,628;8,745;8,858;8,968;9,071;9,174;9,28;9,38;9,479;9,58;9,681;9,785;9,883;9,98;10,075;10,169;10,266
Ecuador;8,03;8,261;8,495;8,733;8,971;9,211;9,451;9,691;9,944;10,189;10,43;10,671;10,912;11,15;11,38;11,598;11,798;11,987;12,168;12,347;12,531;12,815;13,094;13,32;13,552;13,721;13,965;14,215;14,473;14,738;15,012;15,266;15,521;15,775;16,027;16,279;16,529;16,777;17,023
Egypt;40,554;41,706;42,846;44,015;45,237;46,545;47,751;48,8;49,8;50,9;51,36;52,423;53,508;54,615;55,746;56,9;58,2;59,4;60,7;62;63,771;65,182;66,531;67,908;69,313;70,748;72,212;73,644;75,229;76,925;78,728;80,5;82,4;84,7;86,7;89;90,2;94,8;96,98
El Salvador;4,711;4,765;4,802;4,831;4,861;4,9;4,95;5,01;5,08;5,16;5,25;5,33;5,4;5,47;5,54;5,61;5,67;5,73;5,78;5,83;5,87;5,91;5,94;5,97;6;6,03;6,074;6,097;6,121;6,153;6,193;6,239;6,29;6,344;6,401;6,46;6,521;6,582;6,643
Equatorial Guinea;0,255;0,27;0,291;0,314;0,338;0,359;0,376;0,39;0,402;0,414;0,427;0,441;0,455;0,471;0,487;0,505;0,524;0,545;0,567;0,59;0,614;0,64;0,666;0,695;0,725;0,757;0,792;0,829;0,868;0,909;0,951;0,994;1,039;1,084;1,129;1,175;1,221;1,268;1,314
Eritrea;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;3,427;3,422;3,426;3,453;3,507;3,583;3,683;3,802;3,867;3,988;4,109;4,231;4,354;4,477;4,6;4,724;4,848;4,972;5,095;5,218;5,34;5,461;5,581;5,7;5,817;5,933;6,047
Estonia;no data;no data;no data;no data;no data;no data;no data;no data;no data;1,553;1,558;1,555;1,543;1,499;1,465;1,437;1,416;1,4;1,386;1,39;1,397;1,388;1,379;1,371;1,363;1,355;1,347;1,341;1,337;1,335;1,331;1,327;1,323;1,318;1,315;1,315;1,316;1,317;1,319
Eswatini;0,557;0,574;0,59;0,608;0,628;0,652;0,679;0,709;0,74;0,77;0,797;0,819;0,838;0,855;0,872;0,89;0,909;0,93;0,939;0,947;0,956;0,965;0,974;0,983;0,992;1,001;1,01;1,018;1,026;1,033;1,041;1,048;1,056;1,063;1,071;1,078;1,086;1,093;1,104
Ethiopia;34,32;35,148;36,151;37,294;38,52;39,786;41,084;42,424;43,815;45,273;46,807;48,42;50,096;51,812;53,531;55,23;56,898;58,544;60,179;61,826;63,5;65,405;67,22;71,342;73,197;75,1;77,053;79,056;80,321;81,606;82,912;84,238;85,586;86,955;88,347;89,76;91,196;92,656;94,138
Fiji;0,634;0,649;0,666;0,683;0,698;0,709;0,715;0,718;0,719;0,733;0,739;0,745;0,751;0,757;0,763;0,769;0,775;0,781;0,786;0,792;0,798;0,803;0,809;0,815;0,82;0,826;0,832;0,837;0,841;0,845;0,849;0,853;0,858;0,862;0,866;0,869;0,877;0,885;0,89
Finland;4,771;4,788;4,812;4,842;4,87;4,894;4,911;4,926;4,939;4,954;4,974;4,998;5,029;5,055;5,078;5,099;5,117;5,132;5,147;5,16;5,171;5,181;5,195;5,206;5,22;5,237;5,256;5,277;5,3;5,326;5,351;5,375;5,401;5,427;5,451;5,472;5,487;5,503;5,513
France;53,731;54,029;54,335;54,65;54,895;55,157;55,411;55,682;55,966;56,27;56,577;56,841;57,111;57,369;57,565;57,753;57,936;58,116;58,299;58,497;58,858;59,267;59,686;60,102;60,505;60,963;61,4;61,795;62,135;62,466;62,765;63,07;63,376;63,698;64,028;64,301;64,469;64,618;64,725
Gabon;0,748;0,765;0,781;0,799;0,816;0,834;0,852;0,871;0,89;0,91;0,93;0,96;0,99;1,014;1,039;1,065;1,092;1,119;1,147;1,176;1,205;1,235;1,266;1,298;1,33;1,364;1,398;1,44;1,494;1,551;1,61;1,671;1,735;1,803;1,868;1,93;1,98;2,025;2,053
Gambia, The;0,601;0,638;0,662;0,688;0,716;0,746;0,776;0,808;0,841;0,875;0,911;0,948;0,987;1,045;1,081;1,115;1,148;1,201;1,238;1,277;1,318;1,36;1,404;1,45;1,497;1,544;1,591;1,64;1,689;1,74;1,793;1,848;1,905;1,964;2,024;2,086;2,149;2,214;2,28
Georgia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;5,453;5,467;5,346;4,93;4,742;4,573;4,41;4,29;4,198;4,117;4,038;3,991;3,966;3,938;3,917;3,888;3,873;3,848;3,829;3,8;3,774;3,739;3,718;3,717;3,722;3,729;3,726;3,73
Germany;76,843;76,988;76,933;76,664;76,355;76,166;76,219;76,233;76,697;77,463;78,949;79,973;80,5;80,947;81,148;81,308;81,467;81,51;81,446;81,423;81,457;81,518;81,579;81,549;81,457;81,337;81,174;80,993;80,764;80,483;80,285;80,276;80,427;80,647;80,983;81,687;82,349;82,657;82,903
Ghana;10,704;10,961;11,226;11,501;12,296;12,572;12,859;13,155;13,462;13,779;14,106;14,443;14,791;15,15;15,52;15,902;16,297;16,703;17,121;17,55;18,912;19,397;19,883;20,371;20,859;21,367;21,876;22,388;22,901;23,417;24,659;25,261;25,867;26,479;27,092;27,707;28,324;28,94;29,555
Greece;9,584;9,701;9,758;9,821;9,872;9,92;9,949;9,985;10,016;10,058;10,121;10,273;10,367;10,431;10,49;10,536;10,588;10,629;10,693;10,748;10,776;10,836;10,888;10,916;10,94;10,97;11,005;11,036;11,061;11,095;11,119;11,123;11,086;11,004;10,927;10,858;10,784;10,768;10,741
Grenada;0,089;0,091;0,093;0,096;0,098;0,1;0,1;0,099;0,098;0,097;0,096;0,096;0,097;0,098;0,099;0,1;0,101;0,101;0,101;0,101;0,102;0,102;0,102;0,102;0,103;0,103;0,103;0,104;0,104;0,104;0,105;0,105;0,105;0,106;0,106;0,107;0,107;0,108;0,108
Guatemala;7,211;7,394;7,582;7,776;7,975;8,18;8,39;8,604;8,822;9,042;9,264;9,483;9,709;9,939;10,172;10,408;10,647;10,888;11,134;11,387;11,651;11,925;12,209;12,5;12,797;13,096;13,397;13,7;14,006;14,316;14,63;14,949;15,271;15,596;15,924;16,252;16,582;16,919;17,263
Guinea;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;6,02;6,352;6,734;7,136;7,514;7,837;8,095;8,296;8,457;8,601;8,746;8,895;9,046;9,205;9,38;9,576;9,799;10,047;10,315;10,593;10,876;11,162;11,451;11,745;12,044;12,345;12,654;12,97;13,294
Guinea-Bissau;0,782;0,798;0,815;0,832;0,85;0,867;0,886;0,903;0,921;0,94;0,959;0,98;1,003;1,025;1,048;1,072;1,095;1,119;1,144;1,169;1,194;1,219;1,246;1,272;1,299;1,328;1,356;1,386;1,417;1,449;1,46;1,492;1,525;1,559;1,593;1,628;1,664;1,7;1,738
Guyana;0,764;0,765;0,765;0,763;0,759;0,754;0,748;0,742;0,735;0,726;0,72;0,718;0,718;0,72;0,723;0,727;0,73;0,734;0,737;0,74;0,742;0,743;0,743;0,743;0,742;0,742;0,744;0,746;0,748;0,751;0,753;0,756;0,758;0,761;0,764;0,767;0,773;0,778;0,782
Haiti;5,935;6,042;6,15;6,261;6,374;6,489;6,606;6,725;6,805;6,943;7,086;7,218;7,359;7,511;7,673;7,82;7,966;8,112;8,258;8,404;8,549;8,693;8,835;8,977;9,119;9,263;9,409;9,557;9,705;9,853;10;10,145;10,289;10,431;10,572;10,711;10,848;10,983;11,117
Honduras;3,673;3,79;3,908;4,029;4,154;4,283;4,411;4,544;4,68;4,816;4,955;5,1;5,248;5,399;5,553;5,709;5,868;6,029;6,192;6,357;6,524;6,693;6,863;7,034;7,204;7,373;7,541;7,708;7,873;8,035;8,195;8,352;8,506;8,658;8,809;8,961;9,115;9,272;9,432
Hong Kong SAR;5,096;5,217;5,297;5,388;5,469;5,539;5,605;5,637;5,712;5,767;5,793;5,856;5,929;6,04;6,162;6,314;6,467;6,517;6,583;6,638;6,712;6,73;6,726;6,764;6,798;6,838;6,904;6,938;6,964;6,996;7,052;7,11;7,171;7,211;7,253;7,31;7,377;7,413;7,486
Hungary;10,71;10,706;10,695;10,672;10,641;10,599;10,56;10,509;10,464;10,422;10,375;10,373;10,374;10,365;10,35;10,337;10,321;10,301;10,28;10,253;10,222;10,2;10,175;10,142;10,117;10,098;10,077;10,066;10,045;10,031;10,014;9,986;9,932;9,909;9,877;9,856;9,83;9,798;9,778
Iceland;0,227;0,229;0,232;0,236;0,238;0,241;0,242;0,244;0,248;0,252;0,254;0,256;0,26;0,262;0,265;0,267;0,268;0,27;0,272;0,276;0,279;0,283;0,287;0,288;0,291;0,294;0,3;0,308;0,315;0,319;0,318;0,318;0,32;0,322;0,326;0,329;0,333;0,338;0,348
India;685,5;700;715,5;731;747;763;779,5;796,5;813,5;830,5;847,5;864;882;901;919;937;955;973,5;992;1010;1029,5;1047,134;1064,593;1081,907;1099,118;1116,257;1133,328;1150,316;1167,212;1184;1200,664;1217,197;1233,588;1249,817;1266,259;1282,918;1299,796;1316,896;1334,221
Indonesia;147,49;150,406;153,379;156,41;159,502;162,655;165,87;169,149;172,492;175,902;179,379;182,354;185,378;188,452;191,578;194,755;197,004;199,28;201,581;203,909;206,265;209,206;212,19;215,216;218,285;221,398;224,555;227,758;231,006;234,3;237,641;241,991;245,425;248,818;252,165;255,588;258,497;261,356;264,162
Iran;39,291;40,826;42,42;44,077;45,798;47,587;49,445;50,662;51,909;53,187;54,496;55,837;56,656;57,488;58,331;59,187;60,055;61,07;62,103;63,152;64,219;65,301;66,3;67,315;68,345;69,39;70,496;71,366;72,266;73,196;74,157;75,15;76,038;76,942;78,47;79,476;80,46;81,423;82,36
Iraq;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;25,96;26,674;27,377;28,064;28,741;29,43;30,163;30,962;31,76;32,578;33,417;35;35,213;36,169;37,14;38,124
Ireland;3,427;3,47;3,506;3,531;3,556;3,567;3,567;3,573;3,558;3,536;3,532;3,552;3,582;3,601;3,613;3,629;3,654;3,692;3,731;3,773;3,828;3,889;3,956;4,021;4,1;4,2;4,321;4,445;4,516;4,547;4,568;4,585;4,605;4,631;4,667;4,714;4,771;4,826;4,886
Israel;3,92;3,948;4,018;4,104;4,157;4,231;4,296;4,366;4,439;4,516;4,658;4,946;5,124;5,259;5,395;5,542;5,682;5,824;5,967;6,117;6,286;6,436;6,567;6,687;6,806;6,927;7,052;7,176;7,307;7,482;7,621;7,763;7,907;8,056;8,212;8,377;8,543;8,71;8,881
Italy;56,388;56,479;56,524;56,563;56,565;56,588;56,598;56,594;56,609;56,649;56,694;56,744;56,773;56,821;56,842;56,844;56,844;56,876;56,904;56,909;56,924;56,961;56,999;57,2;57,625;58,065;58,316;58,54;59,034;59,449;59,707;59,952;60,168;60,51;60,783;60,796;60,666;60,589;60,484
Jamaica;2,112;2,15;2,186;2,23;2,235;2,269;2,29;2,306;2,32;2,324;2,365;2,381;2,399;2,419;2,44;2,462;2,485;2,509;2,534;2,559;2,582;2,605;2,627;2,647;2,666;2,682;2,696;2,708;2,719;2,73;2,741;2,755;2,769;2,784;2,799;2,814;2,829;2,844;2,86
Japan;116,769;117,623;118,451;119,271;120,05;120,8;121,446;122,031;122,548;123,028;123,438;123,928;124,367;124,77;125,116;125,436;125,711;126,011;126,349;126,587;126,831;127,132;127,4;127,634;127,734;127,752;127,746;127,757;127,692;127,551;127,594;127,831;127,552;127,333;127,12;126,978;126,96;126,746;126,495
