GDP per capita, current prices (Purchasing power parity, international dollars per capita);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Azerbaijan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;4675,83;3667,117;2965,02;2616,816;2702,927;2965,555;3148,051;3523,129;3788,353;4081,115;4494,286;4997,588;5553,389;7242,269;9909,138;12599,848;14021,246;15205,099;15984,189;15861,326;16299,844;17327,215;17910,751;18066,218;17488,805;17633,927;18022,631
Bahamas, The;11913,72;12426,002;13704,772;14870,416;15432,308;16358,835;16831,853;17588,171;18239,057;19063,319;19653,601;19143,211;18508,485;18680,349;19343,501;20195,904;21071,688;22120,798;23041,921;24642,146;25823,635;26682,612;27436,887;27206,73;27802,005;29249,626;30518,47;31412,339;30914,63;29510,218;29978,707;30452,451;31641,202;30900,825;31354,369;31518,139;31633,348;31894,414;32816,553
Bahrain;17636,426;19079,409;20801,151;22365,081;23355,192;23074,897;22847,261;22329,54;23642,636;23955,157;25500,07;25886,68;27900,123;29934,881;30736,508;31153,742;31903,85;32351,931;33410,614;34983,351;37279,296;37644,52;36782,089;37012,94;37739,298;38506,7;39088,759;40169,191;40863,827;39645,121;39943,002;42962,579;44895,249;46457,745;47071,205;46932,227;47224,719;48964,93;50048,506
Bangladesh;499,655;562,059;599,673;634,829;667,264;695,332;718,072;737,412;761,32;804,337;851,66;896,203;939,308;981,604;1025,744;1074,32;1125,08;1180,644;1229,232;1289,41;1366,638;1438,621;1506,72;1597,925;1715,915;1855,899;2018,611;2184,009;2325,265;2442,218;2591,539;2785,466;2980,852;3177,276;3405,127;3638,284;3900,285;4231,271;4630,291
Barbados;6013,344;6434,596;6477,916;6747,278;7223,262;7512,172;8028,765;8412,582;8982,14;9635,647;9632,375;9536,786;9166,258;9425,963;9785,334;10156,332;10712,763;11371,167;11884,539;12051,717;12825,66;12757,045;13023,241;13514,269;14030,397;14990,639;16258,674;16994,428;17372,288;16547,548;16293,093;16460,772;16642,711;16641,071;16875,302;17417,004;17985,412;18365,035;18655,473
Belarus;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;5461,462;5575,686;5144,193;4854,921;4383,569;3999,347;4200,063;4784,1;5271,434;5541,227;6008,815;6452,082;6924,429;7602,78;8761,993;9955,159;11360,372;12741,795;14376,364;14552,359;15886,259;17152,522;17810,141;18305,533;18944,154;18383,108;18071,81;18864,474;19940,726
Belgium;10852,809;11836,487;12653,877;13185,869;14005,721;14680,36;15247,06;15975,079;17300,358;18505,138;19759,849;20720,98;21442,427;21639,304;22741,578;23701,86;24490,217;25767,853;26515,206;27798,008;29379,156;30195,282;31078,977;31759,191;33667,779;35275,72;37021,741;39055,801;39817,548;38902,595;40112,113;41077,273;41678,395;42257,774;43412,849;44403,75;45218,147;46701,153;48327,204
Belize;1371,325;1501,281;1446,726;1551,158;1741,674;1723,311;1832,96;2232,704;2512,381;2937,75;3294,262;3698,047;4132,312;4363,832;4337,299;4344,066;4375,472;4448,493;4500,146;4872,728;5478,211;5708,325;5913,574;6380,851;6641,069;6803,352;7098,993;7128,87;7255,265;7342,558;7661,671;7784,074;7960,437;7960,373;8237,107;8388,531;8210,271;8268,309;8503,859
Benin;1015,446;1094,98;1146,951;1131,244;1140,821;1188,516;1207,105;1174,85;1218,483;1194,871;1309,448;1364,088;1387,327;1451,373;1461,378;1530,952;1576,041;1644,592;1678,574;1725,335;1812,331;1892,746;1951,658;1994,789;2075,898;2113,887;2199,099;2326,016;2418,117;2424;2434,797;2488,575;2585,012;2741,94;2888,735;2889,465;2934,652;3073,721;3267,363
Bhutan;475,069;575,356;644,256;702,457;764,342;800,003;853,717;1016,11;1173,103;1262,852;1413,305;1535,506;1624,469;1745,803;1847,801;2011,883;2154,127;2277,253;2381,827;2516,752;2678,247;2843,942;3073,892;3316,627;3532,515;3784,778;4071,325;4616,15;5114,018;5347,414;5815,314;6406,6;6827,44;7080,758;7378,279;7791,86;8317,098;8860,899;9343,63
Bolivia;2096,53;2126,172;2124,279;2074,931;2101,62;2088,155;2032,928;2090,882;2182,047;2305,42;2451,402;2613,231;2661,243;2761,674;2870,256;3007,595;3133,814;3280,573;3416,887;3414,466;3511,051;3581,109;3660,558;3761,35;3953,22;4183,041;4439,531;4687,037;4988,278;5110,462;5296,82;5598,567;5904,187;6212,4;6574,625;6861,006;7129,411;7454,34;7842,232
Bosnia and Herzegovina;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2991,932;3766,898;4337,753;4862,217;5181,236;5413,364;5769,969;6098,324;6650,765;7147,931;7787,615;8487,248;9161,548;9197,719;9437,947;9810,166;10038,31;10579,832;11018,72;11573,155;12134,675;12783,853;13583,246
Botswana;1837,665;2136,079;2534,488;2814,053;2994,95;3209,03;3429,426;3894,61;4800,811;5038,627;5481,881;5846,528;5798,861;6006,702;5927,832;6317,364;6648,481;7143,948;7126,074;7778,32;7973,002;8046,849;8556,882;9009,179;9388,658;9995,74;11011,464;12074,373;12895,071;11837,073;12836,171;13596,157;14211,34;15804,531;16455,194;16043,655;16598,883;17085,613;17947,746
Brazil;4899,586;5015,073;5241,125;5149,478;5501,111;5997,969;6449,618;6716,674;6844,713;7212,359;6960,74;7148,431;7153,068;7560,406;8044,951;8429,521;8354,32;8651,458;8644,248;8678,242;9127,373;9325,375;9636,835;9806,207;10524,349;11069,84;11724,696;12636,264;13398,624;13346,942;14378,916;15131,437;15583,335;16195,657;16437,918;15880,886;15386,678;15715,758;16146,092
Brunei Darussalam;no data;no data;no data;no data;no data;54738,588;53233,924;52965,071;52915,369;55084,813;56147,886;58246,334;60839,896;61030,102;62557,981;65289,286;66727,984;65281,123;63991,627;65335,358;67030,382;68679,861;70076,803;72315,911;72541,542;75342,461;79713,225;80734,808;79600,505;77691,836;79283,671;82567,707;83785,041;82491,75;81047,237;80609,906;78512,228;78742,004;78350,306
Bulgaria;4497,023;5168,072;5701,471;6087,234;6585,398;6911,011;7426,134;7978,135;8480,347;8807,325;8358,152;7777,009;7360,119;6736,507;6707,349;6815,126;6448,948;6502,089;6943,423;7042,182;7483,427;8195,748;8870,668;9555,504;10498,379;11660,065;12904,723;14297,345;15521,565;15164,452;15666,149;16694,86;17120,054;17600,372;18365,717;19331,02;20448,499;21786,614;23169,339
Burkina Faso;349,149;383,233;402,631;403,094;413,598;462,808;496,652;494,673;527,779;545,67;547,913;601,501;600,257;618,753;623,049;654,261;719,456;756,732;798,475;845,21;855,739;906,026;933,193;995,48;1037,242;1128,334;1195,767;1243,546;1301,296;1309,808;1394,252;1472,716;1550,634;1620,218;1671,344;1703,69;1771,277;1863,958;1981,957
Burundi;340,445;406,083;414,484;434,001;437,538;490,203;501,624;526,876;556,59;569,528;593,872;630,961;633,799;609,407;588,389;542,978;499,491;501,962;522,45;520,547;525,886;530,454;535,461;545,841;564,705;604,974;637,889;657,9;680,836;689,432;710,469;731,872;755,653;790,124;816,422;769,21;745,23;735,732;732,796
Cabo Verde;800,245;935,508;1002,863;1118,451;1177,481;1292,144;1328,084;1390,452;1494,215;1606,212;1640,527;1680,032;1728,746;1854,075;2031,589;2172,447;2303,211;2463,824;2641,96;2934,946;3153,544;3353,923;3520,394;3787,417;4015,402;4317,313;4790,679;5310,53;5711,807;5622,323;5708,99;5991,785;6101,782;6184,948;6261,697;6312,932;6596,177;6882,1;7320,466
Cambodia;no data;no data;no data;no data;no data;no data;no data;525,259;579,258;603,713;613,252;659,098;696,695;716,236;759,271;795,681;833,169;857,875;885,657;989,303;1084,47;1179,046;1252,717;1360,426;1516,306;1743,256;1960,312;2187,528;2346,322;2332,181;2461,635;2646,492;2860,242;3073,379;3300,249;3511,513;3731,505;4006,806;4348,413
Cameroon;1231,947;1533,83;1703,826;1841,331;1996,621;2168,92;2299,425;2241,688;2077,31;2058,128;1943,099;1875,431;1804,671;1736,732;1679,481;1723,11;1790,71;1866,139;1925,61;1977,401;2036,417;2112,823;2176,256;2254,774;2405,143;2461,255;2551,965;2674,11;2744,386;2749,134;2806,199;2910,356;3025,309;3165,609;3330,644;3468,789;3578,17;3682,868;3830,105
Canada;11786,114;13184,047;13391,108;14134,977;15364,434;16449,238;16972,902;17874,436;19065,507;19926,954;20393,698;20382,01;20783,967;21592,999;22799,736;23656,971;24226,107;25442,38;26504,272;28048,185;29884,284;30760,908;31843,481;32711,044;34305,36;36163,548;37857,215;39294,255;40034,725;38713,59;39926,148;41625,95;42715,71;44009,215;45642,564;46064,134;46568,617;48273,073;49690,168
Central African Republic;443,248;531,917;531,217;506,301;563,053;586,507;620,004;622,242;642,483;679,262;699,284;701,089;665,855;657,443;738,072;759,594;709,711;735,249;752,237;769,429;744,121;766,435;781,508;765,44;772,388;805,861;854,36;896,053;919,836;934,787;970,442;1012,415;1063,128;674,863;674,673;697,59;724,088;756,292;788,839
Chad;434,409;413,828;451,679;529,626;563,493;611,922;645,352;668,712;726,366;750,809;784,243;874,127;893,979;875,175;920,87;878,3;891,012;933,995;985,154;967,775;956,049;1064,311;1144,343;1221,595;1635,47;1782,019;1802,781;1865,147;1911,87;1957,243;2194,427;2188,243;2367,449;2485,445;2639,937;2648,412;2465,488;2385,701;2442,485
Chile;3440,898;3935,059;3552,424;3531,343;3813,769;3950,305;4180,963;4487,867;4900,541;5539,195;5860,133;6407,496;7116,011;7651,874;8086,238;8855,103;9502,074;10243,945;10672,34;10643,1;11326,462;11821,24;12244,417;12846,752;13996,635;15109,217;16383,519;17468,396;18244,823;17894,451;18952,231;20305,761;21562,17;22610,481;23204,883;23741,907;24131,33;24553,747;25700,477
China, People's Republic of;309,588;351,295;400,244;454,78;535,795;618,513;676,537;761,679;863,224;920,83;978,295;1091,22;1259,911;1452,355;1657,561;1857,406;2057,132;2262,26;2443,731;2648,145;2915,891;3206,446;3532,252;3934,574;4424,634;5051,12;5835,108;6810,616;7574,536;8309,275;9249,603;10290,469;11260,48;12291,126;13362,736;14362,083;15397,396;16658,556;18116,045
Colombia;2761,686;3024,435;3172,15;3277,495;3436,621;3680,383;3892,384;4116,577;4343,979;4573,543;4849,127;5027,579;5260,803;5586,352;5892,824;6223,52;6364,159;6609,242;6618,834;6351,124;6584,16;6754,629;6945,662;7260,494;7757,38;8273,734;8993,598;9750,657;10143,069;10222,163;10664,975;11553,558;12093,717;12720,693;13414,702;13798,411;14073,167;14371,577;14935,683
Comoros;963,379;1085,051;1170,358;1225,022;1309,084;1346,41;1359,766;1379,466;1453,962;1450,904;1571,568;1575,216;1693,133;1739,708;1670,087;1763,545;1749,158;1818,896;1801,262;1837,893;1821,999;1922,382;2000,326;2034,3;2102,379;2236,67;2206,349;2226,644;2300,122;2331,548;2384,672;2469,497;2528,788;2617,593;2650,384;2636,932;2660,99;2716,999;2789,537
Congo, Dem. Rep. of the;786,387;841,159;860,671;878,014;923,298;926,352;957,994;975,712;982,394;975,844;915,653;838,988;743,792;637,817;591,88;601,145;585,459;537,509;512,251;490,087;446,871;434,42;427,069;430,708;442,556;453,916;476,898;503,942;528,618;530,778;557,278;589,225;624,355;669,121;724,316;759,683;763,074;782,931;823,93
Congo, Republic of ;1973,22;2149,969;2267,821;2340,762;2408,488;2467,115;2498,614;2541,541;3111,55;3689,972;3750,416;3852,757;3944,868;3901,239;3673,821;3805,207;3942,57;3888,291;3979,532;3836,831;4116,85;4260,605;4415,917;4423,902;4586,286;4971,625;5308,78;5234,287;5496,031;5826,742;6251,983;6438,221;6646,788;6814,326;7234,493;7318,312;7009,658;6844,007;6948,527
Costa Rica;3561,317;3697,503;3534,007;3670,27;3991,584;4025,941;4207,724;4392,851;4579,124;4899,771;5139,139;5309,422;5800,544;6196,271;6421,131;6634,781;6657,911;6969,95;7357,03;7574,287;8098,425;8254,657;8512,62;8898,157;9383,75;9899,346;10775,028;11798,005;12404,646;12197,206;12709,845;13361,785;14087,299;14473,499;15069,923;15590,114;16225,144;16895,71;17565,529
Croatia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;8122,326;7824,358;8649,791;9568,083;10221,095;10899,133;11404,125;11327,191;12489;13436,647;14366,295;15446,092;15989,071;17153,051;18540,717;20062,848;20878,95;19526,155;19511,214;20486,285;20461,052;20776,053;21231,779;22145,497;23332,492;24757,027;26256,333
Cyprus;6166,616;6869,539;7665,626;8280,502;9211,739;9838,207;10274,295;11157,725;12382,124;13707,34;14959,18;15173,568;16536,297;16632,677;17618,265;19576,728;19847,833;20413,137;21615,355;22765,437;24390,294;25648,214;26717,936;27607,969;29398,484;31344,018;33317,462;35297,188;36411,392;35020,31;34927,834;34922,853;33675,471;32135,289;32596,996;34018,646;35968,933;37993,714;39987,187
Czech Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;13937,98;14852,427;15036,483;15170,484;15624,466;16673,951;17614,235;18243,584;19268;20752,077;22788,661;25026,765;27057,793;28079,701;26722,174;27552,197;28560,541;28824,104;29158,298;30515,028;32390,036;33477,924;35508,965;37339,72
C?te d'Ivoire;1943,588;2152,778;2204,96;2125,934;2099,888;2160,666;2222,669;2181,693;2263,267;2326,77;2293,829;2280,889;2238,88;2082,121;2068,251;2166,334;2319,705;2431,525;2514,751;2526,635;2465,579;2458,782;2393,792;2344,147;2375,153;2428,155;2475,206;2521,017;2568,618;2604,635;2620,029;2480,349;2731,539;2960,207;3197,011;3426,847;3643,606;3896,826;4179,804
Denmark;11538,805;12542,626;13820,518;14742,046;15924,661;17089,62;18269,522;18737,777;19380,164;20267,238;21311,955;22292,512;23176,791;23643,017;25356,278;26574,431;27659,897;28921,384;29782,745;30994,054;32773,265;33646,456;34216,009;34888,307;36687,059;38617,06;41219,83;42557,454;42937,224;40876,118;41947,48;43193,97;43965,984;44977,472;46346,591;47651,253;48888,614;50570,141;52278,611
Djibouti;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;3444,394;3309,53;3311,261;3074,787;3013,353;2888,565;2754,546;2692,588;2651,746;2693,159;2697,471;2729,627;2784,527;2846,897;2922,928;3023,089;3175,933;3331,572;3495,67;3481,764;3568,505;3802,261;3952,176;4107,602;4357,054;4611,19;4845,595;5046,195;5304,905
Dominica;no data;2056,226;2281,6;2440,344;2644,022;2776,393;3043,573;3327,544;3727,573;3880,278;4258,944;4478,382;4673,043;4886,787;4992,415;5251,111;5512,836;5729,975;6012,648;6120,601;6403,277;6539,06;6459,18;7002,083;7415,204;7701,797;8310,437;9082,337;9925,321;9891,011;10080,702;10275,542;10361,755;10479,472;11141,864;10970,73;11363,882;10474,473;10786,833
Dominican Republic;2372,824;2647,855;2794,079;2967,515;3039,98;2996,789;3088,878;3401,824;3513,93;3729,813;3587,037;3679,241;4110,021;4435,464;4568,292;4847,435;5147,493;5612,092;5960,493;6309,769;6653,52;6872,406;7198,118;7135,873;7420,802;8270,212;9196,261;10030,183;10433,412;10498,666;11387,229;11862,307;12289,032;12975,249;14005,702;14985,093;15996,531;16900,462;18346,099
Ecuador;3255,482;3599,16;3760,66;3695,199;3883,222;4073,567;4175,313;3923,297;4373,565;4448,131;4643,602;4932,068;5111,286;5223,355;5449,706;5582,347;5684,696;5938,275;6108,876;5817,783;5924,379;6158,209;6373,149;6555,084;7159,423;7677,066;8113,821;8364,301;8907,447;8863,549;9113,659;9868,982;10451,503;10981,37;11425,338;11377,258;11182,44;11490,291;11759,598
Egypt;2252,474;2450,168;2717,108;2992,494;3258,696;3509,902;3656,234;3822,765;4032,989;4223,25;4444,054;4595,757;4618,968;4766,897;4969,657;5193,885;5423,123;5725,136;6092,926;6421,035;6725,835;6961,535;7148,987;7361,911;7709,952;8137,136;8775,551;9462,365;10118,941;10437,309;10848,159;11022,11;11218,815;11472,355;11747,99;12069,097;12554,826;12666,781;13357,694
El Salvador;2147,849;2191,611;2163,303;2269,018;2367,671;2438,128;2466,782;2560,306;2662,932;2750,453;2940,16;3038,718;3282,976;3510,818;3706,516;3913,961;3975,698;4127,365;4247,539;4364,214;4481,263;4588,454;4710,82;4848,77;4998,543;5288,45;5644,309;5880,748;6099,364;5985,957;6143,41;6462,89;6717,706;6928,704;7113,494;7292,477;7483,031;7727,053;8041,094
Equatorial Guinea;354,415;387,936;391,201;394,481;384,017;421,353;400,695;413,272;425,94;424,73;438,351;433,539;570,939;624,393;719,636;896,858;1343,475;3260,487;3955,34;4871,532;10067,343;15808,729;18441,694;20626,519;26468,181;28265,984;29650,013;33528,826;38452,361;37508,417;33033,315;34363,153;36315,497;33949,352;33316,932;29400,475;26063,62;24382,216;22717,509
Eritrea;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;506,947;586,704;723,63;750,026;820,871;881,707;884,609;870,79;767,133;826,881;839,681;808,548;818,629;842,029;836,03;847,929;678,633;748,015;818,556;1025,78;1040,817;927,289;1209,991;950,234;1010,222;912,089;1028,421
Estonia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;7328,403;7533,174;8013,58;8690,371;10108,235;10767,592;10847,014;12151,327;13243,277;14459,223;15941,861;17583,757;19966,107;22702,995;25193,2;24441,63;21113,875;21988,191;24191,296;25513,323;26404,209;27752,108;28556,971;29603,361;31856,154;34156,872
Eswatini;1885,121;2142,193;2242,265;2249,893;2312,506;2344,565;2723,164;2939,48;3134,922;3425,669;3773,263;3859,844;3982,294;4120,31;4227,177;4433,903;4588,184;4705,739;4836,48;5003,801;5157,398;5277,137;5544,457;5813,591;6131,107;6641,9;7189,203;7642,602;7797,999;7922,67;8259,284;8559,796;9129,192;9580,276;9777,915;10038,067;10199,895;10529,887;10931,801
Ethiopia;313,395;334,967;349,118;379,264;371,673;328,853;356,365;402,7;405,986;406,443;418,451;388,009;349,403;392,053;401,075;421,181;472,658;480,566;452,984;475,437;519,808;553,901;556,231;522,615;584,285;661,206;740,308;828,362;924,266;1008,311;1110,42;1242,961;1355,328;1491,77;1649,483;1811,012;1945,025;2148,378;2332,96
Fiji;2456,774;2782,763;2847,878;2764,512;3087,392;3017,405;3251,12;3079,595;3294,772;3823,177;4162,508;4153,557;4471,538;4659,464;4962,533;5157,966;5462,129;5383,694;5475,417;5994,619;5981,73;6185,224;6438,821;6564,974;7056,788;7132,827;7437,408;7517,367;7702,964;7616,377;7898,454;8241,879;8478,298;8993,008;9627,455;10136,318;10406,016;11079,734;11685,046
Finland;9456,724;10449,236;11379,486;12119,891;12885,82;13696,346;14303,543;15132,837;16439,613;17896,142;18616,274;18020,161;17710,086;17904,03;18920,858;20048,195;21087,356;22723,445;24155,755;25532,589;27512,071;28786,618;29654,508;30740,053;32722,535;34568,164;36924,612;39721,139;40604,467;37348,835;38732,05;40377,73;40370,109;40575,9;40880,489;41357,501;42822,293;44825,902;46595,892
France;10728,194;11803,425;12774,283;13361,832;13990,859;14597,797;15169,883;15865,883;17117,061;18460,714;19604,555;20385,05;21082,997;21350,144;22244,347;23113,913;23794,158;24693,212;25786,117;26962,028;28470,277;29467,38;30060,799;30657,417;32157,706;33457,66;35063,47;36642,442;37245,646;36258,206;37217,313;38640,044;39314,009;40030,973;40949,486;41658,753;42440,34;44114,517;45893,046
Gabon;9083,42;9339,626;10101,087;10476,208;11140,994;11898,219;11627,063;9862,803;10340,499;12137,069;12954,601;13768,702;13234,235;13749,149;14208,878;14856,931;15295,033;16050,344;16385,848;14766,711;14451,212;14717,671;14613,105;14768,427;14961,796;14933,154;14723,441;15608,189;15594,828;14793,435;15321,997;16138,115;16677,593;17232,61;17687,928;17970,428;18071,789;18089,751;18433,607
Gambia, The;1230,506;1147,793;1419,199;1609,766;1480,225;1520,576;1525,463;1543,823;1561,607;1626,599;1713,509;1738,671;1738,548;1745,747;1664,756;1703,001;1732,599;1709,923;1785,648;1868,474;1953,716;2045,649;1947,277;2053,025;2186,559;2134,304;2121,134;2178,155;2290,384;2389,548;2484,668;2261,049;2352,814;2389,248;2327,705;2374,85;2374,049;2461,246;2608,274
Georgia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;3745,118;2105,147;1558,259;1546,315;1683,862;1964,798;2290,562;2455,41;2618,494;2779,746;3035,694;3290,168;3745,784;4098,559;4655,968;5287,881;6137,118;6449,6;6291,95;6815,035;7511,627;8216,591;8692,489;9266,447;9619,681;9977,999;10663,488;11428,771
Germany;11287,48;12345,751;13014,53;13782,554;14742,989;15581,166;16267,878;16912,131;18052,646;19301,684;20771,834;22261,586;23055,329;23242,341;24246,912;25087,211;25704,519;26601,582;27465,64;28395,844;29861,13;31008,396;31412,122;31780,513;33060,641;34389,168;36855,463;39058,689;40316,43;38444,124;40619,674;43095,965;44027,556;44870,277;46520,051;47411,034;48576,506;50522,374;52385,74
Ghana;1155,563;1190,407;1134,239;1082,929;1147,215;1233,257;1307,746;1396,958;1500,562;1589,173;1666,403;1761,973;1832,12;1914,987;1975,001;2049,656;2133,856;2241,387;2320,548;2402,327;2364,104;2451,265;2541,701;2656,183;2809,469;3003,767;3202,813;3342,475;3639,399;3783,526;3923,469;4590,61;4979,274;5342,281;5472,104;5524,059;5648,07;6090,576;6491,815
Greece;9110,646;9699,38;10122,743;10338,72;10870,348;11441,064;11696,566;11672,865;12564,264;13495,987;13914,265;14611,883;14911,952;14929,275;15465,643;16050,939;16729,72;17712,798;18498,496;19243,962;20392,413;21579,814;22671,72;24369,332;26232,755;27138,52;29446,822;31139,232;31567,154;30347,143;28954,806;26850,252;25452,118;25247,678;26087,355;26409,835;26815,848;27772,074;29071,971
Grenada;2146,265;2340,419;2517,085;2620,396;2752,169;2965,037;3239,606;3648,74;3939,832;4300,507;4678,959;4897,345;4930,223;4892,591;5032,581;5206,415;5504,576;5855,814;6608,756;7162,812;7680,271;7672,467;8041,959;8942,406;9098,741;10597,202;10450,497;11352,427;11644,217;10918,624;10949,377;11220,928;11260,578;11680,135;12715,597;13616,783;14206,572;15045,358;15996,111
Guatemala;2701,878;2902,736;2899,206;2863,465;2907,433;2906,799;2894,099;2995,368;3142,164;3311,39;3457,02;3595,972;3757,844;3885,562;4013,1;4180,459;4278,3;4430,243;4582,707;4713,481;4827,586;4935,706;5086,561;5188,204;5368,504;5585,633;5928,026;6327,78;6516,913;6458,275;6576,665;6844,487;7031,421;7264,654;7549,5;7783,158;7945,585;8153,11;8442,964
Guinea;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;919,519;923,476;920,031;933,661;941,864;965,115;993,967;1037,64;1066,888;1104,78;1138,524;1185,826;1245,737;1262,544;1302,112;1354,506;1397,843;1491,123;1541,999;1489,635;1529,731;1607,17;1690,993;1743,592;1796,022;1837,96;2007,876;2196,335;2321,575
Guinea-Bissau;594,074;633,736;686,733;675,185;722,845;761,775;753,516;799,798;827,699;867,796;922,82;1000,994;1032,073;1056,661;1086,759;1128,921;1166,845;1231,068;1012,336;1138,148;1136,906;1160,4;1139,324;1140,747;1178,496;1240,225;1279,436;1327,595;1366,402;1391,529;1461,572;1578,024;1546,716;1590,116;1599,966;1678,852;1763,672;1862,417;1937,66
Guyana;1676,181;1841,356;1782,55;1644,237;1748,291;1821,421;1868,229;1929,489;1895,016;1895,15;1922,789;2113,475;2328,692;2572,928;2838,923;3028,214;3315,304;3561,533;3525,731;3668,491;3690,062;3850,196;3956,365;4006,631;4181,052;4225,651;4567,48;5005,992;5190,315;5381,862;5667,456;6076,222;6487,644;6905,377;7278,654;7549,457;7819,36;8088,979;8580,792
