GDP, current prices (Purchasing power parity, billions of international dollars);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Afghanistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;18,835;20,852;21,557;24,858;26,983;31,404;33,252;40,403;44,323;48,18;55,963;60,181;62,948;64,231;66,301;69,35;72,958
Ecuador;26,142;29,731;31,947;32,269;34,837;37,52;39,46;38,021;43,489;45,323;48,433;52,632;55,777;58,24;62,017;64,744;67,071;71,18;74,333;71,832;74,24;78,914;83,447;87,311;97,024;105,339;113,306;118,898;128,916;130,635;136,816;150,664;162,217;173,228;183,119;185,209;184,832;192,772;200,188
Egypt;91,347;102,187;116,417;131,715;147,414;163,368;174,589;186,551;200,843;214,963;228,248;240,923;247,153;260,346;277,04;295,532;315,626;340,073;369,841;398,104;428,913;453,767;475,629;499,933;534,4;575,686;633,7;696,846;761,238;802,89;854,054;887,28;924,43;971,708;1018,551;1074,15;1132,445;1200,811;1295,434
El Salvador;10,12;10,443;10,389;10,961;11,509;11,946;12,21;12,826;13,528;14,193;15,436;16,196;17,728;19,204;20,534;21,957;22,542;23,65;24,551;25,443;26,305;27,118;27,982;28,947;29,991;31,889;34,281;35,857;37,332;36,833;38,047;40,323;42,252;43,956;45,535;47,111;48,794;50,859;53,42
Equatorial Guinea;0,09;0,105;0,114;0,124;0,13;0,151;0,151;0,161;0,171;0,176;0,187;0,191;0,26;0,294;0,351;0,453;0,704;1,776;2,241;2,874;6,185;10,114;12,29;14,327;19,185;21,406;23,489;27,806;33,393;34,099;31,418;34,167;37,717;36,792;37,629;34,557;31,836;30,909;29,848
Eritrea;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1,737;2,008;2,479;2,59;2,878;3,159;3,258;3,311;2,967;3,297;3,45;3,421;3,564;3,77;3,846;4,006;3,29;3,719;4,17;5,352;5,558;5,064;6,753;5,416;5,877;5,412;6,219
Estonia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;10,988;11,038;11,513;12,302;14,147;14,926;15,08;16,975;18,383;19,944;21,852;23,959;27,05;30,577;33,776;32,681;28,177;29,277;32,112;33,746;34,801;36,504;37,564;38,952;41,967;45,036
Eswatini;1,05;1,229;1,324;1,368;1,453;1,527;1,848;2,083;2,32;2,638;3,006;3,163;3,339;3,524;3,686;3,945;4,171;4,375;4,539;4,741;4,932;5,094;5,401;5,715;6,081;6,647;7,258;7,784;8;8,187;8,597;8,974;9,639;10,187;10,47;10,824;11,075;11,512;12,069
Ethiopia;10,756;11,773;12,621;14,144;14,317;13,084;14,641;17,084;17,788;18,401;19,586;18,787;17,504;20,313;21,47;23,262;26,894;28,134;27,26;29,394;33,008;36,228;37,39;37,284;42,768;49,657;57,043;65,487;74,238;82,284;92,067;104,705;115,997;129,718;145,726;162,557;177,379;199,059;219,62
Fiji;1,557;1,806;1,897;1,888;2,154;2,138;2,325;2,212;2,369;2,803;3,077;3,095;3,359;3,528;3,787;3,967;4,234;4,203;4,306;4,748;4,772;4,969;5,209;5,348;5,789;5,891;6,185;6,294;6,481;6,439;6,709;7,034;7,27;7,748;8,334;8,813;9,128;9,804;10,397
Finland;45,121;50,029;54,76;58,681;62,752;67,026;70,24;74,539;81,189;88,664;92,604;90,073;89,064;90,505;96,078;102,221;107,9;116,624;124,338;131,739;142,273;149,147;154,052;160,042;170,803;181,02;194,06;209,607;215,223;198,932;207,272;217,041;218,05;220,192;222,851;226,298;234,979;246,69;256,889
France;576,441;637,723;694,091;730,224;768,026;805,175;840,582;883,441;957,976;1038,781;1109,167;1158,7;1204,061;1224,84;1280,496;1334,887;1378,537;1435,071;1503,304;1577,187;1675,709;1746,431;1794,206;1842,567;1945,716;2039,688;2152,888;2264,328;2314,253;2264,895;2335,953;2437,041;2491,564;2549,887;2621,912;2678,692;2736,077;2850,61;2970,43
Gabon;6,796;7,141;7,893;8,366;9,093;9,925;9,912;8,593;9,207;11,045;12,048;13,218;13,102;13,942;14,768;15,828;16,702;17,965;18,799;17,365;17,418;18,183;18,505;19,17;19,906;20,365;20,581;22,472;23,306;22,948;24,671;26,973;28,934;31,066;33,044;34,683;35,775;36,631;37,84
Gambia, The;0,74;0,733;0,939;1,108;1,06;1,134;1,184;1,247;1,313;1,424;1,561;1,649;1,716;1,824;1,8;1,899;1,99;2,053;2,211;2,386;2,574;2,782;2,734;2,977;3,272;3,295;3,376;3,572;3,869;4,158;4,455;4,179;4,482;4,692;4,711;4,954;5,102;5,449;5,947
