GDP, current prices (Purchasing power parity, billions of international dollars);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Afghanistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;18,835;20,852;21,557;24,858;26,983;31,404;33,252;40,403;44,323;48,18;55,963;60,181;62,948;64,231;66,301;69,35;72,958
Switzerland;108,421;120,579;126,363;132,103;141,112;150,888;156,785;163,205;174,555;189,367;203,459;208,625;213,022;217,798;225,393;231,348;236,842;246,533;256,616;264,625;281,562;291,437;296,59;302,327;318,603;338,911;363,403;388,491;404,403;398,407;414,627;431,057;443,747;460,015;480,166;491,296;504,89;523,986;551,543
Syria;18,943;22,49;24,496;25,864;25,056;27,734;26,947;27,959;32,627;31,849;36,463;41,74;48,346;53,159;57,298;61,672;64,664;65,062;69,448;68,252;71,379;75,629;81,356;81,179;89,118;97,606;105,634;114,627;122,088;130,292;136,344;no data;no data;no data;no data;no data;no data;no data;no data
S?o Tom? and Pr?ncipe;0,12;0,118;0,129;0,129;0,126;0,142;0,136;0,136;0,143;0,154;0,156;0,163;0,168;0,174;0,181;0,189;0,195;0,201;0,208;0,216;0,222;0,232;0,242;0,262;0,28;0,309;0,347;0,368;0,406;0,419;0,452;0,482;0,507;0,54;0,586;0,615;0,647;0,685;0,72
Taiwan Province of China;62,061;72,76;80,963;91,742;104,604;113,1;128,663;148,593;166,168;187,791;205,818;230,566;255,378;279,212;306,545;333,319;360,383;389,008;409,952;443,806;482,858;487,231;522,53;554,164;606,108;658,835;716,944;784,183;805,064;798,493;893,674;947,053;985,139;1024,5;1085,419;1105,563;1133,898;1190,823;1251,967
Tajikistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;7,293;6,637;5,328;4,76;4,636;4,796;5,107;5,372;5,948;6,698;7,424;8,333;9,464;10,413;11,479;12,707;13,977;14,633;15,766;17,286;18,939;20,697;22,493;24,09;26,019;28,391;31,206
Tanzania;10,946;12,041;12,862;13,686;14,663;15,822;17,206;18,672;20,181;21,769;24,175;25,51;26,244;27,19;28,205;29,825;31,751;33,437;35,068;37,296;40,011;43,341;47,18;51,366;56,878;62,972;67,901;75,627;81,39;86,425;92,991;102,438;109,77;119,271;129,657;139,077;150,167;163,357;178,968
Thailand;74,852;86,777;97,07;106,502;116,701;125,981;135,63;152,214;178,521;208,143;241,03;270,12;301,776;335,726;370,315;408,781;439,795;435,06;406,372;431,089;460,362;486,662;524,76;572,932;625,359;671,84;726,559;786,628;815,766;816,309;887,868;914,03;999,034;1043,881;1073,667;1118,843;1168,371;1238,276;1320,876
Timor-Leste;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1,67;1,864;1,763;1,775;2,99;4,19;6,115;6,61;7,407;7,013;7,012;7,978;8,54;7,726;5,83;7,106;7,231;6,692;6,311
Togo;2,141;2,263;2,314;2,281;2,502;2,677;2,82;2,818;3,212;3,475;3,818;3,924;3,884;3,328;3,872;4,732;4,632;4,891;4,834;5,028;5,091;5,245;5,532;6,014;6,115;6,011;6,357;6,451;6,844;7,278;7,812;8,485;9,214;9,949;10,733;11,467;12,235;13,016;13,987
Tonga;0,069;0,085;0,102;0,113;0,168;0,183;0,203;0,212;0,212;0,222;0,241;0,264;0,26;0,266;0,277;0,296;0,301;0,296;0,31;0,322;0,333;0,351;0,364;0,375;0,39;0,403;0,405;0,409;0,424;0,441;0,461;0,48;0,484;0,49;0,512;0,537;0,568;0,594;0,617
Trinidad and Tobago;7,597;8,696;9,584;8,934;8,724;8,629;8,514;8,327;8,282;8,536;8,989;9,582;10,79;10,971;11,605;12,3;13,419;14,677;16,048;17,587;19,221;20,368;22,17;25,716;28,344;30,949;36,408;38,977;41,04;39,359;41,196;41,975;42,489;44,102;44,483;45,745;43,21;43,206;44,398
Tunisia;13,867;16,017;16,925;18,41;20,167;21,985;22,101;24,166;25,036;26,688;29,646;31,917;35,259;36,988;39,148;41,037;44,653;48,023;50,974;54,822;58,457;62,007;63,821;68,063;74,253;79,236;85,915;94,142;100,04;103,871;108,771;108,913;115,44;120,843;126,737;129,586;132,581;137,542;144,391
Turkey;155,853;178,045;195,528;212,853;235,579;253,38;276,423;311,662;329,497;343,282;389,089;405,974;440,075;486,733;470,003;514,359;560,479;613,063;639,136;626,389;682,914;656,281;709,532;763,239;859,377;965,985;1065,976;1149,677;1181,944;1134,928;1245,6;1412,942;1509,021;1665,879;1784,374;1912,676;1994,009;2183,336;2299,753
Turkmenistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;11,88;10,945;9,245;8,759;8,322;7,509;8,102;9,575;11,609;14,282;16,796;20,033;23,594;27,502;31,442;35,856;41,945;44,856;49,536;58,014;65,661;73,603;82,722;88,976;95,471;103,562;112,613
Tuvalu;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,022;0,022;0,025;0,024;0,024;0,024;0,026;0,028;0,031;0,03;0,029;0,032;0,031;0,033;0,034;0,038;0,04;0,042;0,044
Uganda;4,701;5,344;6,14;6,693;6,726;6,731;6,931;7,387;8,282;9,157;10,117;10,646;11,525;12,587;13,845;15,432;16,751;17,827;19,123;20,942;22,253;24,735;26,899;29,086;31,603;35,848;39,537;43,873;49,39;53,782;58,58;63,883;66,567;70,927;75,535;80,649;83,377;89,201;96,953
Ukraine;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;319,748;278,882;219,991;197,332;181,15;178,422;177,155;179,349;194,234;208,833;223,38;249,143;286,041;304,093;337,107;374,549;390,234;333,834;351,571;378,532;386,713;393,393;374,419;341,344;353,297;369,038;390,415
United Arab Emirates;75,278;89,012;87,718;86,368;93,467;93,992;77,409;83,531;84,208;101,277;129,823;137,088;144,552;147,935;162,218;176,517;189,348;209,088;213,114;224,3;257,586;266,615;277,546;307,615;346,15;374,302;423,542;448,974;472,42;451,133;463,667;506,158;539,001;576,172;612,649;650,379;676,751;692,881;722,015
United Kingdom;498,662;541,632;586,659;635,373;673,285;723,721;761,477;821,673;899,632;958,92;1002,162;1024,786;1052,03;1104,163;1171,665;1225,603;1279,687;1357,639;1418,794;1485,536;1571,191;1651,263;1719,318;1809,727;1902,08;2023,081;2137,417;2250,707;2286,545;2206,138;2270,037;2355,574;2435,496;2528,937;2651,663;2742,208;2820,178;2925,667;3038,833
United States;2857,325;3207,025;3343,8;3634,025;4037,65;4339;4579,625;4855,25;5236,425;5641,6;5963,125;6158,125;6520,325;6858,55;7287,25;7639,75;8073,125;8577,55;9062,825;9630,7;10252,35;10581,825;10936,45;11458,25;12213,725;13036,625;13814,6;14451,875;14712,825;14448,925;14992,05;15542,6;16197,05;16784,825;17527,275;18224,775;18715,05;19519,4;20580,25
Uruguay;12,499;13,941;13,42;13,488;13,822;14,47;16,068;17,772;18,668;19,615;20,409;21,846;24,116;25,344;27,769;27,941;30,04;32,101;33,851;33,322;33,462;33,012;31,17;32,488;34,91;38,448;41,235;45,112;49,29;51,773;56,464;60,619;63,967;68,108;71,615;72,629;74,621;77,997;81,191
Uzbekistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;45,911;45,918;44,459;44,983;46,585;49,853;52,582;55,635;59,04;62,869;66,418;70,493;77,747;85,781;95,005;106,825;118,704;129,298;141,89;156,85;172,934;190,091;207,509;225,287;241,492;257,017;276,793
Vanuatu;0,11;0,125;0,136;0,145;0,165;0,172;0,175;0,174;0,177;0,187;0,217;0,231;0,243;0,25;0,279;0,288;0,3;0,32;0,327;0,333;0,361;0,356;0,343;0,364;0,389;0,422;0,472;0,51;0,553;0,576;0,592;0,612;0,635;0,658;0,686;0,694;0,726;0,772;0,816
Venezuela;117,546;127,009;138,424;129,668;141,364;147,1;159,185;170,954;188,505;168,628;186,253;211,288;229,2;235,276;234,654;249,042;253,1;273,868;277,765;264,952;280,862;296,764;274,763;258,16;313,59;356,721;403,799;450,943;483,977;472,05;470,441;500,326;538,611;555,422;543,671;515,155;431,796;370,985;311,619
Vietnam;23,666;27,407;31,472;35,024;39,336;42,86;45,191;47,489;51,671;57,885;63,083;69,004;76,717;84,879;94,349;105,518;117,486;129,254;138,244;146,935;160,415;175,236;190,612;208,405;230,686;255,824;281,958;310,174;334,11;354,83;382,022;414,339;444,445;476,763;514,642;554,733;595,287;647,814;710,552
Yemen;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;26,032;28,606;31,659;33,706;36,74;39,637;42,233;45,209;48,464;51,02;55,385;58,753;62,031;65,55;69,989;76,205;81;85,953;90,821;95,051;103,565;92,285;96,306;102,723;104,426;75,976;69,566;67,281;69,439
Zambia;8,038;9,382;9,671;9,935;10,117;10,566;10,961;11,4;12,896;12,911;13,317;13,676;14,275;14,601;12,928;13,582;14,691;15,514;15,628;16,591;17,623;18,967;20,135;21,934;24,108;26,658;29,635;32,973;36,227;39,869;44,488;47,944;52,576;56,204;59,934;62,326;65,337;68,914;73,186
Zimbabwe;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;29,633;29,727;29,106;29,609;27,76;23,688;22,801;21,768;21,629;21,455;18,302;19,805;23,98;27,956;33,239;34,49;35,966;36,991;37,651;40,165;42,582
