Inflation rate, end of period consumer prices (Annual percent change);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Denmark;10,7;12,4;8,8;6,1;5,7;3,4;4,5;3,9;4,7;4,8;5,9;2,2;1,2;1,2;2,4;1,7;2,3;1,5;1,2;3,1;2,3;2;2,6;1,2;1;2,3;1,6;2,5;2,5;1,2;2,8;2,4;1,7;0,5;0;0,3;0,3;0,9;0,7
Djibouti;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;5,2;3,9;5,4;5,7;4,7;2,6;2,4;2;-0,6;2,4;1,4;1,4;1,8;3,1;3,5;3,5;8,2;9,2;2,2;2,8;7,6;1,1;1,1;3,4;-1,6;2,4;-0,8;2
Dominica;21,3;7,4;4,1;2,7;2;3,5;3;2,9;5,2;8,2;4,6;2;4,3;1,6;-0,2;1,4;2;2,2;1,5;0;1,1;1,1;0,4;2,8;0,8;2,7;1,8;6;2;3,2;0;1,9;1,3;-0,4;0,5;-0,7;-0,2;1,4;1,4
Dominican Republic;-5,9;7,4;7,2;6;38,6;30,9;4,4;22,7;55,8;34,6;79,9;7,9;5,2;2,8;14,3;9,2;3,9;8,4;7,8;5,1;9;4,4;10,5;42,7;28,7;7,4;5;8,9;4,5;5,8;6,2;7,8;3,9;3,9;1,6;2,3;1,7;4,2;1,2
Ecuador;13,5;17,3;24,4;52,5;25,1;24,4;27,3;32,5;85,7;54,2;49,5;49;60,2;32;25,4;22,8;25,5;30,7;43,4;60,7;91;22,4;9,4;6,1;1,9;3,1;2,9;3,3;8,8;4,3;3,3;5,4;4,2;2,7;3,7;3,4;1,1;-0,2;0,3
Egypt;20,3;9,6;15,6;16,7;19,6;11,4;28;25,1;10;16,7;21,4;20,7;9,7;15;6,4;9,7;8,2;4,8;3,4;2,9;2,5;2,2;2,7;4;11,7;4,7;7,3;8,6;19,9;9,9;10,6;11,8;7,3;9,8;8,2;11,4;14;29,8;14,4
El Salvador;18,5;11,7;13,4;14,8;9,8;32;30,3;19,6;18,2;23,5;19,3;9,8;19,9;12,1;8,9;11,4;7,3;1,9;4,2;-1;4,3;1,4;2,8;2,5;5,4;4,3;4,9;4,9;5,5;0,1;2,1;5,1;0,8;0,8;0,5;1;-0,9;2;0,4
Equatorial Guinea;no data;16,7;38,3;60,1;59,5;61,3;-13,5;3,1;-0,3;-8,2;7;-0,1;2,8;-2,7;43,7;11,7;0;3,7;6,6;1,1;6,6;12,2;6,2;5,9;5,1;3,2;3,8;3,7;5,5;5;5,4;4,9;2,6;4,9;2,6;1,6;1,6;-0,2;2,6
Eritrea;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;10,6;7,3;12,3;3,5;7,7;9;10,6;26,8;7,7;23,8;20,8;17,4;18,5;8,8;14,9;36,5;19;4,7;7,7;6,6;9,9;1,3;50,8;-22;-18,2;-29,3
Estonia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;28,9;12,9;11;5,1;3,7;5;4,2;2,7;1,2;4,8;3,7;5,1;9,7;7,5;-1,9;5,4;4,1;3,6;2;0,1;-0,2;2,4;3,8;3,3
Eswatini;no data;14,4;11,5;10,6;18,6;18,2;8,9;16,3;17,8;8,6;11;9,6;8,6;13,2;13,8;10,1;5,8;7,6;7,8;5,1;9,1;10,8;11,5;4,7;3,2;7,6;4,8;9,8;12,9;4,5;4,5;7,8;8,3;4,4;6,2;4,9;8,7;4,7;5,3
Ethiopia;no data;5,4;5,2;-0,2;9;20,5;-11,8;-4,7;6,9;11;5;45;2,1;4,7;6,3;14,8;-9;2,6;2,3;7,1;-4,1;-4,3;14;6,2;7,9;12,3;18,5;18,4;39,2;7,1;14,6;35,9;15;7,7;7,1;9,4;6,2;16,5;10,6
Fiji;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1,2;2,2;2,4;2,9;8,1;0,2;3;2,3;1,6;4,2;3,3;2,7;5,2;4,3;6,6;6,8;3,6;6,4;2,5;3,4;0,1;1,6;3,9;2,8;4,9
Finland;13,8;9,9;8,9;8,5;6,1;4,9;3,4;3,6;5,9;7,1;2,1;4,5;2,6;2,9;1,6;-0,5;1,7;1,6;0,8;2,2;2,9;2,3;1,7;1,2;0,1;1;1,2;1,9;3,4;1,8;2,8;2,6;3,4;1,9;0,6;-0,2;1,1;0,5;1,3
France;13,7;13,9;9,7;9,3;6,7;4,7;2,1;3,1;3,1;3,6;3,2;3,3;2;2,2;1,4;2,1;1,7;1,1;0,2;1,3;1,8;1,5;2,2;2,4;2,2;1,7;1,7;2,8;1,2;1;2;2,6;1,5;0,8;0,1;0,3;0,8;1,3;2
Gabon;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;15,4;-16,7;-4,5;1,3;47;3,5;0,8;2,1;0,5;-0,9;1,8;0,9;0,4;3,5;-0,5;1,1;-0,7;-0,2;5,6;0,9;0,7;2,3;2,2;3,3;1,7;-1,2;4,1;1,1;6,3
Gambia, The;no data;4,1;12,7;15,4;24,7;25,5;52,3;15,3;12,4;8,4;10,5;11,6;4,2;5,1;5;4;2,3;0,3;4,8;1,7;0,2;8,1;13;17,6;8,1;4,8;0,4;6;6,8;2,7;5,8;4,4;4,9;5,6;6,9;6,7;7,9;6,9;6,4
Georgia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;7,1;10,8;11;4,4;3,5;5,5;6,9;7,5;6,2;8,8;11;5,5;3;11,2;2;-1,4;2,4;2;4,9;1,8;6,7;1,5
Germany;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;3,3;4,2;2,5;1,5;1,5;1,4;0,1;1,4;2;1,4;1;1,1;2,2;2,1;1,4;3,1;1;0,9;1,8;2,3;2,1;1,3;0,2;0,2;1,7;1,5;1,8
Ghana;no data;100,2;16,8;142,4;6;19,5;33,3;34,2;26,6;30,5;35,9;10,3;13,3;27,7;34,2;70,8;26,1;22,1;15,8;13,8;40,5;21,3;15,2;23,6;11,8;14,8;10,9;12,7;18,1;9,5;6,9;8,4;8,1;13,5;17;17,7;15,4;11,8;9,4
Greece;27,1;23;18,7;20,2;17,8;25,4;17,1;15,7;14;15,2;22,8;17,7;14,5;12;10,7;7,8;7;4,5;3,7;2,3;3,7;3,5;3,5;3,1;3,1;3,5;3,2;3,9;2,2;2,5;5,2;2,2;0,3;-1,8;-2,5;0,4;0,3;1;0,6
Grenada;21,8;10,5;11,9;7,4;7;3,7;1,9;-0,8;0,6;6,9;3,8;3,8;1;4,9;3,7;1,9;2,2;1,6;1,2;1,1;3,4;-0,7;2,3;1,6;2,5;6,2;1,7;7,4;5,2;-2,3;4,2;3,5;1,8;-1,2;-0,6;1,1;0,9;0,5;1,4
Guatemala;9;8,8;-2,1;7,2;7,2;27,9;21,5;9,3;12,3;20,2;59,8;10;14,2;11,6;11,6;8,6;10,8;7,1;7,5;4,9;5,1;8,9;6,3;5,9;9,2;8,6;5,8;8,7;9,4;-0,3;5,4;6,2;3,4;4,4;2,9;3,1;4,2;5,7;2,3
Guinea;no data;no data;no data;no data;no data;no data;no data;33,7;26,3;26,1;27,3;12,2;16,1;5;2,5;5,2;2,1;5,3;4,5;6,2;7,2;1,1;6,1;12,1;27,6;29,7;39,1;12,8;13,5;7,9;20,8;19;12,8;10,5;9;7,3;8,7;9,5;9,9
Guinea-Bissau;no data;27;20,2;46,3;94,6;54,1;78,5;96,9;50,3;66,8;32,1;60,1;86,7;30,7;19,3;49,7;65,6;16,7;7,9;-7,9;16,7;-1,9;2,5;0,7;2,9;0,3;3,2;9,3;8,7;-6,4;5,7;3,4;1,6;-0,1;-0,1;2,4;1,6;-1,3;5,9
Guyana;8,5;29;19,3;11,2;28,1;7,7;6,6;34,6;36,3;104,3;75,3;79;12,5;6,8;16,1;8,1;4,5;4,2;4,8;8,6;5,9;1,5;6,1;5;5,5;8,3;4,2;14;6,4;3,7;4,4;3,3;3,5;0,9;1,2;-1,8;1,5;1,5;1,6
Haiti;no data;no data;4,9;11,2;5,4;17,4;-11,4;-4,1;8,6;10,9;26,1;13,8;15,2;27,7;42;18,2;17;17;8,3;9,9;15,3;11,5;11,4;37,8;21,7;14,8;12,4;7,9;19,8;-4,7;4,7;10,4;6,5;4,5;5,3;11,3;12,5;15,4;13,3
Honduras;11,5;9,2;8,8;7,8;3,7;4,2;3,2;2,9;6,7;11,4;36,4;21,2;6,4;13,1;29,1;26,7;25,4;12,7;15,7;11;10,1;8,8;8,1;6,8;9,2;7,7;5,3;8,9;10,8;3;6,5;5,6;5,4;4,9;5,8;2,4;3,3;4,7;4,2
Hong Kong SAR;no data;no data;10,5;10,6;5,3;3,1;4,3;7,6;8,2;10,1;11,4;9,8;9,7;9;9,5;7;6,7;5,2;-1,7;-4,1;-2;-3,6;-1,5;-1,9;0,4;1,2;2,3;3,8;2;1,6;2,8;5,7;3,7;4,3;4,9;3;2,4;1,5;2,4
Hungary;no data;no data;no data;no data;no data;no data;no data;no data;no data;18,1;33,4;32,2;21,6;21,1;21,2;28,3;19,8;18,4;10,3;11,2;10,1;6,8;4,8;5,7;5,5;3,3;6,5;7,4;3,5;5,6;4,7;4,1;5;0,4;-0,9;0,9;1,8;2,1;2,7
Iceland;55,7;49,3;59,9;76,6;18,8;35,9;13,5;24,4;20,6;25,2;7,2;7,5;1,5;4,8;0,5;2;2,1;2;1,3;5,5;4,1;8,7;2;2,8;3,9;4,1;7;5,9;18,1;7,5;2,5;5,3;4,2;4,1;0,8;2;1,9;1,9;3,7
India;12,8;9;10,4;10,4;5,1;8,9;7,5;9,7;5;6,6;15;13,4;5,8;9,5;9,8;8,8;10,6;9;9;3,7;2,9;5,1;3,8;4;4,2;4,9;7;6,3;9,4;10,5;9,2;8,8;10,5;7,7;5,3;5,3;3,6;4,6;2,5
Indonesia;17,1;7,3;10;12;9,1;4,4;9,2;9,2;5,6;6,1;9,9;9,9;5;10,2;9,6;9;6,4;10,3;77,5;2;9,3;12,5;9,9;5,2;6,4;17,1;6,6;6;11,1;3;7;3,8;3,7;8,1;8,4;3,4;3;3,6;3,1
Iran;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;14,7;40;14,3;31,3;42,9;36,7;17,1;18,8;19,3;19,1;11,1;11,1;18;13,6;15,7;7,7;16,2;22,2;17,7;10,4;19,8;20,6;41,3;19,6;16,2;8,4;11,8;8,3;47,5
Iraq;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;5;16,4;19,3;35,8;31,7;31,6;64,8;4,7;6,8;-4,4;3,3;6;3,6;3,1;1,6;2,3;-1,5;0,2;-0,1
Ireland;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,4;0,3;0,3;0,9;4,8;4,3;4,5;3;2,4;2;3;3,3;1,3;-2,5;-0,2;1,4;1,7;0,3;-0,3;0,3;-0,2;0,5;0,8
Israel;188,6;101,5;131,5;190,7;444,9;185,2;19,7;16,1;16,4;20,7;17,6;18;9,4;11,2;14,5;8,1;10,6;7;8,6;1,3;0;1,4;6,5;-1,9;1,2;2,4;-0,1;3,4;3,8;3,9;2,7;2,2;1,6;1,8;-0,2;-1;-0,2;0,4;0,8
Italy;21,2;19,5;16,5;14,7;10,7;9,2;5,9;4,7;5,1;6,3;9,3;5,7;4,7;4,4;4;5,7;2,9;1,7;1,7;2,1;2,7;2,3;3;2,5;2,3;2;2,1;2,8;2,4;1,1;2,1;3,7;2,6;0,6;0;0,1;0,5;1;1,2
Jamaica;28,7;4,8;7;16,7;31,2;23,1;10,7;8,4;8,6;17,2;29,8;85,1;40,2;30,1;26,8;25,6;15,8;9,2;7,9;6,8;3,2;11,8;6,9;14,1;15,8;10,5;5,5;16,8;16,8;10,2;11,7;6;8;9,5;6,4;3,7;1,7;5,2;2,4
Japan;7,2;4,1;2,4;1,7;2,3;1,6;-0,2;0,7;1,1;2,6;3,6;2,8;1;1,1;0,8;-0,6;0,5;2,1;0,5;-1;-0,8;-1;-0,5;-0,3;0,5;-0,8;0,4;0,6;1,1;-2;-0,2;-0,3;-0,2;1,4;2,5;0,2;0,3;0,6;0,8
Jordan;3,3;17,1;8,2;-4,5;6,8;0;1;-15,5;13,4;25,9;9,5;6,8;3,7;2;4,8;4,2;2,5;6,3;-0,8;2,8;-1,9;3,8;0,5;2,9;3,9;4,2;7,5;5,1;9;2,7;5,7;2,9;6;3,1;1,7;-1,6;0,8;3,2;3,6
Kazakhstan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2165;854,6;60,4;28,7;11,2;1,9;17,8;9,8;6,4;6,6;6,8;6,7;7,6;8,4;18,8;9,5;6,2;7,8;7,4;6;4,8;7,4;13,6;8,5;7,1;5,3
Kenya;13,1;19,3;13,7;9,6;10,9;10,2;4,3;9,6;13,6;13,5;23,1;14,5;33,7;54,7;6,6;6,9;10,7;4,3;5,2;8,1;8,8;2,9;3,5;4,7;11,8;4,9;7,3;5,6;15,5;8;5,8;18,9;3,2;7,1;6;8;6,3;4,5;5,7
