Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
17. ТРАНСПОРТ;;;;;;;;;;;;;;;;;;;;
"17.10. ПЛОТНОСТЬ АВТОМОБИЛЬНЫХ ДОРОГ ОБЩЕГО ПОЛЬЗОВАНИЯ С ТВЕРДЫМ ПОКРЫТИЕМ1);2)";;;;;;;;;;;;;;;;;;;;
"(на конец года; км путей на 1000 км2 территории)";;;;;;;;;;;;;;;;;;;;  
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Республика Марий Эл;139;140;140;142;142;141;148;158;156;154;154;154;195;205;209;210;210;211;217;
Республика Мордовия;161;164;164;167;168;171;171;182;175;175;175;193;256;268;276;283;286;289;292;
Республика Татарстан;184;186;187;196;197;199;200;260;280;285;324;321;413;406;416;423;430;436;443;
Удмуртская Республика;130;134;135;136;140;141;152;167;176;170;223;225;229;238;240;243;244;246;248;
Чувашская Республика;244;250;253;256;259;259;264;280;307;311;318;321;401;405;409;410;409;417;423;
Пермский край;63;65;66;66;67;68;70;70;71;72;73;76;118;124;128;130;134;136;137;
Кировская область;74;74;75;75;75;76;77;79;80;82;84;85;113;114;114;114;111;114;114;
Нижегородская область;169;171;174;175;175;176;176;176;198;202;196;199;280;288;290;290;291;295;297;
Оренбургская область;105;106;107;107;107;107;107;107;107;106;107;110;160;167;168;167;167;167;167;
Пензенская область;144;149;151;151;155;154;155;155;157;157;158;156;275;265;279;286;290;295;291;
Самарская область;137;139;140;141;142;143;151;251;260;234;233;235;274;284;301;304;310;314;326;
Саратовская область;101;102;103;103;104;103;103;104;106;113;114;115;171;176;173;179;168;169;170;
Ульяновская область;124;116;117;119;120;130;161;165;167;170;165;166;180;215;221;237;239;240;250;
Уральский    федеральный округ;19;20;20;20;20;21;21;22;22;23;23;24;32;38;39;39;40;41;43;
Курганская область;90;90;91;92;92;92;94;95;96;110;110;109;127;129;130;132;132;133;133;
Свердловская область;54;54;55;55;56;56;57;58;61;61;62;66;93;117;121;123;124;125;126;
Тюменская область;6,5;6,8;7;7,1;7,2;7,4;8,1;8,3;8,5;8,7;8,8;8,7;14;14;14;15;15;15;15;
в том числе:;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский    автономный округ – Югра;3,3;3,6;3,9;4,1;4,2;4,1;5,2;5,6;5,8;6,1;6,2;6,0;10,1;10,1;10,3;10,6;10,8;10,7;11,0;
Ямало-Ненецкий   автономный округ;1,1;1,1;1,3;1,3;1,3;1,4;1,4;1,5;1,6;1,7;1,8;1,8;2,4;2,8;2,8;2,9;3,0;3,0;3,1;
Тюменская область    без автономных округов;50;54;44;44;44;48;50;50;50;51;52;51;82;82;83;84;86;87;88;
Челябинская область;92;99;100;101;102;101;101;102;103;108;109;111;111;187;190;195;201;204;231;
Сибирский      федеральный округ;17;17;17;17;17;17;18;20;19;20;20;28;34;35;36;36;36;37;37;
Республика Алтай;30;30;31;31;31;31;31;32;32;32;32;33;44;45;47;48;49;49;49;
Республика Тыва;15;15;15;15;15;12;18;18;18;18;17;17;15;18;20;21;21;21;21;
Республика Хакасия;40;40;41;41;42;43;43;43;45;46;46;46;75;80;88;87;88;91;93;
Алтайский край;85;86;86;86;86;86;86;103;94;91;91;208;221;228;224;221;220;221;211;
Красноярский край ;5,5;5,4;5,5;5,5;5,5;5,5;5,5;5,6;5,6;6,2;6,4;11,0;11,0;11,0;11,0;12,0;11,0;12;12;
Иркутская область;16;16;16;16;16;16;16;16;16;16;16;20;28;29;29;30;30;31;32;
Кемеровская область;59;60;60;61;61;61;82;83;87;87;90;96;145;171;176;174;175;177;178;
Новосибирская область;53;54;55;55;56;56;59;60;60;61;65;66;90;99;102;109;110;111;112;
Омская область;55;55;56;57;57;57;64;80;80;77;75;76;97;96;98;98;98;98;99;
Томская область;11;11;11;12;12;10;13;13;13;13;13;14;22;23;24;24;24;24;24;
Дальневосточный федеральный округ;7,2;7,1;7,1;7,1;7,2;6,8;8,4;8,5;8,5;8,5;8,7;8,6;10,5;11,1;11,4;11,8;11,9;11,9;12;
Республика Бурятия;18;18;18;18;18;11;18;18;18;18;20;20;23;24;24;26;26;26;26;
Республика Саха (Якутия);2,4;2,4;2,4;2,4;2,4;2,5;3,0;3,1;2,7;2,6;2,7;2,7;3,3;3,6;3,7;3,8;3,8;3,9;3,9;
Забайкальский край;22;23;23;23;24;24;37;37;37;36;36;34;34;33;34;34;34;34;34;
Камчатский край;2,8;2,8;2,9;2,9;3;3,1;3,4;3,5;3,6;3,6;3,6;3,6;3,9;4,0;4,1;4,2;4,2;4,4;4,5;
Приморский край;43;43;43;43;43;43;43;46;49;50;52;51;88;89;89;93;92;90;91;
Хабаровский край;5,7;6,3;6,3;6,3;6,3;6,2;6,1;6,1;6,8;7,1;7,4;7,5;8,0;11;12;12;12;12;12;
Амурская область;19;19;19;19;20;20;22;22;22;23;22;23;30;30;31;34;35;34;34;
Магаданская область;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,6;4,7;4,7;5,3;5,2;5,3;5,3;5,4;5,5;5,6;
Сахалинская область;21;9;10;10;10;9,0;11,0;11,0;13,0;13,0;14;14;20;21;22;23;23;25;27;
Еврейская автономная область;45;45;45;46;43;42;42;43;43;44;46;48;57;66;69;68;68;67;67;
Чукотский автономный округ;1,7;1,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,9;0,9;1,0;0,9;0,9;1,0;1,2;1,2;
?????;;;;;;;;;;;;;;;;;;;;
1) По данным Росавтодора и Росстата.;;;;;;;;;;;;;;;;;;;;
"2)  С 2006 г. – включая протяженность автомобильных дорог общего пользования местного значения; с 2012 г. – включая протяженность улиц.";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
