Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;;
ОСНОВНЫЕ ПОКАЗАТЕЛИ СЕЛЬСКОГО ХОЗЯЙСТВА;;;;;;;;;;;;;;;;;;;;
"14.3. ОСНОВНЫЕ ФИНАНСОВЫЕ ПОКАЗАТЕЛИ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ДЕЯТЕЛЬНОСТЬ В РАСТЕНИЕВОДСТВЕ И ЖИВОТНОВОДСТВЕ1);2)";;;;;;;;;;;;;;;;;;;;
14.3.1. Сальдированный финансовый результат (прибыль минус убыток) организаций . Растениеводство;;;;;;;;;;;;;; ;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;;
Республика Тыва;-2;-11;-1;-1;-0,2;1;0,0;0,0;0,4;-15;0,2;0,0;1;1;;;;;;
Республика Хакасия;15;-12;11;12;43;73;52;31;-5;-8;70;6;-;-;;;;;;
Алтайский край;-321;253;1634;1534;525;1435;1661;477;1368;347;2659;3277;2528;3103;;;;;;
Красноярский край;225;116;402;1354;667;559;919;1013;638;882;1691;1612;490;689;;;;;;
Иркутская область;65;132;239;245;127;129;133;122;204;346;74;62;78;170;;;;;;
Кемеровская область;109;45;279;199;36;78;223;-268;-166;137;-9;-378;-389;757;;;;;;
Новосибирская область ;70;131;564;1139;305;288;388;567;-98;314;536;483;101;-48;;;;;;
Омская область;-277;-56;431;460;-506;-57;374;-514;591;174;634;-433;239;-240;;;;;;
Томская область;123;116;81;50;30;88;35;-62;-12;-29;144;184;233;110;;;;;;
Дальневосточный федеральный округ;101;127;399;868;1289;1058;1504;1465;1431;781;1929;3550;1130;521;;;;;;
Республика Бурятия;34;41;41;32;49;47;58;63;61;25;17;2;18;15;;;;;;
Республика Саха (Якутия);23;-23;17;21;5;8;10;8;16;-1;-14;0,0;-14;-10;;;;;;
Забайкальский край;-14;-17;14;75;67;96;27;9;94;-37;38;-14;82;-18;;;;;;
Камчатский край;28;38;4;17;-14;-10;6;10;-7;4;7;-4;-;-;;;;;;
Приморский край;-13;5;-79;38;55;144;-30;-93;361;-196;-985;374;-575;-806;;;;;;
Хабаровский край ;30;1,0;-28;-5;-4;-11;-6;-;-;-;7;-82;-20;-90;;;;;;
Амурская область;-12;32;351;458;936;609;1178;1340;662;794;2336;2555;750;1022;;;;;;
Магаданская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;
Сахалинская область;17;36;75;211;182;148;255;115;228;163;437;683;875;371;;;;;;
Еврейская автономная область;14;18;6;19;13;28;8;13;18;27;86;37;14;39;;;;;;
Чукотский автономный округ;-6;-4;-2;2;0,3;-1;-2;-0,4;-2;2;-0,2;-1;-0,5;-2;;;;;;
__________;;;;;;;;;;;;;;;;;;;;
1) По данным бухгалтерской отчетности. Знак (-) означает убыток.;;;;;;;;;;;;;;;;;;;;
"2) Данные с 2017 г. приведены в соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред. 2) ОКВЭД2; данные за 2005-2016 гг. -  в соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (КДЕС Ред. 1.1) ОКВЭД-2007. ";;;;;;;;;;;;;;;;;;;;
