Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.  УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.28. УДЕЛЬНЫЙ ВЕС РАСХОДОВ ДОМАШНИХ ХОЗЯЙСТВ НА ОПЛАТУ ЖИЛИЩНО-КОММУНАЛЬНЫХ УСЛУГ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.28.1. В процентах от общей суммы потребительских расходов;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(по данным Выборочного обследования бюджетов домашних хозяйств);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Марий Эл;4,2;5,0;5,5;5,2;6,5;7,7;7,6;6,9;6,9;7,8;8,9;8,1;9,8;8,9;7,2;8,9;10,7;11,0;10,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Мордовия;5,0;5,6;6,9;7,1;7,3;8,8;7,5;6,9;6,4;7,7;7,5;9,0;9,5;8,6;8,9;9,9;9,4;9,5;9,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Татарстан;3,4;3,8;4,6;5,4;5,8;9,0;10,0;8,9;8,5;10,9;9,9;11,0;9,1;8,0;8,1;7,9;8,5;8,2;7,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Удмуртская Республика;4,1;4,9;6,1;8,0;8,4;9,5;8,9;8,2;7,3;8,6;9,6;8,6;8,5;7,5;8,8;9,3;9,2;8,4;9,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Чувашская Республика;4,9;3,2;5,0;6,9;7,7;8,2;9,0;7,8;6,4;9,8;8,2;8,6;9,1;8,4;9,1;9,5;9,9;10,0;9,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Пермский край;3,7;3,4;4,7;6,4;7,2;8,0;6,3;6,0;7,0;7,9;8,6;8,0;7,4;7,9;8,4;10,8;9,7;9,1;9,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кировская область;5,4;6,0;6,4;7,0;7,4;9,5;9,3;8,5;7,6;8,0;9,4;9,1;8,3;9,4;9,4;9,5;9,6;10,0;10,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Нижегородская область ;5,0;5,2;5,8;7,6;8,7;10,0;10,2;8,5;10,1;11,6;10,3;10,5;9,1;8,5;8,4;8,5;8,9;9,7;10,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Оренбургская область;4,6;4,5;5,3;6,7;6,7;7,5;7,9;8,4;7,9;9,6;10,5;9,2;9,4;8,6;8,9;9,8;10,2;9,1;10,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Пензенская область;5,4;5,0;5,7;6,8;6,6;7,1;7,8;8,0;7,6;8,3;8,5;8,7;8,6;8,9;8,0;7,8;9,3;8,1;9,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Самарская область;4,8;0,4;5,2;8,0;9,2;9,7;9,8;9,0;7,9;9,5;9,4;9,2;9,8;9,0;8,8;10,0;11,0;11,9;11,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Саратовская область;4,1;4,7;5,8;7,1;8,8;8,9;9,1;7,9;8,6;10,1;11,3;11,0;10,9;11,4;10,4;10,6;12,2;11,4;11,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ульяновская область;4,3;5,5;6,8;7,9;8,9;8,9;10,1;8,6;9,2;10,8;8,9;9,8;10,0;9,9;9,8;10,2;10,9;11,6;11,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Уральский          федеральный округ;4,8;5,4;6,5;7,2;7,8;7,9;8,9;8,0;7,7;9,3;9,5;9,5;8,7;8,9;9,3;10,0;10,8;9,8;10,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
