Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.11. ВКЛАДЫ (ДЕПОЗИТЫ) ФИЗИЧЕСКИХ ЛИЦ НА РУБЛЕВЫХ СЧЕТАХ В СБЕРБАНКЕ РОССИИ;;;;;;;;;;;;;;;;;;;;
"(на начало года; миллионов рублей)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Челябинская область;3698;5273;7025;8912;11967;14372;17627;24469;32370;36385;44803;63713;76843;88581;107391;96120;113621;141543;153494;165059
Сибирский            федеральный округ;18173;26413;35491;47647;68970;83550;90559;145470;185601;204779;253340;342715;414225;479348;582124;537958;629280;774827;839083;900249
Республика Алтай;…;...;201;290;410;477;634;912;1199;1336;1752;2727;3132;3675;4119;4254;4483;5228;5519;6111
Республика Тыва;95;135;169;236;328;384;526;705;848;957;1346;1748;2101;2569;3516;3186;3603;4566;5119;5840
Республика Хакасия;415;603;773;1012;1410;1611;2018;2690;3300;3414;4462;6344;7509;8798;11473;10939;13633;17310;18794;20053
Алтайский край;2537;3630;4745;6373;9140;10666;14029;19506;25341;27873;34488;46935;56017;60520;70054;64590;77165;95401;98667;104283
Красноярский край;3392;5181;6957;9456;14276;17005;17496;28517;35464;39099;48759;64570;77508;89286;109505;99141;113350;138895;152449;164049
Иркутская область;3262;4552;5871;7711;11015;13580;19333;25070;30645;34066;41454;57293;68150;81581;99863;90356;110898;139300;151841;162709
Кемеровская область;3253;4722;6410;8684;12249;15095;14522;25489;32450;34705;42932;56896;69133;79371;94573;88513;102207;126872;136055;144139
Новосибирская область ;2296;3377;4512;6194;9216;11502;10657;20092;26909;30984;38312;52275;64492;76280;93101;92103;105167;122772;136615;150676
Омская область;1949;2747;3784;4944;6931;8459;6003;14278;18689;20480;24879;33891;41440;48865;60585;53204;61868;76348;82645;88283
Томская область;974;1466;2069;2747;3995;4771;5341;8211;10756;11865;14956;20036;24743;28403;35335;31672;36906;48135;51379;54105
Дальневосточный       федеральный округ;10236;14482;19757;27337;40168;50353;79359;86795;112505;124664;155876;210556;251804;295396;361242;354537;416874;502786;535320;571708
Республика Бурятия;539;785;1079;1484;2052;2594;3352;4672;6094;6149;7916;11310;13762;16324;19616;18135;21346;28622;31668;33321
Республика Саха (Якутия);1603;2441;3505;4757;6774;7972;9718;11962;14185;14587;18017;22642;27354;31504;38325;36672;41531;49134;53118;56527
Забайкальский край;756;1065;1461;2156;3195;3957;20914;7330;9240;9893;13043;17635;21218;25255;32340;29800;35515;41767;46648;50411
Камчатский край;…;...;1077;1500;2221;2699;14490;4830;6437;7485;9575;13005;15157;17699;20635;20877;25284;31514;35129;38326
Приморский край;4137;5665;3924;5391;8211;11214;11239;20694;27506;29577;37873;51665;61155;71529;86017;86279;102106;122569;131212;137425
Хабаровский край;1971;2760;3503;4950;7353;9220;4383;15402;20138;23343;28539;38335;46796;55565;69488;70231;80615;94772;100852;108650
Амурская область;797;1108;1467;2010;2950;3546;3419;5782;7630;8880;11334;16315;19623;22197;29417;26953;30832;36399;39100;43023
Магаданская область;433;658;935;1355;1999;2512;3173;4349;5655;6306;7127;9784;11674;14408;15227;15918;18844;22355;22663;23069
Сахалинская область;…;...;1987;2611;3824;4812;6354;8804;11895;14240;17421;23397;27174;31950;38275;38772;48576;61602;59938;63200
Еврейская автономная область;…;...;243;347;542;690;914;1192;1523;1758;2170;3017;3528;4027;5061;5150;5867;6919;7180;7910
Чукотский автономный округ;…;...;576;776;1047;1137;1403;1778;2202;2446;2861;3451;4363;4938;6841;5750;6358;7133;7812;9845
