Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.6. СРЕДНИЙ РАЗМЕР НАЗНАЧЕННЫХ ПЕНСИЙ1);;;;;;;;;;;;;;;;;;;;;;;;;;;
"(на 1 января; рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;;2018;2019;;;;;;
Республика Мордовия;482;765;1056;1345;1597;1827;2304;2562;3333;4090;5554;6821;7411;8190;8961;9721;10801;11154;16154;12030;12816;;;;;;
Республика Татарстан;483;776;1066;1373;1643;1909;2413;2698;3502;4316;5859;7231;7886;8734;9586;10415;11594;11963;16963;12873;13727;;;;;;
Удмуртская Республика;519;823;1132;1437;1715;1969;2473;2764;3568;4401;5964;7381;8046;8908;9759;10611;11780;12132;17132;13024;13840;;;;;;
Чувашская Республика;474;743;1028;1316;1572;1797;2267;2530;3301;4058;5517;6800;7411;8207;9007;9794;10901;11254;16254;12217;13038;;;;;;
Пермский край;524;821;1123;1450;1732;1989;2490;2792;3600;4464;6043;7459;8134;9017;9882;10745;11942;12323;17323;13250;14070;;;;;;
Кировская область;527;844;1169;1474;1756;2005;2496;2784;3582;4402;5962;7419;8064;8917;9762;10575;11756;12087;17087;13036;13837;;;;;;
Нижегородская область ;508;826;1156;1481;1763;2013;2506;2798;3594;4436;6003;7468;8122;8982;9842;10675;11870;12221;17221;13140;13928;;;;;;
Оренбургская область;510;792;1082;1372;1628;1867;2341;2603;3377;4153;5647;6936;7540;8336;9128;9882;10976;11334;16334;12251;13020;;;;;;
Пензенская область;495;801;1114;1396;1662;1899;2376;2645;3426;4195;5707;7001;7603;8398;9159;9919;11008;11350;16350;12218;12980;;;;;;
Самарская область;496;805;1118;1450;1736;1990;2481;2780;3579;4436;6014;7445;8106;8956;9806;10620;11809;12173;17173;13087;13871;;;;;;
Саратовская область;488;792;1109;1399;1669;1912;2385;2652;3416;4192;5673;6988;7576;8346;9107;9841;10927;11254;16254;12157;12896;;;;;;
Ульяновская область;494;802;1100;1392;1659;1894;2367;2635;3409;4192;5672;7004;7609;8405;9185;9952;11043;11372;16372;12238;13003;;;;;;
Уральский       федеральный округ;545;841;1160;1507;1809;2124;2663;2999;3870;4828;6562;8094;8850;9815;10794;11751;13090;13464;18464;14437;15300;;;;;;
Курганская область;510;808;1109;1386;1655;1892;2361;2629;3403;4185;5674;7030;7639;8439;9214;9989;11077;11414;16414;12305;13076;;;;;;
Свердловская область ;534;840;1165;1498;1793;2066;2575;2910;3741;4648;6299;7803;8514;9435;10354;11256;12518;12890;17890;13834;14648;;;;;;
Тюменская область;616;874;1199;1642;1992;2507;3180;3578;4634;5840;7981;9716;10663;11841;13074;14247;15888;16235;21235;17294;18302;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;735;960;1336;1914;2315;3034;3829;4304;5517;6956;9453;11413;12471;13830;15232;16553;18358;18798;23798;19887;20850;;;;;;
Ямало-Ненецкий автономный округ;747;992;1302;1906;2343;3069;3917;4367;5555;7031;9595;11513;12644;13943;15332;16672;18446;18805;23805;19933;20844;;;;;;
Тюменская область без автономных округов;;;;;;;;;;;;7421;8132;9051;9998;10926;12301;12534;17534;13515;14616;;;;;;
Челябинская область;528;832;1145;1467;1754;2008;2505;2808;3612;4485;6063;7492;8159;9024;9879;10726;11923;12283;17283;13196;13968;;;;;;
