Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.24. ЧИСЛЕННОСТЬ СТУДЕНТОВ, ОБУЧАЮЩИХСЯ ПО ПРОГРАММАМ БАКАЛАВРИАТА, СПЕЦИАЛИТЕТА, МАГИСТРАТУРЫ;;;;;;;;;;;;;;;;;;;
"(на начало учебного года; тысяч человек) ";;;;;;;;;;;;;;;;;;;
;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019
Ульяновская область;32,8;37,2;42,4;46,9;50,9;54,4;55,4;55,3;57,5;57,2;57,3;53,8;49,3;45,9;42,5;39,3;36,8;36,9;36,3
Уральский    федеральный округ;365,6;426,2;491,2;523,2;547,8;571,9;586,3;606,4;621,5;605,2;577,3;529,4;491,0;455,5;405,8;362,1;328,2;323,3;309,3
Курганская область;19,8;22,7;25,4;27,4;29,9;33,6;35,6;37,5;39,1;38,9;37,7;33,9;30,8;27,4;23,8;21,2;17,9;17,5;16,6
Свердловская область ;153,9;174,8;180,6;196,0;208,8;208,9;211,1;214,4;220,8;218,5;204,2;186,2;175,9;166,6;146,4;135,4;121,1;124,9;119,9
Тюменская область;81,7;98,0;132,6;149,5;156,4;166,3;168,4;169,4;168,9;162,1;154,3;142,8;131,9;121,8;110,7;95,2;87,9;83,9;80,3
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский    автономный округ – Югра;13,6;15,5;29,4;49,3;49,9;53,8;53,1;53,8;52,9;49,5;46,0;43,5;39,7;37,9;34,5;27,3;25,5;24,7;23,6
Ямало-Ненецкий автономный округ;-;0,9;0,5;11,7;12,6;14,7;13,4;12,1;12,4;11,4;11,6;10,4;8,5;7,3;5,6;2,6;1,6;1,0;0,8
Тюменская область без автономных округов;68,1;81,6;102,7;88,5;93,9;97,8;101,9;103,5;103,6;101,2;96,7;88,9;83,7;76,6;70,6;65,3;60,8;58,2;55,9
Челябинская область;110,2;130,7;152,7;150,3;152,6;163,1;171,1;185,1;192,7;185,6;181,2;166,5;152,4;139,6;124,9;110,3;101,3;97,1;92,5
Сибирский   федеральный округ;624,6;706,5;763,8;800,7;825,8;840,5;863,9;865,9;865,4;841,2;801,5;742,7;710,5;660,6;612,8;570,7;522,1;505,6;491,5
Республика Алтай;5,8;6,0;6,1;6,1;6,0;5,6;5,6;5,3;5,5;5,5;5,3;5,2;5,2;3,9;3,5;3,3;3,1;2,9;2,8
Республика Тыва;4,3;4,4;4,7;5,2;5,8;6,1;6,4;6,5;6,0;6,0;6,2;5,9;6,0;5,8;5,3;5,0;4,4;4,6;5,0
Республика Хакасия;14,6;15,3;18,9;19,3;20,4;18,2;21,0;21,3;20,1;19,6;17,6;15,4;13,5;11,8;10,7;8,6;8,6;8,5;8,7
Алтайский край;62,3;68,2;80,3;85,6;88,8;96,3;95,7;95,7;94,4;92,7;88,5;82,8;81,4;73,0;69,3;60,7;52,1;51,1;50,3
Красноярский край;96,1;107,5;118,6;122,6;124,7;132,0;130,6;129,5;131,9;125,8;121,8;111,9;110,0;102,5;96,1;89,7;81,2;76,9;73,8
Иркутская область;87,1;99,4;110,7;118,9;122,7;127,1;130,6;131,4;130,7;128,7;123,5;112,5;106,6;98,7;89,8;79,2;71,7;69,6;68,4
Кемеровская область;74,3;85,3;94,7;100,1;104,2;107,6;107,5;108,8;107,1;102,0;96,9;87,6;82,6;76,4;67,3;61,6;52,6;51,4;48,1
Новосибирская область ;139,7;161,6;159,6;166,8;167,0;171,2;170,9;170,9;170,5;164,6;153,7;141,3;135,0;126,4;117,0;110,3;105,6;100,9;96,7
Омская область;67,6;76,8;87,3;90,8;96,1;99,9;106,1;106,8;107,4;110,0;106,1;102,1;98,9;95,8;88,7;88,7;83,0;80,5;78,8
Томская область;72,8;82,0;82,9;85,3;90,1;76,5;89,5;89,7;91,8;86,3;81,9;78,0;71,3;66,3;65,1;63,6;59,8;59,2;59,0
Дальневосточный   федеральный округ;247,5;283,8;338,3;359,1;377,6;395,2;393,4;396,0;403,6;402,5;394,5;365,9;335,2;298,2;269,6;240,2;215,0;202,0;194,5
Республика Бурятия;24,2;26,0;27,7;29,8;31,9;38,6;38,6;47,5;47,4;48,9;48,2;46,3;45,7;38,9;35,0;33,6;28,7;24,9;22,3
Республика Саха (Якутия);21,3;26,2;37,3;41,9;43,7;46,8;45,4;43,6;46,8;48,7;47,2;41,8;37,9;35,1;30,4;26,9;24,3;23,9;24,3
Забайкальский край;21,7;22,8;31,2;39,4;41,2;37,1;36,4;37,6;40,4;36,9;41,4;38,0;36,6;33,1;30,2;27,0;24,4;23,4;23,2
Камчатский край;9,3;77,0;16,4;17,1;17,5;17,4;16,5;16,3;14,9;15,6;16,4;14,5;12,6;10,3;8,2;6,4;5,3;5,0;4,9
Приморский край;68,5;73,9;86,8;90,2;97,8;102,0;101,9;97,4;99,1;98,5;95,0;89,7;76,4;66,3;60,6;54,2;51,4;48,7;47,6
Хабаровский край ;62,6;26,3;81,2;80,6;86,5;88,9;89,3;89,5;89,4;88,4;84,5;78,7;73,1;68,7;64,1;55,7;50,5;47,7;45,9
Амурская область;24,1;10,9;30,3;32,6;31,8;32,2;30,6;29,8;29,8;30,5;29,2;27,3;25,6;24,0;21,9;19,4;16,8;15,9;15,1
Магаданская область;4,4;5,1;7,1;7,6;7,0;10,0;10,2;10,4;11,4;11,1;10,1;9,3;8,5;6,8;5,2;4,5;3,6;3,2;3,1
Сахалинская область;7,5;9,9;14,2;13,3;13,8;14,0;16,3;16,4;16,5;15,8;14,5;12,8;11,7;9,2;9,5;8,9;7,4;7,0;6,0
Еврейская автономная область;3,9;5,7;6,1;6,6;6,4;8,2;8,2;7,5;7,9;8,1;8,0;7,4;7,0;5,3;4,0;3,1;2,3;2,1;2,1
Чукотский автономный округ;-;-;-;-;-;-;-;-;-;-;-;0,1;0,1;0,5;0,5;0,5;0,3;0,2;0,2
