Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;;
18.2. ИСПОЛЬЗОВАНИЕ СЕТИ ИНТЕРНЕТ В ОРГАНИЗАЦИЯХ;;;;;;;;;;;;;;;;;
18.2.2. Организации, использовавшие широкополосный доступ к сети Интернет1);;;;;;;;;;;;;;;;;
(в процентах от общего числа обследованных организаций)  ;;;;;;;;;;;;;;;;;
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;
Волгоградская область;18,6;23,4;31,7;39,4;49,8;58,1;66,8;72,0;68,4;63,9;71,5;71,3;78,8;;;;
Ростовская область;33,7;36,8;43,2;46,1;53,3;61,7;74,5;76,1;80,1;79,5;77,9;78,2;88,5;;;;
г. Севастополь;;;;;;;;;83,6;78,1;56,2;64,3;90,1;;;;
Северо-Кавказский     федеральный округ;33,7;24,8;31,3;39,3;55,5;68,2;79,8;82,4;83,7;80,9;81,6;80,3;79,2;;;;
Республика Дагестан;23,3;27,2;31,1;34,8;41,5;61,4;89,3;89,7;88,8;70,3;69,1;63,5;62,0;;;;
Республика Ингушетия;14,0;12,5;26,0;35,6;46,2;45,2;85,5;84,9;90,8;76,9;94,9;92,7;93,0;;;;
Кабардино-Балкарская  Республика;14,9;21,0;29,3;48,4;64,4;74,9;88,4;90,1;86,7;79,2;84,9;81,1;79,6;;;;
Карачаево-Черкесская    Республика;12,3;19,1;25,6;31,5;42,2;59,5;74,7;74,1;75,1;76,7;79,7;85,5;84,7;;;;
Республика Северная        Осетия – Алания;19,9;25,6;30,1;36,1;58,4;60,3;77,4;79,3;83,1;79,4;85,0;75,0;83,6;;;;
Чеченская Республика;7,1;-;16,1;26,8;43,6;48,8;51,5;65,6;69,3;79,7;73,3;85,5;85,1;;;;
Ставропольский край;22,0;28,7;35,6;43,0;62,4;77,0;89,6;89,4;89,0;89,8;90,6;91,2;91,1;;;;
Приволжский      федеральный округ;22,5;29,1;37,2;46,6;56,3;62,9;78,2;79,9;80,4;78,6;81,3;83,5;88,0;;;;
Республика Башкортостан;20,9;31,6;42,0;55,2;65,7;68,3;86,1;85,7;83,1;86,8;83,8;88,5;88,8;;;;
Республика Марий Эл;19,6;24,8;28,8;34,4;46,4;57,8;74,2;80,1;85,3;82,2;77,5;79,3;81,8;;;;
Республика Мордовия;21,1;27,7;30,3;38,9;52,9;58,4;72,1;76,0;81,8;63,4;73,5;79,6;89,6;;;;
Республика Татарстан;22,0;25,7;39,9;55,9;63,8;69,5;85,4;85,6;82,7;83,2;86,0;89,4;97,7;;;;
Удмуртская Республика;26,3;36,4;46,5;55,2;63,0;69,7;78,7;82,8;87,6;84,4;78,2;80,1;87,0;;;;
Чувашская Республика;28,3;27,7;35,3;43,1;51,3;55,4;78,5;81,6;80,5;81,1;87,5;87,7;91,3;;;;
Пермский край;22,6;28,9;33,9;46,3;58,3;67,5;80,2;82,2;84,3;82,5;85,6;84,5;90,0;;;;
Кировская область;11,4;16,7;23,7;28,8;37,5;47,9;64,0;71,6;68,6;66,2;82,9;85,5;87,9;;;;
Нижегородская область;23,9;31,9;37,7;44,9;57,4;62,4;80,2;83,9;87,3;86,2;88,1;93,3;93,0;;;;
Оренбургская область;22,0;29,1;36,1;48,4;56,7;66,6;82,6;84,5;82,2;85,9;92,4;92,9;94,3;;;;
Пензенская область;24,5;34,5;39,2;40,4;47,8;54,7;74,9;79,3;82,6;79,4;81,1;84,1;84,5;;;;
Самарская область;31,2;37,9;47,3;55,9;60,3;64,5;73,0;67,6;70,8;64,9;71,5;71,1;78,4;;;;
Саратовская область;23,0;27,0;35,5;40,8;51,5;60,0;75,4;80,2;79,4;77,3;70,3;72,3;79,5;;;;
Ульяновская область;22,3;28,1;35,7;43,2;54,4;63,1;78,0;80,0;78,2;81,1;83,5;83,5;83,5;;;;
Уральский          федеральный округ;30,9;38,9;47,5;56,6;65,6;70,6;82,0;83,6;86,1;82,5;83,0;82,9;85,6;;;;
Курганская область;19,8;27,1;36,7;49,3;62,4;71,4;78,8;77,2;70,8;59,3;69,0;69,6;75,4;;;;
Свердловская область;31,8;40,3;48,7;57,8;67,3;73,8;85,9;88,8;91,4;87,6;87,5;86,9;88,6;;;;
Тюменская область;35,7;42,8;51,1;58,1;64,5;69,9;81,4;83,1;86,6;84,8;84,2;82,4;85,4;;;;
в том числе:;;;;;;;;;;;;;;;;;
Ханты-Мансийский      автономный округ – Югра;41,2;48,2;55,3;60,5;67,9;73,1;84,7;85,6;87,6;86,4;88,3;85,5;86,7;;;;
Ямало-Ненецкий     автономный округ;34,7;40,4;43,8;50,5;57,9;61,1;74,5;80,2;90,7;86,7;86,0;82,9;83,8;;;;
Тюменская область без   автономных округов;30,6;38,3;50,2;59,6;63,9;71,2;81,2;81,5;83,6;81,8;79,0;78,6;84,6;;;;
Челябинская область;27,3;36,3;45,3;55,4;66,8;67,8;79,4;80,8;86,0;84,5;82,6;85,4;86,6;;;;
Сибирский     федеральный округ;22,7;26,6;34,8;42,2;51,7;59,0;71,5;74,9;77,2;75,2;77,1;77,8;82,9;;;;
Республика Алтай;13,2;17,8;21,6;37,7;54,1;61,0;78,2;85,4;90,9;81,3;83,5;86,2;86,0;;;;
Республика Тыва;4,4;6,0;8,5;16,2;26,3;34,3;46,7;60,9;67,9;68,7;73,0;73,0;74,3;;;;
Республика Хакасия;30,1;42,2;49,6;58,7;69,4;73,5;83,7;87,4;89,2;85,4;81,1;78,9;82,0;;;;
Алтайский край;16,7;17,4;23,0;26,2;40,5;49,3;64,2;69,3;75,7;75,1;76,6;78,7;84,6;;;;
Красноярский край;21,6;25,3;36,0;43,4;48,7;57,8;71,7;76,5;77,8;80,6;81,6;82,3;85,6;;;;
Иркутская область;26,4;31,5;39,1;49,8;54,4;61,5;76,5;77,1;77,8;77,4;76,0;79,2;79,9;;;;
Кемеровская область;25,8;33,3;44,0;56,1;68,9;75,4;84,0;84,4;81,4;79,8;81,5;81,2;84,0;;;;
Новосибирская область;24,4;28,0;37,2;42,5;50,6;57,2;69,3;72,6;75,5;74,8;66,7;70,3;80,3;;;;
Омская область;20,5;23,5;30,4;35,3;47,0;53,2;65,6;68,5;74,1;61,6;82,5;79,4;86,9;;;;
Томская область;40,2;46,4;58,5;66,3;67,2;73,9;74,4;75,6;72,5;74,4;79,6;71,5;80,1;;;;
Дальневосточный    федеральный округ;21,7;25,6;33,6;39,5;46,2;51,2;68,9;72,2;76,3;74,6;77,3;78,6;82,1;;;;
Республика Бурятия;20,7;23,4;33,4;41,8;45,3;56,4;73,2;75,8;77,2;74,2;72,2;62,6;68,2;;;;
Республика Саха (Якутия);14,8;16,4;25,1;32,0;37,3;39,2;50,9;57,7;62,3;61,4;64,4;68,5;73,4;;;;
Забайкальский край;18,9;24,3;29,5;33,4;42,7;54,7;74,5;76,7;82,4;79,0;81,0;82,6;83,7;;;;
Камчатский край;24,7;27,0;31,7;33,6;38,8;44,3;59,6;65,0;66,4;72,1;78,7;83,9;85,3;;;;
Приморский край;29,9;31,8;42,3;50,2;52,1;56,6;75,2;77,0;82,5;77,3;79,9;85,1;88,7;;;;
Хабаровский край;34,2;42,5;47,1;53,1;62,7;69,2;85,0;87,0;88,9;87,1;89,2;87,6;89,4;;;;
Амурская область;16,8;21,4;30,4;32,7;42,1;48,5;64,6;66,5;70,9;71,8;77,7;76,1;79,3;;;;
Магаданская область;19,4;20,2;29,2;35,2;46,9;43,5;61,9;65,4;66,2;72,1;77,2;80,3;84,1;;;;
Сахалинская область;17,8;24,2;32,6;42,7;50,4;51,3;80,8;81,7;84,1;83,6;82,1;87,9;87,1;;;;
Еврейская автономная    область;17,3;23,4;29,8;34,0;45,9;49,1;67,8;71,5;75,5;66,8;78,6;78,3;83,0;;;;
Чукотский автономный округ;14,7;16,5;19,2;24,0;27,6;32,4;56,5;54,7;71,0;69,8;70,4;76,4;89,6;;;;
_____________;;;;;;;;;;;;;;;;;
1) Федеральное статистическое наблюдение осуществляется с 2006 г.;;;;;;;;;;;;;;;;;
