Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.14. ЗАДОЛЖЕННОСТЬ ПО КРЕДИТАМ В РУБЛЯХ, ПРЕДОСТАВЛЕННЫМ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ ФИЗИЧЕСКИМ ЛИЦАМ1);;;;;;;;;;;;;;;;;;;;
20.14.1. Всего;;;;;;;;;;;;;;;;;;;;
"(исходя из местонахождения заемщиков; на начало года;  миллионов рублей)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Курганская область;96;240;412;618;1336;3153;4833;8467;13940;18532;16166;18358;26584;39249;52209;59212;70923;54563;59575;71657
Свердловская область;424;1080;2338;4189;11269;25411;38298;68282;109460;141186;119864;137090;190509;275099;353510;386546;360877;353015;396629;474587
Тюменская область;608;1571;3952;6992;15171;31022;52123;92275;145294;189711;169104;199711;281589;399436;510294;572321;546975;548928;601582;717133
в том числе:;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;-;-;1482;2700;8017;15529;25825;47163;69917;89822;81143;98756;140275;192708;249727;270886;265407;287326;312717;367629
Ямало-Ненецкий автономный округ;-;-;517;962;2327;5344;8440;13160;20308;24215;22297;30822;44993;65220;85146;94996;93914;101197;113281;133475
Тюменская область без     автономных округов;608;1571;1953;3330;4827;10149;17858;31952;55069;75674;65664;70133;96321;141508;175421;206439;187654;160405;175585;216029
Челябинская область;281;950;1997;3579;8574;17760;26551;46747;81894;109854;93994;105036;141280;198617;255524;277085;252713;247250;273792;326865
Сибирский                    федеральный округ;1680;4992;10444;17463;38970;80725;134544;252675;418188;543236;485885;541257;730451;1022607;1301992;1443941;1335529;1322590;1445388;1730798
Республика Алтай;19;41;74;124;416;596;928;2055;3762;5250;5286;5741;6904;9958;12253;13956;12470;11715;12465;15350
Республика Тыва;12;34;57;90;213;472;753;2337;4964;6879;7070;7691;10458;16011;20179;21419;19395;20454;23418;30136
Республика Хакасия;97;437;604;984;1758;3440;4786;7873;11365;13903;13145;14550;20414;27667;33547;35004;32990;35201;39233;46941
Алтайский край;341;851;1565;2657;5948;9649;14807;25936;42378;53548;49411;56764;74040;105955;140647;155099;141159;137781;150809;181906
Красноярский край;394;1313;2720;4286;8262;17621;28274;50064;81163;107736;97033;109693;152232;210323;262475;290587;269798;264946;287691;338739
Иркутская область;161;307;745;1503;3863;8849;17296;36174;60386;80315;73158;86657;119641;166573;211347;236203;219324;215434;232356;271694
Кемеровская область;243;767;1718;2447;5770;13005;24704;43831;68634;87025;75288;79658;104985;151900;189737;209274;191040;186684;201853;241529
Новосибирская область;117;426;968;1886;4722;10522;19099;40938;71251;93940;81945;92558;124915;172343;221277;248186;231658;236236;265158;323962
Омская область;173;420;1153;2042;4779;10300;14129;26183;45365;56879;48470;51061;68296;95385;127798;143160;133109;131578;142951;173937
Томская область;123;396;840;1444;3239;6271;9768;17284;28920;37761;35079;36884;48566;66492;82732;91053;84586;82561;89454;106605
Дальневосточный      федеральный округ;770;1851;3776;6637;14642;32709;55394;98957;155156;206397;188898;243633;355716;533418;678748;753982;700627;703104;777851;937069
Республика Бурятия;83;263;444;867;1987;5009;7530;14705;21634;28164;24741;32105;44049;69014;86279;91342;81958;72081;74884;84934
Республика Саха (Якутия);97;150;345;753;1742;3298;6657;11604;16742;22503;21569;28391;45272;70932;93769;111264;111482;122126;139428;171244
Забайкальский край;127;323;482;864;1803;4070;6572;12711;21178;27841;25888;31306;45717;65218;80722;90368;83538;81885;86951;102381
