Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
13.  ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО ;;;;;;;;
13.5. ИНДЕКСЫ ПРОИЗВОДСТВА  по виду экономической деятельности «Обрабатывающие производства»;;;;;;;;
13.5.2. В соответствии с ОКВЭД21);;;;;;;;
(в процентах к предыдущему году);;;;;;;;
;2015;2016;2017;2018;;;;
Ростовская область;162,9;113,9;107,3;110,4;;;;
г. Севастополь;198,5;116,2;110,3;115,1;;;;
Северо-Кавказский    федеральный округ;106,1;113,5;103,1;103,6;;;;
Республика Дагестан;105,1;129,8;120,2;108,9;;;;
Республика Ингушетия ;107,9;102,2;174,1;137,9;;;;
Кабардино-Балкарская Республика;110,7;85,1;101,3;93,5;;;;
Карачаево-Черкесская Республика;93,4;107,4;111,5;94,3;;;;
Республика Северная Осетия – Алания;93,3;86,8;98,6;89,8;;;;
Чеченская Республика ;101,4;102,5;101,4;100,4;;;;
Ставропольский край;108,8;118,3;102,3;107,3;;;;
Приволжский федеральный округ;100,4;102,9;103,2;102,0;;;;
Республика Башкортостан;101,3;104,1;103,1;100,3;;;;
Республика Марий Эл;110,9;95,2;106,4;98,5;;;;
Республика Мордовия;98,3;104,2;112,6;105,5;;;;
Республика Татарстан;101,1;102,7;102,9;100,8;;;;
Удмуртская Республика;103,9;114,6;102,9;104,2;;;;
Чувашская Республика;97,3;108,0;101,7;101,1;;;;
Пермский край;98,8;98,8;105,3;105,2;;;;
Кировская область;103,7;104,2;102,8;107,0;;;;
Нижегородская область;103,1;104,4;106,1;104,3;;;;
Оренбургская область;86,6;97,4;103,4;106,4;;;;
Пензенская область;110,2;105,1;103,5;105,4;;;;
Самарская область;96,7;97,3;104,9;104,1;;;;
Саратовская область;101,8;105,3;107,5;100,7;;;;
Ульяновская область;108,3;102,5;109,1;100,9;;;;
Уральский      федеральный округ;101,0;101,6;102,0;107,2;;;;
Курганская область;102,7;104,7;101,4;104,9;;;;
Свердловская область;95,9;102,6;101,8;110,2;;;;
Тюменская область;115,8;103,8;103,6;103,7;;;;
в том числе:;;;;;;;;
Ханты-Мансийский автономный округ – Югра;101,3;102,1;97,0;98,7;;;;
Ямало-Ненецкий автономный округ;140,1;104,6;101,2;99,2;;;;
Тюменская область без автономных округов;110,9;104,2;108,6;108,9;;;;
Челябинская область;96,9;95,8;106,1;99,5;;;;
Сибирский          федеральный округ2);99,9;98,4;102,4;103,8;;;;
Республика Алтай;78,5;91,1;105,1;117,0;;;;
Республика Тыва;86,9;105,0;113,5;105,3;;;;
Республика Хакасия;98,1;108,6;100,2;101,4;;;;
Алтайский край;99,9;103,3;105,3;99,7;;;;
Красноярский край;96,7;95,7;107,0;108,6;;;;
Иркутская область;106,1;105,2;104,6;95,1;;;;
Кемеровская область;101,0;99,2;102,6;100,5;;;;
Новосибирская область;100,0;100,0;102,8;105,0;;;;
Омская область;100,7;97,5;104,8;98,0;;;;
Томская область;107,3;103,1;103,6;109,5;;;;
Дальневосточный федеральный округ2);95,6;100,3;110,5;101,9;;;;
Республика Бурятия;104,5;81,7;89,6;104,9;;;;
Республика Саха (Якутия);93,2;105,2;97,1;106,2;;;;
Забайкальский край;94,9;94,2;89,9;97,0;;;;
Камчатский край;103,8;106,7;110,4;120,1;;;;
Приморский край;87,4;103,7;125,6;100,1;;;;
Хабаровский край;100,5;105,1;116,3;99,7;;;;
Амурская область;114,7;67,5;99,3;106,5;;;;
Магаданская область;104,2;103,7;103,6;118,1;;;;
Сахалинская область;90,0;110,5;111,6;96,2;;;;
Еврейская автономная область;85,1;70,7;117,6;88,6;;;;
Чукотский автономный округ;85,2;92,2;99,9;90,3;;;;
?????;;;;;;;;
1) Данные сформированы по полному кругу организаций по фактическим видам экономической деятельности  в соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС РЕД. 2) (ОКВЭД2).;;;;;;;;
 2) Данные за 2015-2017 гг. по Сибирскому и  Дальневосточному федеральным округам приведены в составе субъектов Российской Федерации до вступления в силу Указа Президента Российской Федерации от 3 ноября 2018 г. № 632.;;;;;;;;
