Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;
20. ФИНАНСЫ;;;;;;;;;;;;;;
20.18. ОТДЕЛЬНЫЕ ПОКАЗАТЕЛИ ДЕЯТЕЛЬНОСТИ СТРАХОВЩИКОВ , ИСХОДЯ ИЗ МЕСТА ЗАКЛЮЧЕНИЯ ДОГОВОРА;;;;;;;;;;;;;;
 20.18.2.  Выплаты по договорам страхования1);;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Калининградская область;1425,3;2031,5;2805,7;3142,2;4065,2;6132,8;8128,9;1118,3;1267,9;1462,0;1702,2;2049,2;1709,0;1681,1
Ленинградская область;908,0;994,4;856,7;1043,0;917,7;1500,7;6695,5;1359,1;1376,7;1240,1;1665,2;1603,6;1522,9;1790,1
Мурманская область;1741,6;2724,3;3712,4;4616,3;5070,1;4731,6;4946,2;1535,7;1860,8;2034,1;1924,2;1956,6;1721,2;1518,5
Новгородская область;530,6;1353,6;1571,4;2173,3;2539,6;2521,7;2798,5;875,2;1185,0;1073,7;1018,9;973,8;850,0;876,7
Псковская область;958,9;1160,8;1349,3;1598,4;1883,3;2010,9;2508,3;452,4;555,8;579,2;661,9;760,5;677,4;624,8
г. Санкт-Петербург;18123,6;20701,4;26812,4;37140,7;43958,1;43617,4;49294,2;29227,1;35023,5;40453,5;38503,9;35240,8;33976,2;34192,0
Южный             федеральный округ;17445,4;22828,6;32478,8;43985,7;46596,9;49443,9;56499,3;17878,5;20548,6;23422,8;24460,3;33170,0;29260,9;24206,3
Республика Адыгея;648,0;810,3;982,7;1121,6;1216,2;1284,8;1396,7;330,1;317,2;395,9;430,9;718,5;563,3;438,4
Республика Калмыкия;307,2;459,8;502,7;681,5;794,2;750,1;804,4;101,4;169,9;136,8;196,0;176,5;141,2;112,3
Республика Крым;;;;;;;;;;3,1;65,7;152,1;144,5;537,8
Краснодарский край;7115,5;7996,8;12399,2;17322,3;19399,6;19957,8;22505,2;8095,0;8953,3;10368,4;11662,1;16659,5;14350,6;11638,2
Астраханская область;1295,3;1982,2;2333,6;2706,1;3075,6;3176,7;3503,2;1214,9;1304,0;1513,2;1500,3;1704,8;1685,2;1633,5
Волгоградская область;2076,5;3480,9;5809,3;8538,7;7843,6;8543,2;10087,2;2524,8;3221,3;3962,5;4345,7;5003,8;4038,4;3144,7
Ростовская область;6002,9;8098,7;10451,3;13615,4;14267,6;15731,4;18202,5;5612,2;6582,8;7041,6;6241,3;8687,2;8305,3;6598,1
г. Севастополь;;;;;;;;;;1,4;18,4;67,6;32,5;103,1
Северо-Кавказский    федеральный округ;6878,8;9071,2;12899,4;18840,1;24632,6;26578,9;29793,8;4090,8;4666,9;5147,1;6538,8;8605,9;8874,3;11067,0
Республика Дагестан;2620,3;2924,6;3362,7;5211,7;6381,5;6936,7;7302,3;400,2;488,1;503,3;795,6;1596,9;2007,6;1580,4
Республика Ингушетия;14,2;56,0;272,3;521,0;707,3;950,8;1151,3;67,5;42,4;104,2;118,2;204,6;144,8;107,4
Кабардино-Балкарская Республика;124,7;308,9;709,5;1839,9;2077,7;2399,3;2741,7;277,1;386,5;349,2;438,8;607,9;604,2;471,1
Карачаево-Черкесская Республика;426,7;619,5;789,4;1027,5;1140,7;1198,3;1525,8;120,1;182,6;239,2;390,8;669,6;510,9;245,5
Республика Северная Осетия - Алания;136,7;633,1;1269,5;1575,1;1810,2;1696,9;1868,0;178,2;196,6;204,3;234,9;470,7;662,7;559,4
Чеченская Республика;261,6;219,2;877,0;1709,3;3136,7;3910,2;4436,0;61,0;199,4;144,7;231,5;303,5;452,5;412,2
Ставропольский край;3294,7;4310,0;5618,9;6955,6;9378,5;9486,7;10768,7;2986,8;3171,4;3602,1;4329,0;4752,6;4491,6;7691,0
Приволжский       федеральный округ;37397,0;52775,6;78453,0;105477,2;124427,2;128026,9;153503,2;47694,1;54827,0;60166,3;62717,3;63772,9;65134,2;53868,7
Республика Башкортостан;2104,9;4221,1;10776,7;13738,1;15629,2;15888,8;20541,1;5136,0;6078,4;6878,8;7552,7;7915,2;8113,5;6565,1
Республика Марий Эл;756,4;1164,6;1540,2;1833,0;1902,0;1856,0;2180,7;510,8;659,5;814,5;860,9;849,2;944,4;846,7
Республика Мордовия;691,7;834,0;1387,1;2007,7;1991,6;2480,3;3645,8;941,5;930,9;1045,2;1073,5;1024,2;1086,8;893,5
Республика Татарстан;10119,4;10441,9;15738,1;18026,8;20383,9;19963,2;23496,5;10212,0;11184,6;11849,8;12786,7;13436,7;13664,3;10615,9
Удмуртская Республика;726,4;914,7;1931,5;5926,0;7805,7;7269,7;8528,2;1854,0;2198,3;2605,7;2735,8;2513,6;2546,4;2490,6
Чувашская Республика;1444,4;1920,1;2449,5;3797,8;3956,6;5355,4;6570,6;1350,3;1481,5;1734,7;1730,3;1581,3;1487,8;1432,8
Пермский край;2441,1;4211,7;9784,1;12423,8;13110,6;13357,0;14114,9;4212,1;5349,2;5583,0;5701,4;5105,6;5130,2;4500,9
Кировская область;812,4;2384,9;2959,1;3877,3;5104,3;5270,7;6387,0;1398,7;1544,4;1800,3;2083,2;2138,7;2309,7;1795,0
Нижегородская область;6879,7;9005,6;10011,6;13015,4;19027,9;16558,8;19056,5;6693,5;7495,2;8212,1;8880,9;9447,9;10042,7;7040,2
Оренбургская область;959,7;1238,9;2008,0;4600,7;3332,5;4946,8;9589,3;2836,4;3479,6;3464,0;3361,5;3389,0;3478,6;2536,0
Пензенская область;1442,0;1601,3;1180,9;2576,9;3618,6;4709,4;5128,2;1181,0;1244,9;1499,2;1620,8;1886,0;1721,8;1948,2
Самарская область;6441,1;8207,0;10339,7;12913,6;15060,0;14949,8;17505,5;6203,0;7532,7;8388,0;8423,8;8081,6;8164,7;7378,4
Саратовская область;1720,1;4874,5;5969,8;8081,7;10110,8;10261,3;10586,2;3245,6;3498,1;4059,4;4120,7;3815,9;3295,2;3477,9
Ульяновская область;857,6;1755,1;2376,5;2658,4;3393,6;5159,6;6172,7;1919,4;2149,7;2231,7;1785,2;2588,0;3148,1;2347,6
Уральский       федеральный округ;23145,0;28573,0;48041,1;63447,3;65248,1;64084,2;69957,0;28138,7;33967,7;37052,7;33623,0;32370,0;32938,2;29624,9
Курганская область;246,9;254,4;1116,3;2347,6;2879,6;3268,0;3447,2;741,4;882,9;962,9;984,3;1006,2;992,3;1005,5
Свердловская область;4310,5;5717,5;16559,4;21985,8;21423,3;20012,4;21424,9;8473,7;10550,2;12000,7;10323,3;10281,1;10302,3;8935,9
Тюменская область;14869,7;15637,2;19788,4;24838,5;25572,7;25403,3;34492,3;12081,0;13950,0;15551,4;13620,8;11584,8;12804,2;12278,0
в том числе:;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ - Югра;6171,2;6474,8;7736,7;8869,1;8781,6;8530,3;14707,7;3183,3;3753,9;6689,5;7023,3;5148,2;6858,2;6988,8
Ямало-Ненецкий автономный округ;1707,8;796,7;1560,0;1671,0;2382,6;2566,4;3092,5;255,8;283,0;1600,1;1800,7;2011,2;2176,1;2169,2
Тюменская область без автономных округов;6990,6;0,0;10491,6;14298,4;14408,5;14306,5;16692,0;8641,9;9913,1;7261,8;4796,8;4425,4;3769,9;3120,0
Челябинская область;3717,9;6963,9;10577,0;14275,4;15372,5;15400,6;10592,7;6842,6;8584,6;8537,7;8694,6;9498,0;8839,5;7405,6
Сибирский      федеральный округ;30944,8;36375,5;46575,4;59674,2;66003,3;68836,5;90104,0;20569,3;23841,6;25896,4;27556,0;27599,9;27757,0;28130,4
Республика Алтай;257,4;505,8;531,2;643,8;783,1;801,0;916,5;55,3;67,2;74,6;107,8;147,7;152,4;223,8
Республика Тыва;32,5;218,8;1452,9;1471,5;1694,2;1700,6;1963,4;57,4;72,0;109,5;141,4;144,6;140,8;137,4
Республика Хакасия;432,3;1115,8;1279,6;1699,2;1983,4;2073,4;2517,4;308,2;379,4;466,6;591,5;579,0;666,4;599,8
Алтайский край;1463,5;1410,7;1578,1;2402,8;1966,7;2507,7;10418,6;1584,3;1910,5;1980,0;2272,3;2355,6;2457,1;2235,7
Красноярский край;6826,9;7115,5;9444,1;11581,0;13552,6;14434,8;21167,5;3763,4;4507,7;5077,4;5143,8;5190,5;4890,5;4911,1
Иркутская область;4875,6;6103,9;7483,6;10273,0;11320,5;11648,8;12988,9;3219,7;4014,7;4455,1;4712,5;4642,3;4461,5;5300,4
Кемеровская область;5940,3;6767,4;8275,5;9610,4;10700,5;11259,0;13698,7;3887,8;4538,1;4369,0;4634,0;4391,8;4487,5;4287,6
Новосибирская область;5970,4;6750,4;8983,8;11531,4;11515,4;12216,4;12461,6;4043,3;4103,6;4684,9;5355,3;5602,4;6152,8;6048,8
Омская область;2546,8;3099,1;3623,5;5215,4;7230,2;6544,9;7724,9;2181,1;2480,3;2769,0;2844,4;2811,8;2575,4;2421,5
Томская область;2599,1;3287,9;3923,1;5245,6;5256,7;5649,9;6246,5;1468,8;1768,1;1910,3;1753,0;1734,2;1772,6;1964,2
Дальневосточный     федеральный округ;14825,6;21860,0;25619,7;34195,3;41540,5;41240,7;50271,1;6505,3;8204,9;9567,2;11037,1;13680,3;13735,4;12846,3
Республика Бурятия;1658,6;1955,8;2401,9;3370,2;3352,4;3518,0;3941,5;469,0;703,2;805,5;1113,7;1194,4;1109,6;967,3
Республика Саха (Якутия);3282,1;3780,4;4106,4;5161,8;5882,3;6285,8;8961,1;599,1;721,4;961,0;1285,6;1058,4;1240,6;1590,5
Забайкальский край;1492,9;2304,6;2497,0;3339,1;4621,1;4587,7;4592,2;408,0;472,9;736,6;628,9;602,6;676,1;637,6
Камчатский край;1021,8;1374,2;1653,0;1410,9;2205,0;2636,6;2955,5;272,6;427,2;464,6;284,1;639,6;381,9;289,6
Приморский край;3459,2;4789,7;5937,6;7512,6;8840,8;8806,8;10967,6;1848,7;2315,1;2602,5;3401,0;5253,2;5066,0;3985,2
Хабаровский край;797,6;3118,3;3751,0;6271,4;7654,9;7303,5;9553,6;1831,1;2195,0;2448,8;2574,4;2682,2;2873,1;2886,8
Амурская область;1965,0;2310,6;2417,5;3207,8;3423,1;3411,6;4148,0;530,4;767,5;755,8;863,9;1191,0;1452,1;762,7
Магаданская область;536,4;586,6;708,2;1570,5;1849,1;1071,8;1340,6;110,1;110,5;187,5;159,9;204,6;163,2;183,8
Сахалинская область;273,9;1170,9;1680,6;1813,3;2934,7;2947,7;2998,7;387,3;427,3;536,3;628,0;724,4;639,0;705,0
Еврейская автономная область;333,1;442,3;463,2;535,7;642,9;667,5;805,6;42,3;59,0;62,8;88,6;122,0;119,0;94,9
Чукотский автономный округ;5,0;26,5;3,3;2,1;134,2;3,7;6,7;6,7;5,8;5,8;9,0;7,9;14,8;742,9
________________;;;;;;;;;;;;;;
1)Федеральное статистическое наблюдение ведется с 2005 года.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
