Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;
18.6. ИСПОЛЬЗОВАНИЕ ПЕРСОНАЛЬНЫХ КОМПЬЮТЕРОВ И СЕТИ ИНТЕРНЕТ В ДОМАШНИХ ХОЗЯЙСТВАХ1) ;;;;;;;
18.6.2. Удельный вес домашних хозяйств, имевших доступ к сети Интернет2);;;;;;;
"(по данным выборочного обследования населения по вопросам использования ИКТ; в процентах от общего числа домашних хозяйств соответствующего субъекта Российской Федерации)";;;;;;;
;2014;2015;2016;2017;2018;;
Пермский край;67,5;67,8;71,4;70,2;72,6;;
Кировская область;60,1;64,9;67,3;62,1;64,1;;
Нижегородская область;64,9;61,1;66,3;69,9;72,9;;
Оренбургская область;67,3;71,9;74,5;80,7;80,5;;
Пензенская область;63,6;62,4;70,3;71,9;71,9;;
Самарская область;65,6;67,6;69,4;77,6;81,8;;
Саратовская область;65,0;65,7;66,7;74,6;73,3;;
Ульяновская область;61,9;62,9;67,2;64,0;70,5;;
Уральский          федеральный округ;72,9;70,0;76,3;75,6;77,1;;
Курганская область;60,3;61,0;67,0;67,0;66,9;;
Свердловская область;74,6;69,0;77,3;71,6;74,0;;
Тюменская область;80,7;78,1;81,2;85,3;86,5;;
в том числе:;;;;;;;
Ханты-Мансийский      автономный округ – Югра;86,3;83,3;84,4;90,5;91,7;;
Ямало-Ненецкий    автономный округ;91,4;91,7;91,5;95,3;98,1;;
Тюменская область без автономных округов;70,8;67,4;74,0;76,1;76,5;;
Челябинская область;67,0;66,6;73,0;74,3;75,3;;
Сибирский    федеральный округ;68,6;70,6;71,6;72,2;72,9;;
Республика Алтай;65,9;74,2;69,4;76,4;84,4;;
Республика Тыва;65,8;68,6;76,2;86,2;87,4;;
Республика Хакасия;62,2;76,5;68,6;70,7;66,9;;
Алтайский край;65,8;66,1;68,4;69,6;73,4;;
Красноярский край;67,5;68,7;72,0;72,7;72,0;;
Иркутская область;68,2;74,6;72,6;69,8;73,5;;
Кемеровская область;71,3;69,4;73,3;71,7;70,5;;
Новосибирская область;72,6;72,7;73,2;72,7;76,3;;
Омская область;70,8;73,3;73,6;77,2;74,5;;
Томская область;60,9;67,0;63,9;70,0;65,1;;
Дальневосточный   федеральный округ;67,6;70,6;73,9;76,6;77,6;;
Республика Бурятия;58,2;59,7;61,6;77,5;78,6;;
Республика Саха (Якутия);73,0;75,5;77,6;81,1;78,8;;
Забайкальский край;55,0;65,1;67,8;67,9;65,1;;
Камчатский край;72,1;75,3;78,9;75,8;82,2;;
Приморский край;73,4;74,3;79,8;78,9;80,4;;
Хабаровский край;68,4;72,6;77,9;75,2;81,3;;
Амурская область;60,9;67,1;69,8;75,7;76,3;;
Магаданская область;86,4;91,1;86,3;86,4;87,7;;
Сахалинская область;75,4;68,3;66,9;78,3;74,6;;
Еврейская автономная    область;63,4;68,2;67,3;74,0;67,4;;
Чукотский автономный  округ ;78,5;73,0;86,9;76,4;90,6;;
?????;;;;;;;
"1)  Выборочное обследование осуществляется с 2013 г.;  данные публикуются с 2014 г.";;;;;;;
2) C любого устройства.;;;;;;;
