Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ ;;;;;;;;;;;;;;;;;;;;
ФИНАНСОВЫЕ РЕЗУЛЬТАТЫ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ ;;;;;;;;;;;;;;;;;;;;
12.6. УДЕЛЬНЫЙ ВЕС УБЫТОЧНЫХ ОРГАНИЗАЦИЙ1);;;;;;;;;;;;;;;;;;;;
(в процентах от общего числа организаций);;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Республика Ингушетия ;53,9;52,9;55,3;56,5;60,8;65,0;50,0;58,6;37,8;42,5;47,7;50,0;45,8;25,9;34,0;41,8;37,3;32,3;22,4;
Кабардино-Балкарская Республика;44,1;43,5;47,6;53,0;57,0;59,4;53,5;36,1;35,6;39,5;38,3;41,0;37,1;38,8;39,2;41,7;42,5;40,2;46,2;
Карачаево-Черкесская Республика;43,8;40,7;41,6;51,1;47,5;42,6;47,8;32,7;32,9;32,3;34,8;33,9;32,7;21,7;28,9;25,7;25,0;24,9;24,3;
Республика Северная Осетия – Алания;36,3;33,6;39,4;47,9;46,1;45,2;44,2;39,8;39,3;37,6;39,7;39,0;39,6;41,2;40,0;37,4;37,4;40,5;44,7;
Чеченская Республика;…;…;…;…;…;…;62,5;48,8;50,2;47,9;53,2;47,1;50,0;43,1;40,4;39,6;31,3;20,2;18,9;
Ставропольский край;32,5;32,3;37,1;41,0;33,0;30,0;25,6;19,8;20,3;23,2;23,9;23,1;22,7;26,6;26,0;22,6;22,8;24,7;26,1;
Приволжский федеральный округ;41,6;38,2;45,7;43,9;38,2;37,2;32,5;23,7;24,7;30,6;28,3;28,5;26,2;28,3;29,6;30,6;29,7;30,2;30,9;
Республика Башкортостан;37,1;32,2;38,3;34,1;30,6;30,2;23,6;20,6;19,0;23,3;20,6;20,3;21,0;22,0;23,3;28,2;27,7;27,9;28,8;
Республика Марий Эл;51,4;43,0;52,5;53,0;47,4;41,0;39,0;26,7;28,4;34,2;30,1;32,3;28,4;32,0;24,9;30,6;33,6;34,1;38,6;
Республика Мордовия;48,9;38,5;43,4;45,9;42,8;43,2;37,8;22,0;20,1;28,1;24,1;25,8;25,3;27,2;29,6;27,6;31,0;28,3;31,0;
Республика Татарстан;34,6;34,2;41,8;40,9;35,7;38,5;33,4;22,7;23,9;25,8;27,2;24,7;25,1;27,6;26,9;25,0;24,6;28,9;28,8;
Удмуртская Республика;37,2;39,5;49,8;51,0;44,8;39,5;34,7;27,1;30,0;38,0;33,9;35,1;30,6;29,2;30,9;29,1;29,8;27,4;31,4;
Чувашская Республика;42,2;33,3;41,3;42,3;36,5;31,8;30,6;21,9;22,0;27,6;29,3;28,5;31,7;29,9;29,6;29,2;30,5;30,9;32,2;
Пермский край;41,1;37,2;45,1;41,2;37,0;35,0;29,6;25,6;25,8;32,4;26,0;32,7;23,8;27,6;30,2;30,1;30,5;28,7;31,3;
Кировская область;46,6;43,3;52,6;49,8;38,6;37,9;33,6;24,3;26,4;28,5;25,1;30,4;27,5;30,6;29,8;29,9;28,6;28,6;31,2;
Нижегородская область;41,9;39,3;45,6;45,7;38,8;35,5;32,7;23,0;26,3;32,0;28,7;28,2;28,1;28,2;31,2;31,6;31,1;28,5;28,3;
Оренбургская область;40,6;39,7;53,5;44,1;38,0;44,4;37,4;19,8;17,5;25,7;28,2;27,0;28,2;30,7;34,4;33,1;33,6;40,1;36,5;
Пензенская область;49,4;46,1;50,9;46,8;42,2;39,1;36,0;25,3;25,3;32,3;37,0;39,1;33,9;37,5;42,1;39,8;38,3;37,9;38,3;
Самарская область;37,5;34,8;43,9;41,9;36,2;37,0;31,3;25,1;24,5;34,1;29,2;27,8;23,1;25,4;26,7;31,3;26,8;27,9;26,3;
Саратовская область;44,9;40,5;43,4;42,3;37,5;37,0;35,9;24,5;26,8;34,4;33,0;30,4;25,9;31,7;32,2;33,2;27,5;31,0;34,1;
Ульяновская область;53,0;48,8;57,8;58,3;49,5;47,5;40,6;27,4;31,7;35,9;32,2;28,9;30,2;34,2;39,3;41,6;43,2;40,3;42,5;
Уральский           федеральный округ;41,8;40,7;46,3;45,4;39,2;36,9;30,9;24,6;28,4;34,3;30,3;31,1;28,6;30,9;32,4;31,9;30,5;31,3;31,7;
Курганская область;59,9;61,2;65,3;54,8;51,6;48,7;41,6;31,0;35,4;42,2;42,1;37,0;35,9;39,7;42,0;38,2;34,3;33,1;38,5;
Свердловская область;39,9;37,5;41,9;44,9;37,3;35,4;29,5;25,5;29,0;36,9;29,4;28,8;26,7;29,3;31,1;30,3;29,5;30,8;28,7;
Тюменская область;39,4;34,5;43,2;41,9;36,7;34,7;28,1;22,6;26,9;29,4;28,8;31,3;29,6;30,9;32,6;32,6;30,9;30,7;33,2;
в том числе:;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;32,1;26,0;36,6;36,6;31,3;30,6;24,4;20,2;23,9;27,1;27,8;29,4;27,7;26,6;29,8;28,7;29,0;28,5;31,0;
Ямало-Ненецкий автономный округ;44,5;42,8;42,2;48,3;43,0;45,2;38,0;29,3;36,3;34,4;32,8;38,7;35,6;38,4;41,7;44,8;38,6;37,0;41,4;
Тюменская область без автономных округов;44,4;39,8;50,6;44,9;40,1;34,9;28,1;22,2;26,2;29,7;28,4;29,8;28,9;32,4;32,1;31,4;29,3;30,3;31,8;
Челябинская область;38,5;42,2;47,4;46,1;39,8;36,9;32,7;24,2;27,9;37,3;31,2;32,7;28,6;31,8;32,1;32,7;31,0;33,1;33,7;
Сибирский           федеральный округ;46,6;44,2;49,8;48,2;41,0;40,2;34,2;25,2;28,5;32,8;29,4;28,7;29,3;30,4;32,4;32,6;31,0;29,4;29,7;
Республика Алтай;52,9;37,1;38,2;34,9;39,8;34,4;30,4;25,0;31,5;25,6;39,7;32,1;29,7;28,8;29,1;32,9;33,9;27,1;26,2;
Республика Тыва;69,2;64,5;48,2;49,1;50,3;46,4;38,2;32,1;38,5;28,8;29,3;32,3;30,7;32,3;36,5;37,1;33,1;14,5;17,9;
Республика Хакасия;45,9;46,8;47,3;47,6;37,8;34,8;35,1;30,1;27,1;32,9;27,8;29,6;35,8;39,9;38,3;35,8;33,0;36,3;39,5;
Алтайский край;42,3;41,5;56,0;49,0;41,6;46,8;36,2;23,7;26,8;29,2;21,2;21,4;25,0;26,7;32,0;30,5;30,9;28,2;31,6;
Красноярский край;43,9;40,2;45,8;47,2;40,5;38,0;33,4;23,3;24,6;28,4;29,0;27,1;28,5;28,9;30,8;31,7;30,5;32,0;31,5;
Иркутская область;47,1;45,7;45,1;48,6;42,6;38,6;33,9;23,2;30,3;33,7;29,6;29,2;26,4;27,4;28,6;29,4;25,6;28,3;28,0;
