Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;
6. КУЛЬТУРА, ОТДЫХ И ТУРИЗМ;;;;;;;;;;;;;;;;;;;;;;
6.5. ДЕТСКИЙ ОТДЫХ;;;;;;;;;;;;;;;;;;;;;;
"6.5.1. Число организаций отдыха и оздоровления детей 1);2)";;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;
Республика Алтай;26;30;31;31;153;214;216;228;234;261;263;273;273;273;263;268;225;230;212;;;
Республика Тыва;150;176;254;344;381;365;361;361;329;326;331;234;220;222;213;217;225;195;196;;;
Республика Хакасия;257;260;270;294;297;290;274;271;259;237;231;233;230;221;217;216;204;201;198;;;
Алтайский край;1426;1427;1495;1419;1437;1338;1369;1363;1470;1476;1468;1205;1167;1144;1134;1101;1048;727;863;;;
Красноярский край;374;395;388;384;436;658;728;821;765;786;913;908;899;913;912;898;887;883;870;;;
Иркутская область;925;997;926;920;925;964;975;1007;1008;943;910;921;924;885;878;842;839;848;811;;;
Кемеровская область;982;1075;1038;994;998;955;940;907;833;840;860;811;846;762;769;799;779;767;689;;;
Новосибирская область ;741;805;903;906;1110;1109;1110;1100;1053;1037;1019;1033;1022;1014;995;999;985;963;961;;;
Омская область;182;182;184;184;185;190;198;198;899;883;866;850;862;836;821;778;632;590;596;;;
Томская область;480;532;567;583;594;552;535;527;503;476;518;495;510;520;582;574;552;586;558;;;
Дальневосточный   федеральный округ;3780;4146;4425;4605;4669;4613;4651;4619;4739;4590;4643;4336;4200;4180;4192;4057;4076;3854;3754;;;
Республика Бурятия;283;392;452;457;448;515;551;713;719;617;632;643;610;575;582;562;576;530;514;;;
Республика Саха (Якутия);697;888;989;1081;1024;1031;1040;896;1107;944;935;786;694;714;687;710;759;696;660;;;
Забайкальский край;484;509;571;569;656;692;691;701;727;705;731;718;757;733;763;682;649;564;532;;;
Камчатский край;182;172;146;138;147;152;144;150;137;144;149;151;152;144;142;141;149;147;150;;;
Приморский край;758;703;763;811;831;714;685;671;661;674;648;681;668;668;678;677;669;622;592;;;
Хабаровский край ;576;610;620;663;621;642;712;639;559;742;725;475;466;478;517;514;486;486;462;;;
Амурская область;355;400;394;402;419;369;353;351;343;325;347;353;338;352;325;265;261;261;269;;;
Магаданская область;121;124;106;95;93;93;91;85;84;79;101;77;74;74;73;78;77;75;68;;;
Сахалинская область;158;239;278;282;316;279;250;274;260;246;267;302;293;293;280;284;307;332;364;;;
Еврейская автономная область;107;108;106;106;113;125;133;138;141;113;108;108;107;107;102;102;101;99;101;;;
Чукотский автономный округ;59;1;?;1;1;1;1;1;1;1;-;42;41;42;43;42;42;42;42;;;
___________;;;;;;;;;;;;;;;;;;;;;;
"1) Официальная статистическая информация сформирована по данным предоставленным юридическими лицами (кроме субъектов малого предпринимательства) всех форм собственности и ведомственной принадлежности, оказывающими услуги по организации отдыха и оздоровлению детей за летний период (до 2018 г. - с июня по август, по месту нахождения юридического лица; с 2018 г. - с мая по сентябрь, по месту осуществления фактической деятельности юридического лица).
2) Включая оздоровительные  группы для детей (без лечения), открытые только в летний период при детских и взрослых санаторно-курортных организациях.
";;;;;;;;;;;;;;;;;;;;;;
