Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"15. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ЛЕСНОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.40. ОСНОВНЫЕ ПОКАЗАТЕЛИ ПО ВИДУ ДЕЯТЕЛЬНОСТИ «ЛЕСОЗАГОТОВКИ»1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"14.40.4. Удельный вес убыточных  организаций в общем числе организаций по виду экономической деятельности ""Лесозаготовки""2)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(процентов);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ямало-Ненецкий автономный округ;100;-;-;-;-;-;-;100; - ;-;-;100;100;100;;;;;;;;;;;;;;;;
Тюменская область без  автономных округов;100;50,0;25,0;25,0;75,0;60,0;100;-; - ;-;-;-;-;-;;;;;;;;;;;;;;;;
Челябинская область;100;100;-;-;-;-;-;-;-;100;-;-;-;-;;;;;;;;;;;;;;;;
Сибирский     федеральный округ;59,3;55,8;46,3;45,8;41,1;43,1;26,6;38,8;45,9;41,4;37,7;51,0;42,9;35,1;;;;;;;;;;;;;;;;
Республика Алтай;-;-;-;100;100; - ;100;100;100;-;-;-;-;-;;;;;;;;;;;;;;;;
Республика Тыва;-;-;-;-;-;-;-;-; - ;-;-;-;-;-;;;;;;;;;;;;;;;;
Республика Хакасия;0,0;100;100;100;-;-;-;-; - ;-;-;-;-;-;;;;;;;;;;;;;;;;
Алтайский край;0,0;100;-;-;6,7; - ;-;16,7; - ;20,0;20,0;50,0;20,0;-;;;;;;;;;;;;;;;;
Красноярский край;59,5;61,9;46,7;54,5;50,0;66,7;64,3;52,9;41,7;69,2;38,5;50,0;46,2;50,0;;;;;;;;;;;;;;;;
Иркутская область;64,4;51,8;48,1;52,5;61,8;53,6;36,4;44,0;45,8;25,0;25,0;44,4;33,3;38,1;;;;;;;;;;;;;;;;
Кемеровская область;0,0;33,3;-;33,3;-;33,3;-;100; - ;100;-;-;-;-;;;;;;;;;;;;;;;;
Новосибирская область;0,0;-;-;50,0;-;100;-;-; - ;25,0;38,9;64,3;43,8;23,5;;;;;;;;;;;;;;;;
Омская область;-;-;100;100;-; - ;-;-;100;-;-;-;-;40,0;;;;;;;;;;;;;;;;
Томская область;100;100;60,0;50,0;20,0;60,0;42,9;18,2;55,6;60,0;75,0;37,5;85,7;44,4;;;;;;;;;;;;;;;;
Дальневосточный    федеральный округ;43,8;29,4;29,2;65,5;60,9;55,8;41,9;55,4;54,3;47,6;34,6;41,5;37,0;40,0;;;;;;;;;;;;;;;;
Республика Бурятия;75,0;80,0;40,0;50,0;50,0;33,3;50,0;60,0;44,4;100;-;100;50,0;-;;;;;;;;;;;;;;;;
Республика Саха (Якутия);60,0;100;100;100;50,0;100;-;-;100;-;-;-;-;-;;;;;;;;;;;;;;;;
Забайкальский край;40,0;33,3;42,9;16,7;62,5;50;40,0;100;71,4;50,0;33,3;-;-;-;;;;;;;;;;;;;;;;
Камчатский  край;100;100;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;
Приморский край;26,3;5,6;-;44,4;50,0;46,7;42,9;54,5;41,7;30,8;18,8;7,7;-;15,4;;;;;;;;;;;;;;;;
Хабаровский край;43,6;22,2;29,3;78,3;70,0;67,3;38,9;61,8;67,6;59,3;30,4;42,3;56,0;58,3;;;;;;;;;;;;;;;;
Амурская область;22,2;54,5;42,1;58,8;46,7;35,7;56,2;41,2;40,0;62,5;71,4;100;60,0;60,0;;;;;;;;;;;;;;;;
Магаданская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;
Сахалинская область;60,0;100;-;-;-;-;100;100;100;50,0;100;100;100;100;;;;;;;;;;;;;;;;
Еврейская автономная область;60,0;25,0;50,0;66,7;50,0;50,0;-;33,3;14,3;-;33,3;50,0;-;-;;;;;;;;;;;;;;;;
Чукотский автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;
??????;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1) Данные за 2005-2016 гг. приведены в соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (КДЕС Ред. 1.1) ОКВЭД-2007; данные с 2017 г. - в соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред. 2) ОКВЭД2.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) По данным бухгалтерской отчетности.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
