Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;
"4.9. ЧИСЛО ПРОФЕССИОНАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ПОДГОТОВКУ КВАЛИФИЦИРОВАННЫХ РАБОЧИХ, СЛУЖАЩИХ в 2000-2015 гг. 1);2)";;;;;;;;;;;;;;;;
(на конец года);;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Забайкальский край;31;31;31;31;31;31;29;34;28;28;27;25;21;19;17;15
Камчатский край;15;15;15;15;15;15;15;15;15;14;12;10;10;10;9;1
Приморский край;59;57;57;57;56;43;42;42;40;40;38;38;32;31;15;15
Хабаровский край ;49;49;49;49;50;48;44;43;29;25;22;22;16;14;12;11
Амурская область;29;29;29;29;29;29;27;27;27;23;22;10;12;12;6;6
Магаданская область;10;10;10;10;10;10;8;10;10;10;10;9;9;9;9;8
Сахалинская область;21;21;21;21;20;15;15;15;12;13;12;12;13;10;4;3
Еврейская автономная область;9;9;9;9;9;8;8;11;10;7;7;7;7;7;4;4
Чукотский автономный округ;4;4;4;4;4;3;4;4;4;4;3;3;3;3;3;-
?????;;;;;;;;;;;;;;;;
1) С 2011 года - по данным Минпросвещения России.;;;;;;;;;;;;;;;;
2) С 2016/2017 учебного года входят в состав организаций, осуществляющих образовательную деятельность по программам среднего профессионального образования.;;;;;;;;;;;;;;;;
