Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;
РОЗНИЧНАЯ ТОРГОВЛЯ;;;;;;;;;;;;;;;;;;;
16.5. ОБОРОТ РОЗНИЧНОЙ ТОРГОВЛИ ПО ТОРГОВЫМ СЕТЯМ1);;;;;;;;;;;;;;;;;;;
" (в фактически действовавших ценах; в процентах от общего объема оборота розничной торговли субъекта Российской Федерации)";;;;;;;;;;;;;;;;;;;
;20092);20102);2011;2012;2013;2014;2015;2016;2017;2018;;;;;;;;;
Тюменская область без автономных округов;;;;;18,9;20,9;25,2;28,0;30,8;33,5;;;;;;;;;
Челябинская область;11,6;11,8;14,7;20,3;21,9;23,8;29,1;35,8;37,3;40,0;;;;;;;;;
Сибирский федеральный округ4);13,0;14,7;14,9;20,7;22,4;23,2;25,7;29,5;31,2;35,7;;;;;;;;;
Республика Алтай;14,4;16,1;19,7;20,6;25,2;25,4;28,8;29,6;31,0;33,2;;;;;;;;;
Республика Тыва;0,1;0,1;1,6;2,4;2,8;4,8;5,0;11,0;8,7;9,4;;;;;;;;;
Республика Хакасия;8,7;6,3;6,8;7,5;8,4;9,4;9,1;14,3;17,0;18,4;;;;;;;;;
Алтайский край;18,6;21,7;19,0;24,0;25,7;26,1;28,6;33,0;34,8;35,9;;;;;;;;;
Красноярский край;13,2;12,2;12,7;15,1;15,8;16,5;19,4;25,0;28,0;30,1;;;;;;;;;
Иркутская область;9,7;13,0;12,2;16,3;18,4;15,8;20,2;23,5;26,7;30,9;;;;;;;;;
Кемеровская область;8,7;11,2;11,1;29,7;31,6;34,2;34,8;40,4;42,4;44,6;;;;;;;;;
Новосибирская область;20,1;20,9;21,7;27,6;30,8;32,6;37,9;39,4;40,5;41,6;;;;;;;;;
Омская область;14,8;17,1;18,8;21,3;24,6;26,9;30,7;33,9;33,2;33,3;;;;;;;;;
Томская область;12,7;19,5;19,7;27,4;27,6;29,9;27,4;37,7;40,5;44,8;;;;;;;;;
Дальневосточный федеральный округ4);7,2;7,7;7,6;9,0;9,8;10,8;11,9;13,0;13,7;12,7;;;;;;;;;
Республика Бурятия;4,6;6,4;6,0;7,5;8,1;7,5;7,5;9,8;9,8;10,3;;;;;;;;;
Республика Саха (Якутия);0,9;0,6;0,6;0,2;6,1;5,5;8,1;9,6;9,9;11,2;;;;;;;;;
Забайкальский край;4,3;6,9;7,4;8,2;8,0;8,1;11,7;10,8;11,6;12,2;;;;;;;;;
Камчатский край;9,0;8,2;9,3;7,3;10,0;10,7;12,3;22,0;29,1;29,3;;;;;;;;;
Приморский край;8,6;7,4;7,3;7,9;6,3;7,3;9,5;5,8;8,0;8,3;;;;;;;;;
Хабаровский край;14,3;16,8;14,7;18,9;18,9;22,1;21,3;22,3;19,1;14,9;;;;;;;;;
Амурская область;7,3;9,4;11,0;13,6;12,6;13,2;14,1;19,5;19,3;20,5;;;;;;;;;
Магаданская область;3,1;2,8;2,8;2,9;9,8;9,6;9,8;15,1;16,6;13,4;;;;;;;;;
Сахалинская область;1,3;1,0;1,1;1,3;1,4;1,5;2,2;4,4;8,1;8,2;;;;;;;;;
Еврейская автономная область;7,8;13,0;15,3;13,3;14,6;15,5;15,9;18,5;20,4;20,6;;;;;;;;;
Чукотский автономный округ;…;…;…;…;…;…;…;14,3;22,8;23,0;;;;;;;;;
?????;;;;;;;;;;;;;;;;;;;
1)  Статистическое наблюдение ведется с 2009 года.;;;;;;;;;;;;;;;;;;;
2) Оперативные данные.;;;;;;;;;;;;;;;;;;;
3)  2014, 2015 гг. – без учета данных по Республике Крым  и г. Севастополю.;;;;;;;;;;;;;;;;;;;
4) Данные за 2009-2017 гг. по Сибирскому и Дальневосточному федеральным округам приведены в составе субъектов Российской Федерации до вступления в силу Указа Президента Российской Федерации          от 3 ноября 2018 г. № 632.  ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
