Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.10. ВКЛАДЫ (ДЕПОЗИТЫ) ЮРИДИЧЕСКИХ И ФИЗИЧЕСКИХ ЛИЦ В ИНОСТРАННОЙ ВАЛЮТЕ, ПРИВЛЕЧЕННЫЕ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ;;;;;;;;;;;;;;;;;;;;
20.10.1. Всего;;;;;;;;;;;;;;;;;;;;
"(исходя из места привлечения средств; на начало года; миллионов рублей)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Нижегородская область;2073;3435;4863;7426;7567;7524;9220;8050;10170;19082;22352;20603;20707;22517;25520;55505;75700;64181;60492;68896
Оренбургская область;452;753;1279;1941;2380;2817;2913;2900;2912;5420;6367;5521;7608;7165;10055;17479;24349;18749;15939;15787
Пензенская область;247;354;504;848;838;902;1067;1009;1231;2607;2978;2579;2771;3134;3419;7024;9980;7689;7473;8333
Самарская область;1875;2751;5162;8578;8755;10051;10840;11433;12251;29768;30171;29928;34466;42635;58590;128145;228208;143149;129444;128413
Саратовская область;609;899;1496;2369;2523;2724;2936;2577;3306;9558;11144;8728;10582;12213;14520;27707;37255;31240;26928;26526
Ульяновская область;200;293;480;855;853;935;1018;875;1000;2431;3491;4635;4522;3072;3618;8057;11760;13035;8759;9263
Уральский            федеральный округ;22499;56696;65642;46919;37338;42438;42769;27317;40053;104031;129562;113203;125738;136427;150691;321911;473935;363886;336449;397970
Курганская область;51;112;184;277;265;277;307;310;354;914;1082;953;864;1043;1187;2935;4330;3482;3271;3935
Свердловская область;2172;3693;5890;9490;11681;9525;10646;8438;12624;36029;36662;30367;38296;49924;51151;102517;129061;105530;95542;104452
Тюменская область;18763;50827;56918;32358;19483;26618;26818;14268;21310;32667;58665;57371;64050;64679;78648;157274;243926;197269;180013;209525
в том числе:;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;-;-;1040;1524;10481;18984;19240;9702;16828;21027;44913;44882;49245;47951;59331;116698;162526;139069;143103;169918
Ямало-Ненецкий   автономный округ;-;-;484;392;402;1248;2071;1329;961;1761;1729;1481;1659;4115;4131;12972;8723;6724;5450;6429
Тюменская область   без автономных округов;18763;50827;55394;30442;8600;6386;5507;3237;3521;9879;12023;11008;13146;12613;15186;27604;72678;51476;31459;33178
Челябинская область;1513;2064;2650;4794;5909;6018;4998;4301;5765;34421;33153;24512;22528;20781;19705;59185;96618;57605;57624;80057
Сибирский       федеральный округ;4559;8135;11835;18224;19021;18964;21847;17984;60924;55923;66588;58528;73294;76384;89549;209736;359712;246854;239415;322738
Республика Алтай;18;0,0;33;2;2;46;43;38;45;109;187;93;85;107;108;307;355;301;303;385
Республика Тыва;7;8;1;26;21;20;25;20;32;58;67;69;58;53;58;232;342;183;208;291
Республика Хакасия;59;79;23;215;210;250;324;313;372;821;889;542;500;885;1117;1322;2378;3072;3307;3592
