Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;
13. ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО;;;;;;;;;;;;;
13.2. ОБЪЕМ ОТГРУЖЕННЫХ ТОВАРОВ СОБСТВЕННОГО ПРОИЗВОДСТВА, ВЫПОЛНЕННЫХ РАБОТ И УСЛУГ СОБСТВЕННЫМИ СИЛАМИ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ;;;;;;;;;;;;;
13.2.1. «Добыча полезных ископаемых» в соответствии с ОКВЭД1);;;;;;;;;;;;;
"(в фактически действовавших ценах; миллионов рублей)";;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;
Астраханская область;9504;13371;13687;9319;18548;22508;32246;68393;93638;100786;125060;137480;
Волгоградская область;16004;18701;20812;23400;22995;29847;39243;45511;45758;45725;48094;45487;
Ростовская область;7968;9835;14854;22381;12133;13623;17364;18614;17582;20700;24023;21228;
г. Севастополь;;;;;;;;;;16,0;483;…2);
Северо-Кавказский       федеральный округ;8686;10607;14556;15433;14007;15357;16974;19252;20337;21757;21712;23039;
Республика Дагестан;2680;2331;2717;2235;2068;2426;2898;3447;3109;3170;3337;3755;
Республика Ингушетия;643;560;409;395;380;392;775;1051;1344;1253;1279;1241;
Кабардино-Балкарская Республика;74,4;94,3;121;118;224;126;109;177;175;173;209;348;
Карачаево-Черкесская Республика;543;822;920;1139;1095;1524;1615;1754;1942;1934;2544;2682;
Республика Северная Осетия – Алания;145;360;383;367;319;407;326;358;433;547;628;581;
Чеченская Республика;…;…;5462;4951;4152;4053;4405;4290;4910;5440;4868;5196;
Ставропольский край;4601;6440;4544;6228;5769;6429;6845;8173;8425;9240;8847;9235;
Приволжский федеральный округ;531234;668803;745444;860060;811342;945046;1245956;1355243;1499228;1473180;1726802;1688181;
Республика Башкортостан ;66864;88648;100319;121796;72203;93809;117016;133473;146854;169093;195725;209446;
Республика Марий Эл;79,7;107;143;291;215;218;281;360;384;469;501;649;
Республика Мордовия;63,0;59,8;182;188;164;156;237;166;185;224;231;132;
Республика Татарстан;197226;203086;232786;268193;281542;307284;373952;363156;367108;368991;439139;443069;
Удмуртская Республика ;46128;55195;72067;83775;74725;86187;113253;124512;133616;137644;165784;162171;
Чувашская Республика;180;196;260;401;244;358;484;695;633;1909;638;518;
Пермский край ;60873;72368;79213;90844;87231;111410;184063;213668;209238;206134;249038;254508;
Кировская область;208;216;313;463;470;569;681;910;848;898;925;1203;
Нижегородская область;346;523;840;1087;730;802;1597;1876;1741;1776;2303;1333;
Оренбургская область ;89821;162966;163171;180118;185875;215311;282235;313118;420880;348081;383955;338587;
Пензенская область;740;897;1115;1222;1000;1359;1605;1878;649;596;411;846;
Самарская область;55566;70031;77380;91841;90557;108290;145226;171702;186506;205669;244656;240374;
Саратовская область;10075;11071;13716;15171;12185;14205;18191;20837;20374;20222;30646;25803;
Ульяновская область;3064;3441;3940;4671;4199;5089;7135;8891;10212;11475;12851;9541;
Уральский        федеральный округ;1698324;2026807;2098437;2396131;2246862;2525077;3155976;3698249;3594732;3771668;4351495;4453004;
Курганская область ;306;511;844;1152;1186;1582;1846;2511;2447;2320;2442;3493;
Свердловская область ;34106;37894;49355;54595;39051;61206;70638;62710;54804;52059;56178;54118;
Тюменская область;1656325;1978788;2035408;2323781;2192210;2444036;3060890;3605421;3506043;3680429;4235443;4328054;
в том числе:;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;1285302;1511714;1562900;1755504;1674428;1852415;2332816;2631669;2341619;2403087;2717011;2662062;
Ямало-Ненецкий автономный округ;364787;459580;464564;559252;498136;558134;671459;890918;1054857;1146823;1354152;1495221;
Тюменская область без автономных округов;6237;7494;7944;9025;19646;33486;56615;82834;109567;130518;164280;170772;
Челябинская область ;7587;9613;12830;16603;14416;18253;22603;27607;31438;36862;57432;67340;
Сибирский федеральный округ;317887;328836;406401;569596;550757;877031;1145090;1182106;1211699;1311676;1600524;1800423;
Республика Алтай ;283;320;405;494;541;509;862;740;575;628;977;1568;
Республика Бурятия;6364;5792;4943;12225;14661;9269;12808;14621;14504;16491;22860;21129;
Республика Тыва;1014;1248;1425;1885;2128;3011;3376;3640;3624;4569;7848;14999;
Республика Хакасия;6770;8230;8910;10925;13679;20857;26536;28159;27946;31760;38967;41422;
Алтайский край ;461;969;2238;3095;3383;4403;6041;7209;4068;3637;5520;4852;
Забайкальский край;8994;10820;13330;17098;20270;39001;40377;43689;44813;48108;61382;75688;
Красноярский край;26470;29105;35344;46537;85992;240571;266636;248580;296844;318766;373484;403581;
Иркутская область;17106;19153;30126;34376;40988;68817;129795;190587;213896;259575;348350;393441;
Кемеровская область ;161231;160620;208671;312055;258324;377514;507993;478534;438022;457400;553435;658776;
Новосибирская область ;13369;15782;20821;37441;27079;16455;19674;22257;22560;22953;25852;29635;
Омская область ;3813;5402;3623;3548;964;4784;4411;3006;5781;3855;4042;3414;
Томская область ;72011;71393;76565;89916;82748;91842;126582;141085;139066;143934;157806;151917;
Дальневосточный федеральный округ;196777;229548;370874;435432;494142;702239;968843;1067496;1098304;1394349;1537831;1585860;
Республика Саха (Якутия);112305;119451;116077;136023;109235;214206;285757;317116;338681;407115;503910;620688;
Камчатский край;2556;2687;4494;4567;5169;6326;6439;7779;5694;8190;13254;22947;
Приморский край;6489;7126;7209;6916;8021;10656;14195;13869;13637;11016;16124;17186;
Хабаровский край;13917;14507;16397;19118;22804;25291;29187;41711;43233;49980;62125;71553;
Амурская область;7942;9577;10649;15132;23995;26599;49973;53473;49747;55690;72180;64379;
Магаданская область;14883;14755;13718;15757;20871;29546;41815;59256;53178;61790;83196;106564;
Сахалинская область;35817;57863;198687;217105;267746;353836;502527;539776;558867;736034;708683;597755;
Еврейская автономная область;220;187;453;308;216;286;402;398;414;720;974;1227;
Чукотский автономный округ;2648;3395;3190;20506;36086;35494;38547;34116;34853;63813;77386;83562;
?????;;;;;;;;;;;;;
1) Данные сформированы по кругу крупных, средних и малых организаций по фактическим видам экономической деятельности в соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (КДЕС Ред.1.1) (ОКВЭД).;;;;;;;;;;;;;
"2) Данные за 2016 г. не публикуются в целях обеспечения конфиденциальности первичных статистических данных, полученных от  организаций, в соответствии с Федеральным законом от 29.11.2007          № 282-ФЗ ""Об официальном статистическом учете и системе государственной статистики в Российской Федерации"" (п.5 ст.4, ч.1 ст.9).   ";;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
?????;;;;;;;;;;;;;
"1) Данные не публикуются в целях обеспечения конфиденциальности первичных статистических данных, полученных от  организаций, в соответствии с Федеральным законом от 29.11.2007 № 282-ФЗ ""Об официальном статистическом учете и системе государственной статистики в Российской Федерации"" (п.5 ст.4, ч.1 ст.9).";;;;;;;;;;;;;
;;;;;;;;;;;;;
