Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;
3.11. ВЕЛИЧИНА ПРОЖИТОЧНОГО МИНИМУМА, УСТАНОВЛЕННАЯ В ЦЕЛОМ ПО РОССИЙСКОЙ ФЕДЕРАЦИИ1) И В СУБЪЕКТАХ РОССИЙСКОЙ ФЕДЕРАЦИИ2)  ;;;;;;;;;;;;;;;;;;
"( за  IV квартал; в среднем на душу населения; рублей в месяц)";;;;;;;;;;;;;;;;;;
;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Республика Татарстан;...;1599;1764;2012;2460;2695;3172;3846;4101;4733;5001;5622;6278;6988;7775;8108;8334;8709
Удмуртская Республика;1383;1687;1979;2178;2463;2947;3605;4065;4342;5090;5277;5753;6375;7324;8473;8594;8453;8975
Чувашская Республика;1294;1621;1764;2007;2236;2712;3351;3981;4215;5007;5247;5510;6049;6988;8071;8346;8236;8657
Пермский край4);1578;1961;2267;2559;2880;3571;4237;4987;5535;6101;6690;6702;7361;8185;9582;9594;10098;10098
Кировская область;1502;1757;2021;2275;2717;3066;3753;4344;4746;5437;5718;6169;6905;7641;9276;9276;9627;9897
Нижегородская область;1446;1727;2085;2355;2738;3255;3865;4713;5040;5688;5950;6579;6488;7454;8382;8639;8739;9222
Оренбургская область;...;1666;1856;2059;2431;2734;3442;4033;4445;5132;5345;5783;6131;6971;8053;8242;8234;8642
Пензенская область;...;1677;1800;2123;2497;2999;3448;4072;4341;5163;5338;5589;6057;6839;8120;8398;8326;8774
Самарская область;1661;1977;2246;2630;3152;3727;4279;4984;5408;6191;6420;6903;7482;7954;8873;9664;9400;9872
Саратовская  область;1535;1831;2021;2325;2634;2919;3735;4203;4488;5059;5271;5722;6126;6932;7986;8168;8222;8599
Ульяновская область;1367;1702;1875;2276;2530;2936;3507;4074;4414;5164;5432;5786;6472;7298;8528;8826;9062;9346
Уральский       федеральный округ;;;;;;;;;;;;;;;;;;
Курганская область;1496;1816;2081;2313;2630;2977;3509;4249;4589;5238;5570;6041;6509;7605;8793;9142;9220;9387
Свердловская область;1703;2034;2173;2432;2861;3324;3902;4714;5201;5946;6513;7005;7238;8025;9670;9973;10031;10217
Тюменская область3);;;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный    округ - Югра;2454;3002;3247;3770;4357;5274;6265;7395;8172;8807;9126;9579;10818;12135;14350;14556;14135;14471
Ямало-Ненецкий автономный округ;2846;3138;3721;4136;5362;5940;6656;8048;9119;9916;10496;10851;12496;14241;15752;15973;15946;15538
