Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;
4.12. ПРЕПОДАВАТЕЛИ И МАСТЕРА ПРОИЗВОДСТВЕННОГО ОБУЧЕНИЯ,  РЕАЛИЗУЮЩИЕ ПРОГРАММЫ ПОДГОТОВКИ КВАЛИФИЦИРОВАННЫХ РАБОЧИХ, СЛУЖАЩИХ;;;;;;;;;
4.12.1. Численность преподавателей1);;;;;;;;;
"(на конец года; человек)";;;;;;;;;
;2010;2011;2012;2013;2014;2015;2016;2017;2018
Псковская область;208;155;117;94;96;77;71;55;64
г. Санкт-Петербург;880;808;819;790;592;407;662;713;780
Южный             федеральный округ;3093;2696;2375;1829;2297;1610;2341;2426;2566
Республика Адыгея;133;123;98;23;98;100;46;35;46
Республика Калмыкия;103;92;75;1;2;3;51;44;34
Республика Крым;;;;;511;495;319;291;281
Краснодарский край;988;861;810;720;458;94;728;792;859
Астраханская область;197;173;149;19;60;38;166;182;189
Волгоградская область;560;415;419;333;308;246;324;357;383
Ростовская область;1112;1032;824;733;749;634;649;663;697
г. Севастополь;;;;;111;-;58;62;77
Северо-Кавказский    федеральный округ;2109;1596;1178;971;213;180;1015;968;1037
Республика Дагестан;529;472;452;450;5;5;228;194;199
Республика Ингушетия;98;-;-;-;-;-;83;89;129
Кабардино-Балкарская   Республика;511;204;38;41;14;19;185;154;164
Карачаево-Черкесская    Республика;207;198;197;231;-;-;16;18;34
Республика Северная       Осетия – Алания;307;324;235;161;188;150;151;116;105
Чеченская Республика ;285;275;150;3;3;3;162;168;171
Ставропольский край;172;123;106;85;3;3;190;229;235
Приволжский      федеральный округ;5719;5061;4060;2320;1855;1182;4980;5044;4818
Республика     Башкортостан;1379;1326;1183;1114;879;819;969;1054;1006
Республика Марий Эл;67;49;29;7;5;5;99;94;87
Республика Мордовия;135;91;84;8;10;10;144;160;154
Республика Татарстан;435;438;275;51;35;13;517;556;544
Удмуртская Республика;395;344;333;275;222;11;309;274;205
Чувашская Республика;239;230;132;36;6;9;238;268;268
Пермский край;681;536;340;85;87;50;554;507;498
Кировская область;239;162;107;41;40;46;170;220;209
Нижегородская область ;302;257;201;28;24;31;481;424;416
Оренбургская область;759;711;564;17;14;13;350;389;371
Пензенская область;105;87;56;22;14;5;270;201;223
Самарская область;301;199;117;116;118;106;373;331;350
Саратовская область;482;430;453;440;367;31;337;407;365
Ульяновская область;200;201;186;80;34;33;169;159;122
Уральский        федеральный округ;2412;1743;1061;349;230;157;2041;1891;1884
Курганская область;304;221;153;21;74;73;177;170;145
Свердловская область ;761;579;340;193;116;44;617;615;608
Тюменская область;347;305;257;83;10;11;602;485;543
в том числе:;;;;;;;;;
Ханты-Мансийский     автономный округ – Югра;64;56;46;39;2;3;250;205;224
Ямало-Ненецкий     автономный округ;71;73;70;36;-;1;52;58;82
Тюменская область     без автономных округов;212;176;141;8;8;7;300;222;237
Челябинская область;1000;638;311;52;30;29;645;621;588
Сибирский      федеральный округ;5109;4524;3606;2643;2278;1181;3167;3021;2938
Республика Алтай;79;63;52;51;46;46;87;75;89
Республика Тыва;146;131;73;33;6;10;64;72;66
Республика Хакасия;238;209;156;105;100;85;129;138;148
Алтайский край;739;671;572;543;471;362;444;395;376
Красноярский край;941;903;844;795;823;37;566;599;620
Иркутская область;682;576;530;401;351;220;532;484;460
Кемеровская область;739;758;483;52;52;47;501;445;410
Новосибирская область ;676;527;294;260;197;183;284;291;292
Омская область;498;375;356;318;183;187;358;319;275
Томская область;371;311;246;85;49;4;202;203;202
Дальневосточный     федеральный округ;2458;2101;1771;1551;934;720;1399;1474;1432
Республика Бурятия;302;64;62;15;16;13;143;197;200
Республика Саха (Якутия);342;317;269;253;195;113;190;177;250
Забайкальский край;369;355;275;217;154;129;185;163;175
Камчатский край;90;94;90;74;73;-;49;41;38
Приморский край;419;417;335;340;147;142;285;274;284
Хабаровский край ;271;249;166;129;114;109;262;358;254
Амурская область;312;296;277;254;106;113;131;115;95
Магаданская область;64;59;49;49;48;54;44;37;32
Сахалинская область;162;140;143;105;26;11;71;72;66
Еврейская автономная      область;101;88;85;96;36;36;39;40;37
Чукотский автономный   округ;26;22;20;19;19;-;-;-;1
?????;;;;;;;;;
1) С 2011 г. - по данным  Минпросвещения России.  С 2016 г. - на начало учебного года. До 2016/2017 учебного года данные приведены по образовательным организациям начального профессионального образования.  С 2013/2014 учебного года - по данным Минпросвещения России.  C 2018/2019 учебного года - без профессиональных образовательных организаций ФСИН и специальных образовательных организаций.;;;;;;;;;
