Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;;;;;
19.3. ЧИСЛЕННОСТЬ ПЕРСОНАЛА, ЗАНЯТОГО НАУЧНЫМИ ИССЛЕДОВАНИЯМИ И РАЗРАБОТКАМИ, ПО КАТЕГОРИЯМ  ;;;;;;;;;;;;;;;;;;;;;;;
19.3.1. Исследователи;;;;;;;;;;;;;;;;;;;;;;;
(человек);;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;
Московская область;42671;41961;39119;41276;40120;39014;39518;37954;36746;37365;37122;37545;37425;37675;38593;38767;40415;40252;40667;;;;
Орловская область;901;865;876;675;519;436;519;500;473;414;386;361;348;356;314;394;335;352;289;;;;
Рязанская область;1215;1038;1019;1002;996;1207;1389;1481;1489;1154;1038;1020;1158;1141;1125;1495;1229;1016;984;;;;
Смоленская область;348;304;313;439;405;358;523;507;492;479;410;420;464;381;420;386;422;467;501;;;;
Тамбовская область;1044;1095;1149;1004;1021;997;884;862;760;786;638;790;703;601;540;592;461;527;544;;;;
Тверская область;2980;3309;3197;3133;3011;3060;2954;3019;2872;2808;2631;2444;2377;2176;2272;2471;2392;2115;1815;;;;
Тульская область;3976;3996;3955;4070;4040;3895;3751;3485;3095;3144;2785;2631;2596;2548;2764;3014;3058;2992;3174;;;;
Ярославская область;3010;3074;2876;2830;2683;2121;2138;2833;2775;2630;2613;2834;2778;2558;2623;2736;2773;2651;2561;;;;
г. Москва;152759;149793;148290;141749;139863;137707;136846;141288;135611;132571;135387;134001;131138;131357;130768;129194;126115;120308;110455;;;;
Северо-Западный     федеральный округ;60224;59131;57933;57534;56771;54532;54618;55567;53263;52110;50989;52200;53688;51840;51975;51884;49178;48298;46573;;;;
Республика Карелия;563;575;575;562;551;564;512;498;501;453;478;464;464;469;508;534;542;552;542;;;;
Республика Коми;1025;1060;1151;1094;1297;1162;1166;1235;1289;1155;1105;1025;1067;1059;1232;1183;1154;949;843;;;;
Архангельская область;744;853;830;827;850;840;2078;2086;1867;898;729;681;754;769;798;747;720;710;678;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;11;15;12;12;13;13;13;16;16;23;23;20;23;25;26;27;24;20;22;;;;
Архангельская область      без автономного округа;733;838;818;815;837;827;2065;2070;1851;875;706;661;731;744;772;720;696;690;656;;;;
Вологодская область;288;275;263;247;308;267;339;240;337;328;327;317;332;337;368;403;383;339;390;;;;
Калининградская область;941;888;877;808;771;757;731;720;629;593;624;670;673;675;680;720;726;693;573;;;;
Ленинградская область;2409;2470;2428;2526;2452;2408;2409;2443;2320;2401;2540;2591;2613;2443;2872;2840;2805;2798;2784;;;;
Мурманская область;1197;1184;1164;1134;1098;1017;977;941;947;934;940;984;1030;1007;1029;1023;977;923;876;;;;
Новгородская область;703;592;635;627;598;491;467;475;486;509;511;523;573;576;626;837;781;793;919;;;;
Псковская область;223;153;208;206;206;144;201;186;166;189;180;269;679;573;545;641;160;156;155;;;;
г. Санкт-Петербург;52131;51081;49802;49503;48640;46882;45738;46743;44721;44650;43555;44676;45503;43932;43317;42956;40930;40385;38813;;;;
Южный            федеральный округ;15055;14580;13894;13609;13341;13179;13311;14453;12903;12412;12498;12497;11951;11752;14413;16647;14485;13688;13607;;;;
Республика Адыгея;87;89;99;92;92;91;183;151;130;132;130;129;128;124;115;134;142;144;134;;;;
Республика Калмыкия;126;160;153;154;153;144;151;144;144;134;135;135;122;131;147;142;127;109;102;;;;
Республика Крым;;;;;;;;;;;;;;;641;782;789;930;852;;;;
Краснодарский край;3045;2917;3165;3038;2890;2687;2945;2945;2853;2592;2591;2682;3028;2991;3947;5467;3790;3570;3350;;;;
Астраханская область;909;939;912;880;834;840;745;1086;616;525;540;502;540;557;573;632;502;452;480;;;;
Волгоградская область;2393;2578;2391;2370;2194;2082;2001;2380;1753;1871;1874;1805;1655;1612;1714;2039;2056;1969;1925;;;;
Ростовская область;8495;7897;7174;7075;7178;7335;7286;7747;7407;7158;7228;7244;6478;6337;6782;6761;6509;5944;6219;;;;
г. Севастополь;;;;;;;;;;;;;;;494;690;570;570;545;;;;
Северо-Кавказский      федеральный округ;2837;2893;2903;2913;2971;2890;3073;3309;3412;3516;3534;5553;4736;3857;4224;4982;5085;4507;4303;;;;
Республика Дагестан;926;980;981;1008;1029;1030;1053;1054;1017;992;994;1009;1026;983;972;1142;1419;1167;1014;;;;
Республика Ингушетия ;-;17;16;10;17;18;20;52;57;67;63;76;87;86;86;247;227;166;112;;;;
Кабардино-Балкарская      Республика;439;471;488;495;446;424;446;471;435;492;471;496;504;572;523;653;776;648;650;;;;
Карачаево-Черкесская      Республика;201;196;209;193;187;183;184;171;170;168;156;172;170;165;259;283;284;286;281;;;;
Республика Северная        Осетия – Алания;370;361;343;340;326;312;323;397;382;373;402;406;408;406;424;363;351;329;351;;;;
Чеченская Республика ;-;-;-;-;195;176;196;239;253;286;320;514;447;480;449;410;352;355;268;;;;
Ставропольский край;901;868;866;867;771;747;851;925;1098;1138;1128;2880;2094;1165;1511;1884;1676;1556;1627;;;;
Приволжский     федеральный округ;58892;59039;58228;57924;57274;55154;53257;52588;50065;49274;50080;51207;52121;51876;51537;52144;51950;52495;53249;;;;
Республика Башкортостан;4601;4594;4626;4494;4011;3503;3429;3390;3249;3195;3237;3329;3577;3847;3880;3877;3835;3664;4190;;;;
Республика Марий Эл;1024;1012;998;1171;1135;727;188;196;125;118;106;108;101;104;117;107;103;102;91;;;;
Республика Мордовия;711;691;671;659;673;614;601;571;583;585;564;590;562;555;550;574;552;502;515;;;;
Республика Татарстан;7364;7078;6622;6367;6332;6437;6279;6230;6054;6099;6377;6636;6973;6682;6580;6796;6685;7142;7335;;;;
Удмуртская Республика;1203;1167;1272;1005;1207;1221;1162;708;711;669;675;973;937;1095;1069;941;1132;1231;1206;;;;
Чувашская Республика;695;685;636;627;596;522;427;341;655;574;557;565;812;733;773;878;1098;1166;1187;;;;
Пермский край;5452;5587;5722;5799;5754;5701;5175;4823;4588;4624;4788;5043;5303;4959;5259;5162;4917;4751;4800;;;;
Кировская область;849;828;806;833;887;857;814;888;827;793;735;785;765;660;735;666;645;665;664;;;;
Нижегородская область;18370;19438;18950;19254;19686;19576;19567;19492;18591;18012;18506;18363;18460;18667;18099;18330;18634;18253;18560;;;;
Оренбургская область;805;562;615;591;574;511;532;566;573;570;557;524;497;421;430;557;932;723;543;;;;
Пензенская область;3312;3138;2911;2856;2904;2927;2990;3119;2770;2755;2936;3087;2979;2649;2732;2807;2734;2863;2861;;;;
Самарская область;7987;7711;7948;7456;7114;6899;6566;7246;6376;6378;6140;6509;6508;6656;6486;6425;5845;6541;6486;;;;
Саратовская область;4159;4043;3885;4226;4024;3224;3205;2820;2663;2653;2569;2542;2406;2545;2581;2769;2730;2845;2762;;;;
Ульяновская область;2360;2505;2566;2586;2377;2435;2322;2198;2300;2249;2333;2153;2241;2303;2246;2255;2108;2047;2049;;;;
Уральский        федеральный округ;21792;22941;23454;23507;22812;21771;22116;21115;20285;20037;20352;21606;21417;21431;22107;23491;22874;22727;22119;;;;
Курганская область;768;642;614;585;598;497;458;445;420;388;367;428;422;392;381;437;458;406;377;;;;
Свердловская область;12058;11203;11163;11497;11034;10256;10338;9975;9272;9253;9293;9765;9068;8978;9058;9731;9655;9305;8877;;;;
Тюменская область;2626;2621;3086;3159;3216;3423;3718;4211;4472;4258;4494;4717;4864;4870;5505;6196;6080;5868;5536;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский      автономный округ – Югра;645;728;1015;1315;1394;1488;1411;1812;1716;1730;1263;1413;1269;1262;1591;1573;1404;1201;1094;;;;
Ямало-Ненецкий     автономный округ;44;29;59;56;41;47;65;58;45;3;11;27;45;49;52;55;59;62;69;;;;
Тюменская область     без автономных округов;1937;1864;2012;1788;1781;1888;2245;2341;2711;2525;3220;3277;3550;3559;3862;4568;4617;4605;4373;;;;
Челябинская область;6340;8475;8591;8266;7964;7595;7602;6484;6121;6138;6198;6696;7063;7191;7163;7127;6681;7148;7329;;;;
Сибирский       федеральный округ;30745;31200;30530;30727;29996;29340;28546;28408;26820;26917;26392;25929;26333;26216;26238;26585;26571;25676;25441;;;;
Республика Алтай   ;64;46;52;69;69;71;73;98;90;84;89;105;124;122;106;74;78;73;75;;;;
Республика Тыва;127;132;150;152;153;157;154;148;147;133;144;141;157;167;172;173;166;155;146;;;;
Республика Хакасия;70;67;62;65;64;217;111;127;133;128;109;98;256;198;183;197;215;221;79;;;;
Алтайский край;1698;1544;1442;1382;1304;1196;1349;1402;1149;1069;1070;1231;1711;1804;1801;1752;1448;1377;1377;;;;
Красноярский край;3916;4075;3919;3882;3785;3693;3706;3845;3730;3606;3791;3933;3842;4115;4353;4510;4503;4132;4325;;;;
Иркутская область;3085;3205;3124;3038;2973;2887;2724;2964;2883;2949;2692;2519;2840;2449;2296;2089;1991;1957;1934;;;;
Кемеровская область;1158;1027;988;860;832;793;852;850;771;798;804;811;695;808;989;1028;1108;979;867;;;;
Новосибирская область;12605;12721;12539;12917;12477;12182;11679;11414;10784;10841;10769;10278;10229;10134;10151;10165;10035;10209;10204;;;;
Омская область;3524;3705;3710;3877;3814;3658;3439;2895;2858;2773;2550;2367;2151;2035;1864;1980;1956;1932;1842;;;;
Томская область;4498;4678;4544;4485;4525;4486;4459;4665;4275;4536;4374;4446;4328;4384;4323;4617;5071;4641;4592;;;;
Дальневосточный      федеральный округ;7909;7921;8212;8424;8154;7725;7605;7909;7593;7113;7093;7363;7484;7664;7573;8332;8052;7437;7343;;;;
Республика Бурятия;848;817;878;894;927;897;671;671;650;604;556;602;673;640;626;686;647;594;564;;;;
Республика Саха (Якутия);1396;1396;1433;1359;1382;1338;1307;1388;1284;1179;1176;1279;1252;1254;1304;1183;1260;1163;1156;;;;
Забайкальский край;315;323;351;347;341;234;302;248;229;176;181;162;158;161;246;234;223;244;238;;;;
Камчатский край;437;432;397;619;474;503;580;554;540;558;519;521;518;520;629;652;660;556;517;;;;
Приморский край;2740;2758;2846;2970;2867;2851;2886;3017;2898;2540;2533;2503;2629;2630;2399;2871;2683;2548;2534;;;;
Хабаровский край;927;928;970;976;911;833;773;1010;980;961;936;995;996;961;1058;1342;1198;1095;1222;;;;
Амурская область;440;423;449;452;441;353;363;347;366;411;396;415;457;693;367;367;407;298;288;;;;
Магаданская область;307;312;314;289;287;287;296;280;280;284;285;310;241;234;355;353;376;361;306;;;;
Сахалинская область;426;463;505;454;463;370;370;346;321;350;467;363;347;357;391;460;447;449;389;;;;
Еврейская автономная      область;40;37;38;35;32;34;37;30;27;33;33;202;202;…1);…1);…1);…1);…1);…1);;;;
Чукотский автономный округ;33;32;31;29;29;25;20;18;18;17;11;11;11;…1);…1);…1);…1);…1);…1);;;;
______________;;;;;;;;;;;;;;;;;;;;;;;
1) Данные не публикуются в целях обеспечения конфиденциальности первичных статистических данных, полученных от организаций в соответствии с Федеральным законом от 29.11.2007 № 282-ФЗ «Об официальном статистическом учете и системе государственной статистики в  Российской Федерации» (п.5 ст.4, ч.1 ст.9).;;;;;;;;;;;;;;;;;;;;;;;
