Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;
20.16.  ЗАДОЛЖЕННОСТЬ ПО КРЕДИТАМ В ИНОСТРАННОЙ ВАЛЮТЕ, ПРЕДОСТАВЛЕННЫМ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ ФИЗИЧЕСКИМ ЛИЦАМ1);;;;;;;;;;;;;;;
 20.16.2. По жилищным кредитам2);;;;;;;;;;;;;;;
"(исходя из местонахождения заемщиков; на начало года;  миллионов рублей)";;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Ханты-Мансийский автономный округ – Югра;247;72;127;218;337;106;226;256;191;194;246;242;175;87;29
Ямало-Ненецкий автономный округ;2;6;40;210;284;116;124;136;85;62;98;125;65;44;91
Тюменская область без   автономных округов;64;208;430;493;663;808;486;339;264;236;282;282;104;79;24
Челябинская область;24;163;386;996;1482;1239;1078;927;779;684;824;801;427;325;220
Сибирский                            федеральный округ;502;1214;3223;5941;8248;7039;6433;5624;3605;3039;3682;3471;1648;1046;732
Республика Алтай;-;6;7;39;52;19;4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Республика Тыва;-;1;2;6;6;8;3;3;2;2;1;2;0,0;0,0;0,0
Республика Хакасия;12;17;50;65;95;59;59;50;40;34;47;37;18;9;5
Алтайский край;11;46;182;510;682;485;425;390;281;259;367;376;165;124;19
Красноярский край;69;154;387;849;1272;1197;1117;1016;549;446;533;521;240;128;83
Иркутская область;138;237;402;696;889;772;689;618;418;337;330;268;145;86;83
Кемеровская область;5;137;580;1016;1440;1233;1086;899;569;392;461;417;223;175;162
Новосибирская область;47;237;775;1484;2196;1896;1736;1490;1052;978;1211;1122;493;275;220
Омская область;82;214;565;839;1063;904;905;792;439;360;425;433;212;169;86
Томская область;138;165;273;437;553;466;409;366;255;231;307;295;152;80;75
Дальневосточный     федеральный округ;206;484;1272;2556;4043;3476;3209;2701;1741;1544;2025;1665;944;675;516
Республика Бурятия;2;12;87;152;225;186;152;139;105;92;119;57;23;7;5
Республика Саха (Якутия);9;32;84;103;237;208;182;157;96;76;94;93;38;22;17
Забайкальский край;4;29;54;60;126;114;90;69;42;40;48;46;18;15;14
Камчатский край;29;30;16;34;84;86;84;95;62;72;138;35;27;20;16
Приморский край;44;112;458;1071;1540;1266;1227;1123;801;762;1032;896;515;401;331
Хабаровский край;76;159;378;822;1203;1081;977;751;412;307;395;340;205;124;57
Амурская область;4;18;39;55;178;165;164;128;90;79;87;106;74;62;53
Магаданская область;5;19;41;70;126;91;60;32;22;11;15;18;7;6;7
Сахалинская область;31;67;99;139;263;216;212;169;97;92;78;52;27;15;16
Еврейская автономная область;0,0;2;9;29;25;43;37;18;11;10;15;17;6;0,0;0,0
Чукотский автономный округ;2;4;7;21;36;20;24;20;3;3;4;5;4;3;0,0
??????;;;;;;;;;;;;;;;
1) С 2011 г. – без учета индивидуальных предпринимателей. ;;;;;;;;;;;;;;;
2) По данным Банка России.;;;;;;;;;;;;;;;
