Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;
9. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ;;;;;;;;;;;;;;;;;;
9.2. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ на душу населения ;;;;;;;;;;;;;;;;;;
(рублей);;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Кабардино-Балкарская Республика;15948,9;21834,2;25369,9;29036,2;32884,8;42253,1;50225,2;57011,8;67731,3;76451,1;89668,3;105412,7;124226,6;129236,2;135984,6;139908,7;156849,6;160077,0
Карачаево-Черкесская Республика;12404,2;16639,7;23297,3;25999,0;29348,9;36971,7;50778,7;59200,9;76277,2;81758,5;91782,3;103462,3;124058,6;140400,9;139156,0;144061,8;152814,8;160110,5
Республика Северная Осетия – Алания;11964,5;17914,2;22541,2;26705,1;34323,6;44127,2;61229,6;74356,6;81097,0;90040,7;105781,6;120824,3;137721,8;168268,3;178762,8;178921,1;177961,4;182518,5
Чеченская Республика;…;…;…;…;…;20038,4;27831,4;40572,6;54742,1;51981,3;55995,7;67220,5;77877,2;91646,1;109649,0;111705,4;120596,8;125471,2
Ставропольский край;19603,9;24780,1;29453,4;37058,0;44610,0;53414,6;66136,4;80715,3;99503,3;99994,7;118920,6;142409,2;154811,0;172204,2;193349,6;221814,1;229360,5;237436,5
Приволжский федеральный округ;32791,7;41139,5;47526,3;58324,4;74218,8;91573,6;115727,9;143365,7;176879,4;163958,3;190719,5;236240,2;263976,2;284810,4;308995,4;339075,0;348226,8;372653,7
Республика Башкортостан;35245,9;40609,7;45756,0;59274,3;76042,5;93683,1;124439,6;145543,9;183168,7;159428,7;186522,0;231314,0;282918,4;286131,7;309520,8;323367,4;328820,8;343509,4
Республика Марий Эл;15114,8;20502,6;24411,2;31719,0;41757,6;46589,5;61413,0;77919,2;93512,4;98888,9;118110,4;140243,8;169514,7;182664,2;208406,1;250039,3;231610,2;247953,7
Республика Мордовия;19219,8;24473,2;30848,9;37681,7;43807,6;50982,6;67309,8;90138,7;110877,3;107903,3;125975,5;144636,0;163399,0;182380,2;214519,4;223161,1;249649,0;264363,0
Республика Татарстан;49139,3;56479,2;66298,7;80809,2;103726,8;128226,9;161045,9;201172,1;245628,5;234206,4;264561,7;344092,5;376907,1;405069,9;431913,8;483509,9;498606,1;543522,4
Удмуртская Республика;33488,8;41407,0;49800,6;56904,4;64732,3;90316,3;106891,0;133904,7;158850,7;151268,7;180316,9;221152,7;245592,6;266992,3;296948,8;341391,7;350598,3;367138,2
Чувашская Республика;17276,5;23253,6;28261,3;34540,2;45955,1;54001,9;73147,3;97528,7;122980,3;111300,3;125843,0;151177,9;174925,5;179710,6;191639,9;203100,9;210771,7;219405,6
Пермский край;43273,2;58570,7;63032,2;74783,8;96240,2;119654,0;141864,8;178096,8;227719,0;203364,2;235930,6;319149,5;326782,7;334027,2;369489,3;403601,4;416203,6;453302,3
Кировская область;23165,6;27297,1;33124,0;38900,6;48464,8;55726,6;68958,3;85144,4;110127,9;107680,4;128073,7;146451,8;157541,4;170457,6;194311,6;216918,0;226392,1;238691,9
Нижегородская область;29090,1;41773,2;48321,6;59149,2;69629,5;87354,7;110662,7;140297,9;175587,1;164071,8;196792,5;233405,3;255722,7;281581,1;308152,1;338304,4;356725,8;388808,8
Оренбургская область;34585,2;38769,3;43145,6;53548,8;79522,8;101110,3;145532,5;179882,4;209769,6;202332,4;224937,2;272897,1;311189,3;356311,4;364756,5;387881,4;384169,7;414936,9
Пензенская область;16900,3;22547,8;28554,2;33304,2;41595,8;52163,8;62719,8;84558,3;105477,2;105487,4;124020,7;154608,1;174823,6;198177,1;217390,7;253911,0;259365,9;273212,2
Самарская область;42758,9;55147,0;63582,9;79369,1;101362,5;124575,2;151238,8;181529,8;217089,9;181298,2;216167,6;259480,6;291701,5;326422,2;357774,7;394135,9;396379,0;422024,7
Саратовская область;23315,4;31094,4;36413,6;45223,0;57710,3;65656,6;79127,0;98569,9;126085,9;128473,8;148839,0;171449,8;190850,1;210477,6;227132,0;251047,1;258970,2;270766,2
Ульяновская область;21411,5;27453,2;32922,8;40195,3;49606,5;59804,8;76474,6;94375,6;114808,0;118179,9;137518,4;173890,3;188185,7;208720,5;220392,1;241633,8;259138,2;272565,4
Уральский               федеральный округ;69327,3;90065,5;107831,3;134653,5;182505,2;254078,4;307373,9;350766,8;398807,4;360909,4;423495,4;521192,2;583243,9;619540,9;662531,0;737316,0;767531,2;864539,6
Курганская область;17758,7;24429,3;29253,3;36759,0;42889,3;51724,0;71738,6;86224,4;114237,4;117058,7;129013,4;151046,4;163909,9;189502,7;194978,6;207236,0;221200,3;236364,7
Свердловская область;34214,7;44119,0;52241,3;63865,6;82546,5;108697,2;150548,6;189763,4;213922,3;191415,0;243234,2;300068,8;344382,7;363261,5;383847,2;421100,7;459812,1;495115,9
