Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;;;;;;;;
18.8. ЧИСЛО ПОДКЛЮЧЕННЫХ АБОНЕНТСКИХ УСТРОЙСТВ МОБИЛЬНОЙ СВЯЗИ на 1000 человек населения;;;;;;;;;;;;;;;;;;;;;;;
"(на конец года; штук)";;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;
Волгоградская область;8,0;18,0;74,0;239,0;511,0;860,9;938,8;960,6;1287,3;1289,2;1681,8;1741,6;1718,8;1807,5;1738,2;1739,6;1686,2;1744,8;1651,9;;;;
Ростовская область;8,0;12,0;30,0;114,0;309,0;598,9;833,8;874,1;1087,2;1089,1;1503,6;1579,6;1644,7;1728,7;1783,3;1868,9;1897,6;1892,6;1852,5;;;;
г. Севастополь;;;;;;;;;;;;;;;…;…;20,6;45,9;28,9;;;;
Северо-Кавказский федеральный округ;5,0;11,0;25,0;63,0;179,0;335,3;675,5;759,4;978,3;969,3;1220,9;1316,2;1315,8;1394,2;1329,5;1338,7;1331,9;1371,5;1331,3;;;;
Республика Дагестан;...;...;0,0;15,0;58,0;129,6;531,8;612,4;892,2;879,1;1080,6;1181,9;1168,3;1230,9;1153,8;1142,1;1125,6;1176,7;1180,9;;;;
Республика Ингушетия;1,0;...;...;...;303,0;44,7;482,5;891,2;1089,6;1082,9;1250,9;1304,5;1202,1;1283,5;1139,7;1193,5;1204,4;1358,4;1231,2;;;;
Кабардино-Балкарская Республика;2,0;4,0;19,0;74,0;163,0;240,4;547,3;762,8;994,9;993,2;1198,2;1259,3;1305,8;1444,5;1405,2;1388,4;1297,8;1380,2;1316,8;;;;
Карачаево-Черкесская Республика;2,0;3,0;2,0;1,0;33,0;116,0;484,8;772,2;1093,4;1084,7;1335,6;1267,6;1297,3;1338,6;1291,7;1316,4;1302,9;1317,9;1258,4;;;;
Республика Северная Осетия – Алания;5,0;14,0;28,0;43,0;143,0;529,0;1094,5;826,5;1013,4;1013,3;1173,7;1285,5;1357,0;1486,1;1414,4;1480,8;1462,3;1499,1;1457,0;;;;
Чеченская Республика;...;...;...;...;25,0;…;379,8;514,9;821,9;805,1;1045,9;1186,8;1205,2;1337,3;1226,7;1227,6;1269,7;1303,4;1264,9;;;;
Ставропольский край;13,0;30,0;68,0;157,0;380,0;738,0;937,5;974,2;1085,2;1081,2;1442,6;1553,5;1537,9;1583,4;1560,6;1582,8;1591,4;1596,0;1535,0;;;;
Приволжский         федеральный округ;9,0;26,0;76,0;182,0;418,0;841,0;1102,4;1143,5;1338,5;1341,2;1570,4;1677,3;1689,7;1815,2;1805,0;1808,4;1843,7;1851,5;1843,2;;;;
Республика Башкортостан;8,0;23,0;97,0;167,0;443,0;787,4;1023,3;1108,5;1282,3;1279,5;1481,8;1572,5;1615,8;1780,9;1747,0;1735,7;1737,9;1690,7;1614,9;;;;
Республика Марий Эл;2,0;10,0;30,0;99,0;280,0;817,0;1182,3;1099,5;1310,7;1314,9;1470,9;1543,5;1611,9;1737,9;1861,9;1838,9;1846,6;1818,3;1758,1;;;;
Республика Мордовия;2,0;3,0;7,0;25,0;132,0;544,7;789,1;997,4;1269,5;1278,2;1462,3;1510,4;1556,7;1641,4;1579,0;1547,8;1590,6;1646,5;1625,2;;;;
Республика Татарстан;17,0;46,0;133,0;206,0;466,0;832,1;1102,3;1145,9;1364,6;1360,6;1577,2;1713,1;1689,7;1755,9;1728,2;1756,6;1850,8;1865,1;1855,7;;;;
Удмуртская Республика;10,0;27,0;50,0;121,0;369,0;732,1;971,4;1106,1;1161,2;1163,5;1567,6;1569,3;1571,3;1687,0;1707,0;1758,0;1763,4;1722,7;1730,0;;;;
Чувашская Республика;3,0;11,0;37,0;123,0;362,0;889,5;1166,0;1139,8;1321,6;1324,2;1706,1;1801,8;1767,5;1821,0;1789,9;1782,7;1787,4;1826,3;1799,9;;;;
Пермский край;6,0;23,0;74,0;183,0;430,0;824,8;979,6;1152,0;1359,3;1365,3;1566,1;1605,7;1634,8;1800,8;1750,4;1904,3;1831,1;1776,3;1841,1;;;;
Кировская область;1,0;3,0;25,0;87,0;294,0;718,2;998,7;1105,5;1183,1;1193,9;1456,0;1745,2;1610,1;1709,7;1713,0;1779,0;1743,9;1723,1;1699,7;;;;
Нижегородская область ;10,0;32,0;65,0;214,0;518,0;859,4;1132,6;1234,8;1420,7;1427,9;1555,9;1731,4;1741,6;1956,9;1983,3;1940,5;2017,5;2250,8;2448,0;;;;
Оренбургская область;7,0;31,0;61,0;172,0;369,0;745,4;1019,5;1076,5;1255,5;1256,8;1564,4;1706,5;1675,9;1790,0;1758,3;1811,5;1871,9;1876,7;1899,4;;;;
Пензенская область;1,0;10,0;22,0;82,0;157,0;726,4;1008,9;1012,2;1251,0;1256,2;1501,5;1627,0;1725,7;1811,4;1840,9;1621,0;1636,5;1657,8;1664,8;;;;
Самарская область;24,0;55,0;152,0;357,0;614,0;1256,9;1539,9;1356,0;1545,9;1546,2;1802,1;1826,8;1849,7;1966,7;1990,1;1908,4;2034,6;1988,1;1869,3;;;;
Саратовская область;2,0;4,0;50,0;174,0;382,0;802,2;1104,0;1055,8;1331,4;1336,5;1572,6;1682,7;1701,3;1814,9;1794,3;1779,8;1798,3;1820,5;1743,4;;;;
Ульяновская область;4,0;9,0;27,0;172,0;371,0;772,1;1039,8;1093,5;1357,5;1364,8;1491,7;1649,6;1735,9;1838,4;1805,4;1925,6;1936,6;1797,5;1731,2;;;;
Уральский      федеральный округ;4,0;17,0;54,0;179,0;486,0;905,1;1098,7;1250,3;1433,6;1432,2;1695,1;1794,5;1836,5;1988,4;1915,8;1986,3;2001,0;1905,5;1954,7;;;;
Курганская область;0,2;0,3;4,0;47,0;222,0;710,3;920,9;1073,2;1215,7;1224,5;1413,0;1509,0;1581,4;1693,8;1694,1;1554,3;1502,2;1477,7;1536,6;;;;
Свердловская область ;3,0;24,0;83,0;214,0;495,0;886,0;1067,6;1172,3;1309,8;1311,6;1664,4;1768,5;1810,0;1939,7;1852,6;1893,6;1867,9;1912,9;1917,7;;;;
Тюменская область;7,0;13,0;32,0;184,0;513,0;968,3;1133,0;1341,5;1550,4;1537,9;1807,2;1943,2;2009,8;2156,3;2084,0;2234,2;2199,7;2062,5;2104,0;;;;
