Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;
 3.7. ЧИСЛЕННОСТЬ ПЕНСИОНЕРОВ1);;;;;;;;;;;;;;;;;;;;;;;;
3.7.1. Всего;;;;;;;;;;;;;;;;;;;;;;;;
(тысяч человек);;;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;;;;
Оренбургская область;572;574;578;579;572;572;569;570;568;565;570;580;586;591;597;605;613;615;618;623;;;;
Пензенская область;427;425;427;427;425;423;423;420;419;418;421;423;427;429;432;435;440;441;444;445;;;;
Самарская область;858;864;872;872;865;862;875;882;889;896;908;924;932;943;953;963;971;980;982;990;;;;
Саратовская область;718;716;718;713;703;699;699;701;700;701;707;715;721;725;730;736;742;747;750;753;;;;
Ульяновская область;375;375;379;380;380;380;379;379;379;379;384;390;393;397;400;404;410;414;417;419;;;;
Уральский        федеральный округ;3052;3059;3074;3060;3045;3061;3085;3100;3131;3153;3226;3307;3363;3415;3468;3520;3580;3631;3669;3712;;;;
Курганская область;290;289;288;285;281;280;279;278;279;278;280;282;285;288;290;291;294;296;297;298;;;;
Свердловская область ;1237;1231;1230;1225;1214;1210;1212;1207;1212;1214;1234;1257;1270;1283;1296;1308;1325;1337;1348;1357;;;;
Тюменская область;562;580;598;610;619;636;656;673;694;713;744;778;807;831;860;889;918;945;966;989;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский    автономный округ – Югра;186;198;209;218;229;243;257;269;284;297;314;333;350;363;379;393;408;421;431;442;;;;
Ямало-Ненецкий      автономный округ;64;67;71;74;76;82;88;93;97;100;106;111;116;119;124;129;133;137;140;143;;;;
Тюменская область без автономных округов;312;315;318;318;314;311;311;311;313;316;324;334;341;349;357;367;377;387;395;404;;;;
Челябинская область;963;959;958;940;931;935;938;942;946;948;968;990;1001;1013;1022;1032;1043;1053;1058;1068;;;;
Сибирский      федеральный округ2);5096;5118;5184;5172;5148;5162;5181;5165;5188;5217;5295;5379;5440;5497;5559;5630;5714;5775;5809;5293;;;;
Республика Алтай;50;52;52;52;51;51;51;52;52;51;52;53;54;55;56;57;58;59;60;61;;;;
Республика Тыва;76;80;83;79;80;80;80;79;77;77;76;78;78;78;79;80;81;82;83;84;;;;
Республика Хакасия;139;139;139;138;137;137;138;138;138;138;142;142;144;145;147;150;153;154;156;157;;;;
Алтайский край;699;700;697;692;687;688;687;682;682;685;697;708;714;721;730;737;750;758;762;766;;;;
Красноярский край;697;700;745;749;748;756;758;755;757;759;772;777;787;795;805;819;835;847;848;856;;;;
Иркутская область;658;663;674;673;674;681;687;692;695;698;706;718;726;733;739;743;751;757;760;762;;;;
Кемеровская область;813;814;811;814;805;803;802;801;805;809;821;832;838;844;850;858;863;868;869;867;;;;
Новосибирская область ;692;694;697;694;691;691;695;696;701;707;716;738;749;760;772;786;800;814;823;835;;;;
Омская область;526;526;531;531;528;528;530;517;528;530;536;542;549;557;564;573;582;589;594;602;;;;
Томская область;248;252;252;250;250;252;255;256;259;262;268;273;277;280;284;289;294;297;300;303;;;;
Дальневосточный     федеральный округ2);1572;1590;1610;1604;1618;1634;1651;1661;1677;1686;1713;1737;1752;1763;1775;1781;1800;1805;1804;2363;;;;
