Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;;
УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;;
16.9. ОБЪЕМ ПЛАТНЫХ УСЛУГ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;;
16.9.1. Всего;;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Республика Калмыкия;361;413;473;615;922;1152;1790;2120;2611;2830;3111;3455;3875;4290;4608;4869;5030;5458;5853;
Республика Крым;;;;;;;;;;;;;;;8624;73772;80103;85415;86498;
Краснодарский край;19158;26896;33120;43307;55601;74197;87159;115689;137868;161787;186095;214282;241536;315014;360832;408126;446299;479806;522335;
Астраханская область;2955;3918;5101;6785;8279;10761;13216;15361;18457;21710;24510;26858;29077;31705;34874;35691;37082;39255;41241;
Волгоградская область;7243;10809;15912;21147;25710;32539;45612;57988;70985;82646;85380;95780;107893;113897;120535;131504;125910;133057;139625;
Ростовская область;12423;16947;24368;31989;40191;49317;62036;72830;88118;96904;109822;122106;132267;154525;171447;187603;201235;214510;230824;
г. Севастополь;;;;;;;;;;;;;;;2306;21126;30054;33533;35928;
Северо-Кавказский федеральный округ;18259;24950;30725;40550;52810;72494;90210;119267;142967;167800;192536;220309;243396;298488;333084;362076;378267;405398;424281;
Республика Дагестан;2321;3538;4589;6786;12284;19384;25333;33774;43800;53467;60776;66957;73655;85806;96396;105899;109131;118943;123177;
Республика Ингушетия ;272;409;507;727;1083;1094;2367;5510;6082;6709;7481;8126;8836;9050;9583;9938;9991;11363;11605;
Кабардино-Балкарская Республика;1794;2588;3474;4826;5607;6790;7955;8984;10795;12727;14925;17368;18973;21881;24030;26198;27762;29356;31437;
Карачаево-Черкесская Республика;719;925;1266;1654;2148;3047;4103;4705;6062;6802;8452;9286;10175;11246;11758;12224;12970;13681;14403;
Республика Северная Осетия – Алания;2809;3385;3687;4852;5833;6869;9080;10672;12517;14549;16359;19129;20459;21887;23268;24970;25976;27255;28627;
Чеченская Республика ;…;…;…;…;…;…;…;5260;6536;8412;10556;14158;14449;29862;37771;42838;47020;52712;55794;
Ставропольский край;10344;14011;17203;21706;25856;35309;41371;50362;57175;65134;73988;85285;96849;118757;130279;140009;145417;152087;159238;
Приволжский федеральный округ;84834;118471;159950;210234;273278;363144;450483;566439;705656;797768;878027;988904;1075486;1213789;1303083;1368356;1425145;1504685;1579264;
Республика Башкортостан;12087;18276;25424;34325;45427;59692;75725;96393;127399;143225;143714;160604;178964;196575;218848;231570;240019;249900;261351;
Республика Марий Эл;1205;1762;2354;3067;4237;5497;7072;8920;10899;12773;14150;15817;17155;18589;19613;20463;21122;22689;24064;
Республика Мордовия;1709;2150;2814;3538;4429;5828;7274;8974;11019;13262;15663;17408;18980;20775;22187;23200;24095;25052;26021;
Республика Татарстан;9487;13072;19278;26351;36556;54915;69612;93326;118482;132939;154128;176247;191120;212334;229760;247693;259238;267910;278504;
Удмуртская Республика;3811;5456;7462;9925;11853;15102;18713;22828;26999;29398;33774;37298;40843;48991;52495;53793;58791;63152;65785;
Чувашская Республика;3158;4343;6135;8262;10370;12628;15706;19586;23699;25953;28158;31560;34350;38003;39945;42141;45127;48213;50791;
Пермский край;10211;13966;17710;22932;29067;39333;46168;56287;68629;78574;90668;102887;112432;124279;130984;133268;140123;151610;160204;
Кировская область;3779;5278;6958;8788;10733;13825;16353;21370;26692;30404;31849;35678;38212;45133;48022;49647;51519;54205;56607;
Нижегородская область;9435;12221;15478;19223;24755;34160;43905;53393;67500;78817;88733;100010;112624;140759;149206;153966;160786;173518;183945;
Оренбургская область;5039;7052;9351;12451;15461;19634;23135;30122;40151;47419;52167;58717;64753;73812;80014;83888;80524;83377;88928;
Пензенская область;2941;4441;5743;7833;10098;13033;16100;19518;23627;26375;28951;31468;34477;40372;43358;47723;49744;52932;55237;
Самарская область;12310;16689;23024;30179;41201;52534;66003;81728;95585;106470;112061;121926;125341;135874;144819;152111;157723;166824;175150;
Саратовская область;6255;8561;11396;14490;17892;22987;27937;33750;40774;45949;53774;65078;68356;76135;78938;81001;86511;93278;98104;
Ульяновская область;3407;5204;6826;8870;11199;13976;16781;20244;24199;26209;30236;34207;37880;42159;44894;47890;49824;52025;54571;
Уральский        федеральный округ;45953;65895;89972;116671;143968;183325;234293;288161;348412;382683;415871;481804;518674;586559;638071;688535;727807;779103;838113;
Курганская область;2046;2627;3555;4464;5893;7193;9146;11825;14851;18283;18757;22192;23466;26225;27001;28218;28937;30297;31230;
Свердловская область;16909;25856;34029;43429;53662;68646;89764;109754;134881;154652;175515;199656;214996;253271;281071;312042;334386;359375;391509;
Тюменская область;15996;23001;33566;44792;54515;66478;83320;101898;122475;134943;139295;154093;167741;181280;195974;210513;222374;238210;251132;
в том числе:;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный    округ – Югра;8363;11989;17491;23185;27826;33352;41444;49869;58697;62624;65276;73073;77161;85370;92177;96127;101036;107799;111214;
Ямало-Ненецкий автономный округ;2861;4069;6519;8882;11039;14001;16775;20459;24643;27816;29929;31174;33101;35772;37219;38732;41181;45723;50630;
Тюменская область без автономных    округов;;;;;;;;;;;;;;60138;66577;75654;80158;84688;89288;
Челябинская область;11002;14411;18821;23986;29899;41009;52063;64684;76204;74805;82304;105863;112471;125784;134026;137762;142110;151221;164241;
Сибирский федеральный округ;60880;79175;110810;141814;173801;220423;267167;318093;378959;403005;440556;490098;541122;619123;653145;685602;725272;780195;825428;
Республика Алтай;161;274;441;590;734;1011;1222;1531;1972;2347;2650;2956;3266;3615;3935;4571;4941;5322;5964;
Республика Тыва;318;480;624;803;1093;1416;1747;2207;2694;3088;3602;4063;4549;5120;5275;5594;5785;6025;6486;
Республика Хакасия;2139;2843;3214;3822;4555;5821;7010;8496;9844;10758;11595;13117;14006;14913;15787;16586;16777;17706;18085;
Алтайский край;5392;7121;9839;13059;16141;22934;27858;34530;43657;47317;50944;56760;60409;65891;72008;79761;84543;88834;94504;
Красноярский край;12307;15627;21896;29531;35742;42926;52732;63016;72936;77675;87785;96365;106584;128221;130324;136815;141580;156940;164815;
Иркутская область;7769;10811;14902;20157;25212;29946;35353;43338;51017;54878;63253;68372;74600;81575;84474;82919;90502;99687;106203;
Кемеровская область;8244;11270;15177;18736;22836;28858;35158;44092;54054;57873;59870;67565;76632;86763;91910;97234;101304;109795;116987;
Новосибирская область;14934;16585;23784;28046;33695;43944;52440;55348;66868;67535;76492;88928;102134;121334;129952;133320;144465;151580;160743;
Омская область;5716;8215;11641;15166;18410;24107;30717;37734;44037;48447;53534;59985;64510;71804;77460;82945;88509;94882;99731;
Томская область;3899;5949;9291;11905;15383;19460;22930;27801;31880;33087;30829;31989;34432;39887;42020;45857;46866;49425;51910;
Дальневосточный федеральный округ;39992;54914;73059;93459;117130;151743;188037;223087;267988;304921;344039;396259;442427;505688;536983;553790;581672;613086;645317;
Республика Бурятия;1724;2500;3449;4732;6189;8930;11421;13643;16899;19082;20723;24130;27055;35885;38748;41944;43435;44860;45344;
Республика Саха (Якутия);5985;7114;9660;13135;16354;20834;25658;30621;35916;40788;46736;52011;55107;62172;67745;70771;76823;81826;89395;
Забайкальский край;1904;2946;4726;6054;7252;9396;11635;14065;17138;19754;22605;26635;30488;36347;38839;41056;42619;44098;45924;
Камчатский край;2755;3439;4223;4686;5588;6814;8657;10659;12297;14846;16646;19412;21760;26137;27105;27067;28363;30712;30279;
Приморский край;9894;14514;17969;21956;27730;35136;44411;52126;63783;71069;81419;96371;114686;131731;138157;131538;133156;146401;156990;
Хабаровский край;10772;14806;18826;23848;29669;38344;46241;53844;62888;71315;80300;90356;98034;109646;118596;125494;135420;140378;147227;
Амурская область;2181;2846;4611;6204;7767;10674;12660;14333;17783;19901;24750;29039;30812;36852;38511;41107;42752;44051;46436;
Магаданская область;1375;1821;2299;2985;3630;4083;5152;6178;7944;9569;9559;10928;12431;12922;13137;13830;15061;16009;16386;
Сахалинская область;2736;4025;5900;8123;10739;14385;18503;23358;28259;32390;34171;39276;43674;42725;44552;48677;51232;51223;53384;
Еврейская автономная область;392;526;734;917;1164;1754;2130;2648;3272;3874;4465;5180;5595;7077;7364;7879;8302;8668;8846;
Чукотский автономный округ;274;375;661;819;1048;1391;1570;1611;1810;2333;2665;2922;2785;4196;4229;4428;4509;4860;5106;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
