Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;
18.4. ЧИСЛО ПЕРСОНАЛЬНЫХ КОМПЬЮТЕРОВ на 100 РАБОТНИКОВ;;;;;;;;;;;;;;;;
18.4.2. Число персональных компьютеров с доступом к сети Интернет1);;;;;;;;;;;;;;;;
(штук);;;;;;;;;;;;;;;;
;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Республика Адыгея;2;2;4;5;6;8;10;13;16;22;23;29;29;28;29;31
Республика Калмыкия;2;1;3;5;6;8;11;15;20;24;25;26;29;30;32;32
Республика Крым;;;;;;;;;;;;14;21;28;29;30
Краснодарский край;4;5;5;6;8;10;11;13;18;30;31;25;27;29;29;30
Астраханская область;2;2;4;5;8;9;12;13;16;22;21;24;26;27;28;31
Волгоградская область;2;3;5;6;7;9;11;14;17;20;23;23;24;28;31;33
Ростовская область;4;5;6;8;10;12;14;16;19;21;23;26;27;28;31;31
г. Севастополь;;;;;;;;;;;;27;28;33;35;47
Северо-Кавказский      федеральный округ;2;3;3;5;7;8;10;12;15;18;21;23;25;26;28;28
Республика Дагестан;1;1;3;5;5;5;7;8;11;14;17;18;18;21;21;21
Республика Ингушетия;0;1;1;1;2;3;4;6;12;17;22;25;27;25;26;27
Кабардино-Балкарская   Республика;3;4;5;5;7;8;10;12;15;18;19;22;28;29;24;21
Карачаево-Черкесская        Республика;3;3;4;5;7;6;9;11;14;18;21;24;26;27;30;31
Республика Северная         Осетия – Алания;1;2;3;3;4;6;8;10;12;16;18;21;23;25;25;27
Чеченская Республика;-;-;-;1;1;2;2;7;10;16;19;19;23;24;27;28
Ставропольский край;3;3;3;6;9;10;13;15;17;20;24;26;28;29;32;34
Приволжский        федеральный округ;3;3;5;6;8;10;12;15;17;20;23;26;26;29;30;32
Республика Башкортостан;2;3;4;5;6;8;10;13;17;19;22;25;27;30;31;33
Республика Марий Эл;2;3;3;4;6;7;10;13;15;17;19;21;24;26;27;29
Республика Мордовия;2;2;3;4;6;7;10;13;16;18;20;22;25;28;29;30
Республика Татарстан;2;3;5;7;9;10;13;15;18;21;23;26;29;30;31;33
Удмуртская Республика;4;4;5;6;7;9;12;14;16;19;22;24;25;27;29;31
Чувашская Республика;2;3;4;7;8;10;13;15;18;21;24;27;30;31;32;34
Пермский край;3;4;6;7;9;11;14;16;19;22;25;29;30;32;34;35
Кировская область;2;2;3;4;6;7;10;12;16;19;22;24;24;27;28;30
Нижегородская область;3;4;5;7;9;11;11;14;18;20;23;25;22;29;29;32
Оренбургская область;3;3;4;5;7;8;10;12;14;17;19;22;24;25;27;28
Пензенская область;2;1;4;6;7;8;11;12;16;21;21;23;24;26;27;27
Самарская область;4;5;6;8;10;12;15;17;20;23;26;30;29;30;31;33
Саратовская область;3;4;5;6;8;10;11;14;17;20;22;25;26;28;30;33
Ульяновская область;2;3;4;5;7;9;11;14;16;19;21;23;25;26;28;30
Уральский        федеральный округ;3;4;6;7;10;11;13;13;18;21;22;25;26;28;29;30
Курганская область;3;3;4;5;8;11;14;15;20;23;24;26;26;28;28;29
Свердловская область;4;4;6;8;10;11;15;11;19;22;24;28;28;30;31;33
Тюменская область;3;6;7;8;11;11;13;16;18;21;22;25;27;27;28;30
в том числе:;;;;;;;;;;;;;;;;
Ханты-Мансийский      автономный округ – Югра;5;6;6;8;12;10;11;14;17;19;20;21;23;23;24;26
Ямало-Ненецкий      автономный округ;4;5;6;7;8;9;11;13;14;18;18;22;24;28;26;28
Тюменская область      без автономных округов;1;6;8;9;14;15;19;24;25;29;30;33;36;35;38;40
Челябинская область;3;4;5;7;8;10;13;14;17;18;20;23;24;26;27;28
Сибирский        федеральный округ;4;6;7;9;11;13;15;18;20;23;26;28;31;32;32;35
Республика Алтай;3;4;4;7;8;11;14;17;23;27;28;33;36;37;37;37
Республика Тыва;1;2;2;4;4;5;9;13;17;19;23;26;31;31;32;32
Республика Хакасия;2;4;5;6;8;11;15;20;21;24;21;30;32;33;32;34
Алтайский край;3;3;4;6;8;10;11;15;17;20;23;26;28;28;30;32
Красноярский край;3;4;5;7;10;14;15;18;21;24;26;28;31;31;32;34
Иркутская область;6;8;8;9;11;12;13;20;17;21;25;27;30;31;31;34
Кемеровская область;3;3;4;7;9;9;11;14;15;18;19;21;22;24;24;26
Новосибирская область;7;10;11;13;15;18;22;24;26;30;33;35;37;39;41;44
Омская область;4;5;6;7;9;10;13;16;19;22;25;26;29;30;32;34
Томская область;10;12;15;18;21;23;27;29;33;35;38;42;43;46;38;49
Дальневосточный       федеральный округ;4;5;7;9;10;12;14;16;19;22;24;27;29;30;31;32
Республика Бурятия;4;4;5;6;8;10;13;16;18;21;24;27;29;30;30;33
Республика Саха (Якутия);6;7;8;9;11;12;14;16;20;22;25;27;30;35;33;30
Забайкальский край;2;3;4;5;5;7;9;12;15;18;20;22;26;25;25;26
Камчатский край;6;6;8;10;11;15;17;19;16;26;29;31;34;34;35;36
Приморский край;5;7;9;11;11;14;15;17;20;22;23;26;29;30;31;32
Хабаровский край;4;5;6;8;10;12;13;16;20;24;24;28;29;30;32;34
Амурская область;2;3;4;7;8;9;10;13;15;17;19;24;29;27;27;27
Магаданская область;3;5;5;10;12;14;14;17;21;28;26;30;30;32;32;34
Сахалинская область;5;7;10;14;16;16;19;22;24;27;30;34;35;36;39;40
Еврейская автономная      область;2;3;3;5;7;8;10;14;18;20;22;24;25;27;26;24
Чукотский автономный округ;6;6;8;11;14;16;14;19;19;23;23;24;25;25;28;31
_____________;;;;;;;;;;;;;;;;
1) Федеральное статистическое наблюдение осуществляется с 2003 г.;;;;;;;;;;;;;;;;
