Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;
10. ОСНОВНЫЕ ФОНДЫ;;;;;;;;;;;;;;;;;;;;;
10.1. СТОИМОСТЬ ОСНОВНЫХ ФОНДОВ1) ;;;;;;;;;;;;;;;;;;;;;
"(на конец года; по полной учетной стоимости; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;
Калининградская область;80300;89251;102325;136207;142772;178685;195805;251225;303919;346298;398091;447257;506873;582994;592394;613338;756096;846685;1038055;;
Ленинградская область;238689;283083;345419;432513;485920;546302;611268;803905;917978;1046094;1210457;1506817;1919269;2275653;2449066;2670754;2923887;3060457;3433453;;
Мурманская область;154603;187777;214701;291420;311729;344444;406705;538057;623548;684809;799454;1163343;1298653;1432787;1563764;1814839;1891317;1970650;2043500;;
Новгородская область;71251;77150;111122;139631;148288;162501;186183;223291;247086;263359;284453;316982;364604;393450;458879;494468;608528;617821;684936;;
Псковская область;80780;90537;111128;122694;129423;144880;164095;188943;211020;228645;243124;272812;294598;318266;322068;337713;369971;387327;420048;;
г. Санкт-Петербург;447808;532277;685753;947245;1026687;1111989;1420407;1740175;2005536;2314055;2635927;3243788;3727291;4349428;4870298;5289185;6546014;7163885;7816952;;
Южный            федеральный округ;1256163;1495386;1767548;2138153;2341881;2752590;3001054;3813016;4526183;5062626;5706003;6548818;7222089;8347529;10498325;12418091;14201426;15326866;16320058;;
Республика Адыгея;49258;50819;50317;50972;52581;51313;58091;74408;93766;101212;109480;118216;136241;159192;161605;169377;183383;202111;223255;;
Республика Калмыкия;24220;28812;34613;40427;41465;58485;61232;98472;106663;114144;119600;113426;113022;124357;151392;175274;195857;203657;226959;;
Республика Крым;;;;;;;;;;;;;;;1233700;2033676;2055242;2212391;2241915;;
Краснодарский край;516894;576533;666157;780300;896631;1079840;1114617;1385585;1645865;1870428;2139060;2471453;2821779;3639608;4208926;4770758;5481558;5937791;6260527;;
