Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.13. ЗАДОЛЖЕННОСТЬ ПО КРЕДИТАМ В РУБЛЯХ, ПРЕДОСТАВЛЕННЫМ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ ЮРИДИЧЕСКИМ ЛИЦАМ 1) ;;;;;;;;;;;;;;;;;;;;
"(исходя из местонахождения заемщиков; на начало года;  миллионов рублей)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Республика Карелия;262;1106;1596;3091;3600;3890;4740;6841;12991;16218;13290;15281;21093;26159;32403;30699;30545;28942;26192;30251
Республика Коми;449;1284;3194;3983;4454;5792;10944;14746;23205;24412;19598;21536;23933;26095;31087;27854;26206;20320;23327;31242
Архангельская область;944;2985;5950;8530;10796;12317;16146;30552;34271;30334;36021;42696;57143;74538;96075;122244;139085;50639;52738;34288
в том числе: ;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;194;246;301;169;293;538;618;580;1052;543;1263;1498;640;977;155;255;5823;453
Архангельская область     без автономного округа;944;2985;5756;8284;10495;12148;15853;30014;33653;29754;34969;42153;55880;73040;95435;121267;138931;50384;46914;33835
Вологодская область;1317;2459;5759;6237;13217;22545;29226;39230;54285;60652;56420;63345;96342;99195;94075;97913;80236;53048;53955;50699
Калининградская область;635;1329;1886;2905;4897;10222;18530;25427;44147;57974;61086;66100;83151;105106;118630;127528;120539;90107;98054;137572
Ленинградская область;524;1303;3140;4406;7070;12199;20580;37546;53451;65716;66117;102469;155769;200161;199766;225330;189600;232675;246312;258906
Мурманская область;856;2532;4992;2839;4440;6111;8478;13329;23094;25833;22581;23906;28212;27635;28289;29783;28922;27712;26855;33421
Новгородская область;1069;1914;2165;2604;3227;4361;5293;8148;11804;26316;21228;26110;27768;33192;32299;32859;33804;32474;27601;30155
Псковская область;228;527;866;1105;1640;2515;4032;6155;10838;16410;16831;19942;27881;36551;37982;35586;31525;28179;25855;27994
г. Санкт-Петербург;9820;19496;33736;52160;77906;117584;162059;269399;431641;567505;559516;701622;942862;1164909;1321982;1515584;1508387;1491729;1618747;1941771
Южный              федеральный округ;7944;17607;58055;72742;89605;113847;156262;247438;374704;520829;585884;716831;907714;1052991;1187838;1284072;1260796;1307812;1451468;1583186
Республика Адыгея;161;342;472;481;655;1028;1668;3435;5985;8144;9654;11511;14574;19677;19617;17703;22870;21181;20450;19871
Республика Калмыкия;1151;1825;22281;17396;11470;6969;2756;3560;4024;3666;4760;4835;7072;8852;8209;8101;7096;6966;5824;5886
Республика Крым;;;;;;;;;;;;;;;…;2509;7948;21077;37377;50705
Краснодарский край;2320;5648;16682;25399;37453;49485;72356;106115;159932;225106;271989;353599;454618;522907;625518;683633;660593;731235;820076;882886
Астраханская область;577;1210;1642;1623;2464;3531;6201;11050;13801;17655;21303;24222;29444;34085;36589;37298;36224;39938;37372;37560
Волгоградская область;2179;3914;6351;9615;13223;19164;26165;37402;61495;86042;78893;88538;105652;123490;133849;129827;133861;132679;133182;136023
Ростовская область;1556;4668;10627;18227;24340;33670;47116;85876;129467;180216;199285;234126;296354;343980;364056;404461;390879;351889;393026;446205
г. Севастополь;;;;;;;;;;;;;;;…;540;1325;2846;4160;4049
Северо-Кавказский      федеральный округ;2228;3652;7562;11930;17827;24892;46620;69720;89268;135295;147546;173589;214774;250518;292804;307465;311481;303859;306564;292309
Республика Дагестан;484;241;799;650;1736;2863;3908;4583;6623;10295;12375;19041;24705;28847;34599;34473;27359;26197;25638;24759
Республика Ингушетия ;327;370;90;131;126;157;221;699;1026;1532;1896;2679;6144;6325;7070;6971;6793;5553;5372;5446
Кабардино-Балкарская Республика;249;475;626;914;1841;2305;3326;5959;8520;11575;15705;21656;31613;35642;41435;43643;38690;39730;38122;30325
Карачаево-Черкесская Республика;92;188;360;539;843;2206;12703;13119;6589;9808;12135;15700;21463;24657;29363;30225;27408;27042;31204;30603
Республика Северная Осетия – Алания;292;461;1025;1053;1243;2585;3685;5472;8359;9860;11307;13370;16773;19204;16596;14479;16775;14371;12562;11615
Чеченская Республика;0,0;0,0;6;42;66;61;275;2134;4383;11436;10917;12605;16235;16160;18034;19679;22475;22584;20154;21880
Ставропольский край;784;1917;4656;8600;11972;14715;22502;37754;53768;80789;83212;88538;97841;119683;145707;157995;171981;168384;173513;167681
Приволжский       федеральный округ;25963;66865;117982;160679;239198;341132;488541;693675;1084720;1397222;1386246;1564904;1897760;2095706;2322975;2633149;2601702;2558721;2536178;2481374
Республика Башкортостан;5505;10581;12480;14446;22082;30814;46623;58065;90668;109939;115646;159383;188584;221392;217713;305409;289696;291096;302858;313473
Республика Марий Эл;137;325;668;914;1364;1913;3380;5361;10043;12942;18931;26914;39612;46094;56850;60314;61666;58579;60221;57702
Республика Мордовия;494;457;1735;3354;3516;6166;8568;15708;24548;35695;43835;49816;72891;83537;93078;94051;84743;99356;91546;97714
Республика Татарстан;3014;9546;21266;28608;44596;68096;106804;141782;223589;278002;293161;328606;391317;424719;464622;542390;615087;620326;549694;473267
Удмуртская Республика;978;2792;6633;9335;14247;24046;29110;40594;56542;68866;66018;68576;69838;67326;75679;94214;103198;79803;83175;105184
Чувашская Республика;452;1250;2452;4329;6785;10110;13591;23536;35878;52134;57862;71351;96665;96125;94561;95553;63879;62793;64682;50147
Пермский край;2358;6621;11944;17459;27478;37113;51906;75411;120037;160218;150266;147199;242765;263155;278889;256677;191960;190883;224921;261477
Кировская область;527;1547;2519;3355;4901;8310;12980;19777;32121;41273;37846;42172;50408;56773;60449;57904;50168;46512;45840;48499
Нижегородская область;4388;12308;20252;25105;35754;46517;64874;89102;151899;186758;181805;238030;240170;259394;300986;360226;339210;316680;334074;367246
Оренбургская область;684;2598;4178;5909;8418;13368;22418;29715;42557;69844;64318;71905;82324;97999;115915;120113;114800;110518;101898;109296
Пензенская область;508;1181;2561;2776;3858;6347;10894;16284;28154;36260;36952;43470;54054;57811;66072;67432;71877;80078;93968;111485
Самарская область;4982;11817;20331;30852;46709;60734;79424;125935;184564;230998;211711;195713;227866;257959;291841;347439;389194;402562;368667;304292
Саратовская область;1527;4094;8096;10537;14539;19706;26201;35204;56764;70760;66979;74345;89978;108706;139772;152591;140510;135914;136884;106334
Ульяновская область;409;1747;2868;3699;4951;7892;11768;17201;27356;43533;40916;47424;51288;54716;66548;78836;85715;63621;77749;75260
Уральский        федеральный округ;12361;57007;67439;90380;100717;160397;204442;318919;528697;701000;665539;746521;919820;1042872;1230008;1439130;1709524;1647718;1743526;2046683
Курганская область;637;855;1396;1895;2595;3706;6924;9400;13050;15902;18379;20099;24095;27406;32066;31161;30063;22351;25271;28870
Свердловская область;4842;30987;20578;29320;39903;60285;89615;146924;238800;338225;307773;335771;389879;406549;434380;509067;506668;557026;585648;722508
Тюменская область;3171;17565;29087;40114;34827;45298;62376;91145;149051;179365;184289;196209;240772;325349;454506;518059;770903;697343;752303;892033
в том числе:;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский    автономный округ – Югра;-;-;3092;4826;11762;13041;16455;25850;43509;62087;68559;70291;89781;113121;134823;151023;133096;193860;140898;145244
Ямало-Ненецкий    автономный округ;-;-;5723;4259;6874;8933;10775;13032;15075;22426;30421;37302;47871;76541;121161;113639;172397;149263;126202;167837
Тюменская область    без автономных округов;3171;17565;20272;31029;16191;23324;35146;52263;90467;94852;85309;88616;103120;135687;198522;253397;465410;354221;485202;578952
Челябинская область;3711;7600;16378;19051;23392;51108;45527;71450;127796;167508;155098;194442;265074;283568;309056;380843;401889;370998;380304;403272
Сибирский        федеральный округ;16696;40538;81399;86852;117487;168991;241373;362599;562753;670969;643219;747081;947174;1123412;1192354;1417931;1490669;1685429;1633137;1678471
Республика Алтай;651;1538;1887;2871;3194;5024;4957;6864;9883;11437;9939;11003;12784;10335;12532;12750;13167;13910;14181;11734
Республика Тыва;23;59;254;211;211;381;670;950;960;1172;1555;2064;2704;3380;3914;3634;2683;1963;2664;4482
Республика Хакасия;154;277;343;705;783;1156;3238;4527;6607;7456;7417;8829;10586;13708;16213;15577;14134;11546;11515;10425
Алтайский край;1711;2986;7356;10116;15954;25506;32174;44007;62481;80773;87920;110745;119964;126164;130652;130307;117273;121013;114994;108006
Красноярский край;2860;14355;27613;13788;15961;26233;39782;54668;101552;101092;94502;112140;180260;235723;253406;382927;459075;431987;374488;385276
Иркутская область;2105;4162;11291;15908;18632;19107;24265;37634;58371;82874;92544;101987;108581;126594;138646;179628;168197;260694;258754;270667
Кемеровская область;2731;3762;7454;10928;14621;23509;39041;67544;96992;122941;97385;117175;167822;214394;210421;231636;277207;410212;419006;458832
Новосибирская область;2630;6058;12569;16318;26047;37553;52225;83713;133278;159259;151849;171697;194562;218505;217452;248911;232397;243548;232189;223802
Омская область;3065;5062;7293;10605;14930;20584;30696;42102;62206;67398;64712;70986;96544;110189;127647;137361;132338;111223;112774;108667
Томская область;766;2279;5339;5402;7154;9938;14325;20590;30423;36567;35396;40455;53367;64420;81471;75200;74198;79333;92572;96580
Дальневосточный     федеральный округ;5312;13851;30416;38084;53218;61510;99580;147700;202224;310620;296578;298953;400801;484288;563137;609702;569260;606709;658541;768797
Республика Бурятия;284;911;1743;2164;3266;4462;6112;10334;12489;14763;14627;17656;33880;41908;56396;62513;49846;26359;28357;35280
Республика Саха (Якутия);677;1870;2714;7844;13128;8818;15221;24217;37909;112551;102657;61963;77378;68668;71084;73604;67436;139258;143046;147497
Забайкальский край;480;1514;5167;1930;2833;4333;6688;8825;10198;11043;9411;13309;17970;17935;20364;20864;19892;19212;22232;21703
Камчатский край;351;952;1192;1755;2795;3507;5147;6402;8615;11706;13518;16699;25781;25173;26912;28193;24951;27555;34485;33326
Приморский край;852;1850;4230;6844;9709;13258;21280;31462;47531;57528;56648;77163;103575;140479;178578;202065;191067;153521;205162;226327
Хабаровский край;1349;3296;8812;8320;10573;14268;23989;38875;50019;61718;60383;63319;75628;104839;118161;132787;140458;157680;129802;186695
Амурская область;437;905;2208;2729;4357;5236;8081;10622;15170;17222;16247;19088;28308;35269;34991;32990;26099;31259;41464;49445
Магаданская область;508;1849;3081;2213;2406;2898;4138;6006;6090;9618;8009;12421;13216;16239;17928;17594;16406;17315;17425;20791
Сахалинская область;205;424;1004;2515;3159;3614;5628;7192;10311;11206;11863;12843;18864;25014;28818;30302;23579;26402;28456;38096
Еврейская автономная область;35;55;189;300;337;404;584;932;1616;1953;2494;2257;2601;3154;3380;3607;2889;2291;1579;1822
Чукотский автономный округ;134;225;76;1470;655;712;2712;2833;2276;1312;721;2235;3600;5610;6525;5183;6637;5857;6533;7815
??????;;;;;;;;;;;;;;;;;;;;
1) С 2011 г. - включая задолженность по кредитам, предоставленным индивидуальным предпринимателям.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
