Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.6. ИСПОЛНЕНИЕ БЮДЖЕТОВ ТЕРРИТОРИАЛЬНЫХ ФОНДОВ ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ;;;;;;;;;;;;;;;;;;;;
 20.6.1. Поступление;;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Ставропольский край;732,0;1033,1;1584,4;1862,4;2414,7;3811,5;4486,5;5349,8;6894,1;8090,3;7965,1;13080,1;16737,8;18561,3;22867,0;23411,0;23924,6;25458,0;30656,9;
Приволжский    федеральный округ;13874,9;18884,0;26808,3;30519,9;38137,8;49444,4;63246,1;82047,0;102311,8;105063,3;108735,5;169803,6;202840,5;221600,0;250440,7;268539,7;277474,3;290133,7;350769,4;
Республика Башкортостан;1983,0;2800,8;3878,3;4645,1;5518,2;7131,1;8856,1;10898,5;12354,8;12742,4;12612,8;21728,1;26912,5;32603,5;34225,2;38194,6;39765,7;40984,9;49436,1;
Республика Марий Эл;187,5;206,5;321,3;376,0;476,2;980,3;1348,3;1506,2;1921,9;1860,3;1717,7;2701,5;3208,4;4381,3;4931,7;5905,4;5917,9;6251,3;7614,2;
Республика Мордовия;177,4;223,3;314,3;402,3;916,4;1235,6;1499,6;1996,6;2166,0;1770,0;1939,8;4221,8;5498,0;6157,2;6182,0;6819,5;6989,4;7281,5;8621,0;
Республика Татарстан;1846,3;3106,1;5557,3;5518,3;5785,4;6234,8;7750,0;10251,5;16727,2;17704,6;18706,1;26053,1;30324,4;30910,7;34512,8;38814,5;38539,4;41378,5;49894,8;
Удмуртская Республика;584,0;720,9;977,0;1138,8;1334,7;2065,1;3395,2;5253,7;5952,6;7057,3;7187,2;10093,3;11403,1;11672,3;13740,2;13920,2;14703,5;15463,2;18672,5;
Чувашская Республика;376,7;456,5;757,4;884,2;1056,6;1658,1;2006,2;3108,0;4111,8;3706,0;4622,1;6809,7;7503,8;9245,7;10296,4;10767,7;11249,7;11906,8;14368,7;
Пермский край;1742,5;1891,7;2183,6;2614,9;3381,1;4465,1;6588,0;9344,2;10082,7;9328,3;9555,4;15057,4;18704,4;20870,4;23156,8;24787,9;25365,2;26593,8;31978,3;
Кировская область;417,7;461,3;670,1;757,8;1030,1;2329,3;2906,5;3749,0;4069,1;4576,0;4499,2;8345,7;10349,6;10758,8;10464,0;12513,8;12743,0;13481,2;16479,5;
Нижегородская область;1409,0;2268,3;3097,9;3963,2;5292,2;6694,2;7624,1;9451,7;11250,7;12336,6;11913,8;19350,6;22074,0;21939,9;25295,7;26997,2;29052,0;30082,3;36719,7;
Оренбургская область;890,0;1501,6;2140,1;2352,9;3443,0;4226,0;5156,8;6072,7;7476,0;7087,1;7615,8;11997,1;16356,9;14685,1;17749,4;19151,6;19652,3;20862,0;25143,6;
Пензенская область;358,2;493,7;694,6;928,1;1501,6;2010,4;2414,3;3512,8;4819,0;5164,7;5550,1;8431,4;9181,0;9033,9;12340,5;11418,0;11799,9;12336,1;14814,4;
Самарская область;2945,6;3550,7;4460,1;4948,4;6059,0;5301,8;7099,1;8806,6;10820,5;10609,2;11088,6;16999,5;19795,8;23698,8;26902,8;26326,0;28194,1;29419,3;35672,2;
Саратовская область;577,2;676,4;946,4;1109,7;1325,2;3498,9;4489,2;5381,9;7879,1;6925,2;7668,4;11806,0;13956,1;16942,4;18741,1;21929,7;22152,1;22640,0;27427,3;
Ульяновская область;379,9;526,1;809,9;880,3;1018,0;1613,7;2112,8;2713,5;2680,4;4195,5;4058,5;6208,5;7572,6;8700,1;11902,1;10993,6;11350,2;11452,9;13927,1;
Уральский     федеральный округ;10219,4;11299,2;14781,3;17200,2;19694,3;26491,2;34147,8;43347,2;48416,5;47524,9;48125,0;79108,5;106907,4;137417,8;148133,2;164651,7;164507,3;170321,7;193337,2;
Курганская область;272,2;277,7;380,4;651,6;936,3;1490,7;1896,3;2269,7;2442,8;2978,8;2856,0;4306,4;4913,6;6559,3;7196,5;8281,2;8774,4;9141,3;11119,9;
Свердловская область;2329,2;2756,4;3567,0;4482,1;5478,9;8052,3;11510,1;15913,4;16577,6;13734,6;14197,8;23115,2;27734,5;40670,8;41639,1;44359,3;44236,6;45313,2;53594,3;
Тюменская область;5843,7;6020,4;7573,2;8275,0;8884,9;11828,7;14167,2;16704,3;18225,1;19466,9;19753,3;33358,0;51359,2;65231,7;69572,3;77120,1;77270,2;80543,2;85062,4;
в том числе:;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;3469,4;3536,4;4248,4;4480,7;4708,9;4787,8;5724,3;6418,4;7236,2;7940,5;7862,9;15610,5;27289,6;35155,1;37793,8;40602,0;41527,0;42839,0;41443,2;
Ямало-Ненецкий автономный округ;1484,0;1461,9;1578,7;1898,5;2146,3;1758,8;2017,0;2377,5;2599,1;3464,5;3618,6;4988,1;8703,7;13039,3;13067,5;16809,7;16091,3;17935,3;20690,8;
Тюменская область без автономных округов;890,3;1022,1;1746,1;1895,8;2029,7;5282,1;6425,9;7908,4;8389,8;8061,9;8271,8;12759,4;15365,9;17037,3;18711,1;19708,4;19651,9;19768,9;22928,4;
Челябинская область;1774,3;2244,7;3260,8;3791,5;4394,3;5119,5;6574,2;8459,8;11171,0;11344,6;11317,9;18328,9;22900,0;24956,0;29725,3;34891,1;34226,2;35324,1;43560,7;
Сибирский        федеральный округ;8884,0;10783,1;16064,2;19146,5;24542,8;33156,2;42742,9;55375,6;63976,1;66686,2;67163,3;106994,8;134845,4;155644,9;179514,3;200576,5;204203,2;204518,7;247375,8;
Республика Алтай;90,5;120,1;179,6;221,4;293,7;434,8;512,8;639,7;848,3;869,7;937,3;1609,6;1880,7;2397,7;2614,1;3174,6;3310,3;3531,5;4246,7;
Республика Тыва;73,9;218,8;342,4;197,1;220,9;536,3;760,8;1529,4;1594,4;1774,4;1813,5;2761,2;3426,0;3914,7;4227,4;4637,7;4958,6;5413,7;6594,1;
Республика Хакасия;236,9;282,3;518,0;604,4;765,7;995,7;1323,7;1466,4;2218,5;2280,9;2402,3;3474,9;4226,6;5200,1;7858,4;6606,0;6744,2;7082,5;8662,4;
Алтайский край;926,7;1371,1;2136,8;2401,9;3110,9;4478,4;5073,2;6623,0;8213,0;8779,6;8540,5;13136,7;15109,8;16995,5;21664,5;23121,6;23361,5;24660,5;29850,7;
Красноярский край ;2556,5;2335,9;3381,4;4556,6;5568,3;6623,0;8907,1;11290,2;12790,2;13601,8;13896,3;24895,5;31539,2;34585,8;41509,7;47388,9;47223,6;40785,9;49127,9;
Иркутская область2);1273,8;1588,2;2172,4;2732,1;3039,9;4570,4;6165,7;8002,4;10333,8;10323,2;9795,1;15292,5;18607,4;23592,7;26739,9;30951,1;31286,9;32405,7;39417,7;
Кемеровская область;1396,5;1585,3;2476,4;2865,5;3854,7;4956,2;6259,9;7874,8;8401,7;9055,0;9404,9;15474,8;18081,2;20872,6;23660,8;26801,5;27339,9;28662,1;34491,6;
Новосибирская область;1323,1;1893,0;2880,6;3302,4;4164,7;5087,5;6465,9;8777,7;10049,0;9319,7;9622,4;14448,3;18837,7;21062,7;23074,1;26262,3;27323,2;28515,0;34746,0;
Омская область;437,7;635,5;928,0;1061,3;2043,7;3419,4;4127,3;5176,2;4741,9;6345,4;6049,3;8907,2;14898,4;16887,2;16574,8;18320,3;18800,4;19350,9;23960,4;
Томская область;568,4;752,9;1048,6;1203,8;1480,3;2054,5;3146,5;3995,8;4785,3;4336,5;4701,7;6994,1;8238,4;10135,9;11590,6;13312,5;13854,6;14110,9;16278,3;
Дальневосточный      федеральный округ;5344,3;6923,9;10600,9;12744,7;15677,5;19969,1;25737,2;31278,3;39017,5;40354,1;42274,5;65891,1;81955,8;105363,8;117490,7;130733,1;131823,9;138611,7;173514,7;
Республика Бурятия;518,2;703,8;1155,0;1243,6;1486,4;2036,9;2518,8;3061,2;3921,9;3589,0;3698,5;5825,5;6853,7;9413,6;12418,2;12319,4;12123,9;12887,3;15584,9;
Республика Саха (Якутия);1120,3;1359,1;1996,2;2544,8;2860,9;3366,5;4207,2;4599,2;5655,7;6375,5;6776,3;11719,4;13364,2;18852,9;20838,8;23501,3;22853,4;24307,1;30982,4;
Забайкальский край;343,7;548,5;817,9;1070,8;1198,5;1900,8;2511,9;2842,4;4044,1;4487,9;4440,8;6881,5;9253,2;10828,7;11748,3;13343,0;13217,3;13729,5;16630,9;
Камчатский край;322,7;396,3;563,9;712,2;904,7;1164,6;1479,7;1860,8;1888,7;2265,3;2872,3;4277,8;5317,6;6122,8;6435,2;6966,6;7458,3;7819,1;9090,5;
