Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;
18.3. ОРГАНИЗАЦИИ, ИМЕВШИЕ ВЕБ-САЙТ1);;;;;;;;;;;;;;;;
(в процентах от общего числа обследованных организаций соответствующего субъекта Российской Федерации) ;;;;;;;;;;;;;;;;
;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Тюменская область;14,2;14,7;16,3;21,8;20,6;23,8;24,1;30,2;34,8;39,0;41,2;41,9;41,9;46,9;46,0;50,4
в том числе:;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;15,0;15,3;16,0;24,0;21,8;24,5;25,3;32,9;36,9;41,7;43,3;42,6;43,3;48,2;48,3;51,4
Ямало-Ненецкий автономный округ;11,3;13,8;17,6;18,8;18,4;20,6;21,8;27,7;29,9;34,3;38,9;42,1;41,7;48,5;45,3;48,9
Тюменская область без автономных округов;14,7;14,4;16,0;21,0;20,3;24,7;24,1;28,5;35,2;38,3;40,0;40,9;40,4;44,7;43,7;50,0
Челябинская область;13,8;20,8;15,2;21,5;20,1;25,3;26,0;30,8;34,6;38,4;43,6;45,3;47,2;48,1;49,7;52,6
Сибирский         федеральный округ;10,4;11,0;11,1;17,1;15,8;18,8;20,2;24,2;29,2;32,5;36,9;37,9;39,5;41,3;41,9;46,3
Республика Алтай;6,6;7,1;4,7;13,4;10,2;12,7;18,1;23,9;27,0;36,4;37,4;44,7;40,0;41,6;46,4;48,4
Республика Тыва;4,0;7,1;3,3;5,3;7,0;6,4;8,8;14,3;19,2;18,7;27,8;28,6;30,3;35,7;36,6;38,3
Республика Хакасия;11,9;10,3;17,8;20,7;14,6;22,2;23,2;29,5;34,5;41,4;43,8;42,2;48,4;49,1;46,8;44,7
Алтайский край;6,4;6,2;6,1;10,9;9,8;12,2;13,3;18,6;22,1;26,9;29,8;33,2;34,1;38,3;36,5;44,4
Красноярский край;6,0;5,3;7,2;15,2;13,1;16,8;17,4;19,5;26,7;32,3;38,5;40,9;44,3;44,5;42,6;46,8
Иркутская область;15,5;16,8;18,5;26,4;23,5;23,8;23,9;25,1;29,6;37,9;41,0;40,7;43,7;44,8;44,5;44,7
Кемеровская область;10,3;9,9;8,5;17,2;16,6;20,1;21,5;27,6;34,0;38,4;40,8;40,2;43,3;44,8;47,0;48,1
Новосибирская область;16,4;16,6;15,5;20,5;20,3;22,7;23,4;26,8;33,8;29,4;37,0;38,0;40,1;37,5;40,5;49,1
Омская область;9,7;12,2;13,2;17,3;14,9;17,2;18,4;23,6;24,4;28,0;31,1;31,4;29,0;35,4;36,6;43,1
Томская область;15,8;20,1;20,4;24,3;26,4;33,2;38,4;41,8;47,6;45,4;46,1;41,2;42,1;45,4;43,7;49,4
Дальневосточный       федеральный округ;9,0;10,4;10,4;18,0;15,0;17,5;18,7;22,5;26,4;31,9;35,4;36,0;37,5;40,8;41,1;44,3
Республика Бурятия;9,3;9,2;7,2;16,3;16,1;20,2;23,2;28,4;31,2;34,7;36,5;34,9;35,4;36,4;30,6;36,1
Республика Саха (Якутия);5,7;7,3;6,1;23,8;10,5;10,9;12,0;16,2;19,3;23,1;27,0;27,1;31,3;34,0;37,6;41,3
Забайкальский край;5,3;6,2;6,6;9,7;9,0;12,1;13,7;17,8;22,0;29,3;31,5;30,5;31,6;31,9;34,5;40,2
Камчатский край;7,3;10,1;11,2;15,3;16,7;22,2;17,9;26,2;31,3;38,7;40,1;39,4;40,7;51,5;52,9;50,1
Приморский край;12,4;13,6;14,4;20,0;17,1;20,8;24,5;27,0;31,7;37,1;40,1;41,7;40,9;41,4;42,0;46,6
Хабаровский край;16,2;15,4;17,2;23,7;23,4;25,4;26,2;30,4;37,3;44,6;48,9;48,6;53,8;59,9;53,6;54,6
Амурская область;7,9;10,4;9,4;12,4;11,1;13,4;14,0;16,5;17,3;24,3;27,8;30,7;31,3;36,6;35,8;38,0
Магаданская область;6,5;17,4;10,1;17,1;17,9;19,9;18,9;21,5;26,6;30,1;35,2;35,3;35,7;41,7;41,9;43,9
Сахалинская область;8,0;10,1;10,9;19,7;18,0;19,3;20,1;22,6;29,5;33,6;38,5;39,8;40,8;45,4;51,7;50,7
Еврейская автономная область;8,9;7,0;9,0;14,5;16,3;19,3;19,6;23,9;26,5;32,2;34,4;33,9;30,2;38,6;37,5;42,2
Чукотский автономный округ;7,8;10,6;12,4;25,3;26,8;21,2;21,9;21,1;23,4;26,5;31,9;33,5;41,6;43,2;47,1;45,5
_____________;;;;;;;;;;;;;;;;
1) Федеральное статистическое наблюдение осуществляется с 2003 г.;;;;;;;;;;;;;;;;
