Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;
 2. ТРУД;;;;;;;;;;;;
ЗАНЯТОСТЬ И БЕЗРАБОТИЦА;;;;;;;;;;;;
"2.12. ЧИСЛЕННОСТЬ ИНОСТРАННЫХ ГРАЖДАН, ИМЕВШИХ ДЕЙСТВУЮЩЕЕ РАЗРЕШЕНИЕ НА РАБОТУ1);2)";;;;;;;;;;;;
(человек);;;;;;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;2018;;;;
Томская область;2709;3057;2912;2839;1083;1102;583;473;;;;
Дальневосточный федеральный  округ;90774;91978;81340;79757;39638;34172;28094;23830;;;;
Республика Бурятия;2269;1984;1192;1630;1029;326;348;558;;;;
Республика Саха    (Якутия);9668;9003;7734;7897;689;440;318;637;;;;
Забайкальский край;8647;8208;7670;7188;4166;3711;3163;3244;;;;
Камчатский край;5003;4296;3792;2834;287;227;183;16;;;;
Приморский край;30624;26592;19907;17448;12648;11458;10148;5837;;;;
Хабаровский край;12073;18052;16757;13916;8824;7588;5986;4879;;;;
Амурская область;7386;8430;7866;9132;3920;3582;3327;4677;;;;
Магаданская область;586;497;2442;4847;706;588;510;300;;;;
Сахалинская область;10483;9790;8341;9091;3978;3672;2988;1700;;;;
Еврейская автономная       область;3363;3862;4297;4646;3338;2545;1084;1948;;;;
Чукотский автономный округ;672;1264;1342;1128;53;35;39;34;;;;
?????;;;;;;;;;;;;
1) По данным Министерства внутренних дел Российской Федерации. Разработка осуществляется с 2011 года. Включая иностранных граждан, получивших разрешение на работу в Центре обращений граждан по паспортно-визовым вопросам и не распределенных по субъектам Российской Федерации.;;;;;;;;;;;;
2) С 2015 г.  – данные приведены по лицам, прибывшим в визовом порядке выезда. ;;;;;;;;;;;;
