Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;
9. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ;;;;;;;;;;;;;;;;;;;;;
9.5. ФАКТИЧЕСКОЕ КОНЕЧНОЕ ПОТРЕБЛЕНИЕ ДОМАШНИХ ХОЗЯЙСТВ на душу населения НА ТЕРРИТОРИИ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ;;;;;;;;;;;;;;;;;;;;;
"(в текущих рыночных ценах; рублей)";;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;;;
Псковская область;16303,7;21481,1;31947,1;39121,2;50977,3;61472,1;77461,4;86639,4;111459,3;119411,5;131378,8;156267,8;172712,3;189387,8;209072,6;223183,1;223329,5;237276,0;;;
г. Санкт-Петербург;29019,8;38834,0;50393,6;61246,8;81131,4;110049,4;135048,6;170595,6;215090,4;223689,5;252889,6;280351,4;311389,5;334351,9;356463,7;389112,5;419103,0;445958,2;;;
Южный               федеральный округ;95831,3;130749,0;168920,1;39446,5;50218,4;63707,8;79812,7;104798,3;133253,5;141510,9;161927,1;187876,9;213278,4;234143,4;258935,9;265963,4;276215,5;288680,8;;;
Республика Адыгея;15379,8;18601,4;22308,2;25567,7;33172,2;41993,9;50071,6;62586,2;89310,1;108525,9;122593,3;148517,9;181072,8;210527,5;228114,4;229571,5;245118,3;265420,4;;;
Республика Калмыкия;9302,4;13000,9;16876,5;16899,3;25855,6;32884,4;47022,4;53571,5;64211,4;70794,3;78641,6;101931,3;116760,6;127192,6;137577,4;143220,6;141069,1;148978,5;;;
Республика Крым;;;;;;;;;;;;;;;…;185858,1;190233,4;198388,3;;;
Краснодарский край;19612,5;26171,3;33933,7;41483,8;53166,4;67123,7;84883,6;113988,1;143631,8;157478,1;183223,8;210361,8;241774,0;263300,7;295346,5;319294,5;335962,7;350073,0;;;
Астраханская область;17043,6;22997,3;29804,0;35409,4;43128,7;55275,5;70427,5;89020,2;115943,8;129264,4;150001,2;171820,1;194780,3;215405,2;235345,9;247223,4;237109,2;240764,7;;;
Волгоградская область;15237,3;24234,2;31885,2;38687,1;47869,8;60698,6;74437,2;96927,1;119621,8;131359,0;145098,5;162809,4;177437,2;191824,2;206261,3;221442,1;225149,3;235540,5;;;
Ростовская область;19255,7;25743,9;34112,5;41371,3;53198,9;67756,7;84490,6;110045,1;142275,1;139375,1;158695,2;189130,8;213782,8;237046,8;261133,9;285499,6;293043,2;307060,6;;;
