Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;
4.11. ЧИСЛО ФИЛИАЛОВ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ОБРАЗОВАТЕЛЬНЫМ ПРОГРАММАМ СРЕДНЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ1);;;;;;;;;;;;;;;
(на начало учебного года);;;;;;;;;;;;;;;
;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019
Республика Адыгея;-;-;1;-;1;-;-;-;-;-;1;1;1;1;-
Республика Калмыкия;2;1;1;1;1;1;-;-;-;1;1;1;4;3;3
Республика Крым;;;;;;;;;;;-;-;3;3;3
Краснодарский край;44;45;28;28;26;20;37;33;34;32;27;26;27;25;24
Астраханская область;9;9;12;11;10;12;14;13;13;11;11;10;11;10;11
Волгоградская область;14;15;15;13;11;11;11;10;7;9;9;9;8;8;7
Ростовская область;55;39;36;34;29;25;24;8;12;8;6;6;8;8;7
г. Севастополь;;;;;;;;;;;-;-;-;-;-
Северо-Кавказский   федеральный округ;40;34;29;22;21;19;27;33;31;21;18;18;23;22;26
Республика Дагестан;8;7;6;6;6;5;5;5;5;4;5;4;4;3;7
Республика Ингушетия;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Кабардино-Балкарская     Республика;-;5;-;-;-;-;-;-;-;-;-;1;2;-;3
Карачаево-Черкесская      Республика;2;2;2;1;1;2;4;6;7;2;1;2;3;3;2
Республика Северная      Осетия – Алания;4;2;2;-;-;-;1;1;1;-;-;-;-;2;1
Чеченская Республика;-;-;-;-;-;-;-;-;-;4;4;1;2;-;4
Ставропольский край;26;18;19;15;14;12;17;21;18;11;8;10;12;4;9
Приволжский    федеральный округ;141;116;113;81;80;69;107;105;94;73;73;80;139;141;136
Республика Башкортостан;25;22;20;16;16;13;29;24;20;18;18;13;30;36;40
Республика Марий Эл;-;-;1;1;2;2;3;3;3;1;-;1;1;1;1
Республика Мордовия;-;2;1;-;-;-;-;-;-;1;-;-;1;1;1
Республика Татарстан;2;3;3;1;1;2;3;3;1;3;2;1;3;3;2
Удмуртская Республика;12;8;6;6;6;5;12;13;15;3;1;3;6;5;8
Чувашская Республика;9;4;4;2;2;3;3;3;2;2;2;1;1;1;1
Пермский край;1;2;1;1;1;1;4;4;3;11;6;11;16;17;17
Кировская область;14;11;9;10;7;6;12;13;14;9;6;9;11;11;9
Нижегородская область;-;10;9;-;-;-;-;-;-;8;15;16;16;16;16
Оренбургская область;8;8;8;6;7;5;7;6;6;6;7;6;18;18;17
Пензенская область;8;7;8;4;5;5;4;5;7;2;4;4;9;5;6
Самарская область;23;12;13;10;9;4;5;3;3;2;2;8;18;18;8
Саратовская область;18;19;22;19;20;22;24;27;19;7;10;6;8;8;8
Ульяновская область;21;8;8;5;4;1;1;1;1;-;-;1;1;1;2
Уральский      федеральный округ;76;46;27;28;45;46;48;81;91;60;65;61;93;90;82
Курганская область;4;2;3;2;3;2;1;1;5;3;4;5;10;11;11
Свердловская область;24;14;-;4;25;28;32;38;39;30;27;26;36;34;34
Тюменская область;48;30;24;22;17;16;15;18;16;17;21;15;20;18;13
в том числе:;;;;;;;;;;;;;;;
Ханты-Мансийский автономный     округ – Югра;34;22;22;20;16;15;14;14;12;15;19;13;14;13;9
Ямало-Ненецкий автономный     округ;2;2;-;-;-;-;-;3;3;-;1;1;5;4;3
Тюменская область    без автономных округов;12;6;2;2;1;1;1;1;1;2;1;1;1;1;1
Челябинская область;-;-;-;-;-;-;-;24;31;10;13;15;27;27;24
Сибирский       федеральный округ;84;75;64;62;65;57;65;61;53;39;39;40;75;82;90
Республика Алтай;1;1;1;-;-;-;-;-;-;-;-;2;-;-;-
Республика Тыва;2;1;1;1;1;1;1;-;-;-;-;-;-;2;2
Республика Хакасия;2;5;1;1;1;1;2;2;2;3;2;2;3;3;3
Алтайский край;15;10;13;12;10;7;8;5;4;3;2;3;7;7;9
Красноярский край;19;18;14;14;16;13;12;11;10;3;6;8;32;36;35
Иркутская область;6;6;4;4;8;5;7;8;10;6;6;5;9;10;10
Кемеровская область;12;14;13;11;10;11;13;13;9;10;10;10;9;9;9
Новосибирская область;9;5;4;4;4;4;3;3;3;3;4;4;4;5;7
Омская область;4;4;2;4;4;4;7;7;3;1;1;-;1;1;5
Томская область;14;11;11;11;11;11;12;12;12;10;8;6;10;9;10
Дальневосточный    федеральный округ;82;77;75;46;68;39;40;61;62;29;24;29;50;56;58
Республика Бурятия;4;4;-;-;-;-;-;-;-;3;5;10;10;13;14
Республика Саха (Якутия);14;9;7;3;4;4;5;3;5;3;1;1;12;13;13
Забайкальский край;12;7;7;5;4;5;5;5;7;3;2;3;8;8;9
Камчатский край;5;3;3;4;4;3;4;2;2;-;1;1;3;3;3
Приморский край;16;32;32;13;34;7;7;34;31;6;6;6;10;11;11
Хабаровский край;26;13;12;11;10;10;11;8;7;7;5;4;3;3;3
Амурская область;4;4;5;5;5;3;1;2;2;2;2;2;2;2;2
Магаданская область;-;-;-;-;-;-;-;-;1;1;1;1;1;1;1
Сахалинская область;1;5;9;5;7;7;7;7;7;4;1;1;1;2;2
Еврейская автономная область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Чукотский автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
__________;;;;;;;;;;;;;;;
1) До 2016/2017 учебного года - число филиалов профессиональных образовательных организаций, осуществляющих подготовку специалистов среднего звена. С 2013/2014 учебного года - по данным Минпросвещения России.  C 2018/2019 учебного года - без профессиональных образовательных организаций ФСИН и специальных образовательных организаций.;;;;;;;;;;;;;;;
