Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;
18.9. ЧИСЛО АКТИВНЫХ АБОНЕНТОВ ФИКСИРОВАННОГО И МОБИЛЬНОГО ШИРОКОПОЛОСНОГО ДОСТУПА К СЕТИ ИНТЕРНЕТ на 100 человек населения 1);;;;;;;;;
18.9.1. Число активных абонентов фиксированного широкополосного доступа к сети Интернет ;;;;;;;;;
"(на конец года; единиц)";;;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;2018;
Забайкальский край;4,4;5,0;5,7;8,2;15,1;13,7;14,6;15,6;
Камчатский край;10,9;11,3;12,0;10,9;10,9;15,5;18,3;17,7;
Приморский край;14,0;15,9;16,4;17,3;16,9;17,6;17,9;18,1;
Хабаровский край;13,5;14,8;15,3;17,6;18,1;19,1;20,8;21,1;
Амурская область;6,1;7,5;8,7;9,0;10,2;11,6;15,4;16,7;
Магаданская область ;14,9;16,7;17,5;20,4;20,6;22,6;25,1;23,6;
Сахалинская область;11,1;13,0;12,7;12,2;17,3;14,9;20,5;19,2;
Еврейская автономная область;10,2;13,3;12,7;16,3;13,8;14,0;15,4;16,0;
Чукотский автономный округ;7,5;9,5;18,1;16,4;20,5;15,9;11,5;11,7;
________;;;;;;;;;
1) Информация разрабатывается с 2011 г.;;;;;;;;;
