Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;;;;;
МАЛОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;;;;;;;
12.3. ИТОГИ ВЫБОРОЧНЫХ ОБСЛЕДОВАНИЙ;;;;;;;;;;;
12.3.4. Оборот малых предприятий1);;;;;;;;;;;
(миллиардов  рублей);;;;;;;;;;;
;2011;2012;2013;2014;2016 2);2017 3);2018;;;;
Приволжский федеральный округ;3649,2;4228,8;4631,2;4835,2;5863,0;6682,4;7424,4;;;;
Республика Башкортостан;480,2;536,7;598,3;633,1;705,1;723,8;804,9;;;;
Республика Марий Эл;78,4;86,5;100,2;107,0;144,6;167,9;171,0;;;;
Республика Мордовия;53,9;65,1;65,6;66,8;92,9;125,3;114,0;;;;
Республика Татарстан;504,4;622,9;707,3;729,4;957,9;964,5;1275,1;;;;
Удмуртская Республика;159,3;168,0;164,6;216,3;332,0;345,9;373,4;;;;
Чувашская Республика;109,7;131,9;143,7;153,5;161,9;179,0;200,5;;;;
Пермский край;416,3;431,7;456,0;484,6;575,1;695,4;718,0;;;;
Кировская область;176,0;196,5;207,4;220,9;267,0;280,4;283,9;;;;
Нижегородская область;688,5;775,3;853,8;830,6;834,2;1075,2;1166,7;;;;
Оренбургская область;131,9;156,1;174,8;192,1;244,7;264,1;321,5;;;;
Пензенская область;115,9;140,5;168,8;182,4;211,3;285,3;289,8;;;;
Самарская область;396,1;549,5;615,3;600,1;777,8;869,3;952,4;;;;
Саратовская область;197,9;198,4;197,8;247,7;361,7;420,4;441,7;;;;
Ульяновская область;140,8;169,7;177,6;170,6;196,9;285,8;311,4;;;;
Уральский     федеральный округ;1984,4;2154,1;2324,9;2269,5;3004,3;3614,9;3653,1;;;;
Курганская область;56,3;61,1;66,1;65,5;79,7;83,4;90,9;;;;
Свердловская область;869,3;943,2;1034,6;973,5;1200,2;1408,1;1475,7;;;;
Тюменская область;571,4;670,2;741,0;734,0;888,9;972,1;999,7;;;;
в том числе:;;;;;;;;;;;
Ханты-Мансийский    автономный округ – Югра;259,2;299,4;335,1;312,7;370,7;422,9;437,7;;;;
Ямало-Ненецкий автономный округ;65,5;71,4;73,3;72,9;87,2;98,3;100,7;;;;
Тюменская область    без автономных округов;246,7;299,4;332,7;348,4;431,0;450,9;461,3;;;;
Челябинская область;487,5;479,6;483,1;496,6;835,5;1151,3;1086,9;;;;
Сибирский федеральный округ;2157,7;2385,4;2509,1;2708,4;3466,9;4107,9;4871,9;;;;
Республика Алтай;9,1;9,7;10,2;10,7;20,1;28,4;38,6;;;;
