Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.8. ЧИСЛО ДЕЙСТВУЮЩИХ ФИЛИАЛОВ КРЕДИТНЫХ ОРГАНИЗАЦИЙ В СУБЪЕКТЕ1);;;;;;;;;;;;;;;;;;;;
(на начало года);;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Тюменская область;157;162;159;159;166;157;157;148;158;151;145;134;124;98;83;53;35;29;22;17
в том числе:;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный  округ – Югра;…;…;15;30;39;41;56;50;50;46;45;37;34;28;22;15;10;9;8;6
Ямало-Ненецкий автономный округ;…;…;15;17;17;20;36;33;29;28;27;25;23;19;13;9;5;4;3;3
Тюменская область   без автономных округов;157;162;129;112;110;96;65;65;79;77;73;72;67;51;48;29;20;16;11;8
Челябинская область;110;111;106;94;99;107;108;106;117;119;105;94;94;77;73;68;59;54;48;47
Сибирский     федеральный округ;…;390;371;359;359;373;391;371;389;387;359;335;318;249;210;179;152;125;107;86
Республика Алтай;3;4;2;2;2;2;3;4;4;4;4;5;5;6;6;6;4;2;1;1
Республика Тыва;8;7;4;4;4;5;4;4;4;4;4;4;4;3;3;3;3;3;3;2
Республика Хакасия;18;15;12;11;11;12;12;13;9;8;6;5;5;4;4;2;2;2;1;1
Алтайский край;58;53;53;51;54;56;58;56;56;56;52;48;43;21;18;13;7;6;4;3
Красноярский край;76;78;76;76;76;79;80;77;73;71;63;60;57;46;35;30;26;21;17;14
Иркутская область;63;64;64;65;61;62;64;51;55;53;48;43;39;33;25;19;13;12;11;8
Кемеровская область;68;49;45;33;34;37;38;36;45;40;35;32;29;20;16;11;10;9;8;6
Новосибирская область;43;44;46;46;44;45;51;55;61;65;71;70;72;62;61;58;53;45;41;37
Омская область;57;42;39;43;44;44;49;40;46;49;47;42;40;30;24;20;19;14;10;8
Томская область;34;34;30;28;29;31;32;35;36;37;29;26;24;24;18;17;15;11;11;6
Дальневосточный      федеральный округ;…;321;265;267;264;269;277;256;249;239;207;178;165;141;111;102;90;74;63;52
Республика Бурятия;27;26;26;28;27;28;28;22;23;21;18;16;14;12;9;8;7;4;4;3
Республика Саха (Якутия);51;51;51;52;53;54;57;54;47;47;37;33;28;27;14;13;9;6;5;4
Забайкальский край;37;33;30;30;31;32;33;25;24;23;17;15;15;8;6;5;4;3;3;2
Камчатский край;20;21;19;18;16;19;19;17;16;12;13;13;11;9;8;7;7;6;4;2
Приморский край;57;58;40;39;40;42;42;40;45;45;42;34;28;24;19;18;18;14;11;12
Хабаровский край;38;39;27;27;27;23;25;30;33;34;29;26;30;30;30;29;26;23;21;17
Амурская область;35;34;20;19;18;18;19;19;16;16;15;12;13;6;6;5;5;6;6;4
Магаданская область;20;21;20;20;18;19;19;17;14;14;12;9;9;8;6;5;3;3;2;2
Сахалинская область;26;26;19;21;21;21;22;19;18;14;12;11;9;9;8;7;7;6;5;5
Еврейская автономная область;5;6;6;6;6;6;6;6;6;6;5;5;4;4;4;4;3;2;2;1
Чукотский автономный округ;7;6;7;7;7;7;7;7;7;7;7;4;4;4;1;1;1;1;-;-
?????;;;;;;;;;;;;;;;;;;;;
1) Число филиалов в субъекте Российской Федерации включает филиалы кредитных организаций, головная организация которых находится в данном или других субъектах Российской Федерации.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
