Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;
15. СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;;;;;;
СТРОИТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ;;;;;;;;;;;;;;;;;;;;;;;;
15.1. ЧИСЛО ДЕЙСТВУЮЩИХ СТРОИТЕЛЬНЫХ ОРГАНИЗАЦИЙ ;;;;;;;;;;;;;;;;;;;;;;;;
(на конец года);;;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;
Свердловская область;4175;4268;3618;3084;3670;3330;3452;3910;3904;6868;6908;7216;7733;8378;8786;9019;11901;11569;10246;;;;;
Тюменская область;3855;3593;3653;3575;3825;3838;4270;4259;4397;7055;8642;10831;12322;11834;12908;10120;12169;10782;10629;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский    автономный округ - Югра;1534;1452;1671;1620;1706;1718;1972;1869;1892;2890;3641;4231;4960;4240;5020;3777;4581;3951;3701;;;;;
Ямало-Ненецкий    автономный округ;1341;1163;922;955;945;769;698;614;681;933;1245;1622;1743;1591;1615;925;1369;1201;1240;;;;;
Тюменская область без автономных округов;980;978;1060;1000;1174;1351;1600;1776;1824;3232;3756;4978;5619;6003;6273;5418;6219;5630;5688;;;;;
Челябинская область;2864;3018;2662;2651;2413;2442;3083;3225;3758;3811;3898;3619;3877;4441;4829;4510;4775;4545;5483;;;;;
Сибирский            федеральный округ;13473;13779;11245;12085;12271;11675;12543;14186;20602;21806;26014;24287;29200;30991;33263;31442;35256;35715;34668;;;;;
Республика Алтай;159;99;102;113;112;134;161;177;232;261;227;255;311;312;272;393;457;429;397;;;;;
Республика Тыва;76;83;97;87;89;129;135;149;167;164;164;174;192;213;199;130;251;175;183;;;;;
Республика Хакасия;416;416;252;208;237;318;328;329;337;389;386;448;792;893;955;834;753;748;729;;;;;
Алтайский край;1388;1365;1215;1368;1565;1406;1339;1444;2167;2599;2979;2763;3400;3439;3147;3442;3957;3715;3672;;;;;
Красноярский край;1216;1481;1532;1793;1716;1355;1539;2340;4495;4066;3833;4450;6540;6853;7156;6023;6992;6664;6202;;;;;
Иркутская область;1708;1745;969;1129;1108;1222;1279;1447;2108;2280;2557;2797;2902;3079;3578;4128;4704;4833;4860;;;;;
Кемеровская область;2390;2684;2061;2195;2271;1988;2151;2450;2462;3185;3156;3275;3929;4003;3981;3442;3769;3433;3341;;;;;
Новосибирская область;2907;2878;2422;2568;2413;2335;2538;2537;4605;4278;8102;5677;5756;6302;7942;8411;8781;9097;8947;;;;;
Омская область;2182;2018;1637;1615;1710;1866;1880;1911;2264;2671;2674;2840;3133;3539;3825;3371;3635;4016;3873;;;;;
Томская область;1031;1010;958;1009;1050;922;1193;1402;1765;1913;1936;1608;2245;2358;2208;1268;1957;2605;2464;;;;;
Дальневосточный федеральный округ;6405;5925;5772;5544;5969;5592;6477;6792;7586;8569;9004;10542;11901;12680;13025;12379;15367;14576;14414;;;;;
