Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;;
ОСНОВНЫЕ ПОКАЗАТЕЛИ СЕЛЬСКОГО ХОЗЯЙСТВА;;;;;;;;;;;;;;;;;;;;
"14.3. ОСНОВНЫЕ ФИНАНСОВЫЕ ПОКАЗАТЕЛИ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ДЕЯТЕЛЬНОСТЬ В РАСТЕНИЕВОДСТВЕ И ЖИВОТНОВОДСТВЕ1);2)";;;;;;;;;;;;;;;;;;;;
14.3.4. Рентабельность проданных товаров, продукции (работ, услуг) организаций. Животноводство;;;;;;;;;;;;;;;;;;;;
(процентов);;;;;;;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;;
Ставропольский край;9,4;6,2;13,5;1,2;13,4;10,1;4,2;17,3;9,1;26,5;15,4;12,6;14,7;18,2;;;;;;
Приволжский          федеральный округ;8,0;6,6;8,6;6,4;5,5;3,5;2,9;6,5;1,4;12,2;12,3;7,3;10,7;9,2;;;;;;
Республика Башкортостан;5,6;5,2;8,4;6,4;5,2;0,5;1,0;5,4;-0,8;6,0;13,5;9,7;3,6;2,8;;;;;;
Республика Марий Эл;9,9;8,1;10,3;6,8;11,2;15,4;16,2;19,1;19,9;24,9;23,1;3,1;12,6;19,1;;;;;;
Республика Мордовия;12,1;13,8;13,4;12,2;10,2;6,6;7,1;12,0;6,4;9,1;15,2;14,1;14,1;21,2;;;;;;
Республика Татарстан;0,9;0,9;3,2;1,6;2,2;-2,3;-0,8;0,9;-2,9;14,1;11,9;5,4;5,9;1,9;;;;;;
Удмуртская Республика;7,6;8,8;9,1;5,5;1,9;4,0;-0,5;5,4;-1,0;9,9;9,0;7,4;11,0;8,0;;;;;;
Чувашская Республика;14,5;8,4;8,0;4,6;2,6;2,3;4,4;8,2;3,8;16,1;13,7;9,0;20,9;16,8;;;;;;
Пермский край;5,6;2,2;1,2;1,2;-0,1;2,0;2,9;4,2;-2,5;10,6;11,3;4,2;6,1;1,8;;;;;;
Кировская область;10,1;8,1;11,6;11,7;9,4;13,4;16,2;11,1;5,5;20,5;20,4;16,1;20,4;15,4;;;;;;
