Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
13.  ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО ;;;;;;;;;;;;;;;;;;;
13.10. ПРОИЗВОДСТВО ЭЛЕКТРОЭНЕРГИИ;;;;;;;;;;;;;;;;;;;
(миллиардов киловатт-часов);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;20009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Ханты-Мансийский автономный      округ – Югра;53,5;51,7;55,8;60,3;62,1;66,4;71,3;74,4;76,1;76,8;80,2;85,2;84,7;88,5;91,2;91,1;92,4;88,7;87,1
Ямало-Ненецкий автономный округ;1,4;1,4;1,6;1,7;2,0;2,1;2,1;2,2;2,5;2,6;3,2;4,0;4,7;7,2;7,3;7,1;7,9;8,3;9,5
Тюменская область без автономных      округов;;;;;;;;;;;11,5;11,8;13,3;12,4;11,2;11,0;10,3;11,1;12,2
Челябинская область;20,4;20,6;20,9;22,1;24,9;24,5;28,1;29,3;28,6;25,4;26,7;24,9;26,0;23,2;24,2;27,2;29,6;28,5;30,6
Сибирский      федеральный округ;186,1;187,8;181,1;183,9;186,3;189,8;196,4;195,3;201,5;192,8;199,6;196,3;200,7;196,2;198,3;200,0;204,6;199,0;202,4
Республика Алтай   ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,004;0,01;0,01;0,03;0,05
Республика Тыва;0,04;0,04;0,05;0,04;0,04;0,05;0,05;0,05;0,06;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1
Республика Хакасия;25,7;27,6;19,5;24,7;26,3;24,8;27,8;21,9;21,6;19,0;13,6;21,4;20,9;26,2;22,4;23,2;29,5;25,8;29,8
Алтайский край;5,0;5,3;5,3;5,6;5,4;5,2;5,4;6,2;6,5;6,4;7,1;6,6;7,2;6,4;6,8;7,5;7,7;7,4;6,9
Красноярский край;50,9;50,7;48,6;51,5;52,8;52,4;54,5;57,1;59,8;59,9;61,8;57,8;56,7;61,4;65,2;68,9;67,6;67,3;66,9
Иркутская область;54,1;55,5;57,5;52,5;54,9;56,7;58,2;59,7;61,4;57,9;62,6;60,7;62,5;56,9;55,7;48,6;50,1;48,8;52,2
Кемеровская область;27,2;27,1;27,9;25,6;23,5;25,8;25,7;26,3;26,2;24,2;26,7;24,7;25,2;20,1;21,5;25,8;24,4;24,7;22,7
Новосибирская область;12,3;10,8;11,3;12,3;11,7;13,1;13,0;12,4;13,6;14,0;15,6;13,2;14,8;13,3;14,2;14,3;14,3;13,9;13,1
Омская область;6,2;6,0;6,2;6,8;6,4;6,2;6,3;6,4;7,3;6,6;6,9;6,8;7,5;7,0;7,3;7,4;7,0;7,1;6,8
Томская область;4,7;4,8;4,7;4,9;5,3;5,5;5,4;5,2;5,0;4,7;5,2;5,0;5,8;4,8;5,1;4,2;3,9;3,8;3,9
Дальневосточный     федеральный округ;47,9;47,9;48,8;48,9;49,4;50,8;51,1;51,4;54,1;53,0;56,6;57,7;61,1;63,0;63,1;64,2;65,6;66,0;67,0
Республика Бурятия;3,2;3,5;4,6;3,5;3,6;4,0;4,1;4,7;5,6;4,2;4,9;4,8;5,1;5,4;5,4;5,7;5,6;6,3;5,9
Республика Саха (Якутия);7,6;8,1;8,1;8,1;8,3;7,7;7,7;7,3;7,7;7,1;7,3;8,2;8,5;8,5;8,6;9,0;9,3;9,2;9,7
Забайкальский край;5,9;5,4;5,6;6,5;5,8;6,2;6,0;6,1;6,7;6,9;6,7;6,9;7,0;7,6;7,4;7,3;7,1;7,2;7,2
Камчатский край;1,6;1,7;1,6;1,6;1,6;1,6;1,6;1,6;1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,8;1,8;1,9
Приморский край;8,1;8,6;9,2;9,3;9,1;9,4;9,1;8,8;9,5;8,8;9,3;10,1;10,5;9,5;10,0;11,6;10,0;10,7;10,9
Хабаровский край;8,5;8,4;8,3;8,4;7,9;8,0;7,7;7,5;7,8;7,2;7,2;7,5;8,0;8,1;8,7;9,6;8,7;9,1;9,5
Амурская область;6,9;6,1;5,5;5,9;7,4;8,2;9,3;9,7;9,5;11,6;12,8;11,7;13,5;15,2;14,4;12,1;15,5;14,3;13,8
Магаданская область;2,8;2,8;2,7;2,4;2,5;2,3;2,3;2,3;2,2;2,2;2,2;2,3;2,3;2,4;2,3;2,3;2,3;2,4;2,7
Сахалинская область;2,7;2,7;2,7;2,7;2,7;2,7;2,8;2,9;2,8;2,8;4,0;4,0;4,0;4,0;3,9;4,2;4,6;4,4;4,5
Еврейская автономная область;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Чукотский автономный округ;0,6;0,6;0,5;0,5;0,5;0,6;0,5;0,5;0,6;0,5;0,5;0,5;0,5;0,6;0,7;0,7;0,7;0,7;0,7
