Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;;;
ЖИВОТНОВОДСТВО;;;;;;;;;;;;;;;;;;;;;
14.30. НАДОЙ МОЛОКА НА ОДНУ КОРОВУ В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ;;;;;;;;;;;;;;;;;;;;;
(килограммов);;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;
Республика Бурятия;1372;1331;1511;1565;1774;1899;1925;2099;1977;2037;2270;2226;2642;2524;2279;2944;2485;3211;3202;;
Республика Саха (Якутия);1329;1257;1447;1320;1319;1387;1440;1485;1326;1725;1678;1835;1794;1739;1901;1977;2180;2173;2241;;
Забайкальский край;1115;1071;1197;1276;1374;1265;1373;1504;1529;1614;1674;1690;1672;1900;1813;1577;1706;1813;1750;;
Камчатский  край;1932;1998;1823;2331;2385;2593;2752;2810;2796;2527;3098;3422;3389;3458;3523;3436;3494;4421;4699;;
Приморский край;1461;1468;1658;1794;1949;2175;2273;2729;2931;3072;3418;3675;3472;4303;4434;5069;4934;5533;5286;;
Хабаровский край;2288;2210;2354;2355;2473;2432;2617;2743;2739;2910;3185;3117;3368;3301;3469;3847;3631;2877;3490;;
Амурская область;1830;1807;2071;2273;2224;2292;2931;3505;3997;3329;3559;4771;4893;4769;4691;5884;5742;4055;4276;;
Магаданская область;1307;1101;1041;1483;1451;1372;1805;1788;1853;2008;2549;2512;2578;2279;2173;-;-;-;-;;
Сахалинская область;2887;2850;3132;3199;3222;3435;3910;4003;4172;4508;4254;4114;4416;4611;4847;5035;5165;5564;6047;;
Еврейская автономная область;1153;1126;1358;1140;1071;1292;1606;2332;2516;2596;1913;1970;2797;1910;2003;2661;2537;2576;2364;;
Чукотский автономный округ;2000;1700;2300;2200;2290;2081;2410;2487;2384;2842;2545;6700;4000;5333;3000;1714;1833;2750;4087;;
??????;;;;;;;;;;;;;;;;;;;;;
1) До 2012 г. - включая г. Москва.;;;;;;;;;;;;;;;;;;;;;
2) По городу федерального значения Москве и Московской области данные приводятся с учетом изменения их границы с 1 июля 2012 г. в соответствии с постановлением Совета Федерации Федерального Собрания Российской Федерации от 27 декабря 2011 г. № 560-СФ.;;;;;;;;;;;;;;;;;;;;;
3) Включая г. Санкт-Петербург.;;;;;;;;;;;;;;;;;;;;;
4) Данные не публикуются в целях обеспечения конфиденциальности первичных статистических данных, полученных от организаций, в соответствии с Федеральным законом от 29.11.2007 г. № 282-ФЗ «Об официальном статистическом учете и системе государственной статистики в Российской Федерации» (п.5 ст.4, ч.1 ст.9).;;;;;;;;;;;;;;;;;;;;;
5) Данные за 2010-2017 гг.  по Сибирскому и Дальневосточному федеральным округам приведены в составе субъектов Российской Федерации до вступления в силу Указа Президента Российской Федерации от 3 ноября 2018 г. № 632.  ;;;;;;;;;;;;;;;;;;;;;
