Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;
20.14. ЗАДОЛЖЕННОСТЬ ПО КРЕДИТАМ В РУБЛЯХ, ПРЕДОСТАВЛЕННЫМ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ ФИЗИЧЕСКИМ ЛИЦАМ1);;;;;;;;;;;;;;;
20.14.3. По ипотечным жилищным кредитам;;;;;;;;;;;;;;;
"(исходя из местонахождения заемщиков; на начало года;  миллионов рублей)";;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Челябинская область;198;1296;5185;18556;30017;28218;31231;38693;50803;65686;79203;93685;103714;115219;135828
Сибирский     федеральный округ;1485;4468;29161;88831;146749;141269;159106;198193;263571;345347;440672;485018;539556;601172;727954
Республика Алтай;1;2;64;279;514;535;600;687;834;1232;1727;2545;2826;3099;3761
Республика Тыва;3;0,0;79;792;1697;1760;1712;2476;3418;4595;5830;6463;7200;8489;11096
Республика Хакасия;51;137;672;2158;3740;3725;4492;5726;6776;8652;10229;11981;13201;14978;18515
Алтайский край;400;844;3299;7885;12779;12844;14221;17455;23645;30895;39497;47192;53700;61559;76079
Красноярский край;19;203;4686;18249;31616;30855;33923;44504;58910;74459;95006;104133;115960;126386;148317
Иркутская область;64;332;3642;12222;22517;22123;26308;33179;43370;56912;72820;79507;85763;92794;108504
Кемеровская область;393;1233;4450;11061;18197;16457;17630;21457;30568;40843;52763;59776;66081;73280;90557
Новосибирская область;306;750;6511;18357;28779;28037;32685;39120;52112;69994;90585;95786;108480;123700;152317
Омская область;94;540;3661;11274;15771;14039;15281;18195;23798;31253;38674;44331;49868;57097;71683
Томская область;154;427;2097;6554;11140;10894;12254;15394;20140;26512;33541;33304;36477;39790;47127
Дальневосточный      федеральный округ;260;763;6301;22384;44234;43789;53301;80638;120005;162521;220419;252307;284228;322014;389618
Республика Бурятия;2;49;577;2254;4749;4601;5306;7416;10517;15129;20152;22038;23569;25128;29687
Республика Саха (Якутия);26;89;1032;2859;5434;5671;7245;12659;19537;28554;40290;48014;58945;69680;84888
Забайкальский край;3;63;703;2684;5380;5486;6869;9765;13810;19073;25223;28075;30433;32746;39035
Камчатский край;0,0;2;197;690;1425;1448;1771;2903;4305;5939;8562;10189;11668;13207;16326
Приморский край;62;174;1097;4288;7969;7272;8805;13263;20280;27963;36977;43178;49675;57644;70847
Хабаровский край;39;168;1347;5592;10518;10431;11899;17430;25169;31207;41215;46004;49185;55384;65451
Амурская область;92;157;630;1839;3992;3940;4808;7963;12624;16209;22303;25112;27239;29791;36340
Магаданская область;0,0;8;189;481;1043;1051;1289;1707;2666;4045;5818;6756;7824;8782;10461
Сахалинская область;36;51;464;1286;2836;2936;4083;5824;8518;10856;15127;17338;19523;22794;28139
Еврейская автономная область;0,0;2;44;311;698;758;945;1365;1966;2595;3278;3805;4148;4460;5410
Чукотский автономный округ;0,0;0,0;21;100;189;195;281;343;613;951;1474;1798;2019;2398;3036
??????;;;;;;;;;;;;;;;
1) С 2011 г. – без учета индивидуальных предпринимателей. ;;;;;;;;;;;;;;;
2) По данным Банка России.;;;;;;;;;;;;;;;
