Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.9. ВКЛАДЫ (ДЕПОЗИТЫ) ЮРИДИЧЕСКИХ И ФИЗИЧЕСКИХ ЛИЦ В РУБЛЯХ, ПРИВЛЕЧЕННЫЕ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ;;;;;;;;;;;;;;;;;;;;
20.9.1. Всего;;;;;;;;;;;;;;;;;;;;
"(исходя из места привлечения средств; на начало года; миллионов рублей)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Тверская область;1553;2057;2797;4070;6098;7879;11156;17661;26247;30197;39055;53421;64534;80407;96468;98919;117403;131137;142935;157765
Тульская область;2282;3277;4692;6666;9702;12962;18497;25851;36673;40430;51684;68637;84051;103626;120526;125271;150710;178500;192236;217012
Ярославская область;1797;2875;4673;7147;11364;15807;22470;32188;45271;44154;54335;69496;87673;114949;142077;134493;147474;167736;187714;201286
г. Москва;50933;85356;123794;189938;341372;543958;815661;1460588;2700079;2707900;3693662;4945556;6933380;7544462;7959289;8277348;9207672;9718344;12126968;15117438
Северо-Западный федеральный округ;22881;35475;52979;75441;124295;174202;277141;436835;656201;701056;878458;1152228;1402007;1691327;2028364;2088528;2423410;2706280;3002956;3397797
Республика Карелия;746;1112;1619;2350;3600;4771;6853;10685;13756;14919;17688;24758;29050;42688;52160;51378;58979;66369;74302;82633
Республика Коми;1811;3199;4677;7068;10793;13185;17641;23361;31176;33394;42693;57621;67783;82145;93643;85324;97452;111300;119154;127793
Архангельская область;1378;2314;3332;5028;7811;10826;15601;22076;29682;38053;53867;75542;84754;95637;125302;108391;128169;142712;159171;177102
в том числе: ;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;15;7;-;489;916;1333;1702;2110;2285;2910;3534;5330;6019;6436;6804;7840;8573;9016
Архангельская область без автономного округа;1378;2314;3317;5021;7811;10337;14685;20743;27980;35943;51582;72632;81220;90307;119283;101955;121364;134872;150598;168086
Вологодская область;2043;3192;4958;7885;12386;17728;24740;35746;41872;40091;53141;61047;72220;81224;97006;105719;112789;131259;134896;162563
Калининградская область;987;1745;2346;3415;5904;8442;12692;20075;28969;28817;36392;52835;63759;82354;93075;94027;112191;130680;150230;181869
Ленинградская область;866;1944;693;683;1357;10575;15310;22111;30912;33261;44677;56254;66037;87397;107941;97045;126882;155534;161340;190484
Мурманская область;1786;2868;4170;6090;9284;11720;16350;22690;31685;33334;41218;55034;61262;94765;114026;111612;127098;141182;155955;159282
Новгородская область;694;922;1327;1981;3046;3983;5635;8028;10615;12316;15218;20480;24527;33851;40766;42756;49076;55109;59817;64639
Псковская область;612;921;1292;1850;2792;3528;5031;7346;10303;10859;14122;19120;22643;32140;42375;43924;49821;53493;58797;65608
г. Санкт-Петербург;11958;17258;28565;39091;67322;89444;157288;264717;427231;456012;559442;729537;909972;1059126;1262070;1348352;1560955;1718642;1929294;2185823
Южный                федеральный округ;16936;25233;35670;50261;74299;95641;134749;201439;303584;314112;413662;550058;693676;822463;994648;1050807;1275072;1428682;1595745;1754522
Республика Адыгея;437;629;845;1173;1474;1602;2052;3003;3981;4703;5974;8068;10259;12422;15454;15214;18087;20007;21338;23213
Республика Калмыкия;84;18;23;115;82;556;753;1140;1586;1971;2904;4203;5072;5831;6907;6229;7549;8554;9495;10405
Республика Крым;;;;;;;;;;;;;;;…;17836;45098;63903;80957;94100
Краснодарский край;7213;11125;15772;22480;32231;41017;59137;90396;128098;132453;186592;240841;305239;364761;449339;465540;537463;602155;674931;748370
Астраханская область;1155;1855;2591;3710;5475;7277;9820;13987;17624;20109;26471;34701;41209;49035;62456;57319;66485;70633;75615;82763
Волгоградская область;3325;4581;6407;9060;13949;17540;24696;34944;46940;55767;69670;91880;111094;131534;155220;162564;201189;213193;229262;252025
Ростовская область;4722;7025;10032;13723;21088;27649;38291;57969;105355;99109;122051;170365;220803;258880;305272;319208;386524;430494;478443;515245
г. Севастополь;;;;;;;;;;;;;;;…;6897;12677;19744;25704;28400
Северо-Кавказский федеральный округ;5038;8053;10774;15884;21138;30683;37430;52385;75966;86224;112563;152411;190593;231195;280460;275542;334978;377030;412350;458221
Республика Дагестан;459;108;171;242;387;1948;2515;4229;7168;9701;12748;19257;26146;28548;42545;38967;48200;53023;58641;62674
Республика Ингушетия;42;53;25;10;18;268;592;543;925;968;2054;2224;2912;3461;4427;3690;4591;4517;4681;5240
Кабардино-Балкарская   Республика;525;760;73;208;201;2349;3153;4782;8181;8693;9714;13818;17372;21498;24341;23731;27484;31331;34835;36560
Карачаево-Черкесская Республика;209;41;62;81;108;998;1415;2126;2573;3016;4015;6459;7941;9178;10945;10261;12694;14712;16327;16498
Республика Северная Осетия – Алания;520;1028;297;305;445;4600;4980;5887;7898;8752;11560;15740;20278;24191;26218;25933;30852;34065;38360;40586
Чеченская Республика;0,0;0,0;1;1;219;2159;512;360;587;2392;2858;3779;4942;8334;8358;8990;21164;17437;17166;24315
Ставропольский край;3283;6063;10145;15037;19760;18361;24263;34458;48634;52702;69614;91134;111002;135985;163626;163970;189993;221945;242338;272348
Приволжский федеральный округ;39124;65458;94160;131559;199925;268003;397672;561381;814229;883933;1111069;1526707;1844260;2153275;2498642;2649187;3029852;3336370;3622196;3993680
Республика Башкортостан;4059;8921;9886;14874;21158;31683;45225;65511;94695;119723;163421;238563;267035;290271;322246;353580;365325;375081;423438;459893
Республика Марий Эл;433;696;984;1448;2189;2921;4075;6109;8504;9493;13253;18475;22306;27562;33925;38015;44536;52487;54771;60574
Республика Мордовия;739;1085;1567;2164;3321;4555;6600;9940;13064;14299;20206;28067;31670;36372;42444;46759;54483;61134;66188;73065
Республика Татарстан;5181;9552;16373;20673;32020;43956;81738;107042;153014;158749;187275;262918;346242;390067;465414;523793;587669;667842;702175;820207
Удмуртская Республика;1328;2714;3484;5337;7813;10311;15013;21410;29799;30653;42302;55657;65233;81877;97805;107898;120223;149340;161898;175061
Чувашская Республика;926;1516;2336;3307;5145;6793;9436;14675;20837;21921;30190;42705;49984;63514;77696;77768;94189;110157;122940;134392
Пермский край;3943;6795;10026;14256;22383;29799;38026;55145;83098;107544;112181;141887;181110;207310;239866;233707;268775;290446;308524;330526
Кировская область;1535;2362;3310;4971;7271;9441;12227;17594;23323;28617;36997;53879;60185;70473;81528;81784;98164;112691;128459;139410
Нижегородская область;5704;9116;13584;19033;28109;36643;49822;74729;106697;103655;141128;199417;224681;281078;306709;315764;394520;435418;491309;545755
Оренбургская область;2356;3675;5147;6953;10467;14322;20398;27236;39951;45707;55835;72327;87640;107688;125168;125268;144812;155678;171539;191174
Пензенская область;1777;2505;3478;4732;6848;8653;11817;16896;21868;25855;32806;45514;55330;67232;81625;80813;97643;110581;125467;139612
Самарская область;5903;8770;13251;18845;30737;40999;64407;89914;143303;138757;171339;219754;276473;315628;371638;400949;451885;491924;511474;530785
Саратовская область;3493;5206;7313;10216;15707;19703;28256;40353;55897;55830;71630;97314;115896;148902;173531;180130;209802;216764;228139;258933
Ульяновская область;1747;2545;3421;4750;6757;8224;10632;14827;20179;23130;32506;50230;60475;65301;79047;82959;97827;106828;125873;134297
Уральский     федеральный округ;19714;33677;51039;72257;119029;158936;215310;307264;445697;510973;622677;821120;994458;1193192;1388797;1408005;1568816;1786467;2050232;2313115
Курганская область;633;968;1336;1977;2992;3952;5341;7854;10490;11390;14897;20114;24001;31127;36507;36863;44906;48411;55261;58940
Свердловская область;6265;12134;15755;22640;38790;52171;67244;102223;172208;168684;212505;287522;348213;406324;480762;489017;559969;631255;705589;768654
Тюменская область;8542;13606;23962;33875;55579;73186;101374;137196;178203;233347;278970;359058;441123;537527;613110;616990;640785;747480;882770;1014260
в том числе:;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;-;-;2102;3654;13983;38171;53874;70471;91364;103770;129304;166766;199521;271724;346003;343404;325230;401409;494765;554143
Ямало-Ненецкий автономный округ;-;-;3737;4055;7417;13278;23144;27279;25023;25042;33126;49285;54730;86038;95655;80933;89548;115614;118540;148955
Тюменская область без автономных округов;8542;13606;18123;26166;34179;21737;24356;39446;61816;104535;116540;143007;186872;179765;171452;192653;226007;230457;269465;311162
Челябинская область;4274;6969;9986;13765;21667;29627;41351;59991;84796;97552;116305;154426;181121;218214;258418;265135;323156;359319;406612;471261
Сибирский          федеральный округ;20239;31688;45392;66117;107166;142323;199478;278297;378312;396194;510823;715430;922617;1070038;1240527;1250526;1473938;1702788;1941669;2008549
Республика Алтай;94;11;217;28;79;597;832;1313;1834;1890;2828;4123;4623;5756;6525;7072;7676;7880;9147;9854
Республика Тыва;102;154;49;320;512;613;796;1180;1441;1755;3109;3463;4312;5044;6837;5875;6677;7891;8827;10034
Республика Хакасия;451;706;141;1416;2191;2595;3454;5115;6318;7337;9804;13386;16703;19909;24781;21843;26413;30934;34107;39079
Алтайский край;2391;3777;5101;7481;11209;13215;18144;25753;35107;39694;52791;77717;91870;102377;121844;117944;145175;170158;194128;210555
Красноярский край ;4200;6572;10057;12848;21398;28358;36288;55012;67810;68301;90908;129791;170498;190053;214718;208090;250867;273705;310940;335328
Иркутская область;3494;5386;7160;10711;16493;20699;31267;41152;52714;55409;69843;97570;128331;154411;187433;183329;216631;265780;305828;319492
Кемеровская область;3555;5279;7393;10889;16667;25102;33817;46929;69709;68815;86059;127251;165178;174964;179374;181614;208517;233618;282508;315558
Новосибирская область;2488;3991;6261;9455;17624;24017;33979;50013;76173;86384;106135;141623;189084;232178;275978;301973;350283;419585;478945;423141
Омская область;2228;3737;5533;7922;12217;15776;21718;31143;40034;40420;53831;73196;92039;110970;134273;133121;155688;172464;188711;205407
Томская область;1236;2075;3480;5047;8776;11351;19183;20687;27172;26189;35515;47310;59979;74376;88764;89665;106011;120773;128526;140103
Дальневосточный    федеральный округ;10935;17200;24570;37404;59761;81160;110618;165267;232496;242298;326040;452812;555082;648282;779384;793912;1000992;1066881;1165778;1286632
Республика Бурятия;612;1075;1513;2265;3530;4800;5988;8084;11798;12258;17321;27620;30051;33356;41416;38509;43621;46249;53834;56566
Республика Саха (Якутия);1642;2941;4284;5868;8523;10579;14223;18738;23788;28606;35094;44038;56562;66429;90824;88538;102157;109189;121173;137455
Забайкальский край;795;1312;1746;2765;4904;6325;8020;14731;15826;14597;19927;26847;33136;40255;48962;46994;57574;61084;71200;78765
Камчатский край;621;190;392;816;1365;5010;6984;9907;13253;15094;19799;26678;33771;39521;47364;45699;56049;65103;74280;82774
Приморский край;2235;6067;4635;9400;15209;16627;22747;36397;51116;54667;77612;111048;139084;163217;197814;201058;237721;257633;302807;340903
Хабаровский край;2131;3396;7057;8868;13707;18586;25731;39483;59244;57967;79268;110974;127782;151878;165825;171883;194356;220265;233277;241121
Амурская область;807;1242;1730;2520;4464;5701;8071;11400;22102;19806;26329;36724;46843;50744;64121;65623;74950;75699;88481;102470
Магаданская область;471;761;2761;3987;5787;3321;4526;6155;7751;9407;12309;16535;21638;26563;30844;32013;33674;38390;49499;50582
Сахалинская область;1164;190;368;721;1917;7798;11142;16371;22830;23888;30407;43190;55014;61076;72937;86574;180899;170995;147776;169619
Еврейская автономная область;127;16;36;65;145;924;1309;1696;2302;2689;3091;4389;5699;7204;8927;8958;10203;11223;11744;13414
Чукотский автономный округ;330;10;48;129;210;1489;1877;2305;2486;3319;4883;4769;5502;8039;10350;8063;9788;11051;11707;12962
